team_no,team_name,team_code,player_no,name,firstName,familyName,shirtNumber,starter,captain,active,position_raw,position_group,sMinutes,sFieldGoalsMade,sFieldGoalsAttempted,sFieldGoalsPercentage,sThreePointersMade,sThreePointersAttempted,sThreePointersPercentage,sTwoPointersMade,sTwoPointersAttempted,sTwoPointersPercentage,sFreeThrowsMade,sFreeThrowsAttempted,sFreeThrowsPercentage,sReboundsDefensive,sReboundsOffensive,sReboundsTotal,sAssists,sTurnovers,sSteals,sBlocks,sBlocksReceived,sFoulsPersonal,sFoulsOn,sPoints,sPointsSecondChance,sPointsFastBreak,sPlusMinusPoints,sPointsInThePaint,scoreboardName,pair_token
1,FENERBAHÇE BEKO,FBB,77,J. Birsen,James Metecan,Birsen,1,1,,1,,,23:03,2,5,40,1,4,25,1,1,100,0,0,0,1,1,2,1,0,0,0,0,2,1,5,0,0,7,2,J. Birsen,1:77
1,FENERBAHÇE BEKO,FBB,94,W. Baldwin Iv,Wade M,Baldwin Iv,2,0,,0,,,12:48,1,3,33,0,1,0,1,2,50,3,4,75,3,0,3,3,3,0,0,0,2,3,5,0,3,3,2,W. Baldwin Iv,1:94
1,FENERBAHÇE BEKO,FBB,100,S. Vilbekin,Scott Jordan,Vilbekin,3,1,,0,,,14:28,4,8,50,3,6,50,1,2,50,0,0,0,0,0,0,3,1,1,0,0,0,0,11,0,3,2,0,S. Vilbekin,1:100
1,FENERBAHÇE BEKO,FBB,92,N. Melli,Nicolo,Melli,4,0,,0,,,16:02,1,2,50,1,2,50,0,0,0,0,0,0,2,0,2,3,0,2,0,0,4,0,3,0,0,4,0,N. Melli,1:92
1,FENERBAHÇE BEKO,FBB,78,M. Eksioglu,Mert Emre,Eksioglu,5,0,,1,,,13:25,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,4,1,0,0,1,0,2,0,0,0,1,0,M. Eksioglu,1:78
1,FENERBAHÇE BEKO,FBB,76,M. Mahmutoglu,Melih,Mahmutoglu,10,0,1.0,1,,,16:55,5,8,62,4,6,66,1,2,50,2,2,100,1,0,1,1,2,1,0,0,3,1,16,3,0,2,2,M. Mahmutoglu,1:76
1,FENERBAHÇE BEKO,FBB,79,T. Biberoviç,Tarik,Biberoviç,13,1,,0,,,19:42,5,9,55,4,5,80,1,4,25,0,0,0,1,1,2,3,2,0,0,0,1,0,14,0,0,13,2,T. Biberoviç,1:79
1,FENERBAHÇE BEKO,FBB,89,O. Bitim,Onuralp,Bitim,17,0,,1,,,21:05,5,10,50,2,5,40,3,5,60,3,5,60,2,2,4,0,3,2,0,0,2,4,15,5,1,5,4,O. Bitim,1:89
1,FENERBAHÇE BEKO,FBB,98,M. Jantunen,Mikael Olli Axel,Jantunen,18,0,,1,,,16:30,1,3,33,0,2,0,1,1,100,2,3,66,3,1,4,0,0,1,0,0,3,2,4,1,3,7,2,M. Jantunen,1:98
1,FENERBAHÇE BEKO,FBB,95,D. Hall,Devon Howard,Hall,20,1,,0,,,15:57,1,2,50,1,2,50,0,0,0,3,4,75,3,1,4,0,0,1,0,0,2,5,6,0,0,12,0,D. Hall,1:95
1,FENERBAHÇE BEKO,FBB,90,A. Zagars,Arturs Martins,Zagars,32,0,,0,,,13:12,1,4,25,1,2,50,0,2,0,3,3,100,1,0,1,1,1,1,0,0,0,3,6,0,0,3,0,A. Zagars,1:90
1,FENERBAHÇE BEKO,FBB,91,K. Birch,Khem,Birch,92,1,,0,,,16:53,1,1,100,0,0,0,1,1,100,0,0,0,1,1,2,1,1,0,0,0,0,0,2,0,0,11,2,K. Birch,1:91
2,KARSIYAKA,KSK,93,C. Young,Cameron Jordan,Young,1,0,,0,,,18:46,2,7,28,0,1,0,2,6,33,4,4,100,1,0,1,0,2,0,0,0,2,4,8,0,0,-28,2,C. Young,2:93
2,KARSIYAKA,KSK,88,M. Moore,Michael Jarade,Moore,2,1,,1,,,29:48,7,13,53,1,6,16,6,7,85,0,0,0,0,0,0,0,1,3,0,0,4,2,15,4,5,5,12,M. Moore,2:88
2,KARSIYAKA,KSK,78,S. Geyik,Samet,Geyik,4,1,,0,,,27:50,3,4,75,2,3,66,1,1,100,4,4,100,5,2,7,4,1,0,0,0,0,2,12,2,0,-10,0,S. Geyik,2:78
2,KARSIYAKA,KSK,92,S. Mentese,Serkan,Mentese,5,0,,0,,,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S. Mentese,2:92
2,KARSIYAKA,KSK,81,M. Kuntker,Murat Meriç,Kuntker,10,0,,1,,,3:01,2,3,66,0,1,0,2,2,100,0,0,0,1,0,1,0,0,0,0,0,1,0,4,0,0,7,2,M. Kuntker,2:81
2,KARSIYAKA,KSK,86,C. Chiozza,Christopher Xavier,Chiozza,11,1,,0,,,28:29,2,9,22,0,7,0,2,2,100,0,0,0,4,1,5,8,4,3,0,0,3,4,4,0,0,-7,0,C. Chiozza,2:86
2,KARSIYAKA,KSK,83,E. Yapici,Egemen,Yapici,19,0,,1,,,6:33,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,E. Yapici,2:83
2,KARSIYAKA,KSK,89,C. Manning Jr,Charles Maurice,Manning Jr,21,1,,0,,,27:45,7,12,58,0,2,0,7,10,70,3,3,100,1,1,2,0,0,2,0,0,4,4,17,0,4,-9,12,C. Manning Jr,2:89
2,KARSIYAKA,KSK,85,R. Tarrant Jr,Ricky Lafredrick,Tarrant Jr,22,0,,0,,,8:50,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,2,1,1,0,0,0,1,0,0,0,-14,0,R. Tarrant Jr,2:85
2,KARSIYAKA,KSK,82,E. Özçelik,Ege,Özçelik,24,0,,1,,,7:36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,5,0,E. Özçelik,2:82
2,KARSIYAKA,KSK,87,J. Alston,Justin Alexander,Alston,32,1,,1,,,35:31,5,7,71,2,3,66,3,4,75,1,2,50,5,2,7,2,2,1,1,0,4,2,13,0,5,-17,6,J. Alston,2:87
2,KARSIYAKA,KSK,79,M. Celep,Mert,Celep,35,0,1.0,0,,,5:50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,2,0,0,0,0,-6,0,M. Celep,2:79
