team_no,team_name,start_action,end_action,players_on_court,lineup_uid,possessions,poss_for,poss_against,pts_for,pts_against,net,ORtg,DRtg,start_period,start_clock,end_period,end_clock,score_start_for,score_start_against,score_end_for,score_end_against,lineup_pos_mix,lineup_size,lineup_uid_st,lineup_uid_pair,players_on_court_st,players_on_court_tokens,players_on_court_names,team_name_st
1,FENERBAHÇE BEKO,1.0,42.0,"[77, 79, 91, 95, 100]",77|79|91|95|100,7,7,7,9,9,0,128.57142857142858,128.57142857142858,1,10:00:00,1,06:37:00,0,0,9,9,Unknownx5,5,77|79|91|95|100,1:77|1:79|1:91|1:95|1:100,"[77, 79, 91, 95, 100]","['1:77', '1:79', '1:91', '1:95', '1:100']","['J. Birsen', 'T. Biberoviç', 'K. Birch', 'D. Hall', 'S. Vilbekin']",FENERBAHÇE BEKO
1,FENERBAHÇE BEKO,42.1,62.0,"[77, 79, 90, 91, 95]",77|79|90|91|95,2,2,3,6,2,4,300.0,66.66666666666667,1,06:37:00,1,05:11:00,9,9,15,11,Unknownx5,5,77|79|90|91|95,1:77|1:79|1:90|1:91|1:95,"[77, 79, 90, 91, 95]","['1:77', '1:79', '1:90', '1:91', '1:95']","['J. Birsen', 'T. Biberoviç', 'A. Zagars', 'K. Birch', 'D. Hall']",FENERBAHÇE BEKO
1,FENERBAHÇE BEKO,62.1,79.0,"[77, 79, 90, 92, 94]",77|79|90|92|94,2,2,1,0,0,0,0.0,0.0,1,05:11:00,1,04:32:00,15,11,15,11,Unknownx5,5,77|79|90|92|94,1:77|1:79|1:90|1:92|1:94,"[77, 79, 90, 92, 94]","['1:77', '1:79', '1:90', '1:92', '1:94']","['J. Birsen', 'T. Biberoviç', 'A. Zagars', 'N. Melli', 'W. Baldwin Iv']",FENERBAHÇE BEKO
1,FENERBAHÇE BEKO,79.1,95.0,"[79, 90, 92, 94, 98]",79|90|92|94|98,3,3,3,1,0,1,33.333333333333336,0.0,1,04:32:00,1,04:03:00,15,11,16,11,Unknownx5,5,79|90|92|94|98,1:79|1:90|1:92|1:94|1:98,"[79, 90, 92, 94, 98]","['1:79', '1:90', '1:92', '1:94', '1:98']","['T. Biberoviç', 'A. Zagars', 'N. Melli', 'W. Baldwin Iv', 'M. Jantunen']",FENERBAHÇE BEKO
1,FENERBAHÇE BEKO,95.1,106.0,"[89, 90, 92, 94, 98]",89|90|92|94|98,2,2,2,3,0,3,150.0,0.0,1,04:03:00,1,03:22:00,16,11,19,11,Unknownx5,5,89|90|92|94|98,1:89|1:90|1:92|1:94|1:98,"[89, 90, 92, 94, 98]","['1:89', '1:90', '1:92', '1:94', '1:98']","['O. Bitim', 'A. Zagars', 'N. Melli', 'W. Baldwin Iv', 'M. Jantunen']",FENERBAHÇE BEKO
1,FENERBAHÇE BEKO,106.1,144.0,"[76, 89, 92, 94, 98]",76|89|92|94|98,5,5,5,4,2,2,80.0,40.0,1,03:22:00,1,01:30:00,19,11,23,13,Unknownx5,5,76|89|92|94|98,1:76|1:89|1:92|1:94|1:98,"[76, 89, 92, 94, 98]","['1:76', '1:89', '1:92', '1:94', '1:98']","['M. Mahmutoglu', 'O. Bitim', 'N. Melli', 'W. Baldwin Iv', 'M. Jantunen']",FENERBAHÇE BEKO
1,FENERBAHÇE BEKO,144.1,153.0,"[76, 89, 91, 94, 98]",76|89|91|94|98,1,1,2,1,2,-1,100.0,100.0,1,01:30:00,1,01:02:00,23,13,24,15,Unknownx5,5,76|89|91|94|98,1:76|1:89|1:91|1:94|1:98,"[76, 89, 91, 94, 98]","['1:76', '1:89', '1:91', '1:94', '1:98']","['M. Mahmutoglu', 'O. Bitim', 'K. Birch', 'W. Baldwin Iv', 'M. Jantunen']",FENERBAHÇE BEKO
1,FENERBAHÇE BEKO,153.1,164.0,"[76, 89, 91, 95, 98]",76|89|91|95|98,2,2,2,3,0,3,150.0,0.0,1,01:02:00,1,00:08:10,24,15,27,15,Unknownx5,5,76|89|91|95|98,1:76|1:89|1:91|1:95|1:98,"[76, 89, 91, 95, 98]","['1:76', '1:89', '1:91', '1:95', '1:98']","['M. Mahmutoglu', 'O. Bitim', 'K. Birch', 'D. Hall', 'M. Jantunen']",FENERBAHÇE BEKO
1,FENERBAHÇE BEKO,164.1,175.0,"[76, 90, 91, 94, 95]",76|90|91|94|95,0,0,0,0,0,0,,,1,00:08:10,2,10:00:00,27,15,27,15,Unknownx5,5,76|90|91|94|95,1:76|1:90|1:91|1:94|1:95,"[76, 90, 91, 94, 95]","['1:76', '1:90', '1:91', '1:94', '1:95']","['M. Mahmutoglu', 'A. Zagars', 'K. Birch', 'W. Baldwin Iv', 'D. Hall']",FENERBAHÇE BEKO
1,FENERBAHÇE BEKO,175.1,208.0,"[77, 89, 91, 95, 100]",77|89|91|95|100,5,5,4,1,4,-3,20.0,100.0,2,10:00:00,2,08:51:00,27,15,28,19,Unknownx5,5,77|89|91|95|100,1:77|1:89|1:91|1:95|1:100,"[77, 89, 91, 95, 100]","['1:77', '1:89', '1:91', '1:95', '1:100']","['J. Birsen', 'O. Bitim', 'K. Birch', 'D. Hall', 'S. Vilbekin']",FENERBAHÇE BEKO
