possession_id,period,start_action,end_action,owner_tno,end_reason,pts_owner,pts_against,owner_team_name,net_pts
0,1,1,6,,,0,0,,0
1,1,7,7,1.0,score,2,0,FENERBAHÇE BEKO,2
2,1,8,9,2.0,score,2,0,KARSIYAKA,2
3,1,10,11,1.0,def_reb,0,0,FENERBAHÇE BEKO,0
4,1,13,13,2.0,def_reb,0,0,KARSIYAKA,0
5,1,15,15,1.0,turnover,0,0,FENERBAHÇE BEKO,0
6,1,16,17,2.0,score,2,0,KARSIYAKA,2
7,1,18,26,1.0,made_ft,1,0,FENERBAHÇE BEKO,1
8,1,27,28,2.0,made_ft_last,1,1,KARSIYAKA,0
9,1,30,30,1.0,score,2,2,FENERBAHÇE BEKO,0
10,1,31,31,2.0,score,3,3,KARSIYAKA,0
11,1,32,34,1.0,turnover,0,0,FENERBAHÇE BEKO,0
12,1,36,36,2.0,score,2,2,KARSIYAKA,0
13,1,37,37,1.0,score,3,3,FENERBAHÇE BEKO,0
14,1,38,49,2.0,score,3,3,KARSIYAKA,0
15,1,50,55,1.0,score,2,2,FENERBAHÇE BEKO,0
16,1,56,57,2.0,score,3,3,KARSIYAKA,0
17,1,58,59,1.0,def_reb,0,0,FENERBAHÇE BEKO,0
18,1,60,60,2.0,def_reb,0,0,KARSIYAKA,0
19,1,62,67,1.0,turnover,0,0,FENERBAHÇE BEKO,0
20,1,68,74,2.0,def_reb,0,0,KARSIYAKA,0
21,1,75,75,1.0,def_reb,0,0,FENERBAHÇE BEKO,0
22,1,77,81,2.0,made_ft,1,1,KARSIYAKA,0
23,1,82,83,1.0,def_reb,0,0,FENERBAHÇE BEKO,0
24,1,85,85,2.0,def_reb,0,0,KARSIYAKA,0
25,1,86,86,1.0,def_reb,0,0,FENERBAHÇE BEKO,0
26,1,88,88,2.0,def_reb,0,0,KARSIYAKA,0
27,1,89,94,1.0,turnover,0,0,FENERBAHÇE BEKO,0
28,1,95,100,2.0,score,3,3,KARSIYAKA,0
29,1,101,102,1.0,def_reb,0,0,FENERBAHÇE BEKO,0
30,1,103,103,2.0,def_reb,0,0,KARSIYAKA,0
31,1,105,105,1.0,turnover,0,0,FENERBAHÇE BEKO,0
32,1,106,109,2.0,turnover,0,0,KARSIYAKA,0
33,1,110,111,1.0,score,2,0,FENERBAHÇE BEKO,2
34,1,113,119,2.0,turnover,0,0,KARSIYAKA,0
35,1,121,121,1.0,turnover,0,0,FENERBAHÇE BEKO,0
36,1,123,133,2.0,score,2,0,KARSIYAKA,2
37,1,136,136,1.0,def_reb,0,0,FENERBAHÇE BEKO,0
38,1,137,137,2.0,def_reb,0,0,KARSIYAKA,0
39,1,138,138,1.0,def_reb,0,0,FENERBAHÇE BEKO,0
40,1,139,139,2.0,def_reb,0,0,KARSIYAKA,0
41,1,141,141,1.0,score,2,0,FENERBAHÇE BEKO,2
42,1,142,148,2.0,made_ft_last,1,1,KARSIYAKA,0
43,1,150,150,1.0,score,2,2,FENERBAHÇE BEKO,0
44,1,152,152,2.0,turnover,0,0,KARSIYAKA,0
45,1,153,156,1.0,def_reb,0,0,FENERBAHÇE BEKO,0
46,1,157,157,2.0,def_reb,0,0,KARSIYAKA,0
47,1,158,160,1.0,score,3,0,FENERBAHÇE BEKO,3
48,1,161,163,2.0,turnover,0,0,KARSIYAKA,0
49,1,164,187,1.0,score,2,2,FENERBAHÇE BEKO,0
50,2,188,188,2.0,def_reb,0,0,KARSIYAKA,0
51,2,189,189,1.0,def_reb,0,0,FENERBAHÇE BEKO,0
52,2,190,190,2.0,turnover,0,0,KARSIYAKA,0
53,2,191,197,1.0,made_ft,1,0,FENERBAHÇE BEKO,1
54,2,198,198,2.0,def_reb,0,0,KARSIYAKA,0
55,2,200,200,1.0,def_reb,0,0,FENERBAHÇE BEKO,0
56,2,201,206,2.0,made_ft,1,0,KARSIYAKA,1
57,2,207,207,1.0,made_ft_last,1,1,FENERBAHÇE BEKO,0
58,2,208,213,2.0,score,3,3,KARSIYAKA,0
59,2,214,215,1.0,def_reb,0,0,FENERBAHÇE BEKO,0
60,2,216,216,2.0,def_reb,0,0,KARSIYAKA,0
61,2,217,217,1.0,score,3,0,FENERBAHÇE BEKO,3
62,2,218,220,2.0,turnover,0,0,KARSIYAKA,0
63,2,221,226,1.0,turnover,0,0,FENERBAHÇE BEKO,0
64,2,227,228,2.0,turnover,0,0,KARSIYAKA,0
65,2,229,230,1.0,def_reb,0,0,FENERBAHÇE BEKO,0
66,2,231,231,2.0,def_reb,0,0,KARSIYAKA,0
67,2,232,232,1.0,score,3,3,FENERBAHÇE BEKO,0
68,2,233,234,2.0,turnover,0,0,KARSIYAKA,0
69,2,235,236,1.0,score,2,2,FENERBAHÇE BEKO,0
70,2,238,248,2.0,score,2,2,KARSIYAKA,0
71,2,250,252,1.0,made_ft,1,1,FENERBAHÇE BEKO,0
72,2,253,254,2.0,made_ft_last,1,0,KARSIYAKA,1
73,2,257,260,1.0,turnover,0,0,FENERBAHÇE BEKO,0
74,2,261,262,2.0,score,2,0,KARSIYAKA,2
75,2,263,263,1.0,def_reb,0,0,FENERBAHÇE BEKO,0
76,2,264,264,2.0,def_reb,0,0,KARSIYAKA,0
