team_no,team_name,start_action,end_action,players_on_court,lineup_uid,possessions,poss_for,poss_against,pts_for,pts_against,net,ORtg,DRtg,start_period,start_clock,end_period,end_clock,score_start_for,score_start_against,score_end_for,score_end_against,lineup_pos_mix,lineup_size,lineup_uid_st,lineup_uid_pair,players_on_court_st,players_on_court_tokens,players_on_court_names,team_name_st
1,BAHÇESEHIR KOLEJI,1.0,79.0,"[3, 73, 78, 79, 80]",3|73|78|79|80,11,11,13,6,10,-4,54.54545454545455,76.92307692307692,1,10:00:00,1,04:45:00,0,0,6,10,Unknownx5,5,3|73|78|79|80,1:3|1:73|1:78|1:79|1:80,"[3, 73, 78, 79, 80]","['1:3', '1:73', '1:78', '1:79', '1:80']","['G. Bas', 'M. Ponitka', 'H. Hale', 'T. Williams', 'M. Flynn']",BAHÇESEHIR KOLEJI
1,BAHÇESEHIR KOLEJI,79.1,93.0,"[3, 73, 77, 78, 80]",3|73|77|78|80,2,2,1,3,0,3,150.0,0.0,1,04:45:00,1,04:30:00,6,10,9,10,Unknownx5,5,3|73|77|78|80,1:3|1:73|1:77|1:78|1:80,"[3, 73, 77, 78, 80]","['1:3', '1:73', '1:77', '1:78', '1:80']","['G. Bas', 'M. Ponitka', 'B. Koprivica', 'H. Hale', 'M. Flynn']",BAHÇESEHIR KOLEJI
1,BAHÇESEHIR KOLEJI,93.1,123.0,"[1, 76, 77, 78, 80]",1|76|77|78|80,5,5,6,5,4,1,100.0,66.66666666666667,1,04:30:00,1,02:34:00,9,10,14,14,Unknownx5,5,1|76|77|78|80,1:1|1:76|1:77|1:78|1:80,"[1, 76, 77, 78, 80]","['1:1', '1:76', '1:77', '1:78', '1:80']","['I. Akpinar', 'M. Mitchell Ii', 'B. Koprivica', 'H. Hale', 'M. Flynn']",BAHÇESEHIR KOLEJI
1,BAHÇESEHIR KOLEJI,123.1,146.0,"[1, 73, 75, 76, 77]",1|73|75|76|77,3,3,2,1,0,1,33.333333333333336,0.0,1,02:34:00,1,02:00:00,14,14,15,14,Unknownx5,5,1|73|75|76|77,1:1|1:73|1:75|1:76|1:77,"[1, 73, 75, 76, 77]","['1:1', '1:73', '1:75', '1:76', '1:77']","['I. Akpinar', 'M. Ponitka', 'C. Homesley', 'M. Mitchell Ii', 'B. Koprivica']",BAHÇESEHIR KOLEJI
1,BAHÇESEHIR KOLEJI,146.1,160.0,"[1, 63, 73, 75, 76]",1|63|73|75|76,3,3,3,2,4,-2,66.66666666666667,133.33333333333334,1,02:00:00,1,01:11:00,15,14,17,18,Unknownx5,5,1|63|73|75|76,1:1|1:63|1:73|1:75|1:76,"[1, 63, 73, 75, 76]","['1:1', '1:63', '1:73', '1:75', '1:76']","['I. Akpinar', 'F. Haltali', 'M. Ponitka', 'C. Homesley', 'M. Mitchell Ii']",BAHÇESEHIR KOLEJI
1,BAHÇESEHIR KOLEJI,160.1,182.0,"[63, 73, 75, 76, 80]",63|73|75|76|80,4,4,4,2,2,0,50.0,50.0,1,01:11:00,1,00:03:10,17,18,19,20,Unknownx5,5,63|73|75|76|80,1:63|1:73|1:75|1:76|1:80,"[63, 73, 75, 76, 80]","['1:63', '1:73', '1:75', '1:76', '1:80']","['F. Haltali', 'M. Ponitka', 'C. Homesley', 'M. Mitchell Ii', 'M. Flynn']",BAHÇESEHIR KOLEJI
1,BAHÇESEHIR KOLEJI,182.1,189.0,"[1, 3, 73, 76, 80]",1|3|73|76|80,0,0,0,0,0,0,,,1,00:03:10,2,10:00:00,19,20,19,20,Unknownx5,5,1|3|73|76|80,1:1|1:3|1:73|1:76|1:80,"[1, 3, 73, 76, 80]","['1:1', '1:3', '1:73', '1:76', '1:80']","['I. Akpinar', 'G. Bas', 'M. Ponitka', 'M. Mitchell Ii', 'M. Flynn']",BAHÇESEHIR KOLEJI
1,BAHÇESEHIR KOLEJI,189.1,246.0,"[1, 75, 76, 79, 80]",1|75|76|79|80,8,8,8,5,3,2,62.5,37.5,2,10:00:00,2,07:11:00,19,20,24,23,Unknownx5,5,1|75|76|79|80,1:1|1:75|1:76|1:79|1:80,"[1, 75, 76, 79, 80]","['1:1', '1:75', '1:76', '1:79', '1:80']","['I. Akpinar', 'C. Homesley', 'M. Mitchell Ii', 'T. Williams', 'M. Flynn']",BAHÇESEHIR KOLEJI
1,BAHÇESEHIR KOLEJI,246.1,258.0,"[1, 75, 76, 77, 80]",1|75|76|77|80,2,2,2,0,2,-2,0.0,100.0,2,07:11:00,2,06:40:00,24,23,24,25,Unknownx5,5,1|75|76|77|80,1:1|1:75|1:76|1:77|1:80,"[1, 75, 76, 77, 80]","['1:1', '1:75', '1:76', '1:77', '1:80']","['I. Akpinar', 'C. Homesley', 'M. Mitchell Ii', 'B. Koprivica', 'M. Flynn']",BAHÇESEHIR KOLEJI
1,BAHÇESEHIR KOLEJI,258.1,272.0,"[3, 75, 77, 78, 80]",3|75|77|78|80,0,0,1,0,2,-2,,200.0,2,06:40:00,2,06:21:00,24,25,24,27,Unknownx5,5,3|75|77|78|80,1:3|1:75|1:77|1:78|1:80,"[3, 75, 77, 78, 80]","['1:3', '1:75', '1:77', '1:78', '1:80']","['G. Bas', 'C. Homesley', 'B. Koprivica', 'H. Hale', 'M. Flynn']",BAHÇESEHIR KOLEJI
