team_no,team_name,start_action,end_action,players_on_court,lineup_uid,possessions,poss_for,poss_against,pts_for,pts_against,net,ORtg,DRtg,start_period,start_clock,end_period,end_clock,score_start_for,score_start_against,score_end_for,score_end_against,lineup_pos_mix,lineup_size,lineup_uid_st,lineup_uid_pair,players_on_court_st,players_on_court_tokens,players_on_court_names,team_name_st
1,ANADOLU EFES,1.0,36.0,"[73, 80, 87, 88, 89]",73|80|87|88|89,5,5,7,7,9,-2,140.0,128.57142857142858,1,10:00:00,1,07:20:00,0,0,7,9,Unknownx5,5,73|80|87|88|89,1:73|1:80|1:87|1:88|1:89,"[73, 80, 87, 88, 89]","['1:73', '1:80', '1:87', '1:88', '1:89']","['B. Dessert', 'E. Yilmaz', 'N. Weiler-Babb', 'I. Cordinier', 'E. Osmani']",ANADOLU EFES
1,ANADOLU EFES,36.1,74.0,"[73, 87, 88, 89, 92]",73|87|88|89|92,7,7,7,3,0,3,42.857142857142854,0.0,1,07:20:00,1,05:44:00,7,9,10,9,Unknownx5,5,73|87|88|89|92,1:73|1:87|1:88|1:89|1:92,"[73, 87, 88, 89, 92]","['1:73', '1:87', '1:88', '1:89', '1:92']","['B. Dessert', 'N. Weiler-Babb', 'I. Cordinier', 'E. Osmani', 'J. Loyd']",ANADOLU EFES
1,ANADOLU EFES,74.1,99.0,"[85, 87, 88, 89, 92]",85|87|88|89|92,2,2,1,0,0,0,0.0,0.0,1,05:44:00,1,04:43:00,10,9,10,9,Unknownx5,5,85|87|88|89|92,1:85|1:87|1:88|1:89|1:92,"[85, 87, 88, 89, 92]","['1:85', '1:87', '1:88', '1:89', '1:92']","['G. Papagiannis', 'N. Weiler-Babb', 'I. Cordinier', 'E. Osmani', 'J. Loyd']",ANADOLU EFES
1,ANADOLU EFES,99.1,129.0,"[81, 85, 88, 89, 92]",81|85|88|89|92,5,5,6,5,2,3,100.0,33.333333333333336,1,04:43:00,1,02:28:00,10,9,15,11,Unknownx5,5,81|85|88|89|92,1:81|1:85|1:88|1:89|1:92,"[81, 85, 88, 89, 92]","['1:81', '1:85', '1:88', '1:89', '1:92']","['S. Hazer', 'G. Papagiannis', 'I. Cordinier', 'E. Osmani', 'J. Loyd']",ANADOLU EFES
1,ANADOLU EFES,129.1,154.0,"[80, 81, 85, 89, 92]",80|81|85|89|92,4,4,4,3,2,1,75.0,50.0,1,02:28:00,1,01:30:00,15,11,18,13,Unknownx5,5,80|81|85|89|92,1:80|1:81|1:85|1:89|1:92,"[80, 81, 85, 89, 92]","['1:80', '1:81', '1:85', '1:89', '1:92']","['E. Yilmaz', 'S. Hazer', 'G. Papagiannis', 'E. Osmani', 'J. Loyd']",ANADOLU EFES
1,ANADOLU EFES,154.1,216.0,"[80, 81, 85, 86, 92]",80|81|85|86|92,9,9,8,8,4,4,88.88888888888889,50.0,1,01:30:00,2,08:13:00,18,13,26,17,Unknownx5,5,80|81|85|86|92,1:80|1:81|1:85|1:86|1:92,"[80, 81, 85, 86, 92]","['1:80', '1:81', '1:85', '1:86', '1:92']","['E. Yilmaz', 'S. Hazer', 'G. Papagiannis', 'R. Smits', 'J. Loyd']",ANADOLU EFES
1,ANADOLU EFES,216.1,240.0,"[81, 85, 86, 88, 92]",81|85|86|88|92,2,2,3,0,0,0,0.0,0.0,2,08:13:00,2,07:23:00,26,17,26,17,Unknownx5,5,81|85|86|88|92,1:81|1:85|1:86|1:88|1:92,"[81, 85, 86, 88, 92]","['1:81', '1:85', '1:86', '1:88', '1:92']","['S. Hazer', 'G. Papagiannis', 'R. Smits', 'I. Cordinier', 'J. Loyd']",ANADOLU EFES
1,ANADOLU EFES,240.1,260.0,"[81, 85, 86, 87, 88]",81|85|86|87|88,3,3,3,4,1,3,133.33333333333334,33.333333333333336,2,07:23:00,2,06:41:00,26,17,30,18,Unknownx5,5,81|85|86|87|88,1:81|1:85|1:86|1:87|1:88,"[81, 85, 86, 87, 88]","['1:81', '1:85', '1:86', '1:87', '1:88']","['S. Hazer', 'G. Papagiannis', 'R. Smits', 'N. Weiler-Babb', 'I. Cordinier']",ANADOLU EFES
1,ANADOLU EFES,260.1,290.0,"[73, 75, 81, 87, 88]",73|75|81|87|88,3,3,3,0,0,0,0.0,0.0,2,06:41:00,2,05:24:00,30,18,30,18,Unknownx5,5,73|75|81|87|88,1:73|1:75|1:81|1:87|1:88,"[73, 75, 81, 87, 88]","['1:73', '1:75', '1:81', '1:87', '1:88']","['B. Dessert', 'C. Swider', 'S. Hazer', 'N. Weiler-Babb', 'I. Cordinier']",ANADOLU EFES
1,ANADOLU EFES,290.1,332.0,"[73, 75, 80, 81, 87]",73|75|80|81|87,7,7,7,7,4,3,100.0,57.142857142857146,2,05:24:00,2,03:39:00,30,18,37,22,Unknownx5,5,73|75|80|81|87,1:73|1:75|1:80|1:81|1:87,"[73, 75, 80, 81, 87]","['1:73', '1:75', '1:80', '1:81', '1:87']","['B. Dessert', 'C. Swider', 'E. Yilmaz', 'S. Hazer', 'N. Weiler-Babb']",ANADOLU EFES
1,ANADOLU EFES,332.1,356.0,"[73, 75, 80, 87, 88]",73|75|80|87|88,6,6,5,7,2,5,116.66666666666667,40.0,2,03:39:00,2,01:27:00,37,22,44,24,Unknownx5,5,73|75|80|87|88,1:73|1:75|1:80|1:87|1:88,"[73, 75, 80, 87, 88]","['1:73', '1:75', '1:80', '1:87', '1:88']","['B. Dessert', 'C. Swider', 'E. Yilmaz', 'N. Weiler-Babb', 'I. Cordinier']",ANADOLU EFES
1,ANADOLU EFES,356.1,393.0,"[73, 87, 88, 89, 92]",73|87|88|89|92,4,4,5,2,2,0,50.0,40.0,2,01:27:00,2,00:22:50,44,24,46,26,Unknownx5,5,73|87|88|89|92,1:73|1:87|1:88|1:89|1:92,"[73, 87, 88, 89, 92]","['1:73', '1:87', '1:88', '1:89', '1:92']","['B. Dessert', 'N. Weiler-Babb', 'I. Cordinier', 'E. Osmani', 'J. Loyd']",ANADOLU EFES
1,ANADOLU EFES,393.1,410.0,"[75, 87, 88, 89, 92]",75|87|88|89|92,3,3,3,2,2,0,66.66666666666667,66.66666666666667,2,00:22:50,3,10:00:00,46,26,48,28,Unknownx5,5,75|87|88|89|92,1:75|1:87|1:88|1:89|1:92,"[75, 87, 88, 89, 92]","['1:75', '1:87', '1:88', '1:89', '1:92']","['C. Swider', 'N. Weiler-Babb', 'I. Cordinier', 'E. Osmani', 'J. Loyd']",ANADOLU EFES
1,ANADOLU EFES,410.1,483.0,"[73, 80, 87, 88, 89]",73|80|87|88|89,10,10,9,8,5,3,80.0,55.55555555555556,3,10:00:00,3,06:22:00,48,28,56,33,Unknownx5,5,73|80|87|88|89,1:73|1:80|1:87|1:88|1:89,"[73, 80, 87, 88, 89]","['1:73', '1:80', '1:87', '1:88', '1:89']","['B. Dessert', 'E. Yilmaz', 'N. Weiler-Babb', 'I. Cordinier', 'E. Osmani']",ANADOLU EFES
