start_action,end_action,start_period,start_clock,end_period,end_clock,teamA_no,teamA_name,lineupA_players,lineupA_uid,lineupA_pos_mix,lineupA_tokens,lineupA_names,teamB_no,teamB_name,lineupB_players,lineupB_uid,lineupB_pos_mix,lineupB_tokens,lineupB_names,poss_A,pts_A_for,pts_A_against,net_A,ORtg_A,DRtg_A,poss_B,pts_B_for,pts_B_against,net_B,ORtg_B,DRtg_B,score_start_A,score_start_B,score_end_A,score_end_B
1.0,68.0,1,10:00:00,1,05:08:00,1,ALIAGA PETKIM SPOR,"[44, 66, 67, 70, 98]",44|66|67|70|98,Unknownx5,"['1:44', '1:66', '1:67', '1:70', '1:98']","['T. Sav', 'J. Floyd', 'D. Efianayi Jr', 'U. Utomi', 'P. Scrubb']",2,MERSIN SPOR,"[4, 5, 7, 9, 56]",4|5|7|9|56,Unknownx5,"['2:4', '2:5', '2:7', '2:9', '2:56']","['E. Tirpanci', 'J. Cobbs', 'B. Bentil', 'J. White', 'A. Cowan']",11,15,8,7,136.36363636363637,80.0,10,8,15,-7,80.0,136.36363636363637,0,0,13,10
68.1,78.0,1,05:08:00,1,04:49:00,1,ALIAGA PETKIM SPOR,"[44, 66, 67, 68, 98]",44|66|67|68|98,Unknownx5,"['1:44', '1:66', '1:67', '1:68', '1:98']","['T. Sav', 'J. Floyd', 'D. Efianayi Jr', 'Y. Franke', 'P. Scrubb']",2,MERSIN SPOR,"[4, 5, 7, 9, 56]",4|5|7|9|56,Unknownx5,"['2:4', '2:5', '2:7', '2:9', '2:56']","['E. Tirpanci', 'J. Cobbs', 'B. Bentil', 'J. White', 'A. Cowan']",1,0,0,0,0.0,0.0,1,0,0,0,0.0,0.0,13,10,13,11
78.1,80.0,1,04:49:00,1,04:49:00,1,ALIAGA PETKIM SPOR,"[44, 64, 67, 68, 98]",44|64|67|68|98,Unknownx5,"['1:44', '1:64', '1:67', '1:68', '1:98']","['T. Sav', 'M. Sajus', 'D. Efianayi Jr', 'Y. Franke', 'P. Scrubb']",2,MERSIN SPOR,"[4, 5, 7, 9, 56]",4|5|7|9|56,Unknownx5,"['2:4', '2:5', '2:7', '2:9', '2:56']","['E. Tirpanci', 'J. Cobbs', 'B. Bentil', 'J. White', 'A. Cowan']",0,0,0,0,,,0,0,0,0,,,13,11,13,11
80.1,105.0,1,04:49:00,1,03:50:00,1,ALIAGA PETKIM SPOR,"[44, 64, 67, 68, 98]",44|64|67|68|98,Unknownx5,"['1:44', '1:64', '1:67', '1:68', '1:98']","['T. Sav', 'M. Sajus', 'D. Efianayi Jr', 'Y. Franke', 'P. Scrubb']",2,MERSIN SPOR,"[4, 5, 9, 55, 56]",4|5|9|55|56,Unknownx5,"['2:4', '2:5', '2:9', '2:55', '2:56']","['E. Tirpanci', 'J. Cobbs', 'J. White', 'A. Olaseni', 'A. Cowan']",4,4,3,1,100.0,60.0,5,3,4,-1,60.0,100.0,13,11,18,14
105.1,115.0,1,03:50:00,1,03:24:00,1,ALIAGA PETKIM SPOR,"[44, 64, 67, 68, 98]",44|64|67|68|98,Unknownx5,"['1:44', '1:64', '1:67', '1:68', '1:98']","['T. Sav', 'M. Sajus', 'D. Efianayi Jr', 'Y. Franke', 'P. Scrubb']",2,MERSIN SPOR,"[3, 6, 9, 55, 56]",3|6|9|55|56,Unknownx5,"['2:3', '2:6', '2:9', '2:55', '2:56']","['K. Özmizrak', 'F. Cruz Saldivar', 'J. White', 'A. Olaseni', 'A. Cowan']",0,0,0,0,,,0,0,0,0,,,18,14,21,14
115.1,132.0,1,03:24:00,1,01:54:00,1,ALIAGA PETKIM SPOR,"[42, 64, 65, 67, 68]",42|64|65|67|68,Unknownx5,"['1:42', '1:64', '1:65', '1:67', '1:68']","['Y. Sonsirma', 'M. Sajus', 'R. Blumbergs', 'D. Efianayi Jr', 'Y. Franke']",2,MERSIN SPOR,"[3, 6, 9, 55, 56]",3|6|9|55|56,Unknownx5,"['2:3', '2:6', '2:9', '2:55', '2:56']","['K. Özmizrak', 'F. Cruz Saldivar', 'J. White', 'A. Olaseni', 'A. Cowan']",4,3,2,1,75.0,66.66666666666667,3,2,3,-1,66.66666666666667,75.0,21,14,23,18
132.1,178.0,1,01:54:00,2,08:35:00,1,ALIAGA PETKIM SPOR,"[42, 64, 65, 67, 68]",42|64|65|67|68,Unknownx5,"['1:42', '1:64', '1:65', '1:67', '1:68']","['Y. Sonsirma', 'M. Sajus', 'R. Blumbergs', 'D. Efianayi Jr', 'Y. Franke']",2,MERSIN SPOR,"[3, 6, 7, 10, 55]",3|6|7|10|55,Unknownx5,"['2:3', '2:6', '2:7', '2:10', '2:55']","['K. Özmizrak', 'F. Cruz Saldivar', 'B. Bentil', 'R. March Jr', 'A. Olaseni']",9,7,4,3,77.77777777777777,50.0,8,4,7,-3,50.0,77.77777777777777,23,18,28,25
178.1,199.0,2,08:35:00,2,07:44:00,1,ALIAGA PETKIM SPOR,"[42, 65, 66, 68, 98]",42|65|66|68|98,Unknownx5,"['1:42', '1:65', '1:66', '1:68', '1:98']","['Y. Sonsirma', 'R. Blumbergs', 'J. Floyd', 'Y. Franke', 'P. Scrubb']",2,MERSIN SPOR,"[3, 6, 7, 10, 55]",3|6|7|10|55,Unknownx5,"['2:3', '2:6', '2:7', '2:10', '2:55']","['K. Özmizrak', 'F. Cruz Saldivar', 'B. Bentil', 'R. March Jr', 'A. Olaseni']",2,0,2,-2,0.0,100.0,2,2,0,2,100.0,0.0,28,25,30,25
199.1,243.0,2,07:44:00,2,05:25:00,1,ALIAGA PETKIM SPOR,"[42, 65, 66, 68, 98]",42|65|66|68|98,Unknownx5,"['1:42', '1:65', '1:66', '1:68', '1:98']","['Y. Sonsirma', 'R. Blumbergs', 'J. Floyd', 'Y. Franke', 'P. Scrubb']",2,MERSIN SPOR,"[3, 6, 7, 9, 10]",3|6|7|9|10,Unknownx5,"['2:3', '2:6', '2:7', '2:9', '2:10']","['K. Özmizrak', 'F. Cruz Saldivar', 'B. Bentil', 'J. White', 'R. March Jr']",7,3,3,0,42.857142857142854,42.857142857142854,7,3,3,0,42.857142857142854,42.857142857142854,30,25,32,30
243.1,245.0,2,05:25:00,2,05:25:00,1,ALIAGA PETKIM SPOR,"[42, 65, 66, 67, 98]",42|65|66|67|98,Unknownx5,"['1:42', '1:65', '1:66', '1:67', '1:98']","['Y. Sonsirma', 'R. Blumbergs', 'J. Floyd', 'D. Efianayi Jr', 'P. Scrubb']",2,MERSIN SPOR,"[3, 6, 7, 9, 10]",3|6|7|9|10,Unknownx5,"['2:3', '2:6', '2:7', '2:9', '2:10']","['K. Özmizrak', 'F. Cruz Saldivar', 'B. Bentil', 'J. White', 'R. March Jr']",0,0,0,0,,,0,0,0,0,,,32,30,32,30
