team_no,team_name,team_code,player_no,name,shirtNumber,position_raw,position_group,pair_token
1,ALIAGA PETKIM SPOR,PTK,45,B. Güler,2,,,1:45
1,ALIAGA PETKIM SPOR,PTK,67,D. Efianayi Jr,4,,,1:67
1,ALIAGA PETKIM SPOR,PTK,66,J. Floyd,20,,,1:66
1,ALIAGA PETKIM SPOR,PTK,46,K. Soyuçayli,1,,,1:46
1,ALIAGA PETKIM SPOR,PTK,43,M. Kurtuldum,7,,,1:43
1,ALIAGA PETKIM SPOR,PTK,64,M. Sajus,19,,,1:64
1,ALIAGA PETKIM SPOR,PTK,98,P. Scrubb,23,,,1:98
1,ALIAGA PETKIM SPOR,PTK,65,R. Blumbergs,6,,,1:65
1,ALIAGA PETKIM SPOR,PTK,44,T. Sav,15,,,1:44
1,ALIAGA PETKIM SPOR,PTK,70,U. Utomi,8,,,1:70
1,ALIAGA PETKIM SPOR,PTK,68,Y. Franke,5,,,1:68
1,ALIAGA PETKIM SPOR,PTK,42,Y. Sonsirma,9,,,1:42
2,MERSIN SPOR,MSK,53,A. Alyanak,11,,,2:53
2,MERSIN SPOR,MSK,56,A. Cowan,7,,,2:56
2,MERSIN SPOR,MSK,55,A. Olaseni,0,,,2:55
2,MERSIN SPOR,MSK,7,B. Bentil,50,,,2:7
2,MERSIN SPOR,MSK,4,E. Tirpanci,10,,,2:4
2,MERSIN SPOR,MSK,6,F. Cruz Saldivar,9,,,2:6
2,MERSIN SPOR,MSK,5,J. Cobbs,1,,,2:5
2,MERSIN SPOR,MSK,9,J. White,14,,,2:9
2,MERSIN SPOR,MSK,3,K. Özmizrak,3,,,2:3
2,MERSIN SPOR,MSK,8,L. Apaydin,5,,,2:8
2,MERSIN SPOR,MSK,2,M. Kiliçli,13,,,2:2
2,MERSIN SPOR,MSK,10,R. March Jr,4,,,2:10
