team_no,team_name,start_action,end_action,players_on_court,lineup_size,lineup_uid,players_on_court_tokens,players_on_court_names,lineup_uid_pair,lineup_pos_mix,start_period,start_clock,end_period,end_clock,score_start_for,score_start_against,score_end_for,score_end_against
1,ALIAGA PETKIM SPOR,1.0,68.0,"[44, 66, 67, 70, 98]",5,44|66|67|70|98,"['1:44', '1:66', '1:67', '1:70', '1:98']","['T. Sav', 'J. Floyd', 'D. Efianayi Jr', 'U. Utomi', 'P. Scrubb']",1:44|1:66|1:67|1:70|1:98,Unknownx5,1,10:00:00,1,05:08:00,0,0,13,10
1,ALIAGA PETKIM SPOR,68.1,78.0,"[44, 66, 67, 68, 98]",5,44|66|67|68|98,"['1:44', '1:66', '1:67', '1:68', '1:98']","['T. Sav', 'J. Floyd', 'D. Efianayi Jr', 'Y. Franke', 'P. Scrubb']",1:44|1:66|1:67|1:68|1:98,Unknownx5,1,05:08:00,1,04:49:00,13,10,13,11
1,ALIAGA PETKIM SPOR,78.1,115.0,"[44, 64, 67, 68, 98]",5,44|64|67|68|98,"['1:44', '1:64', '1:67', '1:68', '1:98']","['T. Sav', 'M. Sajus', 'D. Efianayi Jr', 'Y. Franke', 'P. Scrubb']",1:44|1:64|1:67|1:68|1:98,Unknownx5,1,04:49:00,1,03:24:00,13,11,21,14
1,ALIAGA PETKIM SPOR,115.1,178.0,"[42, 64, 65, 67, 68]",5,42|64|65|67|68,"['1:42', '1:64', '1:65', '1:67', '1:68']","['Y. Sonsirma', 'M. Sajus', 'R. Blumbergs', 'D. Efianayi Jr', 'Y. Franke']",1:42|1:64|1:65|1:67|1:68,Unknownx5,1,03:24:00,2,08:35:00,21,14,28,25
1,ALIAGA PETKIM SPOR,178.1,243.0,"[42, 65, 66, 68, 98]",5,42|65|66|68|98,"['1:42', '1:65', '1:66', '1:68', '1:98']","['Y. Sonsirma', 'R. Blumbergs', 'J. Floyd', 'Y. Franke', 'P. Scrubb']",1:42|1:65|1:66|1:68|1:98,Unknownx5,2,08:35:00,2,05:25:00,28,25,32,30
1,ALIAGA PETKIM SPOR,243.1,291.0,"[42, 65, 66, 67, 98]",5,42|65|66|67|98,"['1:42', '1:65', '1:66', '1:67', '1:98']","['Y. Sonsirma', 'R. Blumbergs', 'J. Floyd', 'D. Efianayi Jr', 'P. Scrubb']",1:42|1:65|1:66|1:67|1:98,Unknownx5,2,05:25:00,2,02:00:00,32,30,41,39
1,ALIAGA PETKIM SPOR,291.1,324.0,"[44, 66, 67, 70, 98]",5,44|66|67|70|98,"['1:44', '1:66', '1:67', '1:70', '1:98']","['T. Sav', 'J. Floyd', 'D. Efianayi Jr', 'U. Utomi', 'P. Scrubb']",1:44|1:66|1:67|1:70|1:98,Unknownx5,2,02:00:00,2,00:38:60,41,39,44,39
1,ALIAGA PETKIM SPOR,324.1,356.0,"[45, 65, 66, 67, 98]",5,45|65|66|67|98,"['1:45', '1:65', '1:66', '1:67', '1:98']","['B. Güler', 'R. Blumbergs', 'J. Floyd', 'D. Efianayi Jr', 'P. Scrubb']",1:45|1:65|1:66|1:67|1:98,Unknownx5,2,00:38:60,3,10:00:00,44,39,44,41
1,ALIAGA PETKIM SPOR,356.1,391.0,"[44, 66, 67, 68, 98]",5,44|66|67|68|98,"['1:44', '1:66', '1:67', '1:68', '1:98']","['T. Sav', 'J. Floyd', 'D. Efianayi Jr', 'Y. Franke', 'P. Scrubb']",1:44|1:66|1:67|1:68|1:98,Unknownx5,3,10:00:00,3,06:49:00,44,41,48,46
1,ALIAGA PETKIM SPOR,391.1,419.0,"[44, 64, 67, 68, 98]",5,44|64|67|68|98,"['1:44', '1:64', '1:67', '1:68', '1:98']","['T. Sav', 'M. Sajus', 'D. Efianayi Jr', 'Y. Franke', 'P. Scrubb']",1:44|1:64|1:67|1:68|1:98,Unknownx5,3,06:49:00,3,05:35:00,48,46,54,46
1,ALIAGA PETKIM SPOR,419.1,445.0,"[42, 64, 65, 67, 68]",5,42|64|65|67|68,"['1:42', '1:64', '1:65', '1:67', '1:68']","['Y. Sonsirma', 'M. Sajus', 'R. Blumbergs', 'D. Efianayi Jr', 'Y. Franke']",1:42|1:64|1:65|1:67|1:68,Unknownx5,3,05:35:00,3,04:33:00,54,46,60,48
1,ALIAGA PETKIM SPOR,445.1,469.0,"[42, 65, 66, 67, 68]",5,42|65|66|67|68,"['1:42', '1:65', '1:66', '1:67', '1:68']","['Y. Sonsirma', 'R. Blumbergs', 'J. Floyd', 'D. Efianayi Jr', 'Y. Franke']",1:42|1:65|1:66|1:67|1:68,Unknownx5,3,04:33:00,3,03:06:00,60,48,60,55
1,ALIAGA PETKIM SPOR,469.1,502.0,"[44, 66, 67, 68, 98]",5,44|66|67|68|98,"['1:44', '1:66', '1:67', '1:68', '1:98']","['T. Sav', 'J. Floyd', 'D. Efianayi Jr', 'Y. Franke', 'P. Scrubb']",1:44|1:66|1:67|1:68|1:98,Unknownx5,3,03:06:00,4,10:00:00,60,55,66,63
1,ALIAGA PETKIM SPOR,502.1,513.0,"[44, 66, 68, 70, 98]",5,44|66|68|70|98,"['1:44', '1:66', '1:68', '1:70', '1:98']","['T. Sav', 'J. Floyd', 'Y. Franke', 'U. Utomi', 'P. Scrubb']",1:44|1:66|1:68|1:70|1:98,Unknownx5,4,10:00:00,4,09:19:00,66,63,66,66
