possession_id,period,start_action,end_action,owner_tno,end_reason,pts_owner,pts_against,owner_team_name,net_pts
0,1,1,6,,,0,0,,0
1,1,7,10,1.0,score,2,0,ALIAGA PETKIM SPOR,2
2,1,11,14,2.0,def_reb,0,0,MERSIN SPOR,0
3,1,16,16,1.0,def_reb,0,0,ALIAGA PETKIM SPOR,0
4,1,18,23,2.0,turnover,0,0,MERSIN SPOR,0
5,1,24,25,1.0,score,2,0,ALIAGA PETKIM SPOR,2
6,1,27,29,2.0,def_reb,0,0,MERSIN SPOR,0
7,1,30,30,1.0,def_reb,0,0,ALIAGA PETKIM SPOR,0
8,1,31,31,2.0,score,2,2,MERSIN SPOR,0
9,1,32,32,1.0,score,2,2,ALIAGA PETKIM SPOR,0
10,1,33,33,2.0,turnover,0,0,MERSIN SPOR,0
11,1,34,39,1.0,score,2,2,ALIAGA PETKIM SPOR,0
12,1,40,44,2.0,made_ft,1,1,MERSIN SPOR,0
13,1,45,45,1.0,def_reb,0,0,ALIAGA PETKIM SPOR,0
14,1,47,47,2.0,def_reb,0,0,MERSIN SPOR,0
15,1,49,51,1.0,made_ft,1,1,ALIAGA PETKIM SPOR,0
16,1,52,53,2.0,made_ft_last,1,0,MERSIN SPOR,1
17,1,55,55,1.0,score,2,0,ALIAGA PETKIM SPOR,2
18,1,56,58,2.0,score,2,0,MERSIN SPOR,2
19,1,59,60,1.0,score,2,0,ALIAGA PETKIM SPOR,2
20,1,61,62,2.0,score,2,0,MERSIN SPOR,2
21,1,63,63,1.0,score,2,0,ALIAGA PETKIM SPOR,2
22,1,64,70,2.0,made_ft,1,0,MERSIN SPOR,1
23,1,71,71,1.0,def_reb,0,0,ALIAGA PETKIM SPOR,0
24,1,73,73,2.0,def_reb,0,0,MERSIN SPOR,0
25,1,75,82,1.0,made_ft,1,0,ALIAGA PETKIM SPOR,1
26,1,83,83,2.0,made_ft_last,1,1,MERSIN SPOR,0
27,1,86,86,1.0,def_reb,0,0,ALIAGA PETKIM SPOR,0
28,1,87,87,2.0,def_reb,0,0,MERSIN SPOR,0
29,1,88,90,1.0,made_ft,1,1,ALIAGA PETKIM SPOR,0
30,1,91,91,2.0,made_ft_last,1,0,MERSIN SPOR,1
31,1,93,93,1.0,score,3,0,ALIAGA PETKIM SPOR,3
32,1,95,97,2.0,made_ft,1,0,MERSIN SPOR,1
33,1,98,100,1.0,def_reb,0,0,ALIAGA PETKIM SPOR,0
34,1,101,101,2.0,def_reb,0,0,MERSIN SPOR,0
35,1,103,110,1.0,score,3,0,ALIAGA PETKIM SPOR,3
36,1,111,119,2.0,made_ft,1,0,MERSIN SPOR,1
37,1,120,120,1.0,made_ft_last,1,1,ALIAGA PETKIM SPOR,0
38,1,122,122,2.0,def_reb,0,0,MERSIN SPOR,0
39,1,123,123,1.0,def_reb,0,0,ALIAGA PETKIM SPOR,0
40,1,124,124,2.0,def_reb,0,0,MERSIN SPOR,0
41,1,125,125,1.0,def_reb,0,0,ALIAGA PETKIM SPOR,0
42,1,126,126,2.0,score,2,2,MERSIN SPOR,0
43,1,127,127,1.0,score,2,2,ALIAGA PETKIM SPOR,0
44,1,128,136,2.0,made_ft,1,1,MERSIN SPOR,0
45,1,137,138,1.0,def_reb,0,0,ALIAGA PETKIM SPOR,0
46,1,140,140,2.0,def_reb,0,0,MERSIN SPOR,0
47,1,141,141,1.0,score,2,2,ALIAGA PETKIM SPOR,0
48,1,142,142,2.0,score,2,2,MERSIN SPOR,0
49,1,143,143,1.0,turnover,0,0,ALIAGA PETKIM SPOR,0
50,1,144,146,2.0,turnover,0,0,MERSIN SPOR,0
51,1,147,149,1.0,score,3,3,ALIAGA PETKIM SPOR,0
52,1,152,152,2.0,def_reb,0,0,MERSIN SPOR,0
53,1,153,153,1.0,def_reb,0,0,ALIAGA PETKIM SPOR,0
54,1,155,155,2.0,turnover,0,0,MERSIN SPOR,0
55,1,158,158,1.0,turnover,0,0,ALIAGA PETKIM SPOR,0
56,1,159,166,2.0,def_reb,0,0,MERSIN SPOR,0
57,2,167,167,1.0,def_reb,0,0,ALIAGA PETKIM SPOR,0
58,2,168,168,2.0,def_reb,0,0,MERSIN SPOR,0
59,2,169,169,1.0,def_reb,0,0,ALIAGA PETKIM SPOR,0
60,2,170,170,2.0,score,2,0,MERSIN SPOR,2
61,2,171,173,1.0,score,2,0,ALIAGA PETKIM SPOR,2
62,2,174,185,2.0,def_reb,0,0,MERSIN SPOR,0
63,2,186,188,1.0,def_reb,0,0,ALIAGA PETKIM SPOR,0
64,2,190,190,2.0,def_reb,0,0,MERSIN SPOR,0
65,2,191,191,1.0,def_reb,0,0,ALIAGA PETKIM SPOR,0
66,2,192,195,2.0,score,2,2,MERSIN SPOR,0
67,2,197,207,1.0,made_ft,1,1,ALIAGA PETKIM SPOR,0
68,2,208,208,2.0,def_reb,0,0,MERSIN SPOR,0
