team_no,team_name,start_action,end_action,players_on_court,lineup_size,lineup_uid,players_on_court_tokens,players_on_court_names,lineup_uid_pair,lineup_pos_mix,start_period,start_clock,end_period,end_clock,score_start_for,score_start_against,score_end_for,score_end_against
1,TOFAS,1.0,79.0,"[66, 88, 89, 91, 93]",5,66|88|89|91|93,"['1:66', '1:88', '1:89', '1:91', '1:93']","['Y. Saybir', 'M. Blazevic', 'A. Perez', 'M. Lewis Iii', 'J. Thomasson Jr']",1:66|1:88|1:89|1:91|1:93,Unknownx5,1,10:00:00,1,04:33:00,0,0,14,13
1,TOFAS,79.1,101.0,"[55, 66, 89, 92, 93]",5,55|66|89|92|93,"['1:55', '1:66', '1:89', '1:92', '1:93']","['T. Geçim', 'Y. Saybir', 'A. Perez', 'S. Whaley', 'J. Thomasson Jr']",1:55|1:66|1:89|1:92|1:93,Unknownx5,1,04:33:00,1,03:15:00,14,13,14,13
1,TOFAS,101.1,134.0,"[55, 66, 89, 90, 92]",5,55|66|89|90|92,"['1:55', '1:66', '1:89', '1:90', '1:92']","['T. Geçim', 'Y. Saybir', 'A. Perez', 'H. Besson', 'S. Whaley']",1:55|1:66|1:89|1:90|1:92,Unknownx5,1,03:15:00,1,01:46:00,14,13,14,18
1,TOFAS,134.1,149.0,"[55, 89, 90, 92, 94]",5,55|89|90|92|94,"['1:55', '1:89', '1:90', '1:92', '1:94']","['T. Geçim', 'A. Perez', 'H. Besson', 'S. Whaley', 'W. Kidd Jr']",1:55|1:89|1:90|1:92|1:94,Unknownx5,1,01:46:00,1,01:01:00,14,18,16,18
1,TOFAS,149.1,255.0,"[55, 67, 90, 92, 94]",5,55|67|90|92|94,"['1:55', '1:67', '1:90', '1:92', '1:94']","['T. Geçim', 'Ö. Cengiz', 'H. Besson', 'S. Whaley', 'W. Kidd Jr']",1:55|1:67|1:90|1:92|1:94,Unknownx5,1,01:01:00,2,06:54:00,16,18,23,22
1,TOFAS,255.1,266.0,"[55, 88, 89, 90, 92]",5,55|88|89|90|92,"['1:55', '1:88', '1:89', '1:90', '1:92']","['T. Geçim', 'M. Blazevic', 'A. Perez', 'H. Besson', 'S. Whaley']",1:55|1:88|1:89|1:90|1:92,Unknownx5,2,06:54:00,2,06:39:00,23,22,23,23
1,TOFAS,266.1,280.0,"[66, 88, 89, 90, 91]",5,66|88|89|90|91,"['1:66', '1:88', '1:89', '1:90', '1:91']","['Y. Saybir', 'M. Blazevic', 'A. Perez', 'H. Besson', 'M. Lewis Iii']",1:66|1:88|1:89|1:90|1:91,Unknownx5,2,06:39:00,2,06:30:00,23,23,24,23
1,TOFAS,280.1,368.0,"[66, 88, 89, 90, 93]",5,66|88|89|90|93,"['1:66', '1:88', '1:89', '1:90', '1:93']","['Y. Saybir', 'M. Blazevic', 'A. Perez', 'H. Besson', 'J. Thomasson Jr']",1:66|1:88|1:89|1:90|1:93,Unknownx5,2,06:30:00,2,01:10:00,24,23,40,39
1,TOFAS,368.1,395.0,"[55, 66, 88, 89, 93]",5,55|66|88|89|93,"['1:55', '1:66', '1:88', '1:89', '1:93']","['T. Geçim', 'Y. Saybir', 'M. Blazevic', 'A. Perez', 'J. Thomasson Jr']",1:55|1:66|1:88|1:89|1:93,Unknownx5,2,01:10:00,3,10:00:00,40,39,43,39
1,TOFAS,395.1,419.0,"[66, 88, 89, 91, 93]",5,66|88|89|91|93,"['1:66', '1:88', '1:89', '1:91', '1:93']","['Y. Saybir', 'M. Blazevic', 'A. Perez', 'M. Lewis Iii', 'J. Thomasson Jr']",1:66|1:88|1:89|1:91|1:93,Unknownx5,3,10:00:00,3,08:26:00,43,39,45,39
1,TOFAS,419.1,466.0,"[55, 66, 88, 89, 93]",5,55|66|88|89|93,"['1:55', '1:66', '1:88', '1:89', '1:93']","['T. Geçim', 'Y. Saybir', 'M. Blazevic', 'A. Perez', 'J. Thomasson Jr']",1:55|1:66|1:88|1:89|1:93,Unknownx5,3,08:26:00,3,05:28:00,45,39,49,45
1,TOFAS,466.1,504.0,"[55, 66, 89, 93, 94]",5,55|66|89|93|94,"['1:55', '1:66', '1:89', '1:93', '1:94']","['T. Geçim', 'Y. Saybir', 'A. Perez', 'J. Thomasson Jr', 'W. Kidd Jr']",1:55|1:66|1:89|1:93|1:94,Unknownx5,3,05:28:00,3,03:29:00,49,45,51,53
1,TOFAS,504.1,532.0,"[55, 89, 90, 92, 94]",5,55|89|90|92|94,"['1:55', '1:89', '1:90', '1:92', '1:94']","['T. Geçim', 'A. Perez', 'H. Besson', 'S. Whaley', 'W. Kidd Jr']",1:55|1:89|1:90|1:92|1:94,Unknownx5,3,03:29:00,3,01:57:00,51,53,54,57
1,TOFAS,532.1,595.0,"[55, 67, 90, 92, 94]",5,55|67|90|92|94,"['1:55', '1:67', '1:90', '1:92', '1:94']","['T. Geçim', 'Ö. Cengiz', 'H. Besson', 'S. Whaley', 'W. Kidd Jr']",1:55|1:67|1:90|1:92|1:94,Unknownx5,3,01:57:00,4,07:56:00,54,57,62,63
1,TOFAS,595.1,618.0,"[55, 66, 67, 90, 92]",5,55|66|67|90|92,"['1:55', '1:66', '1:67', '1:90', '1:92']","['T. Geçim', 'Y. Saybir', 'Ö. Cengiz', 'H. Besson', 'S. Whaley']",1:55|1:66|1:67|1:90|1:92,Unknownx5,4,07:56:00,4,06:41:00,62,63,65,66
1,TOFAS,618.1,643.0,"[55, 66, 88, 89, 90]",5,55|66|88|89|90,"['1:55', '1:66', '1:88', '1:89', '1:90']","['T. Geçim', 'Y. Saybir', 'M. Blazevic', 'A. Perez', 'H. Besson']",1:55|1:66|1:88|1:89|1:90,Unknownx5,4,06:41:00,4,05:55:00,65,66,67,69
1,TOFAS,643.1,745.0,"[55, 66, 88, 89, 93]",5,55|66|88|89|93,"['1:55', '1:66', '1:88', '1:89', '1:93']","['T. Geçim', 'Y. Saybir', 'M. Blazevic', 'A. Perez', 'J. Thomasson Jr']",1:55|1:66|1:88|1:89|1:93,Unknownx5,4,05:55:00,4,00:00:80,67,69,78,78
1,TOFAS,745.1,752.0,"[55, 66, 88, 89, 91]",5,55|66|88|89|91,"['1:55', '1:66', '1:88', '1:89', '1:91']","['T. Geçim', 'Y. Saybir', 'M. Blazevic', 'A. Perez', 'M. Lewis Iii']",1:55|1:66|1:88|1:89|1:91,Unknownx5,4,00:00:80,4,00:00:00,78,78,80,78
2,FENERBAHÇE BEKO,1.0,58.0,"[76, 77, 95, 96, 99]",5,76|77|95|96|99,"['2:76', '2:77', '2:95', '2:96', '2:99']","['M. Mahmutoglu', 'J. Birsen', 'D. Hall', 'T. Tucker', 'A. Bacot Jr']",2:76|2:77|2:95|2:96|2:99,Unknownx5,1,10:00:00,1,06:18:00,0,0,8,12
2,FENERBAHÇE BEKO,58.1,83.0,"[76, 93, 95, 96, 99]",5,76|93|95|96|99,"['2:76', '2:93', '2:95', '2:96', '2:99']","['M. Mahmutoglu', 'B. Colson Ii', 'D. Hall', 'T. Tucker', 'A. Bacot Jr']",2:76|2:93|2:95|2:96|2:99,Unknownx5,1,06:18:00,1,04:33:00,8,12,13,14
2,FENERBAHÇE BEKO,83.1,103.0,"[76, 92, 93, 95, 97]",5,76|92|93|95|97,"['2:76', '2:92', '2:93', '2:95', '2:97']","['M. Mahmutoglu', 'N. Melli', 'B. Colson Ii', 'D. Hall', 'B. Boston Jr']",2:76|2:92|2:93|2:95|2:97,Unknownx5,1,04:33:00,1,03:15:00,13,14,13,14
2,FENERBAHÇE BEKO,103.1,121.0,"[89, 92, 93, 95, 97]",5,89|92|93|95|97,"['2:89', '2:92', '2:93', '2:95', '2:97']","['O. Bitim', 'N. Melli', 'B. Colson Ii', 'D. Hall', 'B. Boston Jr']",2:89|2:92|2:93|2:95|2:97,Unknownx5,1,03:15:00,1,02:32:00,13,14,16,14
2,FENERBAHÇE BEKO,121.1,201.0,"[89, 90, 92, 93, 97]",5,89|90|92|93|97,"['2:89', '2:90', '2:92', '2:93', '2:97']","['O. Bitim', 'A. Zagars', 'N. Melli', 'B. Colson Ii', 'B. Boston Jr']",2:89|2:90|2:92|2:93|2:97,Unknownx5,1,02:32:00,2,08:53:00,16,14,18,20
2,FENERBAHÇE BEKO,201.1,210.0,"[89, 90, 93, 97, 99]",5,89|90|93|97|99,"['2:89', '2:90', '2:93', '2:97', '2:99']","['O. Bitim', 'A. Zagars', 'B. Colson Ii', 'B. Boston Jr', 'A. Bacot Jr']",2:89|2:90|2:93|2:97|2:99,Unknownx5,2,08:53:00,2,08:45:00,18,20,19,20
2,FENERBAHÇE BEKO,210.1,219.0,"[77, 89, 90, 97, 99]",5,77|89|90|97|99,"['2:77', '2:89', '2:90', '2:97', '2:99']","['J. Birsen', 'O. Bitim', 'A. Zagars', 'B. Boston Jr', 'A. Bacot Jr']",2:77|2:89|2:90|2:97|2:99,Unknownx5,2,08:45:00,2,08:33:00,19,20,19,22
2,FENERBAHÇE BEKO,219.1,245.0,"[77, 89, 90, 96, 99]",5,77|89|90|96|99,"['2:77', '2:89', '2:90', '2:96', '2:99']","['J. Birsen', 'O. Bitim', 'A. Zagars', 'T. Tucker', 'A. Bacot Jr']",2:77|2:89|2:90|2:96|2:99,Unknownx5,2,08:33:00,2,07:28:00,19,22,19,23
2,FENERBAHÇE BEKO,245.1,288.0,"[77, 89, 95, 96, 99]",5,77|89|95|96|99,"['2:77', '2:89', '2:95', '2:96', '2:99']","['J. Birsen', 'O. Bitim', 'D. Hall', 'T. Tucker', 'A. Bacot Jr']",2:77|2:89|2:95|2:96|2:99,Unknownx5,2,07:28:00,2,06:12:00,19,23,24,24
2,FENERBAHÇE BEKO,288.1,299.0,"[76, 77, 95, 96, 99]",5,76|77|95|96|99,"['2:76', '2:77', '2:95', '2:96', '2:99']","['M. Mahmutoglu', 'J. Birsen', 'D. Hall', 'T. Tucker', 'A. Bacot Jr']",2:76|2:77|2:95|2:96|2:99,Unknownx5,2,06:12:00,2,05:46:00,24,24,26,24
2,FENERBAHÇE BEKO,299.1,315.0,"[76, 77, 92, 95, 96]",5,76|77|92|95|96,"['2:76', '2:77', '2:92', '2:95', '2:96']","['M. Mahmutoglu', 'J. Birsen', 'N. Melli', 'D. Hall', 'T. Tucker']",2:76|2:77|2:92|2:95|2:96,Unknownx5,2,05:46:00,2,04:21:00,26,24,26,30
2,FENERBAHÇE BEKO,315.1,342.0,"[76, 92, 93, 96, 97]",5,76|92|93|96|97,"['2:76', '2:92', '2:93', '2:96', '2:97']","['M. Mahmutoglu', 'N. Melli', 'B. Colson Ii', 'T. Tucker', 'B. Boston Jr']",2:76|2:92|2:93|2:96|2:97,Unknownx5,2,04:21:00,2,03:28:00,26,30,31,35
2,FENERBAHÇE BEKO,342.1,370.0,"[76, 89, 92, 93, 96]",5,76|89|92|93|96,"['2:76', '2:89', '2:92', '2:93', '2:96']","['M. Mahmutoglu', 'O. Bitim', 'N. Melli', 'B. Colson Ii', 'T. Tucker']",2:76|2:89|2:92|2:93|2:96,Unknownx5,2,03:28:00,2,01:10:00,31,35,39,40
2,FENERBAHÇE BEKO,370.1,381.0,"[76, 77, 89, 93, 95]",5,76|77|89|93|95,"['2:76', '2:77', '2:89', '2:93', '2:95']","['M. Mahmutoglu', 'J. Birsen', 'O. Bitim', 'B. Colson Ii', 'D. Hall']",2:76|2:77|2:89|2:93|2:95,Unknownx5,2,01:10:00,2,00:48:10,39,40,39,41
2,FENERBAHÇE BEKO,381.1,397.0,"[76, 77, 93, 95, 96]",5,76|77|93|95|96,"['2:76', '2:77', '2:93', '2:95', '2:96']","['M. Mahmutoglu', 'J. Birsen', 'B. Colson Ii', 'D. Hall', 'T. Tucker']",2:76|2:77|2:93|2:95|2:96,Unknownx5,2,00:48:10,3,10:00:00,39,41,39,43
2,FENERBAHÇE BEKO,397.1,431.0,"[76, 89, 92, 93, 95]",5,76|89|92|93|95,"['2:76', '2:89', '2:92', '2:93', '2:95']","['M. Mahmutoglu', 'O. Bitim', 'N. Melli', 'B. Colson Ii', 'D. Hall']",2:76|2:89|2:92|2:93|2:95,Unknownx5,3,10:00:00,3,07:39:00,39,43,39,47
2,FENERBAHÇE BEKO,431.1,444.0,"[76, 93, 95, 96, 99]",5,76|93|95|96|99,"['2:76', '2:93', '2:95', '2:96', '2:99']","['M. Mahmutoglu', 'B. Colson Ii', 'D. Hall', 'T. Tucker', 'A. Bacot Jr']",2:76|2:93|2:95|2:96|2:99,Unknownx5,3,07:39:00,3,06:24:00,39,47,45,47
2,FENERBAHÇE BEKO,444.1,468.0,"[76, 93, 96, 97, 99]",5,76|93|96|97|99,"['2:76', '2:93', '2:96', '2:97', '2:99']","['M. Mahmutoglu', 'B. Colson Ii', 'T. Tucker', 'B. Boston Jr', 'A. Bacot Jr']",2:76|2:93|2:96|2:97|2:99,Unknownx5,3,06:24:00,3,05:28:00,45,47,45,49
2,FENERBAHÇE BEKO,468.1,486.0,"[76, 77, 96, 97, 99]",5,76|77|96|97|99,"['2:76', '2:77', '2:96', '2:97', '2:99']","['M. Mahmutoglu', 'J. Birsen', 'T. Tucker', 'B. Boston Jr', 'A. Bacot Jr']",2:76|2:77|2:96|2:97|2:99,Unknownx5,3,05:28:00,3,04:48:00,45,49,47,49
2,FENERBAHÇE BEKO,486.1,502.0,"[76, 77, 95, 97, 99]",5,76|77|95|97|99,"['2:76', '2:77', '2:95', '2:97', '2:99']","['M. Mahmutoglu', 'J. Birsen', 'D. Hall', 'B. Boston Jr', 'A. Bacot Jr']",2:76|2:77|2:95|2:97|2:99,Unknownx5,3,04:48:00,3,03:29:00,47,49,53,51
2,FENERBAHÇE BEKO,502.1,515.0,"[77, 89, 95, 97, 99]",5,77|89|95|97|99,"['2:77', '2:89', '2:95', '2:97', '2:99']","['J. Birsen', 'O. Bitim', 'D. Hall', 'B. Boston Jr', 'A. Bacot Jr']",2:77|2:89|2:95|2:97|2:99,Unknownx5,3,03:29:00,3,03:08:00,53,51,54,51
2,FENERBAHÇE BEKO,515.1,572.0,"[89, 93, 95, 97, 99]",5,89|93|95|97|99,"['2:89', '2:93', '2:95', '2:97', '2:99']","['O. Bitim', 'B. Colson Ii', 'D. Hall', 'B. Boston Jr', 'A. Bacot Jr']",2:89|2:93|2:95|2:97|2:99,Unknownx5,3,03:08:00,4,09:20:00,54,51,61,60
2,FENERBAHÇE BEKO,572.1,586.0,"[89, 92, 93, 95, 97]",5,89|92|93|95|97,"['2:89', '2:92', '2:93', '2:95', '2:97']","['O. Bitim', 'N. Melli', 'B. Colson Ii', 'D. Hall', 'B. Boston Jr']",2:89|2:92|2:93|2:95|2:97,Unknownx5,4,09:20:00,4,08:44:00,61,60,61,62
2,FENERBAHÇE BEKO,586.1,597.0,"[89, 92, 93, 95, 96]",5,89|92|93|95|96,"['2:89', '2:92', '2:93', '2:95', '2:96']","['O. Bitim', 'N. Melli', 'B. Colson Ii', 'D. Hall', 'T. Tucker']",2:89|2:92|2:93|2:95|2:96,Unknownx5,4,08:44:00,4,07:56:00,61,62,63,62
2,FENERBAHÇE BEKO,597.1,620.0,"[76, 89, 92, 93, 96]",5,76|89|92|93|96,"['2:76', '2:89', '2:92', '2:93', '2:96']","['M. Mahmutoglu', 'O. Bitim', 'N. Melli', 'B. Colson Ii', 'T. Tucker']",2:76|2:89|2:92|2:93|2:96,Unknownx5,4,07:56:00,4,06:41:00,63,62,66,65
2,FENERBAHÇE BEKO,620.1,641.0,"[76, 89, 92, 96, 99]",5,76|89|92|96|99,"['2:76', '2:89', '2:92', '2:96', '2:99']","['M. Mahmutoglu', 'O. Bitim', 'N. Melli', 'T. Tucker', 'A. Bacot Jr']",2:76|2:89|2:92|2:96|2:99,Unknownx5,4,06:41:00,4,05:55:00,66,65,69,67
2,FENERBAHÇE BEKO,641.1,680.0,"[89, 92, 95, 96, 99]",5,89|92|95|96|99,"['2:89', '2:92', '2:95', '2:96', '2:99']","['O. Bitim', 'N. Melli', 'D. Hall', 'T. Tucker', 'A. Bacot Jr']",2:89|2:92|2:95|2:96|2:99,Unknownx5,4,05:55:00,4,03:40:00,69,67,74,70
2,FENERBAHÇE BEKO,680.1,700.0,"[77, 89, 92, 95, 99]",5,77|89|92|95|99,"['2:77', '2:89', '2:92', '2:95', '2:99']","['J. Birsen', 'O. Bitim', 'N. Melli', 'D. Hall', 'A. Bacot Jr']",2:77|2:89|2:92|2:95|2:99,Unknownx5,4,03:40:00,4,02:46:00,74,70,74,72
2,FENERBAHÇE BEKO,700.1,743.0,"[76, 92, 95, 96, 99]",5,76|92|95|96|99,"['2:76', '2:92', '2:95', '2:96', '2:99']","['M. Mahmutoglu', 'N. Melli', 'D. Hall', 'T. Tucker', 'A. Bacot Jr']",2:76|2:92|2:95|2:96|2:99,Unknownx5,4,02:46:00,4,00:00:80,74,72,78,78
2,FENERBAHÇE BEKO,743.1,752.0,"[89, 92, 95, 96, 99]",5,89|92|95|96|99,"['2:89', '2:92', '2:95', '2:96', '2:99']","['O. Bitim', 'N. Melli', 'D. Hall', 'T. Tucker', 'A. Bacot Jr']",2:89|2:92|2:95|2:96|2:99,Unknownx5,4,00:00:80,4,00:00:00,78,78,78,80
