team_no,team_name,team_code,player_no,name,firstName,familyName,shirtNumber,starter,captain,active,position_raw,position_group,sMinutes,sFieldGoalsMade,sFieldGoalsAttempted,sFieldGoalsPercentage,sThreePointersMade,sThreePointersAttempted,sThreePointersPercentage,sTwoPointersMade,sTwoPointersAttempted,sTwoPointersPercentage,sFreeThrowsMade,sFreeThrowsAttempted,sFreeThrowsPercentage,sReboundsDefensive,sReboundsOffensive,sReboundsTotal,sAssists,sTurnovers,sSteals,sBlocks,sBlocksReceived,sFoulsPersonal,sFoulsOn,sPoints,sPointsSecondChance,sPointsFastBreak,sPlusMinusPoints,sPointsInThePaint,scoreboardName,pair_token
1,ALIAGA PETKIM SPOR,PTK,46,K. Soyuçayli,Kerem,Soyuçayli,1,0,,0,,,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K. Soyuçayli,1:46
1,ALIAGA PETKIM SPOR,PTK,45,B. Güler,Boran,Güler,2,0,,0,,,10:37,0,1,0,0,1,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,4,0,0,0,0,1,0,B. Güler,1:45
1,ALIAGA PETKIM SPOR,PTK,67,D. Efianayi Jr,David Tinsley Eghosa,Efianayi Jr,4,1,,1,,,35:37,6,10,60,4,7,57,2,3,66,0,0,0,3,0,3,7,4,0,0,1,1,3,16,0,0,-7,4,D. Efianayi Jr,1:67
1,ALIAGA PETKIM SPOR,PTK,68,Y. Franke,Yannick Ayrton,Franke,5,0,,1,,,27:55,3,12,25,2,6,33,1,6,16,2,2,100,2,1,3,3,4,0,0,1,2,3,10,0,0,9,0,Y. Franke,1:68
1,ALIAGA PETKIM SPOR,PTK,65,R. Blumbergs,Roberts,Blumbergs,6,0,,0,,,27:45,4,6,66,2,4,50,2,2,100,0,0,0,5,2,7,0,4,0,0,0,1,1,10,2,2,3,4,R. Blumbergs,1:65
1,ALIAGA PETKIM SPOR,PTK,43,M. Kurtuldum,Mustafa,Kurtuldum,7,0,,0,,,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M. Kurtuldum,1:43
1,ALIAGA PETKIM SPOR,PTK,70,U. Utomi,Uzodinma,Utomi,8,1,,1,,,22:55,3,8,37,3,5,60,0,3,0,0,0,0,2,0,2,0,1,0,0,1,1,1,9,3,0,-16,0,U. Utomi,1:70
1,ALIAGA PETKIM SPOR,PTK,42,Y. Sonsirma,Yunus Emre,Sonsirma,9,1,1.0,1,,,29:23,4,8,50,2,5,40,2,3,66,0,0,0,4,0,4,6,2,0,0,0,1,2,10,3,2,-6,2,Y. Sonsirma,1:42
1,ALIAGA PETKIM SPOR,PTK,61,Y. Kaba,Yigit Gökay,Kaba,12,0,,0,,,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y. Kaba,1:61
1,ALIAGA PETKIM SPOR,PTK,44,T. Sav,Troy Selim,Sav,15,1,,0,,,8:18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,2,0,0,0,0,0,0,T. Sav,1:44
1,ALIAGA PETKIM SPOR,PTK,64,M. Sajus,Martynas,Sajus,19,1,,1,,,23:43,5,7,71,0,0,0,5,7,71,2,2,100,5,3,8,2,5,1,0,1,2,3,12,2,2,-4,10,M. Sajus,1:64
1,ALIAGA PETKIM SPOR,PTK,66,J. Floyd,Jehyve Jamal,Floyd,20,0,,0,,,13:47,3,3,100,0,0,0,3,3,100,2,2,100,1,0,1,1,2,1,0,0,1,1,8,0,0,-5,6,J. Floyd,1:66
2,GALATASARAY MCT TECHNIC,GSM,102,E. Mc Collum,Errick,Mc Collum,3,0,1.0,1,,,25:44,10,18,55,1,3,33,9,15,60,0,0,0,1,1,2,1,1,2,1,0,0,2,21,2,2,-4,10,E. Mc Collum,2:102
2,GALATASARAY MCT TECHNIC,GSM,101,T. Görener,Tibet Deniz,Görener,5,0,,0,,,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T. Görener,2:101
2,GALATASARAY MCT TECHNIC,GSM,109,W. Cummings,William,Cummings,7,1,,1,,,23:03,2,8,25,1,3,33,1,5,20,0,0,0,1,1,2,6,1,1,0,0,2,3,5,0,5,6,2,W. Cummings,2:109
2,GALATASARAY MCT TECHNIC,GSM,71,C. Korkmaz,Can,Korkmaz,8,0,,0,,,9:50,0,6,0,0,6,0,0,0,0,2,2,100,0,0,0,1,0,0,0,0,1,3,2,0,0,1,0,C. Korkmaz,2:71
2,GALATASARAY MCT TECHNIC,GSM,107,R. Meeks,Robinson Jr,Meeks,9,0,,0,,,9:03,1,3,33,0,1,0,1,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,-8,2,R. Meeks,2:107
2,GALATASARAY MCT TECHNIC,GSM,70,R. Öncel,Ridvan,Öncel,10,1,,1,,,23:17,3,3,100,0,0,0,3,3,100,0,0,0,1,0,1,2,2,2,0,0,2,0,6,0,6,12,6,R. Öncel,2:70
