team_no,team_name,start_action,end_action,players_on_court,lineup_size,lineup_uid,players_on_court_tokens,players_on_court_names,lineup_uid_pair,lineup_pos_mix,start_period,start_clock,end_period,end_clock,score_start_for,score_start_against,score_end_for,score_end_against
1,ALIAGA PETKIM SPOR,1.0,57.0,"[42, 44, 64, 67, 70]",5,42|44|64|67|70,"['1:42', '1:44', '1:64', '1:67', '1:70']","['Y. Sonsirma', 'T. Sav', 'M. Sajus', 'D. Efianayi Jr', 'U. Utomi']",1:42|1:44|1:64|1:67|1:70,Unknownx5,1,10:00:00,1,05:59:00,0,0,3,12
1,ALIAGA PETKIM SPOR,57.1,81.0,"[42, 44, 64, 67, 68]",5,42|44|64|67|68,"['1:42', '1:44', '1:64', '1:67', '1:68']","['Y. Sonsirma', 'T. Sav', 'M. Sajus', 'D. Efianayi Jr', 'Y. Franke']",1:42|1:44|1:64|1:67|1:68,Unknownx5,1,05:59:00,1,04:12:00,3,12,10,14
1,ALIAGA PETKIM SPOR,81.1,108.0,"[42, 64, 65, 67, 68]",5,42|64|65|67|68,"['1:42', '1:64', '1:65', '1:67', '1:68']","['Y. Sonsirma', 'M. Sajus', 'R. Blumbergs', 'D. Efianayi Jr', 'Y. Franke']",1:42|1:64|1:65|1:67|1:68,Unknownx5,1,04:12:00,1,02:20:00,10,14,14,14
1,ALIAGA PETKIM SPOR,108.1,142.0,"[45, 65, 66, 67, 68]",5,45|65|66|67|68,"['1:45', '1:65', '1:66', '1:67', '1:68']","['B. Güler', 'R. Blumbergs', 'J. Floyd', 'D. Efianayi Jr', 'Y. Franke']",1:45|1:65|1:66|1:67|1:68,Unknownx5,1,02:20:00,1,00:55:20,14,14,16,18
1,ALIAGA PETKIM SPOR,142.1,183.0,"[45, 65, 66, 68, 70]",5,45|65|66|68|70,"['1:45', '1:65', '1:66', '1:68', '1:70']","['B. Güler', 'R. Blumbergs', 'J. Floyd', 'Y. Franke', 'U. Utomi']",1:45|1:65|1:66|1:68|1:70,Unknownx5,1,00:55:20,2,08:13:00,16,18,24,24
1,ALIAGA PETKIM SPOR,183.1,204.0,"[45, 65, 66, 67, 68]",5,45|65|66|67|68,"['1:45', '1:65', '1:66', '1:67', '1:68']","['B. Güler', 'R. Blumbergs', 'J. Floyd', 'D. Efianayi Jr', 'Y. Franke']",1:45|1:65|1:66|1:67|1:68,Unknownx5,2,08:13:00,2,07:09:00,24,24,27,26
1,ALIAGA PETKIM SPOR,204.1,218.0,"[42, 65, 66, 67, 68]",5,42|65|66|67|68,"['1:42', '1:65', '1:66', '1:67', '1:68']","['Y. Sonsirma', 'R. Blumbergs', 'J. Floyd', 'D. Efianayi Jr', 'Y. Franke']",1:42|1:65|1:66|1:67|1:68,Unknownx5,2,07:09:00,2,05:27:00,27,26,33,30
1,ALIAGA PETKIM SPOR,218.1,269.0,"[42, 64, 65, 67, 68]",5,42|64|65|67|68,"['1:42', '1:64', '1:65', '1:67', '1:68']","['Y. Sonsirma', 'M. Sajus', 'R. Blumbergs', 'D. Efianayi Jr', 'Y. Franke']",1:42|1:64|1:65|1:67|1:68,Unknownx5,2,05:27:00,2,01:41:00,33,30,43,37
1,ALIAGA PETKIM SPOR,269.1,302.0,"[42, 64, 65, 68, 70]",5,42|64|65|68|70,"['1:42', '1:64', '1:65', '1:68', '1:70']","['Y. Sonsirma', 'M. Sajus', 'R. Blumbergs', 'Y. Franke', 'U. Utomi']",1:42|1:64|1:65|1:68|1:70,Unknownx5,2,01:41:00,3,10:00:00,43,37,43,37
1,ALIAGA PETKIM SPOR,302.1,326.0,"[42, 64, 65, 67, 70]",5,42|64|65|67|70,"['1:42', '1:64', '1:65', '1:67', '1:70']","['Y. Sonsirma', 'M. Sajus', 'R. Blumbergs', 'D. Efianayi Jr', 'U. Utomi']",1:42|1:64|1:65|1:67|1:70,Unknownx5,3,10:00:00,3,08:55:00,43,37,45,37
1,ALIAGA PETKIM SPOR,326.1,359.0,"[42, 65, 66, 67, 70]",5,42|65|66|67|70,"['1:42', '1:65', '1:66', '1:67', '1:70']","['Y. Sonsirma', 'R. Blumbergs', 'J. Floyd', 'D. Efianayi Jr', 'U. Utomi']",1:42|1:65|1:66|1:67|1:70,Unknownx5,3,08:55:00,3,06:31:00,45,37,51,48
1,ALIAGA PETKIM SPOR,359.1,407.0,"[42, 66, 67, 68, 70]",5,42|66|67|68|70,"['1:42', '1:66', '1:67', '1:68', '1:70']","['Y. Sonsirma', 'J. Floyd', 'D. Efianayi Jr', 'Y. Franke', 'U. Utomi']",1:42|1:66|1:67|1:68|1:70,Unknownx5,3,06:31:00,3,02:55:00,51,48,57,57
1,ALIAGA PETKIM SPOR,407.1,418.0,"[42, 65, 66, 67, 68]",5,42|65|66|67|68,"['1:42', '1:65', '1:66', '1:67', '1:68']","['Y. Sonsirma', 'R. Blumbergs', 'J. Floyd', 'D. Efianayi Jr', 'Y. Franke']",1:42|1:65|1:66|1:67|1:68,Unknownx5,3,02:55:00,3,02:31:00,57,57,57,59
