start_action,end_action,start_period,start_clock,end_period,end_clock,teamA_no,teamA_name,lineupA_players,lineupA_uid,lineupA_pos_mix,lineupA_tokens,lineupA_names,teamB_no,teamB_name,lineupB_players,lineupB_uid,lineupB_pos_mix,lineupB_tokens,lineupB_names,poss_A,pts_A_for,pts_A_against,net_A,ORtg_A,DRtg_A,poss_B,pts_B_for,pts_B_against,net_B,ORtg_B,DRtg_B,score_start_A,score_start_B,score_end_A,score_end_B
1.0,57.0,1,10:00:00,1,05:59:00,1,ALIAGA PETKIM SPOR,"[42, 44, 64, 67, 70]",42|44|64|67|70,Unknownx5,"['1:42', '1:44', '1:64', '1:67', '1:70']","['Y. Sonsirma', 'T. Sav', 'M. Sajus', 'D. Efianayi Jr', 'U. Utomi']",2,GALATASARAY MCT TECHNIC,"[70, 103, 104, 105, 109]",70|103|104|105|109,Unknownx5,"['2:70', '2:103', '2:104', '2:105', '2:109']","['R. Öncel', 'J. Palmer Jr', 'F. White Jr', 'F. Gillespie Ii', 'W. Cummings']",10,10,5,5,100.0,55.55555555555556,9,5,10,-5,55.55555555555556,100.0,0,0,3,12
57.1,81.0,1,05:59:00,1,04:12:00,1,ALIAGA PETKIM SPOR,"[42, 44, 64, 67, 68]",42|44|64|67|68,Unknownx5,"['1:42', '1:44', '1:64', '1:67', '1:68']","['Y. Sonsirma', 'T. Sav', 'M. Sajus', 'D. Efianayi Jr', 'Y. Franke']",2,GALATASARAY MCT TECHNIC,"[70, 103, 104, 105, 109]",70|103|104|105|109,Unknownx5,"['2:70', '2:103', '2:104', '2:105', '2:109']","['R. Öncel', 'J. Palmer Jr', 'F. White Jr', 'F. Gillespie Ii', 'W. Cummings']",4,4,4,0,100.0,133.33333333333334,3,4,4,0,133.33333333333334,100.0,3,12,10,14
81.1,83.0,1,04:12:00,1,04:12:00,1,ALIAGA PETKIM SPOR,"[42, 64, 65, 67, 68]",42|64|65|67|68,Unknownx5,"['1:42', '1:64', '1:65', '1:67', '1:68']","['Y. Sonsirma', 'M. Sajus', 'R. Blumbergs', 'D. Efianayi Jr', 'Y. Franke']",2,GALATASARAY MCT TECHNIC,"[70, 103, 104, 105, 109]",70|103|104|105|109,Unknownx5,"['2:70', '2:103', '2:104', '2:105', '2:109']","['R. Öncel', 'J. Palmer Jr', 'F. White Jr', 'F. Gillespie Ii', 'W. Cummings']",0,0,0,0,,,0,0,0,0,,,10,14,10,14
83.1,108.0,1,04:12:00,1,02:20:00,1,ALIAGA PETKIM SPOR,"[42, 64, 65, 67, 68]",42|64|65|67|68,Unknownx5,"['1:42', '1:64', '1:65', '1:67', '1:68']","['Y. Sonsirma', 'M. Sajus', 'R. Blumbergs', 'D. Efianayi Jr', 'Y. Franke']",2,GALATASARAY MCT TECHNIC,"[70, 103, 104, 108, 109]",70|103|104|108|109,Unknownx5,"['2:70', '2:103', '2:104', '2:108', '2:109']","['R. Öncel', 'J. Palmer Jr', 'F. White Jr', 'C. Bishop', 'W. Cummings']",6,2,2,0,33.333333333333336,40.0,5,2,2,0,40.0,33.333333333333336,10,14,14,14
108.1,112.0,1,02:20:00,1,02:20:00,1,ALIAGA PETKIM SPOR,"[45, 65, 66, 67, 68]",45|65|66|67|68,Unknownx5,"['1:45', '1:65', '1:66', '1:67', '1:68']","['B. Güler', 'R. Blumbergs', 'J. Floyd', 'D. Efianayi Jr', 'Y. Franke']",2,GALATASARAY MCT TECHNIC,"[70, 103, 104, 108, 109]",70|103|104|108|109,Unknownx5,"['2:70', '2:103', '2:104', '2:108', '2:109']","['R. Öncel', 'J. Palmer Jr', 'F. White Jr', 'C. Bishop', 'W. Cummings']",0,0,0,0,,,0,0,0,0,,,14,14,14,14
112.1,120.0,1,02:20:00,1,02:04:00,1,ALIAGA PETKIM SPOR,"[45, 65, 66, 67, 68]",45|65|66|67|68,Unknownx5,"['1:45', '1:65', '1:66', '1:67', '1:68']","['B. Güler', 'R. Blumbergs', 'J. Floyd', 'D. Efianayi Jr', 'Y. Franke']",2,GALATASARAY MCT TECHNIC,"[71, 102, 103, 104, 108]",71|102|103|104|108,Unknownx5,"['2:71', '2:102', '2:103', '2:104', '2:108']","['C. Korkmaz', 'E. Mc Collum', 'J. Palmer Jr', 'F. White Jr', 'C. Bishop']",1,0,0,0,0.0,,0,0,0,0,,0.0,14,14,14,14
120.1,134.0,1,02:04:00,1,01:12:00,1,ALIAGA PETKIM SPOR,"[45, 65, 66, 67, 68]",45|65|66|67|68,Unknownx5,"['1:45', '1:65', '1:66', '1:67', '1:68']","['B. Güler', 'R. Blumbergs', 'J. Floyd', 'D. Efianayi Jr', 'Y. Franke']",2,GALATASARAY MCT TECHNIC,"[71, 102, 103, 107, 108]",71|102|103|107|108,Unknownx5,"['2:71', '2:102', '2:103', '2:107', '2:108']","['C. Korkmaz', 'E. Mc Collum', 'J. Palmer Jr', 'R. Meeks', 'C. Bishop']",2,2,2,0,100.0,200.0,1,2,2,0,200.0,100.0,14,14,16,16
134.1,142.0,1,01:12:00,1,00:55:20,1,ALIAGA PETKIM SPOR,"[45, 65, 66, 67, 68]",45|65|66|67|68,Unknownx5,"['1:45', '1:65', '1:66', '1:67', '1:68']","['B. Güler', 'R. Blumbergs', 'J. Floyd', 'D. Efianayi Jr', 'Y. Franke']",2,GALATASARAY MCT TECHNIC,"[38, 71, 102, 107, 108]",38|71|102|107|108,Unknownx5,"['2:38', '2:71', '2:102', '2:107', '2:108']","['A. Tuncer', 'C. Korkmaz', 'E. Mc Collum', 'R. Meeks', 'C. Bishop']",1,1,0,1,100.0,,0,0,1,-1,,100.0,16,16,16,18
142.1,181.0,1,00:55:20,2,08:13:00,1,ALIAGA PETKIM SPOR,"[45, 65, 66, 68, 70]",45|65|66|68|70,Unknownx5,"['1:45', '1:65', '1:66', '1:68', '1:70']","['B. Güler', 'R. Blumbergs', 'J. Floyd', 'Y. Franke', 'U. Utomi']",2,GALATASARAY MCT TECHNIC,"[38, 71, 102, 107, 108]",38|71|102|107|108,Unknownx5,"['2:38', '2:71', '2:102', '2:107', '2:108']","['A. Tuncer', 'C. Korkmaz', 'E. Mc Collum', 'R. Meeks', 'C. Bishop']",9,8,5,3,88.88888888888889,62.5,8,5,8,-3,62.5,88.88888888888889,16,18,24,24
181.1,183.0,2,08:13:00,2,08:13:00,1,ALIAGA PETKIM SPOR,"[45, 65, 66, 68, 70]",45|65|66|68|70,Unknownx5,"['1:45', '1:65', '1:66', '1:68', '1:70']","['B. Güler', 'R. Blumbergs', 'J. Floyd', 'Y. Franke', 'U. Utomi']",2,GALATASARAY MCT TECHNIC,"[38, 102, 103, 107, 108]",38|102|103|107|108,Unknownx5,"['2:38', '2:102', '2:103', '2:107', '2:108']","['A. Tuncer', 'E. Mc Collum', 'J. Palmer Jr', 'R. Meeks', 'C. Bishop']",0,0,0,0,,,0,0,0,0,,,24,24,24,24
183.1,202.0,2,08:13:00,2,07:09:00,1,ALIAGA PETKIM SPOR,"[45, 65, 66, 67, 68]",45|65|66|67|68,Unknownx5,"['1:45', '1:65', '1:66', '1:67', '1:68']","['B. Güler', 'R. Blumbergs', 'J. Floyd', 'D. Efianayi Jr', 'Y. Franke']",2,GALATASARAY MCT TECHNIC,"[38, 102, 103, 107, 108]",38|102|103|107|108,Unknownx5,"['2:38', '2:102', '2:103', '2:107', '2:108']","['A. Tuncer', 'E. Mc Collum', 'J. Palmer Jr', 'R. Meeks', 'C. Bishop']",2,3,0,3,150.0,0.0,1,0,3,-3,0.0,150.0,24,24,27,26
