team_no,team_name,team_code,player_no,name,shirtNumber,position_raw,position_group,pair_token
1,ALIAGA PETKIM SPOR,PTK,45,B. Güler,2,,,1:45
1,ALIAGA PETKIM SPOR,PTK,67,D. Efianayi Jr,4,,,1:67
1,ALIAGA PETKIM SPOR,PTK,66,J. Floyd,20,,,1:66
1,ALIAGA PETKIM SPOR,PTK,46,K. Soyuçayli,1,,,1:46
1,ALIAGA PETKIM SPOR,PTK,43,M. Kurtuldum,7,,,1:43
1,ALIAGA PETKIM SPOR,PTK,64,M. Sajus,19,,,1:64
1,ALIAGA PETKIM SPOR,PTK,65,R. Blumbergs,6,,,1:65
1,ALIAGA PETKIM SPOR,PTK,44,T. Sav,15,,,1:44
1,ALIAGA PETKIM SPOR,PTK,70,U. Utomi,8,,,1:70
1,ALIAGA PETKIM SPOR,PTK,68,Y. Franke,5,,,1:68
1,ALIAGA PETKIM SPOR,PTK,61,Y. Kaba,12,,,1:61
1,ALIAGA PETKIM SPOR,PTK,42,Y. Sonsirma,9,,,1:42
2,GALATASARAY MCT TECHNIC,GSM,38,A. Tuncer,19,,,2:38
2,GALATASARAY MCT TECHNIC,GSM,108,C. Bishop,13,,,2:108
2,GALATASARAY MCT TECHNIC,GSM,71,C. Korkmaz,8,,,2:71
2,GALATASARAY MCT TECHNIC,GSM,102,E. Mc Collum,3,,,2:102
2,GALATASARAY MCT TECHNIC,GSM,105,F. Gillespie Ii,33,,,2:105
2,GALATASARAY MCT TECHNIC,GSM,104,F. White Jr,35,,,2:104
2,GALATASARAY MCT TECHNIC,GSM,103,J. Palmer Jr,12,,,2:103
2,GALATASARAY MCT TECHNIC,GSM,99,M. Yasar,77,,,2:99
2,GALATASARAY MCT TECHNIC,GSM,107,R. Meeks,9,,,2:107
2,GALATASARAY MCT TECHNIC,GSM,70,R. Öncel,10,,,2:70
2,GALATASARAY MCT TECHNIC,GSM,101,T. Görener,5,,,2:101
2,GALATASARAY MCT TECHNIC,GSM,109,W. Cummings,7,,,2:109
