team_no,team_name,start_action,end_action,players_on_court,lineup_size,lineup_uid,players_on_court_tokens,players_on_court_names,lineup_uid_pair,lineup_pos_mix,start_period,start_clock,end_period,end_clock,score_start_for,score_start_against,score_end_for,score_end_against
1,KARŞIYAKA,527.1,562.0,"[78, 86, 87, 88, 89]",5,78|86|87|88|89,"['1:78', '1:86', '1:87', '1:88', '1:89']","['S. Geyik', 'C. Chiozza', 'J. Alston', 'M. Moore', 'C. Manning Jr']",1:78|1:86|1:87|1:88|1:89,Unknownx5,4,10:00:00,4,08:47:00,52,68,54,69
1,KARŞIYAKA,562.1,604.0,"[80, 87, 88, 89, 95]",5,80|87|88|89|95,"['1:80', '1:87', '1:88', '1:89', '1:95']","['A. Güven', 'J. Alston', 'M. Moore', 'C. Manning Jr', 'N. Gordic']",1:80|1:87|1:88|1:89|1:95,Unknownx5,4,08:47:00,4,06:01:00,54,69,56,77
1,KARŞIYAKA,604.1,644.0,"[78, 87, 89, 93, 95]",5,78|87|89|93|95,"['1:78', '1:87', '1:89', '1:93', '1:95']","['S. Geyik', 'J. Alston', 'C. Manning Jr', 'C. Young', 'N. Gordic']",1:78|1:87|1:89|1:93|1:95,Unknownx5,4,06:01:00,4,04:38:00,56,77,62,79
1,KARŞIYAKA,644.1,656.0,"[80, 87, 89, 93, 95]",5,80|87|89|93|95,"['1:80', '1:87', '1:89', '1:93', '1:95']","['A. Güven', 'J. Alston', 'C. Manning Jr', 'C. Young', 'N. Gordic']",1:80|1:87|1:89|1:93|1:95,Unknownx5,4,04:38:00,4,04:18:00,62,79,62,80
1,KARŞIYAKA,656.1,684.0,"[79, 80, 89, 93, 95]",5,79|80|89|93|95,"['1:79', '1:80', '1:89', '1:93', '1:95']","['M. Celep', 'A. Güven', 'C. Manning Jr', 'C. Young', 'N. Gordic']",1:79|1:80|1:89|1:93|1:95,Unknownx5,4,04:18:00,4,03:31:00,62,80,65,80
1,KARŞIYAKA,684.1,697.0,"[79, 83, 89, 93, 95]",5,79|83|89|93|95,"['1:79', '1:83', '1:89', '1:93', '1:95']","['M. Celep', 'E. Yapici', 'C. Manning Jr', 'C. Young', 'N. Gordic']",1:79|1:83|1:89|1:93|1:95,Unknownx5,4,03:31:00,4,02:43:00,65,80,65,82
1,KARŞIYAKA,697.1,739.0,"[79, 82, 83, 89, 95]",5,79|82|83|89|95,"['1:79', '1:82', '1:83', '1:89', '1:95']","['M. Celep', 'E. Özçelik', 'E. Yapici', 'C. Manning Jr', 'N. Gordic']",1:79|1:82|1:83|1:89|1:95,Unknownx5,4,02:43:00,4,00:00:00,65,82,69,85
2,TRABZONSPOR,1.0,50.0,"[3, 9, 11, 12, 42]",5,3|9|11|12|42,"['2:3', '2:9', '2:11', '2:12', '2:42']","['B. Demir', 'A. Delgado Astacio', 'M. Reed', 'A. Yeboah', 'T. Taylor']",2:3|2:9|2:11|2:12|2:42,Unknownx5,1,10:00:00,1,06:30:00,0,0,11,4
2,TRABZONSPOR,50.1,82.0,"[3, 4, 9, 11, 12]",5,3|4|9|11|12,"['2:3', '2:4', '2:9', '2:11', '2:12']","['B. Demir', 'I. Ulusoy', 'A. Delgado Astacio', 'M. Reed', 'A. Yeboah']",2:3|2:4|2:9|2:11|2:12,Unknownx5,1,06:30:00,1,03:33:00,11,4,19,10
2,TRABZONSPOR,82.1,111.0,"[4, 9, 10, 11, 12]",5,4|9|10|11|12,"['2:4', '2:9', '2:10', '2:11', '2:12']","['I. Ulusoy', 'A. Delgado Astacio', 'T. Tinkle', 'M. Reed', 'A. Yeboah']",2:4|2:9|2:10|2:11|2:12,Unknownx5,1,03:33:00,1,02:09:00,19,10,21,12
