team_no,team_name,team_code,player_no,name,shirtNumber,position_raw,position_group,pair_token
1,GALATASARAY MCT TECHNIC,GSM,38,A. Tuncer,19,,,1:38
1,GALATASARAY MCT TECHNIC,GSM,39,C. Dalgali,16,,,1:39
1,GALATASARAY MCT TECHNIC,GSM,71,C. Korkmaz,8,,,1:71
1,GALATASARAY MCT TECHNIC,GSM,105,F. Gillespie Ii,33,,,1:105
1,GALATASARAY MCT TECHNIC,GSM,104,F. White Jr,35,,,1:104
1,GALATASARAY MCT TECHNIC,GSM,103,J. Palmer Jr,12,,,1:103
1,GALATASARAY MCT TECHNIC,GSM,106,J. Robinson Jr,1,,,1:106
1,GALATASARAY MCT TECHNIC,GSM,99,M. Yasar,77,,,1:99
1,GALATASARAY MCT TECHNIC,GSM,107,R. Meeks,9,,,1:107
1,GALATASARAY MCT TECHNIC,GSM,109,W. Cummings,7,,,1:109
1,GALATASARAY MCT TECHNIC,GSM,42,Y. Alisan,6,,,1:42
1,GALATASARAY MCT TECHNIC,GSM,72,Z. Tekin,4,,,1:72
2,KARSIYAKA,KSK,80,A. Güven,15,,,2:80
2,KARSIYAKA,KSK,86,C. Chiozza,11,,,2:86
2,KARSIYAKA,KSK,89,C. Manning Jr,21,,,2:89
2,KARSIYAKA,KSK,93,C. Young,1,,,2:93
2,KARSIYAKA,KSK,82,E. Özçelik,24,,,2:82
2,KARSIYAKA,KSK,87,J. Alston,32,,,2:87
2,KARSIYAKA,KSK,79,M. Celep,35,,,2:79
2,KARSIYAKA,KSK,88,M. Moore,2,,,2:88
2,KARSIYAKA,KSK,96,M. Naumoski,7,,,2:96
2,KARSIYAKA,KSK,95,N. Gordic,8,,,2:95
2,KARSIYAKA,KSK,85,R. Tarrant Jr,22,,,2:85
2,KARSIYAKA,KSK,78,S. Geyik,4,,,2:78
