team_no,team_name,start_action,end_action,players_on_court,lineup_size,lineup_uid,players_on_court_tokens,players_on_court_names,lineup_uid_pair,lineup_pos_mix,start_period,start_clock,end_period,end_clock,score_start_for,score_start_against,score_end_for,score_end_against
1,YUKATEL MERKEZEFENDI BELEDIYESI BASKET,1.0,150.0,"[5, 9, 11, 13, 21]",5,5|9|11|13|21,"['1:5', '1:9', '1:11', '1:13', '1:21']","['M. Agva', 'R. Badzim', 'S. Griffin', 'J. Hawkins', 'K. Smith Jr']",1:5|1:9|1:11|1:13|1:21,Unknownx5,1,10:00:00,1,02:52:00,0,0,13,11
1,YUKATEL MERKEZEFENDI BELEDIYESI BASKET,150.1,162.0,"[3, 10, 11, 13, 21]",5,3|10|11|13|21,"['1:3', '1:10', '1:11', '1:13', '1:21']","['E. Tanisan', 'J. Roberts', 'S. Griffin', 'J. Hawkins', 'K. Smith Jr']",1:3|1:10|1:11|1:13|1:21,Unknownx5,1,02:52:00,1,02:16:00,13,11,13,11
1,YUKATEL MERKEZEFENDI BELEDIYESI BASKET,162.1,180.0,"[3, 10, 11, 12, 13]",5,3|10|11|12|13,"['1:3', '1:10', '1:11', '1:12', '1:13']","['E. Tanisan', 'J. Roberts', 'S. Griffin', 'M. Cazalon', 'J. Hawkins']",1:3|1:10|1:11|1:12|1:13,Unknownx5,1,02:16:00,1,01:12:00,13,11,13,16
1,YUKATEL MERKEZEFENDI BELEDIYESI BASKET,180.1,202.0,"[3, 7, 10, 12, 13]",5,3|7|10|12|13,"['1:3', '1:7', '1:10', '1:12', '1:13']","['E. Tanisan', 'Ö. Ilyasoglu', 'J. Roberts', 'M. Cazalon', 'J. Hawkins']",1:3|1:7|1:10|1:12|1:13,Unknownx5,1,01:12:00,1,00:05:20,13,16,19,18
1,YUKATEL MERKEZEFENDI BELEDIYESI BASKET,202.1,220.0,"[3, 7, 11, 12, 21]",5,3|7|11|12|21,"['1:3', '1:7', '1:11', '1:12', '1:21']","['E. Tanisan', 'Ö. Ilyasoglu', 'S. Griffin', 'M. Cazalon', 'K. Smith Jr']",1:3|1:7|1:11|1:12|1:21,Unknownx5,1,00:05:20,2,10:00:00,19,18,19,18
1,YUKATEL MERKEZEFENDI BELEDIYESI BASKET,220.1,251.0,"[3, 7, 9, 10, 12]",5,3|7|9|10|12,"['1:3', '1:7', '1:9', '1:10', '1:12']","['E. Tanisan', 'Ö. Ilyasoglu', 'R. Badzim', 'J. Roberts', 'M. Cazalon']",1:3|1:7|1:9|1:10|1:12,Unknownx5,2,10:00:00,2,08:13:00,19,18,22,20
1,YUKATEL MERKEZEFENDI BELEDIYESI BASKET,251.1,295.0,"[7, 9, 10, 12, 13]",5,7|9|10|12|13,"['1:7', '1:9', '1:10', '1:12', '1:13']","['Ö. Ilyasoglu', 'R. Badzim', 'J. Roberts', 'M. Cazalon', 'J. Hawkins']",1:7|1:9|1:10|1:12|1:13,Unknownx5,2,08:13:00,2,05:46:00,22,20,24,23
1,YUKATEL MERKEZEFENDI BELEDIYESI BASKET,295.1,395.0,"[5, 11, 12, 13, 21]",5,5|11|12|13|21,"['1:5', '1:11', '1:12', '1:13', '1:21']","['M. Agva', 'S. Griffin', 'M. Cazalon', 'J. Hawkins', 'K. Smith Jr']",1:5|1:11|1:12|1:13|1:21,Unknownx5,2,05:46:00,2,01:24:00,24,23,34,30
1,YUKATEL MERKEZEFENDI BELEDIYESI BASKET,395.1,422.0,"[3, 5, 11, 12, 21]",5,3|5|11|12|21,"['1:3', '1:5', '1:11', '1:12', '1:21']","['E. Tanisan', 'M. Agva', 'S. Griffin', 'M. Cazalon', 'K. Smith Jr']",1:3|1:5|1:11|1:12|1:21,Unknownx5,2,01:24:00,2,00:22:00,34,30,40,33
1,YUKATEL MERKEZEFENDI BELEDIYESI BASKET,422.1,429.0,"[3, 10, 11, 12, 21]",5,3|10|11|12|21,"['1:3', '1:10', '1:11', '1:12', '1:21']","['E. Tanisan', 'J. Roberts', 'S. Griffin', 'M. Cazalon', 'K. Smith Jr']",1:3|1:10|1:11|1:12|1:21,Unknownx5,2,00:22:00,2,00:04:60,40,33,40,35
1,YUKATEL MERKEZEFENDI BELEDIYESI BASKET,429.1,443.0,"[3, 9, 11, 12, 21]",5,3|9|11|12|21,"['1:3', '1:9', '1:11', '1:12', '1:21']","['E. Tanisan', 'R. Badzim', 'S. Griffin', 'M. Cazalon', 'K. Smith Jr']",1:3|1:9|1:11|1:12|1:21,Unknownx5,2,00:04:60,3,10:00:00,40,35,42,35
1,YUKATEL MERKEZEFENDI BELEDIYESI BASKET,443.1,562.0,"[5, 11, 12, 13, 21]",5,5|11|12|13|21,"['1:5', '1:11', '1:12', '1:13', '1:21']","['M. Agva', 'S. Griffin', 'M. Cazalon', 'J. Hawkins', 'K. Smith Jr']",1:5|1:11|1:12|1:13|1:21,Unknownx5,3,10:00:00,3,05:07:00,42,35,50,40
1,YUKATEL MERKEZEFENDI BELEDIYESI BASKET,562.1,571.0,"[7, 10, 11, 12, 13]",5,7|10|11|12|13,"['1:7', '1:10', '1:11', '1:12', '1:13']","['Ö. Ilyasoglu', 'J. Roberts', 'S. Griffin', 'M. Cazalon', 'J. Hawkins']",1:7|1:10|1:11|1:12|1:13,Unknownx5,3,05:07:00,3,04:40:00,50,40,50,40
1,YUKATEL MERKEZEFENDI BELEDIYESI BASKET,571.1,604.0,"[7, 9, 10, 11, 13]",5,7|9|10|11|13,"['1:7', '1:9', '1:10', '1:11', '1:13']","['Ö. Ilyasoglu', 'R. Badzim', 'J. Roberts', 'S. Griffin', 'J. Hawkins']",1:7|1:9|1:10|1:11|1:13,Unknownx5,3,04:40:00,3,02:43:00,50,40,50,44
1,YUKATEL MERKEZEFENDI BELEDIYESI BASKET,604.1,627.0,"[3, 7, 9, 10, 11]",5,3|7|9|10|11,"['1:3', '1:7', '1:9', '1:10', '1:11']","['E. Tanisan', 'Ö. Ilyasoglu', 'R. Badzim', 'J. Roberts', 'S. Griffin']",1:3|1:7|1:9|1:10|1:11,Unknownx5,3,02:43:00,3,01:13:00,50,44,50,46
1,YUKATEL MERKEZEFENDI BELEDIYESI BASKET,627.1,651.0,"[3, 5, 7, 9, 21]",5,3|5|7|9|21,"['1:3', '1:5', '1:7', '1:9', '1:21']","['E. Tanisan', 'M. Agva', 'Ö. Ilyasoglu', 'R. Badzim', 'K. Smith Jr']",1:3|1:5|1:7|1:9|1:21,Unknownx5,3,01:13:00,4,10:00:00,50,46,52,49
1,YUKATEL MERKEZEFENDI BELEDIYESI BASKET,651.1,836.0,"[5, 11, 12, 13, 21]",5,5|11|12|13|21,"['1:5', '1:11', '1:12', '1:13', '1:21']","['M. Agva', 'S. Griffin', 'M. Cazalon', 'J. Hawkins', 'K. Smith Jr']",1:5|1:11|1:12|1:13|1:21,Unknownx5,4,10:00:00,4,01:03:00,52,49,73,63
1,YUKATEL MERKEZEFENDI BELEDIYESI BASKET,836.1,873.0,"[5, 7, 11, 12, 21]",5,5|7|11|12|21,"['1:5', '1:7', '1:11', '1:12', '1:21']","['M. Agva', 'Ö. Ilyasoglu', 'S. Griffin', 'M. Cazalon', 'K. Smith Jr']",1:5|1:7|1:11|1:12|1:21,Unknownx5,4,01:03:00,4,00:28:90,73,63,75,65
1,YUKATEL MERKEZEFENDI BELEDIYESI BASKET,873.1,884.0,"[4, 5, 7, 11, 12]",5,4|5|7|11|12,"['1:4', '1:5', '1:7', '1:11', '1:12']","['E. Paltaci', 'M. Agva', 'Ö. Ilyasoglu', 'S. Griffin', 'M. Cazalon']",1:4|1:5|1:7|1:11|1:12,Unknownx5,4,00:28:90,4,00:00:00,75,65,75,65
2,BURSASPOR BASKETBOL,1.0,61.0,"[102, 127, 133, 134, 135]",5,102|127|133|134|135,"['2:102', '2:127', '2:133', '2:134', '2:135']","['B. Akin', 'L. Nnoko', 'B. Childress', 'V. King', 'A. Konontsuk']",2:102|2:127|2:133|2:134|2:135,Unknownx5,1,10:00:00,1,07:23:00,0,0,3,4
2,BURSASPOR BASKETBOL,61.1,125.0,"[102, 133, 134, 135, 136]",5,102|133|134|135|136,"['2:102', '2:133', '2:134', '2:135', '2:136']","['B. Akin', 'B. Childress', 'V. King', 'A. Konontsuk', 'J. Delaurier']",2:102|2:133|2:134|2:135|2:136,Unknownx5,1,07:23:00,1,04:25:00,3,4,11,11
2,BURSASPOR BASKETBOL,125.1,182.0,"[101, 129, 133, 134, 136]",5,101|129|133|134|136,"['2:101', '2:129', '2:133', '2:134', '2:136']","['H. Köksal', 'B. Crawford', 'B. Childress', 'V. King', 'J. Delaurier']",2:101|2:129|2:133|2:134|2:136,Unknownx5,1,04:25:00,1,01:12:00,11,11,16,13
2,BURSASPOR BASKETBOL,182.1,224.0,"[4, 101, 102, 129, 134]",5,4|101|102|129|134,"['2:4', '2:101', '2:102', '2:129', '2:134']","['Y. Onar', 'H. Köksal', 'B. Akin', 'B. Crawford', 'V. King']",2:4|2:101|2:102|2:129|2:134,Unknownx5,1,01:12:00,2,10:00:00,16,13,18,19
2,BURSASPOR BASKETBOL,224.1,299.0,"[4, 101, 129, 133, 135]",5,4|101|129|133|135,"['2:4', '2:101', '2:129', '2:133', '2:135']","['Y. Onar', 'H. Köksal', 'B. Crawford', 'B. Childress', 'A. Konontsuk']",2:4|2:101|2:129|2:133|2:135,Unknownx5,2,10:00:00,2,05:46:00,18,19,23,24
