team_no,team_name,team_code,player_no,name,shirtNumber,position_raw,position_group,pair_token
1,YUKATEL MERKEZEFENDI BELEDIYESI BASKET,YMB,2,A. Engin,22,,,1:2
1,YUKATEL MERKEZEFENDI BELEDIYESI BASKET,YMB,4,E. Paltaci,77,,,1:4
1,YUKATEL MERKEZEFENDI BELEDIYESI BASKET,YMB,3,E. Tanisan,0,,,1:3
1,YUKATEL MERKEZEFENDI BELEDIYESI BASKET,YMB,8,H. Vanwijn,10,,,1:8
1,YUKATEL MERKEZEFENDI BELEDIYESI BASKET,YMB,13,J. Hawkins,31,,,1:13
1,YUKATEL MERKEZEFENDI BELEDIYESI BASKET,YMB,10,J. Roberts,23,,,1:10
1,YUKATEL MERKEZEFENDI BELEDIYESI BASKET,YMB,21,K. Smith Jr,4,,,1:21
1,YUKATEL MERKEZEFENDI BELEDIYESI BASKET,YMB,5,M. Agva,46,,,1:5
1,YUKATEL MERKEZEFENDI BELEDIYESI BASKET,YMB,12,M. Cazalon,21,,,1:12
1,YUKATEL MERKEZEFENDI BELEDIYESI BASKET,YMB,9,R. Badzim,18,,,1:9
1,YUKATEL MERKEZEFENDI BELEDIYESI BASKET,YMB,11,S. Griffin,1,,,1:11
1,YUKATEL MERKEZEFENDI BELEDIYESI BASKET,YMB,7,Ö. Ilyasoglu,13,,,1:7
2,BURSASPOR BASKETBOL,BAR,135,A. Konontsuk,34,,,2:135
2,BURSASPOR BASKETBOL,BAR,102,B. Akin,11,,,2:102
2,BURSASPOR BASKETBOL,BAR,133,B. Childress,0,,,2:133
2,BURSASPOR BASKETBOL,BAR,129,B. Crawford,13,,,2:129
2,BURSASPOR BASKETBOL,BAR,126,B. Satir,10,,,2:126
2,BURSASPOR BASKETBOL,BAR,101,H. Köksal,7,,,2:101
2,BURSASPOR BASKETBOL,BAR,136,J. Delaurier,12,,,2:136
2,BURSASPOR BASKETBOL,BAR,127,L. Nnoko,35,,,2:127
2,BURSASPOR BASKETBOL,BAR,104,M. Paçaci,16,,,2:104
2,BURSASPOR BASKETBOL,BAR,3,T. Akdamar,3,,,2:3
2,BURSASPOR BASKETBOL,BAR,134,V. King,22,,,2:134
2,BURSASPOR BASKETBOL,BAR,4,Y. Onar,14,,,2:4
