team_no,team_name,start_action,end_action,players_on_court,lineup_size,lineup_uid,players_on_court_tokens,players_on_court_names,lineup_uid_pair,lineup_pos_mix,start_period,start_clock,end_period,end_clock,score_start_for,score_start_against,score_end_for,score_end_against
1,BESIKTAS GAIN,1.0,85.0,"[62, 68, 70, 71, 74]",5,62|68|70|71|74,"['1:62', '1:68', '1:70', '1:71', '1:74']","['A. Zizic', 'V. Brown', 'J. Mathews', 'D. Dotson', 'Y. Arslan']",1:62|1:68|1:70|1:71|1:74,Unknownx5,1,10:00:00,1,05:06:00,0,0,6,6
1,BESIKTAS GAIN,85.1,117.0,"[67, 68, 70, 72, 75]",5,67|68|70|72|75,"['1:67', '1:68', '1:70', '1:72', '1:75']","['A. Brown', 'V. Brown', 'J. Mathews', 'I. Kamagate', 'B. Ugurlu']",1:67|1:68|1:70|1:72|1:75,Unknownx5,1,05:06:00,1,03:31:00,6,6,8,10
1,BESIKTAS GAIN,117.1,161.0,"[66, 67, 72, 75, 76]",5,66|67|72|75|76,"['1:66', '1:67', '1:72', '1:75', '1:76']","['B. Lemar', 'A. Brown', 'I. Kamagate', 'B. Ugurlu', 'C. Kus']",1:66|1:67|1:72|1:75|1:76,Unknownx5,1,03:31:00,1,02:04:00,8,10,13,13
1,BESIKTAS GAIN,161.1,193.0,"[66, 67, 71, 72, 76]",5,66|67|71|72|76,"['1:66', '1:67', '1:71', '1:72', '1:76']","['B. Lemar', 'A. Brown', 'D. Dotson', 'I. Kamagate', 'C. Kus']",1:66|1:67|1:71|1:72|1:76,Unknownx5,1,02:04:00,2,10:00:00,13,13,18,21
1,BESIKTAS GAIN,193.1,222.0,"[62, 67, 70, 71, 76]",5,62|67|70|71|76,"['1:62', '1:67', '1:70', '1:71', '1:76']","['A. Zizic', 'A. Brown', 'J. Mathews', 'D. Dotson', 'C. Kus']",1:62|1:67|1:70|1:71|1:76,Unknownx5,2,10:00:00,2,08:47:00,18,21,22,21
1,BESIKTAS GAIN,222.1,282.0,"[62, 68, 70, 71, 74]",5,62|68|70|71|74,"['1:62', '1:68', '1:70', '1:71', '1:74']","['A. Zizic', 'V. Brown', 'J. Mathews', 'D. Dotson', 'Y. Arslan']",1:62|1:68|1:70|1:71|1:74,Unknownx5,2,08:47:00,2,05:07:00,22,21,27,32
1,BESIKTAS GAIN,282.1,339.0,"[62, 66, 67, 68, 75]",5,62|66|67|68|75,"['1:62', '1:66', '1:67', '1:68', '1:75']","['A. Zizic', 'B. Lemar', 'A. Brown', 'V. Brown', 'B. Ugurlu']",1:62|1:66|1:67|1:68|1:75,Unknownx5,2,05:07:00,2,01:43:00,27,32,39,32
1,BESIKTAS GAIN,339.1,384.0,"[67, 68, 70, 72, 75]",5,67|68|70|72|75,"['1:67', '1:68', '1:70', '1:72', '1:75']","['A. Brown', 'V. Brown', 'J. Mathews', 'I. Kamagate', 'B. Ugurlu']",1:67|1:68|1:70|1:72|1:75,Unknownx5,2,01:43:00,3,10:00:00,39,32,42,33
1,BESIKTAS GAIN,384.1,448.0,"[62, 68, 70, 71, 74]",5,62|68|70|71|74,"['1:62', '1:68', '1:70', '1:71', '1:74']","['A. Zizic', 'V. Brown', 'J. Mathews', 'D. Dotson', 'Y. Arslan']",1:62|1:68|1:70|1:71|1:74,Unknownx5,3,10:00:00,3,06:31:00,42,33,46,41
1,BESIKTAS GAIN,448.1,462.0,"[62, 66, 68, 74, 75]",5,62|66|68|74|75,"['1:62', '1:66', '1:68', '1:74', '1:75']","['A. Zizic', 'B. Lemar', 'V. Brown', 'Y. Arslan', 'B. Ugurlu']",1:62|1:66|1:68|1:74|1:75,Unknownx5,3,06:31:00,3,05:43:00,46,41,49,41
1,BESIKTAS GAIN,462.1,493.0,"[62, 66, 67, 68, 75]",5,62|66|67|68|75,"['1:62', '1:66', '1:67', '1:68', '1:75']","['A. Zizic', 'B. Lemar', 'A. Brown', 'V. Brown', 'B. Ugurlu']",1:62|1:66|1:67|1:68|1:75,Unknownx5,3,05:43:00,3,04:46:00,49,41,51,49
1,BESIKTAS GAIN,493.1,506.0,"[66, 67, 68, 72, 75]",5,66|67|68|72|75,"['1:66', '1:67', '1:68', '1:72', '1:75']","['B. Lemar', 'A. Brown', 'V. Brown', 'I. Kamagate', 'B. Ugurlu']",1:66|1:67|1:68|1:72|1:75,Unknownx5,3,04:46:00,3,04:28:00,51,49,51,51
1,BESIKTAS GAIN,506.1,537.0,"[66, 67, 72, 75, 76]",5,66|67|72|75|76,"['1:66', '1:67', '1:72', '1:75', '1:76']","['B. Lemar', 'A. Brown', 'I. Kamagate', 'B. Ugurlu', 'C. Kus']",1:66|1:67|1:72|1:75|1:76,Unknownx5,3,04:28:00,3,01:38:00,51,51,58,55
1,BESIKTAS GAIN,537.1,553.0,"[70, 72, 74, 75, 76]",5,70|72|74|75|76,"['1:70', '1:72', '1:74', '1:75', '1:76']","['J. Mathews', 'I. Kamagate', 'Y. Arslan', 'B. Ugurlu', 'C. Kus']",1:70|1:72|1:74|1:75|1:76,Unknownx5,3,01:38:00,3,00:55:40,58,55,58,55
1,BESIKTAS GAIN,553.1,564.0,"[68, 70, 72, 74, 75]",5,68|70|72|74|75,"['1:68', '1:70', '1:72', '1:74', '1:75']","['V. Brown', 'J. Mathews', 'I. Kamagate', 'Y. Arslan', 'B. Ugurlu']",1:68|1:70|1:72|1:74|1:75,Unknownx5,3,00:55:40,4,10:00:00,58,55,61,55
1,BESIKTAS GAIN,564.1,660.0,"[62, 68, 70, 71, 74]",5,62|68|70|71|74,"['1:62', '1:68', '1:70', '1:71', '1:74']","['A. Zizic', 'V. Brown', 'J. Mathews', 'D. Dotson', 'Y. Arslan']",1:62|1:68|1:70|1:71|1:74,Unknownx5,4,10:00:00,4,05:06:00,61,55,75,69
1,BESIKTAS GAIN,660.1,679.0,"[62, 68, 70, 74, 75]",5,62|68|70|74|75,"['1:62', '1:68', '1:70', '1:74', '1:75']","['A. Zizic', 'V. Brown', 'J. Mathews', 'Y. Arslan', 'B. Ugurlu']",1:62|1:68|1:70|1:74|1:75,Unknownx5,4,05:06:00,4,03:53:00,75,69,75,69
