gt,clock,s1,s2,lead,tno,period,periodType,pno,player,success,actionType,actionNumber,previousAction,qualifier,subType,scoring,shirtNumber,firstName,familyName,internationalFirstName,internationalFamilyName,firstNameInitial,familyNameInitial,internationalFirstNameInitial,internationalFamilyNameInitial,scoreboardName,team_name,team_code,player_name_from_roster,player_shirt,player_pos_raw,player_pos_group,x,y,r,ev_code,ev_result,ev_text,assist_pno,assist_tno,assist_player,block_pno,block_tno,block_player,assist_pos_group,block_pos_group,points,possession_id,possession_owner_tno,possession_end_reason,pts_1,cum_1,pts_2,cum_2
10:00,10:00:00,0,0,0,0,1,REGULAR,0,,1,game,1,,[],start,0,,,,,,,,,,,,,,,,,,,,OTHER,,game start,,,,,,,,,0,0,,,0,0,0,0
10:00,10:00:00,0,0,0,0,1,REGULAR,0,,1,period,2,,[],start,0,,,,,,,,,,,,,,,,,,,,OTHER,,period start,,,,,,,,,0,0,,,0,0,0,0
10:00,10:00:00,0,0,0,0,1,REGULAR,0,,1,jumpball,4,,[],startperiod,0,,,,,,,,,,,,,,,,,,,,JUMP,,jump ball,,,,,,,,,0,0,,,0,0,0,0
09:57,09:57:00,0,0,0,2,1,REGULAR,78,K. BANKSTON,1,jumpball,5,4,[],won,0,30,Kristeon Lamar,Bankston,Kristeon Lamar,Bankston,K,B,K,B,K. Bankston,TÜRK TELEKOM,TTK,K. Bankston,30,,,,,,JUMP,,jump ball,,,,,,,,,0,0,,,0,0,0,0
09:57,09:57:00,0,0,0,1,1,REGULAR,62,A. ZIZIC,1,jumpball,6,4,[],lost,0,41,Ante Toni,Zizic,Ante Toni,Zizic,A,Z,A,Z,A. Zizic,BESIKTAS GAIN,BJK,A. Zizic,41,,,,,,JUMP,,jump ball,,,,,,,,,0,0,,,0,0,0,0
09:46,09:46:00,0,0,0,1,1,REGULAR,71,D. DOTSON,1,foul,8,,[],personal,0,1,Devon Durrell,Dotson,Devon Durrell,Dotson,D,D,D,D,D. Dotson,BESIKTAS GAIN,BJK,D. Dotson,1,,,,,,FOUL,,BESIKTAS GAIN D. DOTSON foul personal,,,,,,,,,0,0,,,0,0,0,0
09:46,09:46:00,0,0,0,2,1,REGULAR,5,D. ÖZDEMIROGLU,1,foulon,9,8,[],,0,18,Dogus,Özdemiroglu,Dogus,Özdemiroglu,D,Ö,D,Ö,D. Özdemiroglu,TÜRK TELEKOM,TTK,D. Özdemiroglu,18,,,,,,OTHER,,TÜRK TELEKOM foulon,,,,,,,,,0,0,,,0,0,0,0
09:32,09:32:00,0,2,-2,2,1,REGULAR,78,K. BANKSTON,1,2pt,11,,['pointsinthepaint'],layup,1,30,Kristeon Lamar,Bankston,Kristeon Lamar,Bankston,K,B,K,B,K. Bankston,TÜRK TELEKOM,TTK,K. Bankston,30,,,6.710000038147,49.150001525879,1.0,P2,made,TÜRK TELEKOM K. BANKSTON 2Pt made,77.0,2.0,J. SMITH,,,,,,2,1,2.0,score,0,0,2,2
09:32,09:32:00,0,2,-2,2,1,REGULAR,77,J. SMITH,1,assist,12,11,[],,0,9,Jaleen Devon,Smith,Jaleen Devon,Smith,J,S,J,S,J. Smith,TÜRK TELEKOM,TTK,J. Smith,9,,,,,,ASS,,TÜRK TELEKOM J. SMITH assist,,,,,,,,,0,2,1.0,,0,0,0,2
09:08,09:08:00,2,2,0,1,1,REGULAR,68,V. BROWN,1,2pt,13,,['pointsinthepaint'],layup,1,33,Vittorio,Brown,Vittorio,Brown,V,B,V,B,V. Brown,BESIKTAS GAIN,BJK,V. Brown,33,,,95.01000213623,45.200000762939,1.0,P2,made,BESIKTAS GAIN V. BROWN 2Pt made,71.0,1.0,D. DOTSON,,,,,,2,2,1.0,score,2,2,0,2
09:08,09:08:00,2,2,0,1,1,REGULAR,71,D. DOTSON,1,assist,14,13,[],,0,1,Devon Durrell,Dotson,Devon Durrell,Dotson,D,D,D,D,D. Dotson,BESIKTAS GAIN,BJK,D. Dotson,1,,,,,,ASS,,BESIKTAS GAIN D. DOTSON assist,,,,,,,,,0,3,2.0,,0,2,0,2
08:51,08:51:00,2,2,0,2,1,REGULAR,77,J. SMITH,0,3pt,21,,[],jumpshot,1,9,Jaleen Devon,Smith,Jaleen Devon,Smith,J,S,J,S,J. Smith,TÜRK TELEKOM,TTK,J. Smith,9,,,25.590000152588,23.450000762939,0.0,P3,missed,TÜRK TELEKOM J. SMITH 3Pt missed,,,,,,,,,0,3,2.0,def_reb,0,2,0,2
08:49,08:49:00,2,2,0,1,1,REGULAR,62,A. ZIZIC,1,rebound,23,21,[],defensive,0,41,Ante Toni,Zizic,Ante Toni,Zizic,A,Z,A,Z,A. Zizic,BESIKTAS GAIN,BJK,A. Zizic,41,,,,,,REB,,BESIKTAS GAIN rebound defensive,,,,,,,,,0,4,1.0,def_reb,0,2,0,2
08:49,08:49:00,2,2,0,2,1,REGULAR,5,D. ÖZDEMIROGLU,1,foul,24,,[],personal,0,18,Dogus,Özdemiroglu,Dogus,Özdemiroglu,D,Ö,D,Ö,D. Özdemiroglu,TÜRK TELEKOM,TTK,D. Özdemiroglu,18,,,,,,FOUL,,TÜRK TELEKOM D. ÖZDEMIROGLU foul personal,,,,,,,,,0,5,2.0,,0,2,0,2
08:49,08:49:00,2,2,0,1,1,REGULAR,62,A. ZIZIC,1,foulon,25,24,[],,0,41,Ante Toni,Zizic,Ante Toni,Zizic,A,Z,A,Z,A. Zizic,BESIKTAS GAIN,BJK,A. Zizic,41,,,,,,OTHER,,BESIKTAS GAIN foulon,,,,,,,,,0,5,2.0,,0,2,0,2
08:35,08:35:00,2,2,0,1,1,REGULAR,71,D. DOTSON,0,3pt,27,,[],jumpshot,1,1,Devon Durrell,Dotson,Devon Durrell,Dotson,D,D,D,D,D. Dotson,BESIKTAS GAIN,BJK,D. Dotson,1,,,73.169998168945,22.60000038147,0.0,P3,missed,BESIKTAS GAIN D. DOTSON 3Pt missed,,,,,,,,,0,5,2.0,def_reb,0,2,0,2
