start_action,end_action,start_period,start_clock,end_period,end_clock,teamA_no,teamA_name,lineupA_players,lineupA_uid,lineupA_pos_mix,lineupA_tokens,lineupA_names,teamB_no,teamB_name,lineupB_players,lineupB_uid,lineupB_pos_mix,lineupB_tokens,lineupB_names,poss_A,pts_A_for,pts_A_against,net_A,ORtg_A,DRtg_A,poss_B,pts_B_for,pts_B_against,net_B,ORtg_B,DRtg_B,score_start_A,score_start_B,score_end_A,score_end_B
1.0,85.0,1,10:00:00,1,05:06:00,1,BESIKTAS GAIN,"[62, 68, 70, 71, 74]",62|68|70|71|74,Unknownx5,"['1:62', '1:68', '1:70', '1:71', '1:74']","['A. Zizic', 'V. Brown', 'J. Mathews', 'D. Dotson', 'Y. Arslan']",2,TÜRK TELEKOM,"[5, 7, 74, 77, 78]",5|7|74|77|78,Unknownx5,"['2:5', '2:7', '2:74', '2:77', '2:78']","['D. Özdemiroglu', 'B. Durmaz', 'J. Usher', 'J. Smith', 'K. Bankston']",13,4,8,-4,30.76923076923077,61.53846153846154,13,8,4,4,61.53846153846154,30.76923076923077,0,0,6,6
85.1,103.0,1,05:06:00,1,04:25:00,1,BESIKTAS GAIN,"[67, 68, 70, 72, 75]",67|68|70|72|75,Unknownx5,"['1:67', '1:68', '1:70', '1:72', '1:75']","['A. Brown', 'V. Brown', 'J. Mathews', 'I. Kamagate', 'B. Ugurlu']",2,TÜRK TELEKOM,"[5, 7, 74, 77, 78]",5|7|74|77|78,Unknownx5,"['2:5', '2:7', '2:74', '2:77', '2:78']","['D. Özdemiroglu', 'B. Durmaz', 'J. Usher', 'J. Smith', 'K. Bankston']",2,1,2,-1,50.0,100.0,2,2,1,1,100.0,50.0,6,6,6,10
103.1,117.0,1,04:25:00,1,03:31:00,1,BESIKTAS GAIN,"[67, 68, 70, 72, 75]",67|68|70|72|75,Unknownx5,"['1:67', '1:68', '1:70', '1:72', '1:75']","['A. Brown', 'V. Brown', 'J. Mathews', 'I. Kamagate', 'B. Ugurlu']",2,TÜRK TELEKOM,"[7, 74, 75, 76, 77]",7|74|75|76|77,Unknownx5,"['2:7', '2:74', '2:75', '2:76', '2:77']","['B. Durmaz', 'J. Usher', 'K. Allman', 'M. Simonovic', 'J. Smith']",1,0,0,0,0.0,0.0,2,0,0,0,0.0,0.0,6,10,8,10
117.1,121.0,1,03:31:00,1,03:31:00,1,BESIKTAS GAIN,"[66, 67, 72, 75, 76]",66|67|72|75|76,Unknownx5,"['1:66', '1:67', '1:72', '1:75', '1:76']","['B. Lemar', 'A. Brown', 'I. Kamagate', 'B. Ugurlu', 'C. Kus']",2,TÜRK TELEKOM,"[7, 74, 75, 76, 77]",7|74|75|76|77,Unknownx5,"['2:7', '2:74', '2:75', '2:76', '2:77']","['B. Durmaz', 'J. Usher', 'K. Allman', 'M. Simonovic', 'J. Smith']",0,0,0,0,,,0,0,0,0,,,8,10,8,10
121.1,148.0,1,03:31:00,1,02:56:00,1,BESIKTAS GAIN,"[66, 67, 72, 75, 76]",66|67|72|75|76,Unknownx5,"['1:66', '1:67', '1:72', '1:75', '1:76']","['B. Lemar', 'A. Brown', 'I. Kamagate', 'B. Ugurlu', 'C. Kus']",2,TÜRK TELEKOM,"[8, 75, 76, 77, 80]",8|75|76|77|80,Unknownx5,"['2:8', '2:75', '2:76', '2:77', '2:80']","['Y. Gültekin', 'K. Allman', 'M. Simonovic', 'J. Smith', 'M. Devoe']",4,3,2,1,75.0,50.0,4,2,3,-1,50.0,75.0,8,10,10,13
148.1,161.0,1,02:56:00,1,02:04:00,1,BESIKTAS GAIN,"[66, 67, 72, 75, 76]",66|67|72|75|76,Unknownx5,"['1:66', '1:67', '1:72', '1:75', '1:76']","['B. Lemar', 'A. Brown', 'I. Kamagate', 'B. Ugurlu', 'C. Kus']",2,TÜRK TELEKOM,"[3, 8, 75, 76, 80]",3|8|75|76|80,Unknownx5,"['2:3', '2:8', '2:75', '2:76', '2:80']","['A. Kahraman', 'Y. Gültekin', 'K. Allman', 'M. Simonovic', 'M. Devoe']",1,3,0,3,300.0,,0,0,3,-3,,300.0,10,13,13,13
161.1,193.0,1,02:04:00,2,10:00:00,1,BESIKTAS GAIN,"[66, 67, 71, 72, 76]",66|67|71|72|76,Unknownx5,"['1:66', '1:67', '1:71', '1:72', '1:76']","['B. Lemar', 'A. Brown', 'D. Dotson', 'I. Kamagate', 'C. Kus']",2,TÜRK TELEKOM,"[3, 8, 75, 76, 80]",3|8|75|76|80,Unknownx5,"['2:3', '2:8', '2:75', '2:76', '2:80']","['A. Kahraman', 'Y. Gültekin', 'K. Allman', 'M. Simonovic', 'M. Devoe']",7,6,6,0,85.71428571428571,85.71428571428571,7,6,6,0,85.71428571428571,85.71428571428571,13,13,18,21
193.1,197.0,2,10:00:00,2,10:00:00,1,BESIKTAS GAIN,"[62, 67, 70, 71, 76]",62|67|70|71|76,Unknownx5,"['1:62', '1:67', '1:70', '1:71', '1:76']","['A. Zizic', 'A. Brown', 'J. Mathews', 'D. Dotson', 'C. Kus']",2,TÜRK TELEKOM,"[3, 8, 75, 76, 80]",3|8|75|76|80,Unknownx5,"['2:3', '2:8', '2:75', '2:76', '2:80']","['A. Kahraman', 'Y. Gültekin', 'K. Allman', 'M. Simonovic', 'M. Devoe']",0,0,0,0,,,0,0,0,0,,,18,21,18,21
197.1,214.0,2,10:00:00,2,09:00:00,1,BESIKTAS GAIN,"[62, 67, 70, 71, 76]",62|67|70|71|76,Unknownx5,"['1:62', '1:67', '1:70', '1:71', '1:76']","['A. Zizic', 'A. Brown', 'J. Mathews', 'D. Dotson', 'C. Kus']",2,TÜRK TELEKOM,"[8, 74, 75, 78, 80]",8|74|75|78|80,Unknownx5,"['2:8', '2:74', '2:75', '2:78', '2:80']","['Y. Gültekin', 'J. Usher', 'K. Allman', 'K. Bankston', 'M. Devoe']",1,0,2,-2,0.0,100.0,2,2,0,2,100.0,0.0,18,21,22,21
214.1,222.0,2,09:00:00,2,08:47:00,1,BESIKTAS GAIN,"[62, 67, 70, 71, 76]",62|67|70|71|76,Unknownx5,"['1:62', '1:67', '1:70', '1:71', '1:76']","['A. Zizic', 'A. Brown', 'J. Mathews', 'D. Dotson', 'C. Kus']",2,TÜRK TELEKOM,"[5, 8, 74, 75, 78]",5|8|74|75|78,Unknownx5,"['2:5', '2:8', '2:74', '2:75', '2:78']","['D. Özdemiroglu', 'Y. Gültekin', 'J. Usher', 'K. Allman', 'K. Bankston']",0,0,0,0,,,0,0,0,0,,,22,21,22,21
222.1,238.0,2,08:47:00,2,08:08:00,1,BESIKTAS GAIN,"[62, 68, 70, 71, 74]",62|68|70|71|74,Unknownx5,"['1:62', '1:68', '1:70', '1:71', '1:74']","['A. Zizic', 'V. Brown', 'J. Mathews', 'D. Dotson', 'Y. Arslan']",2,TÜRK TELEKOM,"[5, 8, 74, 75, 78]",5|8|74|75|78,Unknownx5,"['2:5', '2:8', '2:74', '2:75', '2:78']","['D. Özdemiroglu', 'Y. Gültekin', 'J. Usher', 'K. Allman', 'K. Bankston']",2,0,2,-2,0.0,66.66666666666667,3,2,0,2,66.66666666666667,0.0,22,21,22,23
238.1,255.0,2,08:08:00,2,06:23:00,1,BESIKTAS GAIN,"[62, 68, 70, 71, 74]",62|68|70|71|74,Unknownx5,"['1:62', '1:68', '1:70', '1:71', '1:74']","['A. Zizic', 'V. Brown', 'J. Mathews', 'D. Dotson', 'Y. Arslan']",2,TÜRK TELEKOM,"[5, 8, 74, 75, 76]",5|8|74|75|76,Unknownx5,"['2:5', '2:8', '2:74', '2:75', '2:76']","['D. Özdemiroglu', 'Y. Gültekin', 'J. Usher', 'K. Allman', 'M. Simonovic']",5,2,4,-2,40.0,80.0,5,4,2,2,80.0,40.0,22,23,26,27
