team_no,team_name,start_action,end_action,players_on_court,lineup_uid,possessions,poss_for,poss_against,pts_for,pts_against,net,ORtg,DRtg,start_period,start_clock,end_period,end_clock,score_start_for,score_start_against,score_end_for,score_end_against,lineup_pos_mix,lineup_size,lineup_uid_st,lineup_uid_pair,players_on_court_st,players_on_court_tokens,players_on_court_names,team_name_st
1,BESIKTAS GAIN,1.0,85.0,"[62, 68, 70, 71, 74]",62|68|70|71|74,13,13,14,6,6,0,46.15384615384615,42.857142857142854,1,10:00:00,1,05:06:00,0,0,6,6,Unknownx5,5,62|68|70|71|74,1:62|1:68|1:70|1:71|1:74,"[62, 68, 70, 71, 74]","['1:62', '1:68', '1:70', '1:71', '1:74']","['A. Zizic', 'V. Brown', 'J. Mathews', 'D. Dotson', 'Y. Arslan']",BESIKTAS GAIN
1,BESIKTAS GAIN,85.1,117.0,"[67, 68, 70, 72, 75]",67|68|70|72|75,4,4,5,2,4,-2,50.0,80.0,1,05:06:00,1,03:31:00,6,6,8,10,Unknownx5,5,67|68|70|72|75,1:67|1:68|1:70|1:72|1:75,"[67, 68, 70, 72, 75]","['1:67', '1:68', '1:70', '1:72', '1:75']","['A. Brown', 'V. Brown', 'J. Mathews', 'I. Kamagate', 'B. Ugurlu']",BESIKTAS GAIN
1,BESIKTAS GAIN,117.1,161.0,"[66, 67, 72, 75, 76]",66|67|72|75|76,6,6,5,5,3,2,83.33333333333333,60.0,1,03:31:00,1,02:04:00,8,10,13,13,Unknownx5,5,66|67|72|75|76,1:66|1:67|1:72|1:75|1:76,"[66, 67, 72, 75, 76]","['1:66', '1:67', '1:72', '1:75', '1:76']","['B. Lemar', 'A. Brown', 'I. Kamagate', 'B. Ugurlu', 'C. Kus']",BESIKTAS GAIN
1,BESIKTAS GAIN,161.1,193.0,"[66, 67, 71, 72, 76]",66|67|71|72|76,7,7,8,5,8,-3,71.42857142857143,100.0,1,02:04:00,2,10:00:00,13,13,18,21,Unknownx5,5,66|67|71|72|76,1:66|1:67|1:71|1:72|1:76,"[66, 67, 71, 72, 76]","['1:66', '1:67', '1:71', '1:72', '1:76']","['B. Lemar', 'A. Brown', 'D. Dotson', 'I. Kamagate', 'C. Kus']",BESIKTAS GAIN
1,BESIKTAS GAIN,193.1,222.0,"[62, 67, 70, 71, 76]",62|67|70|71|76,2,2,2,4,0,4,200.0,0.0,2,10:00:00,2,08:47:00,18,21,22,21,Unknownx5,5,62|67|70|71|76,1:62|1:67|1:70|1:71|1:76,"[62, 67, 70, 71, 76]","['1:62', '1:67', '1:70', '1:71', '1:76']","['A. Zizic', 'A. Brown', 'J. Mathews', 'D. Dotson', 'C. Kus']",BESIKTAS GAIN
1,BESIKTAS GAIN,222.1,282.0,"[62, 68, 70, 71, 74]",62|68|70|71|74,12,12,11,5,11,-6,41.666666666666664,100.0,2,08:47:00,2,05:07:00,22,21,27,32,Unknownx5,5,62|68|70|71|74,1:62|1:68|1:70|1:71|1:74,"[62, 68, 70, 71, 74]","['1:62', '1:68', '1:70', '1:71', '1:74']","['A. Zizic', 'V. Brown', 'J. Mathews', 'D. Dotson', 'Y. Arslan']",BESIKTAS GAIN
1,BESIKTAS GAIN,282.1,339.0,"[62, 66, 67, 68, 75]",62|66|67|68|75,10,10,10,12,0,12,120.0,0.0,2,05:07:00,2,01:43:00,27,32,39,32,Unknownx5,5,62|66|67|68|75,1:62|1:66|1:67|1:68|1:75,"[62, 66, 67, 68, 75]","['1:62', '1:66', '1:67', '1:68', '1:75']","['A. Zizic', 'B. Lemar', 'A. Brown', 'V. Brown', 'B. Ugurlu']",BESIKTAS GAIN
1,BESIKTAS GAIN,339.1,384.0,"[67, 68, 70, 72, 75]",67|68|70|72|75,5,5,5,3,1,2,60.0,20.0,2,01:43:00,3,10:00:00,39,32,42,33,Unknownx5,5,67|68|70|72|75,1:67|1:68|1:70|1:72|1:75,"[67, 68, 70, 72, 75]","['1:67', '1:68', '1:70', '1:72', '1:75']","['A. Brown', 'V. Brown', 'J. Mathews', 'I. Kamagate', 'B. Ugurlu']",BESIKTAS GAIN
1,BESIKTAS GAIN,384.1,448.0,"[62, 68, 70, 71, 74]",62|68|70|71|74,9,9,9,4,8,-4,44.44444444444444,88.88888888888889,3,10:00:00,3,06:31:00,42,33,46,41,Unknownx5,5,62|68|70|71|74,1:62|1:68|1:70|1:71|1:74,"[62, 68, 70, 71, 74]","['1:62', '1:68', '1:70', '1:71', '1:74']","['A. Zizic', 'V. Brown', 'J. Mathews', 'D. Dotson', 'Y. Arslan']",BESIKTAS GAIN
1,BESIKTAS GAIN,448.1,462.0,"[62, 66, 68, 74, 75]",62|66|68|74|75,1,1,2,3,0,3,300.0,0.0,3,06:31:00,3,05:43:00,46,41,49,41,Unknownx5,5,62|66|68|74|75,1:62|1:66|1:68|1:74|1:75,"[62, 66, 68, 74, 75]","['1:62', '1:66', '1:68', '1:74', '1:75']","['A. Zizic', 'B. Lemar', 'V. Brown', 'Y. Arslan', 'B. Ugurlu']",BESIKTAS GAIN
1,BESIKTAS GAIN,462.1,493.0,"[62, 66, 67, 68, 75]",62|66|67|68|75,4,4,3,2,8,-6,50.0,266.6666666666667,3,05:43:00,3,04:46:00,49,41,51,49,Unknownx5,5,62|66|67|68|75,1:62|1:66|1:67|1:68|1:75,"[62, 66, 67, 68, 75]","['1:62', '1:66', '1:67', '1:68', '1:75']","['A. Zizic', 'B. Lemar', 'A. Brown', 'V. Brown', 'B. Ugurlu']",BESIKTAS GAIN
1,BESIKTAS GAIN,493.1,506.0,"[66, 67, 68, 72, 75]",66|67|68|72|75,1,1,2,0,2,-2,0.0,100.0,3,04:46:00,3,04:28:00,51,49,51,51,Unknownx5,5,66|67|68|72|75,1:66|1:67|1:68|1:72|1:75,"[66, 67, 68, 72, 75]","['1:66', '1:67', '1:68', '1:72', '1:75']","['B. Lemar', 'A. Brown', 'V. Brown', 'I. Kamagate', 'B. Ugurlu']",BESIKTAS GAIN
1,BESIKTAS GAIN,506.1,537.0,"[66, 67, 72, 75, 76]",66|67|72|75|76,8,8,8,7,4,3,87.5,50.0,3,04:28:00,3,01:38:00,51,51,58,55,Unknownx5,5,66|67|72|75|76,1:66|1:67|1:72|1:75|1:76,"[66, 67, 72, 75, 76]","['1:66', '1:67', '1:72', '1:75', '1:76']","['B. Lemar', 'A. Brown', 'I. Kamagate', 'B. Ugurlu', 'C. Kus']",BESIKTAS GAIN
1,BESIKTAS GAIN,537.1,553.0,"[70, 72, 74, 75, 76]",70|72|74|75|76,2,2,1,0,0,0,0.0,0.0,3,01:38:00,3,00:55:40,58,55,58,55,Unknownx5,5,70|72|74|75|76,1:70|1:72|1:74|1:75|1:76,"[70, 72, 74, 75, 76]","['1:70', '1:72', '1:74', '1:75', '1:76']","['J. Mathews', 'I. Kamagate', 'Y. Arslan', 'B. Ugurlu', 'C. Kus']",BESIKTAS GAIN
1,BESIKTAS GAIN,553.1,564.0,"[68, 70, 72, 74, 75]",68|70|72|74|75,2,2,2,3,0,3,150.0,0.0,3,00:55:40,4,10:00:00,58,55,61,55,Unknownx5,5,68|70|72|74|75,1:68|1:70|1:72|1:74|1:75,"[68, 70, 72, 74, 75]","['1:68', '1:70', '1:72', '1:74', '1:75']","['V. Brown', 'J. Mathews', 'I. Kamagate', 'Y. Arslan', 'B. Ugurlu']",BESIKTAS GAIN
1,BESIKTAS GAIN,564.1,660.0,"[62, 68, 70, 71, 74]",62|68|70|71|74,11,11,11,14,14,0,127.27272727272727,127.27272727272727,4,10:00:00,4,05:06:00,61,55,75,69,Unknownx5,5,62|68|70|71|74,1:62|1:68|1:70|1:71|1:74,"[62, 68, 70, 71, 74]","['1:62', '1:68', '1:70', '1:71', '1:74']","['A. Zizic', 'V. Brown', 'J. Mathews', 'D. Dotson', 'Y. Arslan']",BESIKTAS GAIN
1,BESIKTAS GAIN,660.1,679.0,"[62, 68, 70, 74, 75]",62|68|70|74|75,3,3,4,0,0,0,0.0,0.0,4,05:06:00,4,03:53:00,75,69,75,69,Unknownx5,5,62|68|70|74|75,1:62|1:68|1:70|1:74|1:75,"[62, 68, 70, 74, 75]","['1:62', '1:68', '1:70', '1:74', '1:75']","['A. Zizic', 'V. Brown', 'J. Mathews', 'Y. Arslan', 'B. Ugurlu']",BESIKTAS GAIN
1,BESIKTAS GAIN,679.1,757.0,"[62, 67, 68, 70, 75]",62|67|68|70|75,11,11,11,2,3,-1,18.181818181818183,27.272727272727273,4,03:53:00,4,00:00:00,75,69,77,72,Unknownx5,5,62|67|68|70|75,1:62|1:67|1:68|1:70|1:75,"[62, 67, 68, 70, 75]","['1:62', '1:67', '1:68', '1:70', '1:75']","['A. Zizic', 'A. Brown', 'V. Brown', 'J. Mathews', 'B. Ugurlu']",BESIKTAS GAIN
2,TÜRK TELEKOM,1.0,103.0,"[5, 7, 74, 77, 78]",5|7|74|77|78,16,16,16,10,6,4,62.5,37.5,1,10:00:00,1,04:25:00,0,0,10,6,Unknownx5,5,5|7|74|77|78,2:5|2:7|2:74|2:77|2:78,"[5, 7, 74, 77, 78]","['2:5', '2:7', '2:74', '2:77', '2:78']","['D. Özdemiroglu', 'B. Durmaz', 'J. Usher', 'J. Smith', 'K. Bankston']",TÜRK TELEKOM
