possession_id,period,start_action,end_action,owner_tno,end_reason,pts_owner,pts_against,owner_team_name,net_pts
0,1,1,6,,,0,0,,0
1,1,8,8,2.0,turnover,0,0,BAHÇEŞEHİR KOLEJİ,0
2,1,11,11,1.0,turnover,0,0,BURSASPOR BASKETBOL,0
3,1,13,13,2.0,def_reb,0,0,BAHÇEŞEHİR KOLEJİ,0
4,1,14,14,1.0,def_reb,0,0,BURSASPOR BASKETBOL,0
5,1,15,17,2.0,def_reb,0,0,BAHÇEŞEHİR KOLEJİ,0
6,1,18,18,1.0,def_reb,0,0,BURSASPOR BASKETBOL,0
7,1,20,22,2.0,made_ft,1,0,BAHÇEŞEHİR KOLEJİ,1
8,1,23,23,1.0,made_ft_last,1,1,BURSASPOR BASKETBOL,0
9,1,25,27,2.0,score,2,2,BAHÇEŞEHİR KOLEJİ,0
10,1,28,28,1.0,def_reb,0,0,BURSASPOR BASKETBOL,0
11,1,29,29,2.0,def_reb,0,0,BAHÇEŞEHİR KOLEJİ,0
12,1,30,30,1.0,score,3,0,BURSASPOR BASKETBOL,3
13,1,31,32,2.0,score,2,0,BAHÇEŞEHİR KOLEJİ,2
14,1,33,35,1.0,def_reb,0,0,BURSASPOR BASKETBOL,0
15,1,36,36,2.0,def_reb,0,0,BAHÇEŞEHİR KOLEJİ,0
16,1,37,37,1.0,score,3,3,BURSASPOR BASKETBOL,0
17,1,38,40,2.0,score,2,2,BAHÇEŞEHİR KOLEJİ,0
18,1,41,41,1.0,score,2,2,BURSASPOR BASKETBOL,0
19,1,42,42,2.0,score,3,3,BAHÇEŞEHİR KOLEJİ,0
20,1,43,43,1.0,def_reb,0,0,BURSASPOR BASKETBOL,0
21,1,45,45,2.0,def_reb,0,0,BAHÇEŞEHİR KOLEJİ,0
22,1,46,49,1.0,def_reb,0,0,BURSASPOR BASKETBOL,0
23,1,50,50,2.0,def_reb,0,0,BAHÇEŞEHİR KOLEJİ,0
24,1,51,51,1.0,score,2,0,BURSASPOR BASKETBOL,2
25,1,52,55,2.0,def_reb,0,0,BAHÇEŞEHİR KOLEJİ,0
26,1,57,57,1.0,def_reb,0,0,BURSASPOR BASKETBOL,0
27,1,59,59,2.0,def_reb,0,0,BAHÇEŞEHİR KOLEJİ,0
28,1,60,60,1.0,def_reb,0,0,BURSASPOR BASKETBOL,0
29,1,61,61,2.0,def_reb,0,0,BAHÇEŞEHİR KOLEJİ,0
30,1,62,62,1.0,def_reb,0,0,BURSASPOR BASKETBOL,0
31,1,64,72,2.0,def_reb,0,0,BAHÇEŞEHİR KOLEJİ,0
32,1,73,73,1.0,def_reb,0,0,BURSASPOR BASKETBOL,0
33,1,75,77,2.0,made_ft,1,0,BAHÇEŞEHİR KOLEJİ,1
34,1,78,78,1.0,made_ft_last,1,1,BURSASPOR BASKETBOL,0
35,1,83,86,2.0,def_reb,0,0,BAHÇEŞEHİR KOLEJİ,0
36,1,87,87,1.0,def_reb,0,0,BURSASPOR BASKETBOL,0
37,1,88,88,2.0,score,2,0,BAHÇEŞEHİR KOLEJİ,2
38,1,89,101,1.0,def_reb,0,0,BURSASPOR BASKETBOL,0
39,1,102,102,2.0,def_reb,0,0,BAHÇEŞEHİR KOLEJİ,0
40,1,103,103,1.0,made_ft_last,1,0,BURSASPOR BASKETBOL,1
41,1,104,107,2.0,score,3,0,BAHÇEŞEHİR KOLEJİ,3
