gt,clock,s1,s2,lead,tno,period,periodType,pno,player,success,actionType,actionNumber,previousAction,qualifier,subType,scoring,shirtNumber,firstName,familyName,internationalFirstName,internationalFamilyName,firstNameInitial,familyNameInitial,internationalFirstNameInitial,internationalFamilyNameInitial,scoreboardName,team_name,team_code,player_name_from_roster,player_shirt,player_pos_raw,player_pos_group,x,y,r,ev_code,ev_result,ev_text,assist_pno,assist_tno,assist_player,block_pno,block_tno,block_player,assist_pos_group,block_pos_group,points,possession_id,possession_owner_tno,possession_end_reason,pts_1,cum_1,pts_2,cum_2
10:00,10:00:00,0,0,0,0,1,REGULAR,0,,1,game,1,,[],start,0,,,,,,,,,,,,,,,,,,,,OTHER,,game start,,,,,,,,,0,0,,,0,0,0,0
10:00,10:00:00,0,0,0,0,1,REGULAR,0,,1,period,2,,[],start,0,,,,,,,,,,,,,,,,,,,,OTHER,,period start,,,,,,,,,0,0,,,0,0,0,0
10:00,10:00:00,0,0,0,0,1,REGULAR,0,,1,jumpball,4,,[],startperiod,0,,,,,,,,,,,,,,,,,,,,JUMP,,jump ball,,,,,,,,,0,0,,,0,0,0,0
09:59,09:59:00,0,0,0,2,1,REGULAR,80,T. WILLIAMS,1,jumpball,5,4,[],won,0,50,Trevion Lamon,Williams,Trevion Lamon,Williams,T,W,T,W,T. Williams,BAHÇEŞEHİR KOLEJİ,BSK,T. Williams,50,,,,,,JUMP,,jump ball,,,,,,,,,0,0,,,0,0,0,0
09:59,09:59:00,0,0,0,1,1,REGULAR,127,L. NNOKO,1,jumpball,6,4,[],lost,0,35,Landry,Nnoko,Landry,Nnoko,L,N,L,N,L. Nnoko,BURSASPOR BASKETBOL,BUR,L. Nnoko,35,,,,,,JUMP,,jump ball,,,,,,,,,0,0,,,0,0,0,0
09:52,09:52:00,0,0,0,2,1,REGULAR,80,T. WILLIAMS,1,turnover,8,,[],badpass,0,50,Trevion Lamon,Williams,Trevion Lamon,Williams,T,W,T,W,T. Williams,BAHÇEŞEHİR KOLEJİ,BSK,T. Williams,50,,,,,,TO,,BAHÇEŞEHİR KOLEJİ T. WILLIAMS turnover badpass,,,,,,,,,0,1,2.0,turnover,0,0,0,0
09:49,09:49:00,0,0,0,1,1,REGULAR,102,B. AKIN,1,turnover,11,,[],badpass,0,11,Berk Can,Akin,Berk Can,Akin,B,A,B,A,B. Akin,BURSASPOR BASKETBOL,BUR,B. Akin,11,,,,,,TO,,BURSASPOR BASKETBOL B. AKIN turnover badpass,,,,,,,,,0,2,1.0,turnover,0,0,0,0
09:39,09:39:00,0,0,0,2,1,REGULAR,76,C. HOMESLEY,0,3pt,13,,['fromturnover'],jumpshot,1,5,Caleb Allen,Homesley,Caleb Allen,Homesley,C,H,C,H,C. Homesley,BAHÇEŞEHİR KOLEJİ,BSK,C. Homesley,5,,,74.76000213623,86.550003051758,0.0,P3,missed,BAHÇEŞEHİR KOLEJİ C. HOMESLEY 3Pt missed,,,,,,,,,0,3,2.0,def_reb,0,0,0,0
09:36,09:36:00,0,0,0,1,1,REGULAR,102,B. AKIN,1,rebound,14,13,[],defensive,0,11,Berk Can,Akin,Berk Can,Akin,B,A,B,A,B. Akin,BURSASPOR BASKETBOL,BUR,B. Akin,11,,,,,,REB,,BURSASPOR BASKETBOL rebound defensive,,,,,,,,,0,4,1.0,def_reb,0,0,0,0
09:23,09:23:00,0,0,0,1,1,REGULAR,102,B. AKIN,0,2pt,15,,['pointsinthepaint'],drivinglayup,1,11,Berk Can,Akin,Berk Can,Akin,B,A,B,A,B. Akin,BURSASPOR BASKETBOL,BUR,B. Akin,11,,,7.9899997711182,64.800003051758,0.0,P2,missed,BURSASPOR BASKETBOL B. AKIN 2Pt missed,,,,,,,,,0,5,2.0,,0,0,0,0
09:19,09:19:00,0,0,0,1,1,REGULAR,127,L. NNOKO,1,rebound,16,15,[],offensive,0,35,Landry,Nnoko,Landry,Nnoko,L,N,L,N,L. Nnoko,BURSASPOR BASKETBOL,BUR,L. Nnoko,35,,,,,,REB,,BURSASPOR BASKETBOL rebound offensive,,,,,,,,,0,5,2.0,,0,0,0,0
09:19,09:19:00,0,0,0,1,1,REGULAR,127,L. NNOKO,0,2pt,17,,"['2ndchance', 'pointsinthepaint']",tipinlayup,1,35,Landry,Nnoko,Landry,Nnoko,L,N,L,N,L. Nnoko,BURSASPOR BASKETBOL,BUR,L. Nnoko,35,,,6.0,50.0,0.0,P2,missed,BURSASPOR BASKETBOL L. NNOKO 2Pt missed,,,,,,,,,0,5,2.0,def_reb,0,0,0,0
09:19,09:19:00,0,0,0,2,1,REGULAR,81,M. FLYNN,1,rebound,18,17,[],defensive,0,22,Malachi Emmanuel,Flynn,Malachi Emmanuel,Flynn,M,F,M,F,M. Flynn,BAHÇEŞEHİR KOLEJİ,BSK,M. Flynn,22,,,,,,REB,,BAHÇEŞEHİR KOLEJİ rebound defensive,,,,,,,,,0,6,1.0,def_reb,0,0,0,0
09:04,09:04:00,0,0,0,1,1,REGULAR,134,V. KING,1,foul,20,,"['shooting', '2freethrow']",personal,0,22,Vincent Earl,King,Vincent Earl,King,V,K,V,K,V. King,BURSASPOR BASKETBOL,BUR,V. King,22,,,,,,FOUL,,BURSASPOR BASKETBOL V. KING foul personal,,,,,,,,,0,7,2.0,,0,0,0,0
09:04,09:04:00,0,0,0,2,1,REGULAR,75,T. CAVANAUGH,1,foulon,21,20,[],,0,34,Tyler Robert,Cavanaugh,Tyler Robert,Cavanaugh,T,C,T,C,T. Cavanaugh,BAHÇEŞEHİR KOLEJİ,BSK,T. Cavanaugh,34,,,,,,OTHER,,BAHÇEŞEHİR KOLEJİ foulon,,,,,,,,,0,7,2.0,,0,0,0,0
09:04,09:04:00,0,1,-1,2,1,REGULAR,75,T. CAVANAUGH,1,freethrow,22,,[],1of2,1,34,Tyler Robert,Cavanaugh,Tyler Robert,Cavanaugh,T,C,T,C,T. Cavanaugh,BAHÇEŞEHİR KOLEJİ,BSK,T. Cavanaugh,34,,,,,,FT,made,BAHÇEŞEHİR KOLEJİ T. CAVANAUGH FT 1of2 made,,,,,,,,,1,7,2.0,made_ft,0,0,1,1
