team_no,team_name,start_action,end_action,players_on_court,lineup_size,lineup_uid,players_on_court_tokens,players_on_court_names,lineup_uid_pair,lineup_pos_mix,start_period,start_clock,end_period,end_clock,score_start_for,score_start_against,score_end_for,score_end_against
1,TOFAS,1.0,98.0,"[66, 88, 89, 91, 93]",5,66|88|89|91|93,"['1:66', '1:88', '1:89', '1:91', '1:93']","['Y. Saybir', 'M. Blazevic', 'A. Perez', 'M. Lewis Iii', 'J. Thomasson Jr']",1:66|1:88|1:89|1:91|1:93,Unknownx5,1,10:00:00,1,03:56:00,0,0,11,5
1,TOFAS,98.1,119.0,"[66, 88, 89, 90, 93]",5,66|88|89|90|93,"['1:66', '1:88', '1:89', '1:90', '1:93']","['Y. Saybir', 'M. Blazevic', 'A. Perez', 'H. Besson', 'J. Thomasson Jr']",1:66|1:88|1:89|1:90|1:93,Unknownx5,1,03:56:00,1,02:16:00,11,5,13,11
1,TOFAS,119.1,133.0,"[67, 88, 90, 92, 93]",5,67|88|90|92|93,"['1:67', '1:88', '1:90', '1:92', '1:93']","['Ö. Cengiz', 'M. Blazevic', 'H. Besson', 'S. Whaley', 'J. Thomasson Jr']",1:67|1:88|1:90|1:92|1:93,Unknownx5,1,02:16:00,1,01:50:00,13,11,13,11
1,TOFAS,133.1,158.0,"[55, 67, 88, 90, 92]",5,55|67|88|90|92,"['1:55', '1:67', '1:88', '1:90', '1:92']","['T. Geçim', 'Ö. Cengiz', 'M. Blazevic', 'H. Besson', 'S. Whaley']",1:55|1:67|1:88|1:90|1:92,Unknownx5,1,01:50:00,1,00:20:30,13,11,19,13
1,TOFAS,158.1,281.0,"[55, 67, 90, 92, 94]",5,55|67|90|92|94,"['1:55', '1:67', '1:90', '1:92', '1:94']","['T. Geçim', 'Ö. Cengiz', 'H. Besson', 'S. Whaley', 'W. Kidd Jr']",1:55|1:67|1:90|1:92|1:94,Unknownx5,1,00:20:30,2,05:48:00,19,13,28,20
1,TOFAS,281.1,309.0,"[55, 66, 88, 89, 93]",5,55|66|88|89|93,"['1:55', '1:66', '1:88', '1:89', '1:93']","['T. Geçim', 'Y. Saybir', 'M. Blazevic', 'A. Perez', 'J. Thomasson Jr']",1:55|1:66|1:88|1:89|1:93,Unknownx5,2,05:48:00,2,04:27:00,28,20,28,22
1,TOFAS,309.1,455.0,"[66, 88, 89, 91, 93]",5,66|88|89|91|93,"['1:66', '1:88', '1:89', '1:91', '1:93']","['Y. Saybir', 'M. Blazevic', 'A. Perez', 'M. Lewis Iii', 'J. Thomasson Jr']",1:66|1:88|1:89|1:91|1:93,Unknownx5,2,04:27:00,3,05:40:00,28,22,58,37
1,TOFAS,455.1,482.0,"[66, 89, 91, 93, 94]",5,66|89|91|93|94,"['1:66', '1:89', '1:91', '1:93', '1:94']","['Y. Saybir', 'A. Perez', 'M. Lewis Iii', 'J. Thomasson Jr', 'W. Kidd Jr']",1:66|1:89|1:91|1:93|1:94,Unknownx5,3,05:40:00,3,04:19:00,58,37,58,42
1,TOFAS,482.1,513.0,"[66, 89, 90, 93, 94]",5,66|89|90|93|94,"['1:66', '1:89', '1:90', '1:93', '1:94']","['Y. Saybir', 'A. Perez', 'H. Besson', 'J. Thomasson Jr', 'W. Kidd Jr']",1:66|1:89|1:90|1:93|1:94,Unknownx5,3,04:19:00,3,02:29:00,58,42,62,46
1,TOFAS,513.1,533.0,"[67, 90, 92, 93, 94]",5,67|90|92|93|94,"['1:67', '1:90', '1:92', '1:93', '1:94']","['Ö. Cengiz', 'H. Besson', 'S. Whaley', 'J. Thomasson Jr', 'W. Kidd Jr']",1:67|1:90|1:92|1:93|1:94,Unknownx5,3,02:29:00,3,01:31:00,62,46,62,51
