team_no,team_name,start_action,end_action,players_on_court,lineup_uid,possessions,poss_for,poss_against,pts_for,pts_against,net,ORtg,DRtg,start_period,start_clock,end_period,end_clock,score_start_for,score_start_against,score_end_for,score_end_against,lineup_pos_mix,lineup_size,lineup_uid_st,lineup_uid_pair,players_on_court_st,players_on_court_tokens,players_on_court_names,team_name_st
1,TOFAS,1.0,98.0,"[66, 88, 89, 91, 93]",66|88|89|91|93,18,18,18,11,5,6,61.111111111111114,27.77777777777778,1,10:00:00,1,03:56:00,0,0,11,5,Unknownx5,5,66|88|89|91|93,1:66|1:88|1:89|1:91|1:93,"[66, 88, 89, 91, 93]","['1:66', '1:88', '1:89', '1:91', '1:93']","['Y. Saybir', 'M. Blazevic', 'A. Perez', 'M. Lewis Iii', 'J. Thomasson Jr']",TOFAS
1,TOFAS,98.1,119.0,"[66, 88, 89, 90, 93]",66|88|89|90|93,5,5,6,2,6,-4,40.0,100.0,1,03:56:00,1,02:16:00,11,5,13,11,Unknownx5,5,66|88|89|90|93,1:66|1:88|1:89|1:90|1:93,"[66, 88, 89, 90, 93]","['1:66', '1:88', '1:89', '1:90', '1:93']","['Y. Saybir', 'M. Blazevic', 'A. Perez', 'H. Besson', 'J. Thomasson Jr']",TOFAS
1,TOFAS,119.1,133.0,"[67, 88, 90, 92, 93]",67|88|90|92|93,1,1,1,0,0,0,0.0,0.0,1,02:16:00,1,01:50:00,13,11,13,11,Unknownx5,5,67|88|90|92|93,1:67|1:88|1:90|1:92|1:93,"[67, 88, 90, 92, 93]","['1:67', '1:88', '1:90', '1:92', '1:93']","['Ö. Cengiz', 'M. Blazevic', 'H. Besson', 'S. Whaley', 'J. Thomasson Jr']",TOFAS
1,TOFAS,133.1,158.0,"[55, 67, 88, 90, 92]",55|67|88|90|92,3,3,2,6,2,4,200.0,100.0,1,01:50:00,1,00:20:30,13,11,19,13,Unknownx5,5,55|67|88|90|92,1:55|1:67|1:88|1:90|1:92,"[55, 67, 88, 90, 92]","['1:55', '1:67', '1:88', '1:90', '1:92']","['T. Geçim', 'Ö. Cengiz', 'M. Blazevic', 'H. Besson', 'S. Whaley']",TOFAS
1,TOFAS,158.1,281.0,"[55, 67, 90, 92, 94]",55|67|90|92|94,15,15,16,9,7,2,60.0,43.75,1,00:20:30,2,05:48:00,19,13,28,20,Unknownx5,5,55|67|90|92|94,1:55|1:67|1:90|1:92|1:94,"[55, 67, 90, 92, 94]","['1:55', '1:67', '1:90', '1:92', '1:94']","['T. Geçim', 'Ö. Cengiz', 'H. Besson', 'S. Whaley', 'W. Kidd Jr']",TOFAS
1,TOFAS,281.1,309.0,"[55, 66, 88, 89, 93]",55|66|88|89|93,3,3,3,0,2,-2,0.0,66.66666666666667,2,05:48:00,2,04:27:00,28,20,28,22,Unknownx5,5,55|66|88|89|93,1:55|1:66|1:88|1:89|1:93,"[55, 66, 88, 89, 93]","['1:55', '1:66', '1:88', '1:89', '1:93']","['T. Geçim', 'Y. Saybir', 'M. Blazevic', 'A. Perez', 'J. Thomasson Jr']",TOFAS
1,TOFAS,309.1,455.0,"[66, 88, 89, 91, 93]",66|88|89|91|93,22,22,21,30,15,15,136.36363636363637,71.42857142857143,2,04:27:00,3,05:40:00,28,22,58,37,Unknownx5,5,66|88|89|91|93,1:66|1:88|1:89|1:91|1:93,"[66, 88, 89, 91, 93]","['1:66', '1:88', '1:89', '1:91', '1:93']","['Y. Saybir', 'M. Blazevic', 'A. Perez', 'M. Lewis Iii', 'J. Thomasson Jr']",TOFAS
1,TOFAS,455.1,482.0,"[66, 89, 91, 93, 94]",66|89|91|93|94,4,4,5,0,5,-5,0.0,100.0,3,05:40:00,3,04:19:00,58,37,58,42,Unknownx5,5,66|89|91|93|94,1:66|1:89|1:91|1:93|1:94,"[66, 89, 91, 93, 94]","['1:66', '1:89', '1:91', '1:93', '1:94']","['Y. Saybir', 'A. Perez', 'M. Lewis Iii', 'J. Thomasson Jr', 'W. Kidd Jr']",TOFAS
1,TOFAS,482.1,513.0,"[66, 89, 90, 93, 94]",66|89|90|93|94,7,7,7,4,4,0,57.142857142857146,57.142857142857146,3,04:19:00,3,02:29:00,58,42,62,46,Unknownx5,5,66|89|90|93|94,1:66|1:89|1:90|1:93|1:94,"[66, 89, 90, 93, 94]","['1:66', '1:89', '1:90', '1:93', '1:94']","['Y. Saybir', 'A. Perez', 'H. Besson', 'J. Thomasson Jr', 'W. Kidd Jr']",TOFAS
1,TOFAS,513.1,533.0,"[67, 90, 92, 93, 94]",67|90|92|93|94,3,3,2,0,5,-5,0.0,250.0,3,02:29:00,3,01:31:00,62,46,62,51,Unknownx5,5,67|90|92|93|94,1:67|1:90|1:92|1:93|1:94,"[67, 90, 92, 93, 94]","['1:67', '1:90', '1:92', '1:93', '1:94']","['Ö. Cengiz', 'H. Besson', 'S. Whaley', 'J. Thomasson Jr', 'W. Kidd Jr']",TOFAS
