team_no,team_name,start_action,end_action,players_on_court,lineup_size,lineup_uid,players_on_court_tokens,players_on_court_names,lineup_uid_pair,lineup_pos_mix,start_period,start_clock,end_period,end_clock,score_start_for,score_start_against,score_end_for,score_end_against
1,TÜRK TELEKOM,1.0,59.0,"[5, 7, 77, 80, 87]",5,5|7|77|80|87,"['1:5', '1:7', '1:77', '1:80', '1:87']","['D. Özdemiroglu', 'B. Durmaz', 'J. Smith', 'M. Devoe', 'K. Alexander']",1:5|1:7|1:77|1:80|1:87,Unknownx5,1,10:00:00,1,04:52:00,0,0,11,11
1,TÜRK TELEKOM,59.1,80.0,"[5, 76, 77, 80, 87]",5,5|76|77|80|87,"['1:5', '1:76', '1:77', '1:80', '1:87']","['D. Özdemiroglu', 'M. Simonovic', 'J. Smith', 'M. Devoe', 'K. Alexander']",1:5|1:76|1:77|1:80|1:87,Unknownx5,1,04:52:00,1,03:50:00,11,11,11,11
1,TÜRK TELEKOM,80.1,99.0,"[5, 74, 75, 76, 78]",5,5|74|75|76|78,"['1:5', '1:74', '1:75', '1:76', '1:78']","['D. Özdemiroglu', 'J. Usher', 'K. Allman', 'M. Simonovic', 'K. Bankston']",1:5|1:74|1:75|1:76|1:78,Unknownx5,1,03:50:00,1,03:05:00,11,11,11,13
1,TÜRK TELEKOM,99.1,194.0,"[3, 74, 75, 76, 78]",5,3|74|75|76|78,"['1:3', '1:74', '1:75', '1:76', '1:78']","['A. Kahraman', 'J. Usher', 'K. Allman', 'M. Simonovic', 'K. Bankston']",1:3|1:74|1:75|1:76|1:78,Unknownx5,1,03:05:00,2,08:12:00,11,13,24,25
1,TÜRK TELEKOM,194.1,232.0,"[5, 75, 77, 78, 87]",5,5|75|77|78|87,"['1:5', '1:75', '1:77', '1:78', '1:87']","['D. Özdemiroglu', 'K. Allman', 'J. Smith', 'K. Bankston', 'K. Alexander']",1:5|1:75|1:77|1:78|1:87,Unknownx5,2,08:12:00,2,07:00:00,24,25,24,27
1,TÜRK TELEKOM,232.1,284.0,"[5, 7, 77, 80, 87]",5,5|7|77|80|87,"['1:5', '1:7', '1:77', '1:80', '1:87']","['D. Özdemiroglu', 'B. Durmaz', 'J. Smith', 'M. Devoe', 'K. Alexander']",1:5|1:7|1:77|1:80|1:87,Unknownx5,2,07:00:00,2,04:35:00,24,27,27,29
1,TÜRK TELEKOM,284.1,310.0,"[5, 76, 77, 80, 87]",5,5|76|77|80|87,"['1:5', '1:76', '1:77', '1:80', '1:87']","['D. Özdemiroglu', 'M. Simonovic', 'J. Smith', 'M. Devoe', 'K. Alexander']",1:5|1:76|1:77|1:80|1:87,Unknownx5,2,04:35:00,2,02:51:00,27,29,33,33
1,TÜRK TELEKOM,310.1,324.0,"[5, 75, 76, 77, 87]",5,5|75|76|77|87,"['1:5', '1:75', '1:76', '1:77', '1:87']","['D. Özdemiroglu', 'K. Allman', 'M. Simonovic', 'J. Smith', 'K. Alexander']",1:5|1:75|1:76|1:77|1:87,Unknownx5,2,02:51:00,2,02:07:00,33,33,38,38
1,TÜRK TELEKOM,324.1,343.0,"[5, 74, 76, 77, 87]",5,5|74|76|77|87,"['1:5', '1:74', '1:76', '1:77', '1:87']","['D. Özdemiroglu', 'J. Usher', 'M. Simonovic', 'J. Smith', 'K. Alexander']",1:5|1:74|1:76|1:77|1:87,Unknownx5,2,02:07:00,2,00:33:70,38,38,46,40
1,TÜRK TELEKOM,343.1,361.0,"[7, 74, 76, 77, 87]",5,7|74|76|77|87,"['1:7', '1:74', '1:76', '1:77', '1:87']","['B. Durmaz', 'J. Usher', 'M. Simonovic', 'J. Smith', 'K. Alexander']",1:7|1:74|1:76|1:77|1:87,Unknownx5,2,00:33:70,3,10:00:00,46,40,46,40
