gt,clock,s1,s2,lead,tno,period,periodType,pno,player,success,actionType,actionNumber,previousAction,qualifier,subType,scoring,shirtNumber,firstName,familyName,internationalFirstName,internationalFamilyName,firstNameInitial,familyNameInitial,internationalFirstNameInitial,internationalFamilyNameInitial,scoreboardName,team_name,team_code,player_name_from_roster,player_shirt,player_pos_raw,player_pos_group,x,y,r,ev_code,ev_result,ev_text,assist_pno,assist_tno,assist_player,block_pno,block_tno,block_player,assist_pos_group,block_pos_group,points,possession_id,possession_owner_tno,possession_end_reason,pts_1,cum_1,pts_2,cum_2
08:16,08:16:00,66,71,-5,1,4,REGULAR,0,,1,rebound,590,589,[],offensivedeadball,0,,,,,,,,,,,TÜRK TELEKOM,TTK,,,,,,,,TREB,,TÜRK TELEKOM team rebound offensivedeadball,,,,,,,,,0,181,1.0,def_reb,0,66,0,71
08:16,08:16:00,66,71,-5,1,4,REGULAR,75,K. ALLMAN,0,freethrow,591,,[],2of2,1,1,Kyle Lindsay,Allman,Kyle Lindsay,Allman,K,A,K,A,K. Allman,TÜRK TELEKOM,TTK,K. Allman,1,,,,,,FT,missed,TÜRK TELEKOM K. ALLMAN FT 2of2 missed,,,,,,,,,0,182,2.0,def_reb,0,66,0,71
08:16,08:16:00,66,71,-5,2,4,REGULAR,108,C. BISHOP,1,rebound,593,591,[],defensive,0,13,Christian Angelo ,Bishop,Christian Angelo ,Bishop,C,B,C,B,C. Bishop,GALATASARAY MCT TECHNIC,GSM,C. Bishop,13,,,,,,REB,,GALATASARAY MCT TECHNIC rebound defensive,,,,,,,,,0,183,1.0,def_reb,0,66,0,71
07:57,07:57:00,66,71,-5,2,4,REGULAR,106,J. ROBINSON JR,0,2pt,594,,['pointsinthepaint'],layup,1,1,Jerome Emanuel,Robinson Jr,Jerome Emanuel,Robinson Jr,J,R,J,R,J. Robinson Jr,GALATASARAY MCT TECHNIC,GSM,J. Robinson Jr,1,,,94.699996948242,42.659999847412,0.0,P2,missed,GALATASARAY MCT TECHNIC J. ROBINSON JR 2Pt missed,,,,,,,,,0,184,2.0,,0,66,0,71
07:56,07:56:00,66,71,-5,2,4,REGULAR,106,J. ROBINSON JR,1,rebound,596,594,[],offensive,0,1,Jerome Emanuel,Robinson Jr,Jerome Emanuel,Robinson Jr,J,R,J,R,J. Robinson Jr,GALATASARAY MCT TECHNIC,GSM,J. Robinson Jr,1,,,,,,REB,,GALATASARAY MCT TECHNIC rebound offensive,,,,,,,,,0,184,2.0,,0,66,0,71
07:56,07:56:00,66,71,-5,2,4,REGULAR,106,J. ROBINSON JR,0,2pt,597,,"['2ndchance', 'pointsinthepaint']",tipinlayup,1,1,Jerome Emanuel,Robinson Jr,Jerome Emanuel,Robinson Jr,J,R,J,R,J. Robinson Jr,GALATASARAY MCT TECHNIC,GSM,J. Robinson Jr,1,,,94.0,50.0,0.0,P2,missed,GALATASARAY MCT TECHNIC J. ROBINSON JR 2Pt missed,,,,,,,,,0,184,2.0,def_reb,0,66,0,71
07:56,07:56:00,66,71,-5,1,4,REGULAR,7,B. DURMAZ,1,rebound,598,597,[],defensive,0,3,Berkan,Durmaz,Berkan,Durmaz,B,D,B,D,B. Durmaz,TÜRK TELEKOM,TTK,B. Durmaz,3,,,,,,REB,,TÜRK TELEKOM rebound defensive,,,,,,,,,0,185,1.0,def_reb,0,66,0,71
07:56,07:56:00,66,71,-5,2,4,REGULAR,106,J. ROBINSON JR,1,foul,599,,[],personal,0,1,Jerome Emanuel,Robinson Jr,Jerome Emanuel,Robinson Jr,J,R,J,R,J. Robinson Jr,GALATASARAY MCT TECHNIC,GSM,J. Robinson Jr,1,,,,,,FOUL,,GALATASARAY MCT TECHNIC J. ROBINSON JR foul personal,,,,,,,,,0,186,2.0,,0,66,0,71
07:56,07:56:00,66,71,-5,1,4,REGULAR,7,B. DURMAZ,1,foulon,600,599,[],,0,3,Berkan,Durmaz,Berkan,Durmaz,B,D,B,D,B. Durmaz,TÜRK TELEKOM,TTK,B. Durmaz,3,,,,,,OTHER,,TÜRK TELEKOM foulon,,,,,,,,,0,186,2.0,,0,66,0,71
07:56,07:56:00,66,71,-5,2,4,REGULAR,0,,1,headcoachchallenge,601,,['rejected'],foul,0,,,,,,,,,,,GALATASARAY MCT TECHNIC,GSM,,,,,,,,OTHER,,GALATASARAY MCT TECHNIC headcoachchallenge foul,,,,,,,,,0,186,2.0,,0,66,0,71
