team_no,team_name,start_action,end_action,players_on_court,lineup_size,lineup_uid,players_on_court_tokens,players_on_court_names,lineup_uid_pair,lineup_pos_mix,start_period,start_clock,end_period,end_clock,score_start_for,score_start_against,score_end_for,score_end_against
1,KARSIYAKA,1.0,73.0,"[78, 86, 87, 88, 89]",5,78|86|87|88|89,"['1:78', '1:86', '1:87', '1:88', '1:89']","['S. Geyik', 'C. Chiozza', 'J. Alston', 'M. Moore', 'C. Manning Jr']",1:78|1:86|1:87|1:88|1:89,Unknownx5,1,10:00:00,1,03:00:00,0,0,12,13
1,KARSIYAKA,73.1,89.0,"[80, 85, 87, 88, 89]",5,80|85|87|88|89,"['1:80', '1:85', '1:87', '1:88', '1:89']","['A. Güven', 'R. Tarrant Jr', 'J. Alston', 'M. Moore', 'C. Manning Jr']",1:80|1:85|1:87|1:88|1:89,Unknownx5,1,03:00:00,1,01:54:00,12,13,14,13
1,KARSIYAKA,89.1,145.0,"[79, 80, 85, 88, 93]",5,79|80|85|88|93,"['1:79', '1:80', '1:85', '1:88', '1:93']","['M. Celep', 'A. Güven', 'R. Tarrant Jr', 'M. Moore', 'C. Young']",1:79|1:80|1:85|1:88|1:93,Unknownx5,1,01:54:00,2,09:30:00,14,13,24,13
1,KARSIYAKA,145.1,176.0,"[79, 80, 85, 89, 93]",5,79|80|85|89|93,"['1:79', '1:80', '1:85', '1:89', '1:93']","['M. Celep', 'A. Güven', 'R. Tarrant Jr', 'C. Manning Jr', 'C. Young']",1:79|1:80|1:85|1:89|1:93,Unknownx5,2,09:30:00,2,07:57:00,24,13,30,17
1,KARSIYAKA,176.1,219.0,"[80, 86, 87, 89, 93]",5,80|86|87|89|93,"['1:80', '1:86', '1:87', '1:89', '1:93']","['A. Güven', 'C. Chiozza', 'J. Alston', 'C. Manning Jr', 'C. Young']",1:80|1:86|1:87|1:89|1:93,Unknownx5,2,07:57:00,2,05:06:00,30,17,37,20
1,KARSIYAKA,219.1,273.0,"[78, 86, 87, 88, 89]",5,78|86|87|88|89,"['1:78', '1:86', '1:87', '1:88', '1:89']","['S. Geyik', 'C. Chiozza', 'J. Alston', 'M. Moore', 'C. Manning Jr']",1:78|1:86|1:87|1:88|1:89,Unknownx5,2,05:06:00,2,02:31:00,37,20,39,20
1,KARSIYAKA,273.1,306.0,"[78, 79, 85, 88, 89]",5,78|79|85|88|89,"['1:78', '1:79', '1:85', '1:88', '1:89']","['S. Geyik', 'M. Celep', 'R. Tarrant Jr', 'M. Moore', 'C. Manning Jr']",1:78|1:79|1:85|1:88|1:89,Unknownx5,2,02:31:00,2,01:12:00,39,20,40,27
1,KARSIYAKA,306.1,328.0,"[78, 79, 86, 89, 93]",5,78|79|86|89|93,"['1:78', '1:79', '1:86', '1:89', '1:93']","['S. Geyik', 'M. Celep', 'C. Chiozza', 'C. Manning Jr', 'C. Young']",1:78|1:79|1:86|1:89|1:93,Unknownx5,2,01:12:00,2,00:31:60,40,27,40,27
1,KARSIYAKA,328.1,338.0,"[79, 80, 86, 89, 93]",5,79|80|86|89|93,"['1:79', '1:80', '1:86', '1:89', '1:93']","['M. Celep', 'A. Güven', 'C. Chiozza', 'C. Manning Jr', 'C. Young']",1:79|1:80|1:86|1:89|1:93,Unknownx5,2,00:31:60,2,00:03:60,40,27,40,27
1,KARSIYAKA,338.1,362.0,"[79, 86, 87, 89, 93]",5,79|86|87|89|93,"['1:79', '1:86', '1:87', '1:89', '1:93']","['M. Celep', 'C. Chiozza', 'J. Alston', 'C. Manning Jr', 'C. Young']",1:79|1:86|1:87|1:89|1:93,Unknownx5,2,00:03:60,3,10:00:00,40,27,40,28
