team_no,team_name,team_code,player_no,name,firstName,familyName,shirtNumber,starter,captain,active,position_raw,position_group,sMinutes,sFieldGoalsMade,sFieldGoalsAttempted,sFieldGoalsPercentage,sThreePointersMade,sThreePointersAttempted,sThreePointersPercentage,sTwoPointersMade,sTwoPointersAttempted,sTwoPointersPercentage,sFreeThrowsMade,sFreeThrowsAttempted,sFreeThrowsPercentage,sReboundsDefensive,sReboundsOffensive,sReboundsTotal,sAssists,sTurnovers,sSteals,sBlocks,sBlocksReceived,sFoulsPersonal,sFoulsOn,sPoints,sPointsSecondChance,sPointsFastBreak,sPlusMinusPoints,sPointsInThePaint,scoreboardName,pair_token
1,KARSIYAKA,KSK,93,C. Young,Cameron Jordan,Young,1,0,,1,,,19:26,6,14,42,2,6,33,4,8,50,3,4,75,1,0,1,1,0,1,0,0,1,3,17,0,5,0,8,C. Young,1:93
1,KARSIYAKA,KSK,88,M. Moore,Michael Jarade,Moore,2,1,,1,,,31:58,5,10,50,3,5,60,2,5,40,5,6,83,4,0,4,1,1,0,0,0,3,4,18,0,2,10,4,M. Moore,1:88
1,KARSIYAKA,KSK,78,S. Geyik,Samet,Geyik,4,1,,1,,,23:03,2,4,50,0,0,0,2,4,50,1,4,25,1,5,6,1,0,0,0,0,4,3,5,0,0,2,4,S. Geyik,1:78
1,KARSIYAKA,KSK,92,S. Mentese,Serkan,Mentese,5,0,,0,,,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S. Mentese,1:92
1,KARSIYAKA,KSK,86,C. Chiozza,Christopher Xavier,Chiozza,11,1,,1,,,30:41,3,10,30,1,7,14,2,3,66,1,1,100,8,0,8,7,5,2,1,0,0,4,8,0,0,8,4,C. Chiozza,1:86
1,KARSIYAKA,KSK,80,A. Güven,Akif Egemen,Güven,15,0,,0,,,15:25,4,5,80,0,0,0,4,5,80,0,0,0,4,0,4,2,0,0,0,0,2,1,8,0,0,12,8,A. Güven,1:80
1,KARSIYAKA,KSK,83,E. Yapici,Egemen,Yapici,19,0,,0,,,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E. Yapici,1:83
1,KARSIYAKA,KSK,89,C. Manning Jr,Charles Maurice,Manning Jr,21,1,,1,,,36:03,7,13,53,0,4,0,7,9,77,4,4,100,4,0,4,3,1,0,1,0,2,5,18,2,2,1,12,C. Manning Jr,1:89
1,KARSIYAKA,KSK,85,R. Tarrant Jr,Ricky Lafredrick,Tarrant Jr,22,0,,0,,,9:19,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,0,0,0,2,1,0,0,0,-1,0,R. Tarrant Jr,1:85
1,KARSIYAKA,KSK,82,E. Özçelik,Ege,Özçelik,24,0,,0,,,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E. Özçelik,1:82
1,KARSIYAKA,KSK,87,J. Alston,Justin Alexander,Alston,32,1,,0,,,23:10,1,3,33,0,1,0,1,2,50,0,0,0,2,0,2,2,0,1,0,0,3,0,2,0,0,11,2,J. Alston,1:87
1,KARSIYAKA,KSK,79,M. Celep,Mert,Celep,35,0,1.0,0,,,10:55,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,2,0,0,0,0,-8,0,M. Celep,1:79
2,YUKATEL MERKEZEFENDI BELEDIYESI BASKET,YMB,3,E. Tanisan,Emre,Tanisan,0,0,,0,,,18:19,3,6,50,2,5,40,1,1,100,0,0,0,1,1,2,1,1,0,0,0,4,0,8,0,3,-2,0,E. Tanisan,2:3
2,YUKATEL MERKEZEFENDI BELEDIYESI BASKET,YMB,11,S. Griffin,Samuel Gevaris,Griffin,1,1,,0,,,23:07,5,13,38,1,5,20,4,8,50,0,0,0,3,0,3,1,1,0,0,1,1,2,11,0,2,-13,4,S. Griffin,2:11
2,YUKATEL MERKEZEFENDI BELEDIYESI BASKET,YMB,21,K. Smith Jr,Kenneth Jerome,Smith Jr,4,1,,1,,,24:52,0,7,0,0,5,0,0,2,0,0,0,0,0,0,0,2,3,0,0,0,1,2,0,0,0,-13,0,K. Smith Jr,2:21
2,YUKATEL MERKEZEFENDI BELEDIYESI BASKET,YMB,14,M. Yilmaz,Mustafa Sami,Yilmaz,5,0,,0,,,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M. Yilmaz,2:14
2,YUKATEL MERKEZEFENDI BELEDIYESI BASKET,YMB,8,H. Vanwijn,Hans,Vanwijn,10,0,,0,,,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H. Vanwijn,2:8
2,YUKATEL MERKEZEFENDI BELEDIYESI BASKET,YMB,7,Ö. Ilyasoglu,Ömer Can,Ilyasoglu,13,0,,1,,,20:02,2,5,40,1,2,50,1,3,33,0,0,0,1,0,1,5,3,0,0,0,1,0,5,3,0,1,2,Ö. Ilyasoglu,2:7
2,YUKATEL MERKEZEFENDI BELEDIYESI BASKET,YMB,9,R. Badzim,Roko,Badzim,18,0,,1,,,21:33,1,2,50,1,2,50,0,0,0,3,4,75,4,2,6,3,0,2,0,0,2,4,6,2,0,8,0,R. Badzim,2:9
2,YUKATEL MERKEZEFENDI BELEDIYESI BASKET,YMB,12,M. Cazalon,Malcolm Jean Ahmed,Cazalon,21,1,,0,,,28:29,5,11,45,2,7,28,3,4,75,0,2,0,7,0,7,4,1,2,0,0,2,2,12,2,0,-2,6,M. Cazalon,2:12
2,YUKATEL MERKEZEFENDI BELEDIYESI BASKET,YMB,10,J. Roberts,Joshua Artee,Roberts,23,0,,0,,,9:41,1,2,50,0,0,0,1,2,50,0,0,0,1,0,1,0,0,0,0,0,3,0,2,0,0,1,2,J. Roberts,2:10
2,YUKATEL MERKEZEFENDI BELEDIYESI BASKET,YMB,13,J. Hawkins,Javontae Aaron,Hawkins,31,1,1.0,0,,,17:35,2,5,40,1,3,33,1,2,50,1,2,50,0,0,0,0,0,0,0,0,2,2,6,0,0,-12,2,J. Hawkins,2:13
2,YUKATEL MERKEZEFENDI BELEDIYESI BASKET,YMB,5,M. Agva,Mahir,Agva,46,1,,1,,,34:15,7,11,63,0,1,0,7,10,70,5,8,62,5,4,9,1,2,0,0,1,4,7,19,2,0,-3,14,M. Agva,2:5
2,YUKATEL MERKEZEFENDI BELEDIYESI BASKET,YMB,4,E. Paltaci,Erbey Kemal,Paltaci,77,0,,1,,,2:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,E. Paltaci,2:4
