team_no,team_name,team_code,player_no,name,firstName,familyName,shirtNumber,starter,captain,active,position_raw,position_group,sMinutes,sFieldGoalsMade,sFieldGoalsAttempted,sFieldGoalsPercentage,sThreePointersMade,sThreePointersAttempted,sThreePointersPercentage,sTwoPointersMade,sTwoPointersAttempted,sTwoPointersPercentage,sFreeThrowsMade,sFreeThrowsAttempted,sFreeThrowsPercentage,sReboundsDefensive,sReboundsOffensive,sReboundsTotal,sAssists,sTurnovers,sSteals,sBlocks,sBlocksReceived,sFoulsPersonal,sFoulsOn,sPoints,sPointsSecondChance,sPointsFastBreak,sPlusMinusPoints,sPointsInThePaint,scoreboardName,pair_token
1,GALATASARAY MCT TECHNIC,GSM,102,E. Mc Collum,Errick,Mc Collum,3,1,1.0,1,,,28:20,6,11,54,3,7,42,3,4,75,3,5,60,1,3,4,0,1,1,0,0,3,4,18,6,2,6,6,E. Mc Collum,1:102
1,GALATASARAY MCT TECHNIC,GSM,101,T. Görener,Tibet Deniz,Görener,5,0,,1,,,14:02,2,5,40,1,3,33,1,2,50,2,2,100,1,3,4,0,0,0,0,0,2,1,7,4,3,-3,2,T. Görener,1:101
1,GALATASARAY MCT TECHNIC,GSM,109,W. Cummings,William,Cummings,7,0,,1,,,24:11,7,12,58,1,3,33,6,9,66,3,3,100,3,0,3,2,2,2,0,2,2,2,18,0,7,10,10,W. Cummings,1:109
1,GALATASARAY MCT TECHNIC,GSM,71,C. Korkmaz,Can,Korkmaz,8,0,,0,,,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C. Korkmaz,1:71
1,GALATASARAY MCT TECHNIC,GSM,107,R. Meeks,Robinson Jr,Meeks,9,0,,0,,,20:40,4,9,44,1,5,20,3,4,75,1,1,100,4,3,7,1,0,1,0,0,1,1,10,2,2,0,6,R. Meeks,1:107
1,GALATASARAY MCT TECHNIC,GSM,70,R. Öncel,Ridvan,Öncel,10,1,,0,,,14:51,0,2,0,0,1,0,0,1,0,0,0,0,1,0,1,4,0,0,0,0,1,2,0,0,0,-6,0,R. Öncel,1:70
1,GALATASARAY MCT TECHNIC,GSM,103,J. Palmer Jr,James Alfred,Palmer Jr,12,1,,1,,,38:38,11,20,55,4,9,44,7,11,63,1,5,20,2,1,3,4,4,4,0,0,1,6,27,5,0,2,12,J. Palmer Jr,1:103
1,GALATASARAY MCT TECHNIC,GSM,108,C. Bishop,Christian Angelo ,Bishop,13,0,,1,,,12:12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,1,0,2,0,0,0,0,-1,0,C. Bishop,1:108
1,GALATASARAY MCT TECHNIC,GSM,38,A. Tuncer,Ahmet Bugrahan,Tuncer,19,0,,0,,,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A. Tuncer,1:38
1,GALATASARAY MCT TECHNIC,GSM,105,F. Gillespie Ii,Frederick Maurice ,Gillespie Ii,33,1,,0,,,15:15,1,3,33,0,0,0,1,3,33,0,0,0,2,1,3,0,0,0,3,1,4,2,2,0,0,-9,0,F. Gillespie Ii,1:105
1,GALATASARAY MCT TECHNIC,GSM,104,F. White Jr,Fabian Christopher,White Jr,35,1,,0,,,19:32,4,9,44,1,3,33,3,6,50,0,0,0,2,2,4,0,1,0,0,0,2,0,9,6,0,2,6,F. White Jr,1:104
