team_no,team_name,start_action,end_action,players_on_court,lineup_size,lineup_uid,players_on_court_tokens,players_on_court_names,lineup_uid_pair,lineup_pos_mix,start_period,start_clock,end_period,end_clock,score_start_for,score_start_against,score_end_for,score_end_against
1,TÜRK TELEKOM,1.0,84.0,"[5, 7, 74, 77, 78]",5,5|7|74|77|78,"['1:5', '1:7', '1:74', '1:77', '1:78']","['D. Özdemiroglu', 'B. Durmaz', 'J. Usher', 'J. Smith', 'K. Bankston']",1:5|1:7|1:74|1:77|1:78,Unknownx5,1,10:00:00,1,05:26:00,0,0,14,3
1,TÜRK TELEKOM,84.1,98.0,"[5, 6, 7, 74, 77]",5,5|6|7|74|77,"['1:5', '1:6', '1:7', '1:74', '1:77']","['D. Özdemiroglu', 'E. Kosut', 'B. Durmaz', 'J. Usher', 'J. Smith']",1:5|1:6|1:7|1:74|1:77,Unknownx5,1,05:26:00,1,04:30:00,14,3,17,7
1,TÜRK TELEKOM,98.1,154.0,"[6, 74, 75, 76, 77]",5,6|74|75|76|77,"['1:6', '1:74', '1:75', '1:76', '1:77']","['E. Kosut', 'J. Usher', 'K. Allman', 'M. Simonovic', 'J. Smith']",1:6|1:74|1:75|1:76|1:77,Unknownx5,1,04:30:00,1,01:54:00,17,7,23,10
1,TÜRK TELEKOM,154.1,193.0,"[5, 8, 75, 76, 78]",5,5|8|75|76|78,"['1:5', '1:8', '1:75', '1:76', '1:78']","['D. Özdemiroglu', 'Y. Gültekin', 'K. Allman', 'M. Simonovic', 'K. Bankston']",1:5|1:8|1:75|1:76|1:78,Unknownx5,1,01:54:00,1,00:29:90,23,10,25,16
1,TÜRK TELEKOM,193.1,208.0,"[5, 75, 76, 77, 78]",5,5|75|76|77|78,"['1:5', '1:75', '1:76', '1:77', '1:78']","['D. Özdemiroglu', 'K. Allman', 'M. Simonovic', 'J. Smith', 'K. Bankston']",1:5|1:75|1:76|1:77|1:78,Unknownx5,1,00:29:90,2,10:00:00,25,16,25,18
1,TÜRK TELEKOM,208.1,232.0,"[5, 7, 74, 75, 78]",5,5|7|74|75|78,"['1:5', '1:7', '1:74', '1:75', '1:78']","['D. Özdemiroglu', 'B. Durmaz', 'J. Usher', 'K. Allman', 'K. Bankston']",1:5|1:7|1:74|1:75|1:78,Unknownx5,2,10:00:00,2,08:18:00,25,18,27,25
1,TÜRK TELEKOM,232.1,260.0,"[5, 7, 8, 75, 78]",5,5|7|8|75|78,"['1:5', '1:7', '1:8', '1:75', '1:78']","['D. Özdemiroglu', 'B. Durmaz', 'Y. Gültekin', 'K. Allman', 'K. Bankston']",1:5|1:7|1:8|1:75|1:78,Unknownx5,2,08:18:00,2,07:30:00,27,25,29,27
1,TÜRK TELEKOM,260.1,290.0,"[8, 74, 75, 77, 78]",5,8|74|75|77|78,"['1:8', '1:74', '1:75', '1:77', '1:78']","['Y. Gültekin', 'J. Usher', 'K. Allman', 'J. Smith', 'K. Bankston']",1:8|1:74|1:75|1:77|1:78,Unknownx5,2,07:30:00,2,05:26:00,29,27,34,34
1,TÜRK TELEKOM,290.1,343.0,"[5, 6, 75, 76, 77]",5,5|6|75|76|77,"['1:5', '1:6', '1:75', '1:76', '1:77']","['D. Özdemiroglu', 'E. Kosut', 'K. Allman', 'M. Simonovic', 'J. Smith']",1:5|1:6|1:75|1:76|1:77,Unknownx5,2,05:26:00,2,04:03:00,34,34,38,40
1,TÜRK TELEKOM,343.1,396.0,"[7, 74, 75, 76, 77]",5,7|74|75|76|77,"['1:7', '1:74', '1:75', '1:76', '1:77']","['B. Durmaz', 'J. Usher', 'K. Allman', 'M. Simonovic', 'J. Smith']",1:7|1:74|1:75|1:76|1:77,Unknownx5,2,04:03:00,2,01:09:00,38,40,51,45
1,TÜRK TELEKOM,396.1,416.0,"[3, 7, 74, 75, 78]",5,3|7|74|75|78,"['1:3', '1:7', '1:74', '1:75', '1:78']","['A. Kahraman', 'B. Durmaz', 'J. Usher', 'K. Allman', 'K. Bankston']",1:3|1:7|1:74|1:75|1:78,Unknownx5,2,01:09:00,3,10:00:00,51,45,53,49
1,TÜRK TELEKOM,416.1,462.0,"[5, 7, 74, 77, 78]",5,5|7|74|77|78,"['1:5', '1:7', '1:74', '1:77', '1:78']","['D. Özdemiroglu', 'B. Durmaz', 'J. Usher', 'J. Smith', 'K. Bankston']",1:5|1:7|1:74|1:77|1:78,Unknownx5,3,10:00:00,3,05:59:00,53,49,60,57
1,TÜRK TELEKOM,462.1,492.0,"[5, 74, 76, 77, 78]",5,5|74|76|77|78,"['1:5', '1:74', '1:76', '1:77', '1:78']","['D. Özdemiroglu', 'J. Usher', 'M. Simonovic', 'J. Smith', 'K. Bankston']",1:5|1:74|1:76|1:77|1:78,Unknownx5,3,05:59:00,3,02:44:00,60,57,70,66
1,TÜRK TELEKOM,492.1,559.0,"[7, 74, 75, 76, 77]",5,7|74|75|76|77,"['1:7', '1:74', '1:75', '1:76', '1:77']","['B. Durmaz', 'J. Usher', 'K. Allman', 'M. Simonovic', 'J. Smith']",1:7|1:74|1:75|1:76|1:77,Unknownx5,3,02:44:00,4,10:00:00,70,66,75,71
1,TÜRK TELEKOM,559.1,572.0,"[5, 7, 74, 77, 78]",5,5|7|74|77|78,"['1:5', '1:7', '1:74', '1:77', '1:78']","['D. Özdemiroglu', 'B. Durmaz', 'J. Usher', 'J. Smith', 'K. Bankston']",1:5|1:7|1:74|1:77|1:78,Unknownx5,4,10:00:00,4,09:50:00,75,71,75,74
