team_no,team_name,start_action,end_action,players_on_court,lineup_uid,possessions,poss_for,poss_against,pts_for,pts_against,net,ORtg,DRtg,start_period,start_clock,end_period,end_clock,score_start_for,score_start_against,score_end_for,score_end_against,lineup_pos_mix,lineup_size,lineup_uid_st,lineup_uid_pair,players_on_court_st,players_on_court_tokens,players_on_court_names,team_name_st
1,TÜRK TELEKOM,1.0,84.0,"[5, 7, 74, 77, 78]",5|7|74|77|78,13,13,13,14,3,11,107.6923076923077,23.076923076923077,1,10:00:00,1,05:26:00,0,0,14,3,Unknownx5,5,5|7|74|77|78,1:5|1:7|1:74|1:77|1:78,"[5, 7, 74, 77, 78]","['1:5', '1:7', '1:74', '1:77', '1:78']","['D. Özdemiroglu', 'B. Durmaz', 'J. Usher', 'J. Smith', 'K. Bankston']",TÜRK TELEKOM
1,TÜRK TELEKOM,84.1,98.0,"[5, 6, 7, 74, 77]",5|6|7|74|77,2,2,2,3,4,-1,150.0,200.0,1,05:26:00,1,04:30:00,14,3,17,7,Unknownx5,5,5|6|7|74|77,1:5|1:6|1:7|1:74|1:77,"[5, 6, 7, 74, 77]","['1:5', '1:6', '1:7', '1:74', '1:77']","['D. Özdemiroglu', 'E. Kosut', 'B. Durmaz', 'J. Usher', 'J. Smith']",TÜRK TELEKOM
1,TÜRK TELEKOM,98.1,154.0,"[6, 74, 75, 76, 77]",6|74|75|76|77,9,9,10,6,3,3,66.66666666666667,30.0,1,04:30:00,1,01:54:00,17,7,23,10,Unknownx5,5,6|74|75|76|77,1:6|1:74|1:75|1:76|1:77,"[6, 74, 75, 76, 77]","['1:6', '1:74', '1:75', '1:76', '1:77']","['E. Kosut', 'J. Usher', 'K. Allman', 'M. Simonovic', 'J. Smith']",TÜRK TELEKOM
1,TÜRK TELEKOM,154.1,193.0,"[5, 8, 75, 76, 78]",5|8|75|76|78,7,7,7,2,6,-4,28.571428571428573,85.71428571428571,1,01:54:00,1,00:29:90,23,10,25,16,Unknownx5,5,5|8|75|76|78,1:5|1:8|1:75|1:76|1:78,"[5, 8, 75, 76, 78]","['1:5', '1:8', '1:75', '1:76', '1:78']","['D. Özdemiroglu', 'Y. Gültekin', 'K. Allman', 'M. Simonovic', 'K. Bankston']",TÜRK TELEKOM
1,TÜRK TELEKOM,193.1,208.0,"[5, 75, 76, 77, 78]",5|75|76|77|78,2,2,1,0,2,-2,0.0,200.0,1,00:29:90,2,10:00:00,25,16,25,18,Unknownx5,5,5|75|76|77|78,1:5|1:75|1:76|1:77|1:78,"[5, 75, 76, 77, 78]","['1:5', '1:75', '1:76', '1:77', '1:78']","['D. Özdemiroglu', 'K. Allman', 'M. Simonovic', 'J. Smith', 'K. Bankston']",TÜRK TELEKOM
1,TÜRK TELEKOM,208.1,232.0,"[5, 7, 74, 75, 78]",5|7|74|75|78,3,3,4,2,7,-5,66.66666666666667,175.0,2,10:00:00,2,08:18:00,25,18,27,25,Unknownx5,5,5|7|74|75|78,1:5|1:7|1:74|1:75|1:78,"[5, 7, 74, 75, 78]","['1:5', '1:7', '1:74', '1:75', '1:78']","['D. Özdemiroglu', 'B. Durmaz', 'J. Usher', 'K. Allman', 'K. Bankston']",TÜRK TELEKOM
1,TÜRK TELEKOM,232.1,260.0,"[5, 7, 8, 75, 78]",5|7|8|75|78,5,5,5,2,2,0,40.0,40.0,2,08:18:00,2,07:30:00,27,25,29,27,Unknownx5,5,5|7|8|75|78,1:5|1:7|1:8|1:75|1:78,"[5, 7, 8, 75, 78]","['1:5', '1:7', '1:8', '1:75', '1:78']","['D. Özdemiroglu', 'B. Durmaz', 'Y. Gültekin', 'K. Allman', 'K. Bankston']",TÜRK TELEKOM
1,TÜRK TELEKOM,260.1,290.0,"[8, 74, 75, 77, 78]",8|74|75|77|78,5,5,4,5,7,-2,100.0,175.0,2,07:30:00,2,05:26:00,29,27,34,34,Unknownx5,5,8|74|75|77|78,1:8|1:74|1:75|1:77|1:78,"[8, 74, 75, 77, 78]","['1:8', '1:74', '1:75', '1:77', '1:78']","['Y. Gültekin', 'J. Usher', 'K. Allman', 'J. Smith', 'K. Bankston']",TÜRK TELEKOM
1,TÜRK TELEKOM,290.1,343.0,"[5, 6, 75, 76, 77]",5|6|75|76|77,7,7,7,4,6,-2,57.142857142857146,85.71428571428571,2,05:26:00,2,04:03:00,34,34,38,40,Unknownx5,5,5|6|75|76|77,1:5|1:6|1:75|1:76|1:77,"[5, 6, 75, 76, 77]","['1:5', '1:6', '1:75', '1:76', '1:77']","['D. Özdemiroglu', 'E. Kosut', 'K. Allman', 'M. Simonovic', 'J. Smith']",TÜRK TELEKOM
1,TÜRK TELEKOM,343.1,396.0,"[7, 74, 75, 76, 77]",7|74|75|76|77,7,7,8,13,5,8,185.71428571428572,62.5,2,04:03:00,2,01:09:00,38,40,51,45,Unknownx5,5,7|74|75|76|77,1:7|1:74|1:75|1:76|1:77,"[7, 74, 75, 76, 77]","['1:7', '1:74', '1:75', '1:76', '1:77']","['B. Durmaz', 'J. Usher', 'K. Allman', 'M. Simonovic', 'J. Smith']",TÜRK TELEKOM
