gt,clock,s1,s2,lead,tno,period,periodType,pno,player,success,actionType,actionNumber,previousAction,qualifier,subType,scoring,shirtNumber,firstName,familyName,internationalFirstName,internationalFamilyName,firstNameInitial,familyNameInitial,internationalFirstNameInitial,internationalFamilyNameInitial,scoreboardName,team_name,team_code,player_name_from_roster,player_shirt,player_pos_raw,player_pos_group,x,y,r,ev_code,ev_result,ev_text,assist_pno,assist_tno,assist_player,block_pno,block_tno,block_player,assist_pos_group,block_pos_group,points,possession_id,possession_owner_tno,possession_end_reason,pts_1,cum_1,pts_2,cum_2
10:00,10:00:00,0,0,0,0,1,REGULAR,0,,1,game,1,,[],start,0,,,,,,,,,,,,,,,,,,,,OTHER,,game start,,,,,,,,,0,0,,,0,0,0,0
10:00,10:00:00,0,0,0,0,1,REGULAR,0,,1,period,2,,[],start,0,,,,,,,,,,,,,,,,,,,,OTHER,,period start,,,,,,,,,0,0,,,0,0,0,0
10:00,10:00:00,0,0,0,0,1,REGULAR,0,,1,jumpball,4,,[],startperiod,0,,,,,,,,,,,,,,,,,,,,JUMP,,jump ball,,,,,,,,,0,0,,,0,0,0,0
09:58,09:58:00,0,0,0,1,1,REGULAR,78,K. BANKSTON,1,jumpball,5,4,[],won,0,30,Kristeon Lamar,Bankston,Kristeon Lamar,Bankston,K,B,K,B,K. Bankston,TÜRK TELEKOM,TTK,K. Bankston,30,,,,,,JUMP,,jump ball,,,,,,,,,0,0,,,0,0,0,0
09:58,09:58:00,0,0,0,2,1,REGULAR,80,T. WILLIAMS,1,jumpball,6,4,[],lost,0,50,Trevion Lamon,Williams,Trevion Lamon,Williams,T,W,T,W,T. Williams,BAHÇESEHIR KOLEJI,BSK,T. Williams,50,,,,,,JUMP,,jump ball,,,,,,,,,0,0,,,0,0,0,0
09:51,09:51:00,2,0,2,1,1,REGULAR,77,J. SMITH,1,2pt,9,,['pointsinthepaint'],layup,1,9,Jaleen Devon,Smith,Jaleen Devon,Smith,J,S,J,S,J. Smith,TÜRK TELEKOM,TTK,J. Smith,9,,,94.699996948242,43.220001220703,1.0,P2,made,TÜRK TELEKOM J. SMITH 2Pt made,78.0,1.0,K. BANKSTON,,,,,,2,1,1.0,score,2,2,0,0
09:51,09:51:00,2,0,2,1,1,REGULAR,78,K. BANKSTON,1,assist,10,9,[],,0,30,Kristeon Lamar,Bankston,Kristeon Lamar,Bankston,K,B,K,B,K. Bankston,TÜRK TELEKOM,TTK,K. Bankston,30,,,,,,ASS,,TÜRK TELEKOM K. BANKSTON assist,,,,,,,,,0,2,2.0,,0,2,0,0
09:37,09:37:00,2,0,2,2,1,REGULAR,76,C. HOMESLEY,0,3pt,12,,[],pullupjumpshot,1,5,Caleb Allen,Homesley,Caleb Allen,Homesley,C,H,C,H,C. Homesley,BAHÇESEHIR KOLEJI,BSK,C. Homesley,5,,,28.860000610352,30.510000228882,0.0,P3,missed,BAHÇESEHIR KOLEJI C. HOMESLEY 3Pt missed,,,,,,,,,0,2,2.0,def_reb,0,2,0,0
09:37,09:37:00,2,0,2,1,1,REGULAR,0,,1,rebound,13,12,['team'],defensive,0,,,,,,,,,,,TÜRK TELEKOM,TTK,,,,,,,,TREB,,TÜRK TELEKOM team rebound defensive,,,,,,,,,0,3,1.0,def_reb,0,2,0,0
09:21,09:21:00,2,0,2,1,1,REGULAR,7,B. DURMAZ,0,3pt,15,,[],jumpshot,1,3,Berkan,Durmaz,Berkan,Durmaz,B,D,B,D,B. Durmaz,TÜRK TELEKOM,TTK,B. Durmaz,3,,,74.569999694824,85.029998779297,0.0,P3,missed,TÜRK TELEKOM B. DURMAZ 3Pt missed,,,,,,,,,0,4,2.0,def_reb,0,2,0,0
09:19,09:19:00,2,0,2,2,1,REGULAR,80,T. WILLIAMS,1,rebound,16,15,[],defensive,0,50,Trevion Lamon,Williams,Trevion Lamon,Williams,T,W,T,W,T. Williams,BAHÇESEHIR KOLEJI,BSK,T. Williams,50,,,,,,REB,,BAHÇESEHIR KOLEJI rebound defensive,,,,,,,,,0,5,1.0,def_reb,0,2,0,0
09:07,09:07:00,2,0,2,2,1,REGULAR,80,T. WILLIAMS,0,2pt,17,,['pointsinthepaint'],jumpshot,1,50,Trevion Lamon,Williams,Trevion Lamon,Williams,T,W,T,W,T. Williams,BAHÇESEHIR KOLEJI,BSK,T. Williams,50,,,6.710000038147,37.009998321533,0.0,P2,missed,BAHÇESEHIR KOLEJI T. WILLIAMS 2Pt missed,,,,,,,,,0,6,2.0,,0,2,0,0
09:06,09:06:00,2,0,2,2,1,REGULAR,80,T. WILLIAMS,1,rebound,18,17,[],offensive,0,50,Trevion Lamon,Williams,Trevion Lamon,Williams,T,W,T,W,T. Williams,BAHÇESEHIR KOLEJI,BSK,T. Williams,50,,,,,,REB,,BAHÇESEHIR KOLEJI rebound offensive,,,,,,,,,0,6,2.0,,0,2,0,0
09:04,09:04:00,2,0,2,2,1,REGULAR,80,T. WILLIAMS,0,2pt,19,,"['2ndchance', 'pointsinthepaint']",jumpshot,1,50,Trevion Lamon,Williams,Trevion Lamon,Williams,T,W,T,W,T. Williams,BAHÇESEHIR KOLEJI,BSK,T. Williams,50,,,8.2700004577637,44.919998168945,0.0,P2,missed,BAHÇESEHIR KOLEJI T. WILLIAMS 2Pt missed,,,,,,,,,0,6,2.0,def_reb,0,2,0,0
09:03,09:03:00,2,0,2,1,1,REGULAR,78,K. BANKSTON,1,rebound,21,19,[],defensive,0,30,Kristeon Lamar,Bankston,Kristeon Lamar,Bankston,K,B,K,B,K. Bankston,TÜRK TELEKOM,TTK,K. Bankston,30,,,,,,REB,,TÜRK TELEKOM rebound defensive,,,,,,,,,0,7,1.0,def_reb,0,2,0,0
09:03,09:03:00,2,0,2,2,1,REGULAR,80,T. WILLIAMS,1,foul,22,,[],personal,0,50,Trevion Lamon,Williams,Trevion Lamon,Williams,T,W,T,W,T. Williams,BAHÇESEHIR KOLEJI,BSK,T. Williams,50,,,,,,FOUL,,BAHÇESEHIR KOLEJI T. WILLIAMS foul personal,,,,,,,,,0,8,2.0,,0,2,0,0
