team_no,team_name,team_code,player_no,name,firstName,familyName,shirtNumber,starter,captain,active,position_raw,position_group,sMinutes,sFieldGoalsMade,sFieldGoalsAttempted,sFieldGoalsPercentage,sThreePointersMade,sThreePointersAttempted,sThreePointersPercentage,sTwoPointersMade,sTwoPointersAttempted,sTwoPointersPercentage,sFreeThrowsMade,sFreeThrowsAttempted,sFreeThrowsPercentage,sReboundsDefensive,sReboundsOffensive,sReboundsTotal,sAssists,sTurnovers,sSteals,sBlocks,sBlocksReceived,sFoulsPersonal,sFoulsOn,sPoints,sPointsSecondChance,sPointsFastBreak,sPlusMinusPoints,sPointsInThePaint,scoreboardName,pair_token
1,KARSIYAKA,KSK,93,C. Young,Cameron Jordan,Young,1,0,,0,,,15:37,7,10,70,3,4,75,4,6,66,3,4,75,1,0,1,1,0,0,0,0,3,4,20,0,0,-2,6,C. Young,1:93
1,KARSIYAKA,KSK,88,M. Moore,Michael Jarade,Moore,2,1,,1,,,32:41,5,9,55,1,2,50,4,7,57,1,1,100,2,1,3,1,2,0,0,1,3,2,12,2,0,-10,8,M. Moore,1:88
1,KARSIYAKA,KSK,78,S. Geyik,Samet,Geyik,4,1,,1,,,32:49,5,10,50,0,3,0,5,7,71,0,0,0,10,2,12,1,1,2,1,2,2,3,10,4,0,-9,10,S. Geyik,1:78
1,KARSIYAKA,KSK,92,S. Mentese,Serkan,Mentese,5,0,,0,,,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S. Mentese,1:92
1,KARSIYAKA,KSK,95,N. Gordic,Nemanja,Gordic,8,0,,0,,,17:53,2,4,50,1,1,100,1,3,33,0,0,0,0,0,0,9,4,0,0,0,0,3,5,0,2,-1,2,N. Gordic,1:95
1,KARSIYAKA,KSK,86,C. Chiozza,Christopher Xavier,Chiozza,11,1,,1,,,27:34,5,14,35,2,10,20,3,4,75,0,0,0,1,0,1,5,0,1,0,0,2,0,12,3,0,-15,4,C. Chiozza,1:86
1,KARSIYAKA,KSK,83,E. Yapici,Egemen,Yapici,19,0,,0,,,2:15,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,-4,0,E. Yapici,1:83
1,KARSIYAKA,KSK,89,C. Manning Jr,Charles Maurice,Manning Jr,21,1,,1,,,23:55,2,7,28,0,2,0,2,5,40,2,2,100,2,1,3,3,1,0,1,0,3,2,6,2,0,-12,2,C. Manning Jr,1:89
1,KARSIYAKA,KSK,85,R. Tarrant Jr,Ricky Lafredrick,Tarrant Jr,22,0,,0,,,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R. Tarrant Jr,1:85
1,KARSIYAKA,KSK,82,E. Özçelik,Ege,Özçelik,24,0,,0,,,2:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-2,0,E. Özçelik,1:82
1,KARSIYAKA,KSK,87,J. Alston,Justin Alexander,Alston,32,1,,0,,,24:48,9,14,64,2,2,100,7,12,58,2,3,66,2,4,6,1,1,1,0,3,4,3,22,4,6,-13,12,J. Alston,1:87
1,KARSIYAKA,KSK,79,M. Celep,Mert,Celep,35,0,1.0,1,,,20:08,0,2,0,0,0,0,0,2,0,0,0,0,1,1,2,0,1,0,0,0,4,0,0,0,0,-2,0,M. Celep,1:79
2,ANADOLU EFES,EFS,90,S. Larkin,Shane,Larkin,0,1,1.0,0,,,27:45,7,13,53,4,9,44,3,4,75,3,3,100,4,1,5,8,3,1,0,0,3,5,21,0,2,14,4,S. Larkin,2:90
