team_no,team_name,team_code,player_no,name,shirtNumber,position_raw,position_group,pair_token
1,KARSIYAKA,KSK,86,C. Chiozza,11,,,1:86
1,KARSIYAKA,KSK,89,C. Manning Jr,21,,,1:89
1,KARSIYAKA,KSK,93,C. Young,1,,,1:93
1,KARSIYAKA,KSK,83,E. Yapici,19,,,1:83
1,KARSIYAKA,KSK,82,E. Özçelik,24,,,1:82
1,KARSIYAKA,KSK,87,J. Alston,32,,,1:87
1,KARSIYAKA,KSK,79,M. Celep,35,,,1:79
1,KARSIYAKA,KSK,88,M. Moore,2,,,1:88
1,KARSIYAKA,KSK,95,N. Gordic,8,,,1:95
1,KARSIYAKA,KSK,85,R. Tarrant Jr,22,,,1:85
1,KARSIYAKA,KSK,78,S. Geyik,4,,,1:78
1,KARSIYAKA,KSK,92,S. Mentese,5,,,1:92
2,ANADOLU EFES,EFS,73,B. Dessert,13,,,2:73
2,ANADOLU EFES,EFS,71,B. Yildizli,19,,,2:71
2,ANADOLU EFES,EFS,75,C. Swider,21,,,2:75
2,ANADOLU EFES,EFS,80,E. Yilmaz,33,,,2:80
2,ANADOLU EFES,EFS,92,J. Loyd,3,,,2:92
2,ANADOLU EFES,EFS,91,K. Jones,88,,,2:91
2,ANADOLU EFES,EFS,87,N. Weiler-Babb,8,,,2:87
2,ANADOLU EFES,EFS,74,P. Dozier,15,,,2:74
2,ANADOLU EFES,EFS,86,R. Smits,11,,,2:86
2,ANADOLU EFES,EFS,81,S. Hazer,2,,,2:81
2,ANADOLU EFES,EFS,90,S. Larkin,0,,,2:90
2,ANADOLU EFES,EFS,82,S. Mutaf,23,,,2:82
