team_no,team_name,team_code,player_no,name,firstName,familyName,shirtNumber,starter,captain,active,position_raw,position_group,sMinutes,sFieldGoalsMade,sFieldGoalsAttempted,sFieldGoalsPercentage,sThreePointersMade,sThreePointersAttempted,sThreePointersPercentage,sTwoPointersMade,sTwoPointersAttempted,sTwoPointersPercentage,sFreeThrowsMade,sFreeThrowsAttempted,sFreeThrowsPercentage,sReboundsDefensive,sReboundsOffensive,sReboundsTotal,sAssists,sTurnovers,sSteals,sBlocks,sBlocksReceived,sFoulsPersonal,sFoulsOn,sPoints,sPointsSecondChance,sPointsFastBreak,sPlusMinusPoints,sPointsInThePaint,scoreboardName,pair_token
1,GALATASARAY MCT TECHNIC,GSM,106,J. Robinson Jr,Jerome Emanuel,Robinson Jr,1,1,,1,,,26:14,4,9,44,1,5,20,3,4,75,0,0,0,2,2,4,1,0,3,1,0,2,0,9,2,2,18,6,J. Robinson Jr,1:106
1,GALATASARAY MCT TECHNIC,GSM,72,Z. Tekin,Zekeriya Yigit,Tekin,4,1,,1,,,18:53,4,7,57,1,3,33,3,4,75,0,0,0,0,1,1,2,0,2,1,0,2,1,9,0,2,6,6,Z. Tekin,1:72
1,GALATASARAY MCT TECHNIC,GSM,42,Y. Alisan,Yaman,Alisan,6,0,,1,,,1:41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,-2,0,Y. Alisan,1:42
1,GALATASARAY MCT TECHNIC,GSM,109,W. Cummings,William,Cummings,7,0,1.0,0,,,24:08,6,9,66,1,3,33,5,6,83,1,1,100,3,1,4,8,2,3,0,0,1,3,14,0,8,17,10,W. Cummings,1:109
1,GALATASARAY MCT TECHNIC,GSM,71,C. Korkmaz,Can,Korkmaz,8,0,,0,,,6:07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,C. Korkmaz,1:71
1,GALATASARAY MCT TECHNIC,GSM,107,R. Meeks,Robinson Jr,Meeks,9,0,,1,,,18:60,6,8,75,3,5,60,3,3,100,2,2,100,0,0,0,0,0,0,0,0,1,1,17,2,2,9,6,R. Meeks,1:107
1,GALATASARAY MCT TECHNIC,GSM,103,J. Palmer Jr,James Alfred,Palmer Jr,12,1,,0,,,25:31,10,17,58,2,5,40,8,12,66,3,4,75,0,1,1,2,1,3,0,1,2,5,25,0,6,12,14,J. Palmer Jr,1:103
1,GALATASARAY MCT TECHNIC,GSM,39,C. Dalgali,Cihat Mertali,Dalgali,16,0,,0,,,0:07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C. Dalgali,1:39
1,GALATASARAY MCT TECHNIC,GSM,38,A. Tuncer,Ahmet Bugrahan,Tuncer,19,0,,0,,,17:20,4,6,66,1,2,50,3,4,75,2,3,66,1,1,2,3,3,1,0,0,3,1,11,2,1,8,4,A. Tuncer,1:38
1,GALATASARAY MCT TECHNIC,GSM,105,F. Gillespie Ii,Frederick Maurice ,Gillespie Ii,33,1,,1,,,23:45,2,3,66,0,0,0,2,3,66,0,0,0,1,2,3,2,0,2,1,0,2,1,4,0,0,-3,4,F. Gillespie Ii,1:105
1,GALATASARAY MCT TECHNIC,GSM,104,F. White Jr,Fabian Christopher,White Jr,35,1,,0,,,21:04,3,7,42,0,3,0,3,4,75,3,3,100,4,1,5,0,1,1,1,0,1,2,9,2,0,11,4,F. White Jr,1:104
1,GALATASARAY MCT TECHNIC,GSM,99,M. Yasar,Muhsin,Yasar,77,0,,0,,,16:11,2,3,66,0,0,0,2,3,66,1,2,50,4,0,4,3,0,2,0,0,1,3,5,0,2,23,4,M. Yasar,1:99
2,KARSIYAKA,KSK,93,C. Young,Cameron Jordan,Young,1,0,,0,,,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C. Young,2:93
2,KARSIYAKA,KSK,88,M. Moore,Michael Jarade,Moore,2,1,,1,,,33:33,9,12,75,6,8,75,3,4,75,2,2,100,1,0,1,3,2,0,1,0,4,1,26,3,10,-3,6,M. Moore,2:88
