team_no,team_name,team_code,player_no,name,shirtNumber,position_raw,position_group,pair_token
1,KARŞIYAKA,KSK,80,A. Güven,15,,,1:80
1,KARŞIYAKA,KSK,86,C. Chiozza,11,,,1:86
1,KARŞIYAKA,KSK,89,C. Manning Jr,21,,,1:89
1,KARŞIYAKA,KSK,93,C. Young,1,,,1:93
1,KARŞIYAKA,KSK,83,E. Yapici,19,,,1:83
1,KARŞIYAKA,KSK,82,E. Özçelik,24,,,1:82
1,KARŞIYAKA,KSK,87,J. Alston,32,,,1:87
1,KARŞIYAKA,KSK,79,M. Celep,35,,,1:79
1,KARŞIYAKA,KSK,88,M. Moore,2,,,1:88
1,KARŞIYAKA,KSK,95,N. Gordic,8,,,1:95
1,KARŞIYAKA,KSK,78,S. Geyik,4,,,1:78
1,KARŞIYAKA,KSK,92,S. Mentese,5,,,1:92
2,TRABZONSPOR,TRB,9,A. Delgado Astacio,31,,,2:9
2,TRABZONSPOR,TRB,6,A. Güney,7,,,2:6
2,TRABZONSPOR,TRB,12,A. Yeboah,15,,,2:12
2,TRABZONSPOR,TRB,3,B. Demir,11,,,2:3
2,TRABZONSPOR,TRB,1,D. Engindeniz,30,,,2:1
2,TRABZONSPOR,TRB,14,D. Grant,1,,,2:14
2,TRABZONSPOR,TRB,2,E. Arar,19,,,2:2
2,TRABZONSPOR,TRB,4,I. Ulusoy,5,,,2:4
2,TRABZONSPOR,TRB,11,M. Reed,0,,,2:11
2,TRABZONSPOR,TRB,56,R. Hamm Jr,17,,,2:56
2,TRABZONSPOR,TRB,42,T. Taylor,21,,,2:42
2,TRABZONSPOR,TRB,10,T. Tinkle,3,,,2:10
