team_no,team_name,start_action,end_action,players_on_court,lineup_uid,possessions,poss_for,poss_against,pts_for,pts_against,net,ORtg,DRtg,start_period,start_clock,end_period,end_clock,score_start_for,score_start_against,score_end_for,score_end_against,lineup_pos_mix,lineup_size,lineup_uid_st,lineup_uid_pair,players_on_court_st,players_on_court_tokens,players_on_court_names,team_name_st
1,KARŞIYAKA,1.0,40.0,"[78, 86, 87, 88, 89]",78|86|87|88|89,6,6,8,4,11,-7,66.66666666666667,137.5,1,10:00:00,1,06:44:00,0,0,4,11,Unknownx5,5,78|86|87|88|89,1:78|1:86|1:87|1:88|1:89,"[78, 86, 87, 88, 89]","['1:78', '1:86', '1:87', '1:88', '1:89']","['S. Geyik', 'C. Chiozza', 'J. Alston', 'M. Moore', 'C. Manning Jr']",KARŞIYAKA
1,KARŞIYAKA,40.1,69.0,"[78, 86, 87, 89, 93]",78|86|87|89|93,6,6,5,4,8,-4,66.66666666666667,160.0,1,06:44:00,1,04:13:00,4,11,8,19,Unknownx5,5,78|86|87|89|93,1:78|1:86|1:87|1:89|1:93,"[78, 86, 87, 89, 93]","['1:78', '1:86', '1:87', '1:89', '1:93']","['S. Geyik', 'C. Chiozza', 'J. Alston', 'C. Manning Jr', 'C. Young']",KARŞIYAKA
1,KARŞIYAKA,69.1,109.0,"[78, 79, 89, 93, 95]",78|79|89|93|95,5,5,6,4,2,2,80.0,33.333333333333336,1,04:13:00,1,02:09:00,8,19,12,21,Unknownx5,5,78|79|89|93|95,1:78|1:79|1:89|1:93|1:95,"[78, 79, 89, 93, 95]","['1:78', '1:79', '1:89', '1:93', '1:95']","['S. Geyik', 'M. Celep', 'C. Manning Jr', 'C. Young', 'N. Gordic']",KARŞIYAKA
1,KARŞIYAKA,109.1,170.0,"[79, 80, 88, 93, 95]",79|80|88|93|95,9,9,9,9,6,3,100.0,66.66666666666667,1,02:09:00,2,08:46:00,12,21,21,27,Unknownx5,5,79|80|88|93|95,1:79|1:80|1:88|1:93|1:95,"[79, 80, 88, 93, 95]","['1:79', '1:80', '1:88', '1:93', '1:95']","['M. Celep', 'A. Güven', 'M. Moore', 'C. Young', 'N. Gordic']",KARŞIYAKA
1,KARŞIYAKA,170.1,187.0,"[79, 80, 89, 93, 95]",79|80|89|93|95,2,2,2,0,5,-5,0.0,250.0,2,08:46:00,2,07:42:00,21,27,21,32,Unknownx5,5,79|80|89|93|95,1:79|1:80|1:89|1:93|1:95,"[79, 80, 89, 93, 95]","['1:79', '1:80', '1:89', '1:93', '1:95']","['M. Celep', 'A. Güven', 'C. Manning Jr', 'C. Young', 'N. Gordic']",KARŞIYAKA
1,KARŞIYAKA,187.1,232.0,"[78, 86, 87, 89, 93]",78|86|87|89|93,6,6,6,5,2,3,83.33333333333333,33.333333333333336,2,07:42:00,2,05:07:00,21,32,26,34,Unknownx5,5,78|86|87|89|93,1:78|1:86|1:87|1:89|1:93,"[78, 86, 87, 89, 93]","['1:78', '1:86', '1:87', '1:89', '1:93']","['S. Geyik', 'C. Chiozza', 'J. Alston', 'C. Manning Jr', 'C. Young']",KARŞIYAKA
1,KARŞIYAKA,232.1,249.0,"[78, 86, 87, 88, 89]",78|86|87|88|89,3,3,2,0,4,-4,0.0,200.0,2,05:07:00,2,04:05:00,26,34,26,38,Unknownx5,5,78|86|87|88|89,1:78|1:86|1:87|1:88|1:89,"[78, 86, 87, 88, 89]","['1:78', '1:86', '1:87', '1:88', '1:89']","['S. Geyik', 'C. Chiozza', 'J. Alston', 'M. Moore', 'C. Manning Jr']",KARŞIYAKA
1,KARŞIYAKA,249.1,296.0,"[78, 87, 88, 89, 95]",78|87|88|89|95,6,6,6,7,1,6,116.66666666666667,16.666666666666668,2,04:05:00,2,02:09:00,26,38,33,39,Unknownx5,5,78|87|88|89|95,1:78|1:87|1:88|1:89|1:95,"[78, 87, 88, 89, 95]","['1:78', '1:87', '1:88', '1:89', '1:95']","['S. Geyik', 'J. Alston', 'M. Moore', 'C. Manning Jr', 'N. Gordic']",KARŞIYAKA
1,KARŞIYAKA,296.1,345.0,"[78, 87, 88, 93, 95]",78|87|88|93|95,7,7,8,8,5,3,114.28571428571429,62.5,2,02:09:00,2,00:27:40,33,39,41,44,Unknownx5,5,78|87|88|93|95,1:78|1:87|1:88|1:93|1:95,"[78, 87, 88, 93, 95]","['1:78', '1:87', '1:88', '1:93', '1:95']","['S. Geyik', 'J. Alston', 'M. Moore', 'C. Young', 'N. Gordic']",KARŞIYAKA
1,KARŞIYAKA,345.1,362.0,"[78, 82, 87, 92, 95]",78|82|87|92|95,1,1,1,0,2,-2,0.0,200.0,2,00:27:40,3,10:00:00,41,44,41,46,Unknownx5,5,78|82|87|92|95,1:78|1:82|1:87|1:92|1:95,"[78, 82, 87, 92, 95]","['1:78', '1:82', '1:87', '1:92', '1:95']","['S. Geyik', 'E. Özçelik', 'J. Alston', 'S. Mentese', 'N. Gordic']",KARŞIYAKA
