possession_id,period,start_action,end_action,owner_tno,end_reason,pts_owner,pts_against,owner_team_name,net_pts
0,1,1,6,,,0,0,,0
1,1,7,7,2.0,def_reb,0,0,BEŞİKTAŞ GAİN,0
2,1,8,8,1.0,def_reb,0,0,YUKATEL MERKEZEFENDİ BELEDİYESİ BASKET,0
3,1,10,15,2.0,score,2,2,BEŞİKTAŞ GAİN,0
4,1,16,20,1.0,made_ft,1,1,YUKATEL MERKEZEFENDİ BELEDİYESİ BASKET,0
5,1,21,22,2.0,made_ft_last,1,0,BEŞİKTAŞ GAİN,1
6,1,24,24,1.0,def_reb,0,0,YUKATEL MERKEZEFENDİ BELEDİYESİ BASKET,0
7,1,25,25,2.0,def_reb,0,0,BEŞİKTAŞ GAİN,0
8,1,26,26,1.0,score,3,3,YUKATEL MERKEZEFENDİ BELEDİYESİ BASKET,0
9,1,27,30,2.0,def_reb,0,0,BEŞİKTAŞ GAİN,0
10,1,31,31,1.0,def_reb,0,0,YUKATEL MERKEZEFENDİ BELEDİYESİ BASKET,0
11,1,32,32,2.0,score,2,0,BEŞİKTAŞ GAİN,2
12,1,34,37,1.0,turnover,0,0,YUKATEL MERKEZEFENDİ BELEDİYESİ BASKET,0
13,1,39,39,2.0,score,3,0,BEŞİKTAŞ GAİN,3
14,1,40,41,1.0,def_reb,0,0,YUKATEL MERKEZEFENDİ BELEDİYESİ BASKET,0
15,1,42,42,2.0,def_reb,0,0,BEŞİKTAŞ GAİN,0
16,1,44,44,1.0,turnover,0,0,YUKATEL MERKEZEFENDİ BELEDİYESİ BASKET,0
17,1,45,48,2.0,def_reb,0,0,BEŞİKTAŞ GAİN,0
18,1,49,49,1.0,def_reb,0,0,YUKATEL MERKEZEFENDİ BELEDİYESİ BASKET,0
19,1,50,50,2.0,score,3,0,BEŞİKTAŞ GAİN,3
20,1,51,52,1.0,def_reb,0,0,YUKATEL MERKEZEFENDİ BELEDİYESİ BASKET,0
21,1,54,54,2.0,def_reb,0,0,BEŞİKTAŞ GAİN,0
22,1,57,57,1.0,turnover,0,0,YUKATEL MERKEZEFENDİ BELEDİYESİ BASKET,0
23,1,58,64,2.0,def_reb,0,0,BEŞİKTAŞ GAİN,0
24,1,65,65,1.0,def_reb,0,0,YUKATEL MERKEZEFENDİ BELEDİYESİ BASKET,0
25,1,66,66,2.0,score,2,0,BEŞİKTAŞ GAİN,2
26,1,67,68,1.0,score,3,0,YUKATEL MERKEZEFENDİ BELEDİYESİ BASKET,3
27,1,69,70,2.0,turnover,0,0,BEŞİKTAŞ GAİN,0
28,1,71,72,1.0,turnover,0,0,YUKATEL MERKEZEFENDİ BELEDİYESİ BASKET,0
29,1,73,74,2.0,def_reb,0,0,BEŞİKTAŞ GAİN,0
30,1,75,75,1.0,def_reb,0,0,YUKATEL MERKEZEFENDİ BELEDİYESİ BASKET,0
