gt,clock,s1,s2,lead,tno,period,periodType,pno,player,success,actionType,actionNumber,previousAction,qualifier,subType,scoring,shirtNumber,firstName,familyName,internationalFirstName,internationalFamilyName,firstNameInitial,familyNameInitial,internationalFirstNameInitial,internationalFamilyNameInitial,scoreboardName,team_name,team_code,player_name_from_roster,player_shirt,player_pos_raw,player_pos_group,x,y,r,ev_code,ev_result,ev_text,assist_pno,assist_tno,assist_player,block_pno,block_tno,block_player,assist_pos_group,block_pos_group,points,possession_id,possession_owner_tno,possession_end_reason,pts_1,cum_1,pts_2,cum_2
10:00,10:00:00,0,0,0,0,1,REGULAR,0,,1,game,1,,[],start,0,,,,,,,,,,,,,,,,,,,,OTHER,,game start,,,,,,,,,0,0,,,0,0,0,0
10:00,10:00:00,0,0,0,0,1,REGULAR,0,,1,period,2,,[],start,0,,,,,,,,,,,,,,,,,,,,OTHER,,period start,,,,,,,,,0,0,,,0,0,0,0
10:00,10:00:00,0,0,0,0,1,REGULAR,0,,1,jumpball,4,,[],startperiod,0,,,,,,,,,,,,,,,,,,,,JUMP,,jump ball,,,,,,,,,0,0,,,0,0,0,0
09:59,09:59:00,0,0,0,2,1,REGULAR,63,A. ZIZIC,1,jumpball,5,4,[],won,0,41,Ante Toni,Zizic,Ante Toni,Zizic,A,Z,A,Z,A. Zizic,BEŞİKTAŞ GAİN,BJK,A. Zizic,41,,,,,,JUMP,,jump ball,,,,,,,,,0,0,,,0,0,0,0
09:59,09:59:00,0,0,0,1,1,REGULAR,8,H. VANWIJN,1,jumpball,6,4,[],lost,0,10,Hans,Vanwijn,Hans,Vanwijn,H,V,H,V,H. Vanwijn,YUKATEL MERKEZEFENDİ BELEDİYESİ BASKET,YMB,H. Vanwijn,10,,,,,,JUMP,,jump ball,,,,,,,,,0,0,,,0,0,0,0
09:42,09:42:00,0,0,0,2,1,REGULAR,72,D. DOTSON,0,2pt,7,,['pointsinthepaint'],drivinglayup,1,1,Devon Durrell,Dotson,Devon Durrell,Dotson,D,D,D,D,D. Dotson,BEŞİKTAŞ GAİN,BJK,D. Dotson,1,,,90.980003356934,45.029998779297,0.0,P2,missed,BEŞİKTAŞ GAİN D. DOTSON 2Pt missed,,,,,,,,,0,1,2.0,def_reb,0,0,0,0
09:40,09:40:00,0,0,0,1,1,REGULAR,8,H. VANWIJN,1,rebound,8,7,[],defensive,0,10,Hans,Vanwijn,Hans,Vanwijn,H,V,H,V,H. Vanwijn,YUKATEL MERKEZEFENDİ BELEDİYESİ BASKET,YMB,H. Vanwijn,10,,,,,,REB,,YUKATEL MERKEZEFENDİ BELEDİYESİ BASKET rebound defensive,,,,,,,,,0,2,1.0,def_reb,0,0,0,0
09:35,09:35:00,0,0,0,2,1,REGULAR,72,D. DOTSON,1,foul,10,,[],personal,0,1,Devon Durrell,Dotson,Devon Durrell,Dotson,D,D,D,D,D. Dotson,BEŞİKTAŞ GAİN,BJK,D. Dotson,1,,,,,,FOUL,,BEŞİKTAŞ GAİN D. DOTSON foul personal,,,,,,,,,0,3,2.0,,0,0,0,0
09:35,09:35:00,0,0,0,1,1,REGULAR,5,M. AGVA,1,foulon,11,10,[],,0,46,Mahir,Agva,Mahir,Agva,M,A,M,A,M. Agva,YUKATEL MERKEZEFENDİ BELEDİYESİ BASKET,YMB,M. Agva,46,,,,,,OTHER,,YUKATEL MERKEZEFENDİ BELEDİYESİ BASKET foulon,,,,,,,,,0,3,2.0,,0,0,0,0
09:23,09:23:00,2,0,2,1,1,REGULAR,5,M. AGVA,1,2pt,15,,[],jumpshot,1,46,Mahir,Agva,Mahir,Agva,M,A,M,A,M. Agva,YUKATEL MERKEZEFENDİ BELEDİYESİ BASKET,YMB,M. Agva,46,,,19.219999313354,28.639999389648,1.0,P2,made,YUKATEL MERKEZEFENDİ BELEDİYESİ BASKET M. AGVA 2Pt made,21.0,1.0,K. SMITH JR,,,,,,2,3,2.0,score,2,2,0,0
09:23,09:23:00,2,0,2,1,1,REGULAR,21,K. SMITH JR,1,assist,16,15,[],,0,4,Kenneth Jerome,Smith Jr,Kenneth Jerome,Smith Jr,K,S,K,S,K. Smith Jr,YUKATEL MERKEZEFENDİ BELEDİYESİ BASKET,YMB,K. Smith Jr,4,,,,,,ASS,,YUKATEL MERKEZEFENDİ BELEDİYESİ BASKET K. SMITH JR assist,,,,,,,,,0,4,1.0,,0,2,0,0
09:04,09:04:00,2,0,2,1,1,REGULAR,5,M. AGVA,1,foul,18,,"['shooting', '2freethrow']",personal,0,46,Mahir,Agva,Mahir,Agva,M,A,M,A,M. Agva,YUKATEL MERKEZEFENDİ BELEDİYESİ BASKET,YMB,M. Agva,46,,,,,,FOUL,,YUKATEL MERKEZEFENDİ BELEDİYESİ BASKET M. AGVA foul personal,,,,,,,,,0,4,1.0,,0,2,0,0
09:04,09:04:00,2,0,2,2,1,REGULAR,70,C. MORGAN,1,foulon,19,18,[],,0,9,Conor Seamus William,Morgan,Conor Seamus William,Morgan,C,M,C,M,C. Morgan,BEŞİKTAŞ GAİN,BJK,C. Morgan,9,,,,,,OTHER,,BEŞİKTAŞ GAİN foulon,,,,,,,,,0,4,1.0,,0,2,0,0
09:04,09:04:00,2,1,1,2,1,REGULAR,70,C. MORGAN,1,freethrow,20,,[],1of2,1,9,Conor Seamus William,Morgan,Conor Seamus William,Morgan,C,M,C,M,C. Morgan,BEŞİKTAŞ GAİN,BJK,C. Morgan,9,,,,,,FT,made,BEŞİKTAŞ GAİN C. MORGAN FT 1of2 made,,,,,,,,,1,4,1.0,made_ft,0,2,1,1
09:04,09:04:00,2,1,1,2,1,REGULAR,71,J. MATHEWS,1,assist,21,20,[],,0,0,Jonah Kenneth,Mathews,Jonah Kenneth,Mathews,J,M,J,M,J. Mathews,BEŞİKTAŞ GAİN,BJK,J. Mathews,0,,,,,,ASS,,BEŞİKTAŞ GAİN J. MATHEWS assist,,,,,,,,,0,5,2.0,,0,2,0,1
