week,game_id,label,team_no,team_name,team_code,player_no,name,firstName,familyName,shirtNumber,starter,captain,active,position_raw,position_group,sMinutes,sFieldGoalsMade,sFieldGoalsAttempted,sFieldGoalsPercentage,sThreePointersMade,sThreePointersAttempted,sThreePointersPercentage,sTwoPointersMade,sTwoPointersAttempted,sTwoPointersPercentage,sFreeThrowsMade,sFreeThrowsAttempted,sFreeThrowsPercentage,sReboundsDefensive,sReboundsOffensive,sReboundsTotal,sAssists,sTurnovers,sSteals,sBlocks,sBlocksReceived,sFoulsPersonal,sFoulsOn,sPoints,sPointsSecondChance,sPointsFastBreak,sPlusMinusPoints,sPointsInThePaint,scoreboardName,pair_token
week01,2714805,ALIAGA PETKIM SPOR vs KARSIYAKA,1,ALİAĞA PETKİM SPOR,PTK,66,J. Floyd,Jehyve Jamal,Floyd,20,0,,0,,,14:49,0,1,0,0,0,0,0,1,0,0,0,0,4,1,5,3,0,0,3,0,2,0,0,0,0,7,0,J. Floyd,1:66
week01,2714805,ALIAGA PETKIM SPOR vs KARSIYAKA,2,KARŞIYAKA,KSK,87,M. Moore,Michael Jarade,Moore,2,1,,1,,,34:55,4,9,44,0,4,0,4,5,80,1,1,100,2,2,4,3,0,0,0,0,1,3,9,0,2,-16,4,M. Moore,2:87
week01,2714805,ALIAGA PETKIM SPOR vs KARSIYAKA,2,KARŞIYAKA,KSK,77,S. Geyik,Samet,Geyik,4,1,,0,,,22:35,7,12,58,1,1,100,6,11,54,4,4,100,1,3,4,0,1,0,0,2,1,2,19,6,2,-16,8,S. Geyik,2:77
week01,2714805,ALIAGA PETKIM SPOR vs KARSIYAKA,2,KARŞIYAKA,KSK,80,M. Kuntker,Murat Meriç,Kuntker,10,0,,0,,,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M. Kuntker,2:80
week01,2714805,ALIAGA PETKIM SPOR vs KARSIYAKA,2,KARŞIYAKA,KSK,85,C. Chiozza,Christopher Xavier,Chiozza,11,1,,1,,,30:37,5,13,38,5,11,45,0,2,0,2,2,100,4,0,4,9,2,2,0,0,4,2,17,0,3,3,0,C. Chiozza,2:85
week01,2714805,ALIAGA PETKIM SPOR vs KARSIYAKA,2,KARŞIYAKA,KSK,83,E. Eminoglu,Eylem,Eminoglu,13,0,,0,,,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E. Eminoglu,2:83
week01,2714805,ALIAGA PETKIM SPOR vs KARSIYAKA,2,KARŞIYAKA,KSK,79,A. Güven,Akif Egemen,Güven,15,0,,1,,,17:21,4,8,50,0,0,0,4,8,50,0,0,0,6,1,7,0,0,1,1,1,1,2,8,0,0,4,6,A. Güven,2:79
week01,2714805,ALIAGA PETKIM SPOR vs KARSIYAKA,2,KARŞIYAKA,KSK,82,E. Yapici,Egemen,Yapici,19,0,,0,,,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E. Yapici,2:82
week01,2714805,ALIAGA PETKIM SPOR vs KARSIYAKA,2,KARŞIYAKA,KSK,88,C. Manning Jr,Charles Maurice,Manning Jr,21,1,,1,,,33:13,2,10,20,0,1,0,2,9,22,0,1,0,1,1,2,4,4,0,0,1,2,2,4,0,0,-10,2,C. Manning Jr,2:88
week01,2714805,ALIAGA PETKIM SPOR vs KARSIYAKA,2,KARŞIYAKA,KSK,84,R. Tarrant Jr,Ricky Lafredrick,Tarrant Jr,22,0,,0,,,21:02,1,4,25,0,0,0,1,4,25,3,4,75,0,0,0,5,2,2,0,1,3,3,5,0,3,-9,2,R. Tarrant Jr,2:84
week01,2714805,ALIAGA PETKIM SPOR vs KARSIYAKA,2,KARŞIYAKA,KSK,81,E. Özçelik,Ege,Özçelik,24,0,,1,,,9:47,0,3,0,0,3,0,0,0,0,2,2,100,0,0,0,0,0,2,0,0,1,1,2,0,0,5,0,E. Özçelik,2:81
week01,2714805,ALIAGA PETKIM SPOR vs KARSIYAKA,2,KARŞIYAKA,KSK,86,J. Alston,Justin Alexander,Alston,32,1,,0,,,17:34,2,5,40,1,3,33,1,2,50,0,0,0,1,1,2,0,1,1,0,0,2,2,5,2,0,-19,2,J. Alston,2:86
week01,2714805,ALIAGA PETKIM SPOR vs KARSIYAKA,2,KARŞIYAKA,KSK,78,M. Celep,Mert,Celep,35,0,1.0,0,,,12:57,1,2,50,0,0,0,1,2,50,2,4,50,3,0,3,0,0,2,0,0,3,3,4,0,3,-2,2,M. Celep,2:78
week01,2714806,TOFAS vs FENERBAHÇE BEKO,1,TOFAŞ,TOF,67,Ö. Cengiz,Özgür,Cengiz,1,0,,0,,,9:23,1,1,100,0,0,0,1,1,100,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,5,0,Ö. Cengiz,1:67
week01,2714806,TOFAS vs FENERBAHÇE BEKO,1,TOFAŞ,TOF,89,A. Perez,Alex Daniel,Perez,2,1,,1,,,30:37,2,8,25,0,2,0,2,6,33,0,1,0,2,0,2,7,3,0,0,0,1,5,4,0,0,-3,4,A. Perez,1:89
week01,2714806,TOFAS vs FENERBAHÇE BEKO,1,TOFAŞ,TOF,66,Y. Saybir,Yigitcan,Saybir,3,1,,1,,,29:20,7,10,70,0,1,0,7,9,77,2,2,100,2,3,5,0,0,0,0,0,2,2,16,5,0,-3,14,Y. Saybir,1:66
week01,2714806,TOFAS vs FENERBAHÇE BEKO,1,TOFAŞ,TOF,92,S. Whaley,Shaqwan Malic,Whaley,5,0,,0,,,14:42,0,1,0,0,0,0,0,1,0,1,2,50,4,1,5,1,1,0,0,0,2,1,1,1,0,0,0,S. Whaley,1:92
week01,2714806,TOFAS vs FENERBAHÇE BEKO,1,TOFAŞ,TOF,57,E. Postel,Efe Evan,Postel,6,0,,0,,,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,E. Postel,1:57
week01,2714806,TOFAS vs FENERBAHÇE BEKO,1,TOFAŞ,TOF,55,T. Geçim,Tolga,Geçim,8,0,1.0,1,,,27:30,1,2,50,1,2,50,0,0,0,2,2,100,4,0,4,10,1,1,0,0,3,3,5,0,0,-2,0,T. Geçim,1:55
week01,2714806,TOFAS vs FENERBAHÇE BEKO,1,TOFAŞ,TOF,94,W. Kidd Jr,Warren Lynn,Kidd Jr,15,0,,0,,,12:24,5,7,71,0,0,0,5,7,71,4,6,66,2,2,4,0,0,1,0,0,1,3,14,1,2,0,8,W. Kidd Jr,1:94
week01,2714806,TOFAS vs FENERBAHÇE BEKO,1,TOFAŞ,TOF,56,K. Efeoglu,Karahan Tuan,Efeoglu,16,0,,0,,,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K. Efeoglu,1:56
