team_no,team_name,start_action,end_action,players_on_court,lineup_size,lineup_uid,players_on_court_tokens,players_on_court_names,lineup_uid_pair,lineup_pos_mix,start_period,start_clock,end_period,end_clock,score_start_for,score_start_against,score_end_for,score_end_against
1,YUKATEL MERKEZEFENDI BELEDIYESI BASKET,1.0,60.0,"[5, 8, 12, 13, 21]",5,5|8|12|13|21,"['1:5', '1:8', '1:12', '1:13', '1:21']","['M. Agva', 'H. Vanwijn', 'M. Cazalon', 'J. Hawkins', 'K. Smith Jr']",1:5|1:8|1:12|1:13|1:21,Unknownx5,1,10:00:00,1,04:49:00,0,0,10,7
1,YUKATEL MERKEZEFENDI BELEDIYESI BASKET,60.1,91.0,"[7, 8, 12, 21, 79]",5,7|8|12|21|79,"['1:7', '1:8', '1:12', '1:21', '1:79']","['Ö. Ilyasoglu', 'H. Vanwijn', 'M. Cazalon', 'K. Smith Jr', 'A. Omic']",1:7|1:8|1:12|1:21|1:79,Unknownx5,1,04:49:00,1,03:33:00,10,7,13,9
1,YUKATEL MERKEZEFENDI BELEDIYESI BASKET,91.1,121.0,"[7, 8, 11, 12, 79]",5,7|8|11|12|79,"['1:7', '1:8', '1:11', '1:12', '1:79']","['Ö. Ilyasoglu', 'H. Vanwijn', 'S. Griffin', 'M. Cazalon', 'A. Omic']",1:7|1:8|1:11|1:12|1:79,Unknownx5,1,03:33:00,1,01:59:00,13,9,16,12
1,YUKATEL MERKEZEFENDI BELEDIYESI BASKET,121.1,145.0,"[3, 7, 9, 11, 79]",5,3|7|9|11|79,"['1:3', '1:7', '1:9', '1:11', '1:79']","['E. Tanisan', 'Ö. Ilyasoglu', 'R. Badzim', 'S. Griffin', 'A. Omic']",1:3|1:7|1:9|1:11|1:79,Unknownx5,1,01:59:00,1,01:28:00,16,12,16,17
1,YUKATEL MERKEZEFENDI BELEDIYESI BASKET,145.1,164.0,"[3, 9, 11, 21, 79]",5,3|9|11|21|79,"['1:3', '1:9', '1:11', '1:21', '1:79']","['E. Tanisan', 'R. Badzim', 'S. Griffin', 'K. Smith Jr', 'A. Omic']",1:3|1:9|1:11|1:21|1:79,Unknownx5,1,01:28:00,1,00:27:00,16,17,18,22
1,YUKATEL MERKEZEFENDI BELEDIYESI BASKET,164.1,196.0,"[3, 5, 9, 11, 21]",5,3|5|9|11|21,"['1:3', '1:5', '1:9', '1:11', '1:21']","['E. Tanisan', 'M. Agva', 'R. Badzim', 'S. Griffin', 'K. Smith Jr']",1:3|1:5|1:9|1:11|1:21,Unknownx5,1,00:27:00,2,10:00:00,18,22,21,24
1,YUKATEL MERKEZEFENDI BELEDIYESI BASKET,196.1,281.0,"[5, 8, 9, 11, 21]",5,5|8|9|11|21,"['1:5', '1:8', '1:9', '1:11', '1:21']","['M. Agva', 'H. Vanwijn', 'R. Badzim', 'S. Griffin', 'K. Smith Jr']",1:5|1:8|1:9|1:11|1:21,Unknownx5,2,10:00:00,2,02:03:00,21,24,39,41
1,YUKATEL MERKEZEFENDI BELEDIYESI BASKET,281.1,298.0,"[7, 9, 11, 13, 79]",5,7|9|11|13|79,"['1:7', '1:9', '1:11', '1:13', '1:79']","['Ö. Ilyasoglu', 'R. Badzim', 'S. Griffin', 'J. Hawkins', 'A. Omic']",1:7|1:9|1:11|1:13|1:79,Unknownx5,2,02:03:00,2,01:27:00,39,41,42,43
1,YUKATEL MERKEZEFENDI BELEDIYESI BASKET,298.1,320.0,"[7, 11, 12, 13, 79]",5,7|11|12|13|79,"['1:7', '1:11', '1:12', '1:13', '1:79']","['Ö. Ilyasoglu', 'S. Griffin', 'M. Cazalon', 'J. Hawkins', 'A. Omic']",1:7|1:11|1:12|1:13|1:79,Unknownx5,2,01:27:00,3,10:00:00,42,43,48,43
1,YUKATEL MERKEZEFENDI BELEDIYESI BASKET,320.1,414.0,"[5, 8, 12, 13, 21]",5,5|8|12|13|21,"['1:5', '1:8', '1:12', '1:13', '1:21']","['M. Agva', 'H. Vanwijn', 'M. Cazalon', 'J. Hawkins', 'K. Smith Jr']",1:5|1:8|1:12|1:13|1:21,Unknownx5,3,10:00:00,3,04:28:00,48,43,58,49
