team_no,team_name,team_code,player_no,name,firstName,familyName,shirtNumber,starter,captain,active,position_raw,position_group,sMinutes,sFieldGoalsMade,sFieldGoalsAttempted,sFieldGoalsPercentage,sThreePointersMade,sThreePointersAttempted,sThreePointersPercentage,sTwoPointersMade,sTwoPointersAttempted,sTwoPointersPercentage,sFreeThrowsMade,sFreeThrowsAttempted,sFreeThrowsPercentage,sReboundsDefensive,sReboundsOffensive,sReboundsTotal,sAssists,sTurnovers,sSteals,sBlocks,sBlocksReceived,sFoulsPersonal,sFoulsOn,sPoints,sPointsSecondChance,sPointsFastBreak,sPlusMinusPoints,sPointsInThePaint,scoreboardName,pair_token
1,BURSASPOR BASKETBOL,BUR,133,B. Childress,Brandon Reginald,Childress,0,1,,1,,,29:12,5,10,50,2,5,40,3,5,60,3,3,100,0,1,1,6,1,3,0,0,2,5,15,0,2,13,4,B. Childress,1:133
1,BURSASPOR BASKETBOL,BUR,3,T. Akdamar,Tevfik,Akdamar,3,0,,0,,,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,T. Akdamar,1:3
1,BURSASPOR BASKETBOL,BUR,144,M. Parsons,Malik Disjohn,Parsons,5,1,,1,,,24:38,7,12,58,0,2,0,7,10,70,2,3,66,1,1,2,2,4,1,0,2,4,3,16,0,6,-1,6,M. Parsons,1:144
1,BURSASPOR BASKETBOL,BUR,101,H. Köksal,Hüseyin Göksenin,Köksal,7,1,1.0,0,,,16:49,1,2,50,0,1,0,1,1,100,0,0,0,1,0,1,1,1,1,0,1,3,0,2,0,0,2,2,H. Köksal,1:101
1,BURSASPOR BASKETBOL,BUR,126,B. Satir,Bora,Satir,10,0,,0,,,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B. Satir,1:126
1,BURSASPOR BASKETBOL,BUR,102,B. Akin,Berk Can,Akin,11,0,,1,,,22:03,5,8,62,3,5,60,2,3,66,0,0,0,1,0,1,1,0,2,0,0,4,0,13,0,4,11,4,B. Akin,1:102
1,BURSASPOR BASKETBOL,BUR,136,J. Delaurier,Javin Que,Delaurier,12,0,,0,,,10:48,1,2,50,0,0,0,1,2,50,3,4,75,3,0,3,0,1,0,1,0,0,3,5,0,0,10,2,J. Delaurier,1:136
1,BURSASPOR BASKETBOL,BUR,129,B. Crawford,Bryant Dejuan,Crawford,13,0,,0,,,15:36,5,11,45,1,7,14,4,4,100,0,1,0,0,0,0,4,2,2,0,0,4,3,11,0,7,12,6,B. Crawford,1:129
1,BURSASPOR BASKETBOL,BUR,4,Y. Onar,Yesukan,Onar,14,0,,0,,,6:24,1,1,100,0,0,0,1,1,100,1,1,100,0,0,0,0,1,1,1,0,2,1,3,0,0,3,2,Y. Onar,1:4
1,BURSASPOR BASKETBOL,BUR,134,V. King,Vincent Earl,King,22,0,,0,,,19:35,3,9,33,0,1,0,3,8,37,0,0,0,5,2,7,0,0,0,0,0,1,0,6,4,0,18,6,V. King,1:134
1,BURSASPOR BASKETBOL,BUR,135,A. Konontsuk,Artur,Konontsuk,34,1,,1,,,25:43,2,5,40,1,3,33,1,2,50,0,0,0,4,0,4,1,0,2,0,1,2,1,5,0,3,2,2,A. Konontsuk,1:135
