team_no,team_name,start_action,end_action,players_on_court,lineup_uid,possessions,poss_for,poss_against,pts_for,pts_against,net,ORtg,DRtg,start_period,start_clock,end_period,end_clock,score_start_for,score_start_against,score_end_for,score_end_against,lineup_pos_mix,lineup_size,lineup_uid_st,lineup_uid_pair,players_on_court_st,players_on_court_tokens,players_on_court_names,team_name_st
1,TRABZONSPOR,1.0,100.0,"[4, 5, 9, 10, 11]",4|5|9|10|11,17,17,17,11,8,3,64.70588235294117,47.05882352941177,1,10:00:00,1,04:16:00,0,0,11,8,Unknownx5,5,4|5|9|10|11,1:4|1:5|1:9|1:10|1:11,"[4, 5, 9, 10, 11]","['1:4', '1:5', '1:9', '1:10', '1:11']","['I. Ulusoy', 'O. Ulubay', 'A. Delgado Astacio', 'T. Tinkle', 'M. Reed']",TRABZONSPOR
1,TRABZONSPOR,100.1,129.0,"[4, 5, 10, 11, 13]",4|5|10|11|13,3,3,4,2,5,-3,66.66666666666667,125.0,1,04:16:00,1,04:17:00,11,8,13,13,Unknownx5,5,4|5|10|11|13,1:4|1:5|1:10|1:11|1:13,"[4, 5, 10, 11, 13]","['1:4', '1:5', '1:10', '1:11', '1:13']","['I. Ulusoy', 'O. Ulubay', 'T. Tinkle', 'M. Reed', 'K. Silins']",TRABZONSPOR
1,TRABZONSPOR,129.1,133.0,"[3, 4, 5, 11, 13]",3|4|5|11|13,0,0,0,0,0,0,,,1,04:17:00,1,02:44:00,13,13,13,13,Unknownx5,5,3|4|5|11|13,1:3|1:4|1:5|1:11|1:13,"[3, 4, 5, 11, 13]","['1:3', '1:4', '1:5', '1:11', '1:13']","['B. Demir', 'I. Ulusoy', 'O. Ulubay', 'M. Reed', 'K. Silins']",TRABZONSPOR
1,TRABZONSPOR,133.1,143.0,"[3, 4, 5, 11, 13]",3|4|5|11|13,2,2,1,0,2,-2,0.0,200.0,1,02:44:00,1,02:29:00,13,13,13,15,Unknownx5,5,3|4|5|11|13,1:3|1:4|1:5|1:11|1:13,"[3, 4, 5, 11, 13]","['1:3', '1:4', '1:5', '1:11', '1:13']","['B. Demir', 'I. Ulusoy', 'O. Ulubay', 'M. Reed', 'K. Silins']",TRABZONSPOR
1,TRABZONSPOR,143.1,159.0,"[3, 5, 11, 13, 14]",3|5|11|13|14,4,4,4,2,1,1,50.0,25.0,1,02:29:00,1,00:56:10,13,15,15,16,Unknownx5,5,3|5|11|13|14,1:3|1:5|1:11|1:13|1:14,"[3, 5, 11, 13, 14]","['1:3', '1:5', '1:11', '1:13', '1:14']","['B. Demir', 'O. Ulubay', 'M. Reed', 'K. Silins', 'D. Grant']",TRABZONSPOR
1,TRABZONSPOR,159.1,170.0,"[3, 5, 13, 14, 42]",3|5|13|14|42,1,1,2,2,0,2,200.0,0.0,1,00:56:10,1,00:31:00,15,16,17,16,Unknownx5,5,3|5|13|14|42,1:3|1:5|1:13|1:14|1:42,"[3, 5, 13, 14, 42]","['1:3', '1:5', '1:13', '1:14', '1:42']","['B. Demir', 'O. Ulubay', 'K. Silins', 'D. Grant', 'T. Taylor']",TRABZONSPOR
1,TRABZONSPOR,170.1,178.0,"[3, 12, 13, 14, 42]",3|12|13|14|42,1,1,0,0,0,0,0.0,,1,00:31:00,1,00:16:70,17,16,17,16,Unknownx5,5,3|12|13|14|42,1:3|1:12|1:13|1:14|1:42,"[3, 12, 13, 14, 42]","['1:3', '1:12', '1:13', '1:14', '1:42']","['B. Demir', 'A. Yeboah', 'K. Silins', 'D. Grant', 'T. Taylor']",TRABZONSPOR
1,TRABZONSPOR,178.1,193.0,"[5, 12, 13, 14, 42]",5|12|13|14|42,1,1,2,0,1,-1,0.0,50.0,1,00:16:70,2,10:00:00,17,16,17,17,Unknownx5,5,5|12|13|14|42,1:5|1:12|1:13|1:14|1:42,"[5, 12, 13, 14, 42]","['1:5', '1:12', '1:13', '1:14', '1:42']","['O. Ulubay', 'A. Yeboah', 'K. Silins', 'D. Grant', 'T. Taylor']",TRABZONSPOR
1,TRABZONSPOR,193.1,218.0,"[3, 12, 13, 14, 42]",3|12|13|14|42,4,4,4,0,6,-6,0.0,150.0,2,10:00:00,2,08:14:00,17,17,17,23,Unknownx5,5,3|12|13|14|42,1:3|1:12|1:13|1:14|1:42,"[3, 12, 13, 14, 42]","['1:3', '1:12', '1:13', '1:14', '1:42']","['B. Demir', 'A. Yeboah', 'K. Silins', 'D. Grant', 'T. Taylor']",TRABZONSPOR
1,TRABZONSPOR,218.1,247.0,"[3, 9, 12, 14, 42]",3|9|12|14|42,6,6,5,8,0,8,133.33333333333334,0.0,2,08:14:00,2,06:12:00,17,23,25,23,Unknownx5,5,3|9|12|14|42,1:3|1:9|1:12|1:14|1:42,"[3, 9, 12, 14, 42]","['1:3', '1:9', '1:12', '1:14', '1:42']","['B. Demir', 'A. Delgado Astacio', 'A. Yeboah', 'D. Grant', 'T. Taylor']",TRABZONSPOR
1,TRABZONSPOR,247.1,278.0,"[4, 9, 10, 12, 14]",4|9|10|12|14,4,4,5,0,2,-2,0.0,40.0,2,06:12:00,2,04:48:00,25,23,25,25,Unknownx5,5,4|9|10|12|14,1:4|1:9|1:10|1:12|1:14,"[4, 9, 10, 12, 14]","['1:4', '1:9', '1:10', '1:12', '1:14']","['I. Ulusoy', 'A. Delgado Astacio', 'T. Tinkle', 'A. Yeboah', 'D. Grant']",TRABZONSPOR
1,TRABZONSPOR,278.1,307.0,"[4, 9, 10, 11, 12]",4|9|10|11|12,5,5,5,0,6,-6,0.0,120.0,2,04:48:00,2,03:43:00,25,25,25,31,Unknownx5,5,4|9|10|11|12,1:4|1:9|1:10|1:11|1:12,"[4, 9, 10, 11, 12]","['1:4', '1:9', '1:10', '1:11', '1:12']","['I. Ulusoy', 'A. Delgado Astacio', 'T. Tinkle', 'M. Reed', 'A. Yeboah']",TRABZONSPOR
1,TRABZONSPOR,307.1,329.0,"[4, 5, 9, 10, 11]",4|5|9|10|11,5,5,4,5,2,3,100.0,50.0,2,03:43:00,2,01:40:00,25,31,30,33,Unknownx5,5,4|5|9|10|11,1:4|1:5|1:9|1:10|1:11,"[4, 5, 9, 10, 11]","['1:4', '1:5', '1:9', '1:10', '1:11']","['I. Ulusoy', 'O. Ulubay', 'A. Delgado Astacio', 'T. Tinkle', 'M. Reed']",TRABZONSPOR
1,TRABZONSPOR,329.1,395.0,"[5, 9, 10, 11, 42]",5|9|10|11|42,11,11,11,7,8,-1,63.63636363636363,72.72727272727273,2,01:40:00,3,07:59:00,30,33,37,41,Unknownx5,5,5|9|10|11|42,1:5|1:9|1:10|1:11|1:42,"[5, 9, 10, 11, 42]","['1:5', '1:9', '1:10', '1:11', '1:42']","['O. Ulubay', 'A. Delgado Astacio', 'T. Tinkle', 'M. Reed', 'T. Taylor']",TRABZONSPOR
1,TRABZONSPOR,395.1,426.0,"[5, 10, 11, 13, 42]",5|10|11|13|42,4,4,4,4,5,-1,100.0,125.0,3,07:59:00,3,06:13:00,37,41,41,46,Unknownx5,5,5|10|11|13|42,1:5|1:10|1:11|1:13|1:42,"[5, 10, 11, 13, 42]","['1:5', '1:10', '1:11', '1:13', '1:42']","['O. Ulubay', 'T. Tinkle', 'M. Reed', 'K. Silins', 'T. Taylor']",TRABZONSPOR
1,TRABZONSPOR,426.1,453.0,"[3, 11, 12, 13, 42]",3|11|12|13|42,5,5,6,4,2,2,80.0,33.333333333333336,3,06:13:00,3,04:49:00,41,46,45,48,Unknownx5,5,3|11|12|13|42,1:3|1:11|1:12|1:13|1:42,"[3, 11, 12, 13, 42]","['1:3', '1:11', '1:12', '1:13', '1:42']","['B. Demir', 'M. Reed', 'A. Yeboah', 'K. Silins', 'T. Taylor']",TRABZONSPOR
1,TRABZONSPOR,453.1,523.0,"[3, 4, 11, 12, 13]",3|4|11|12|13,15,15,15,15,13,2,100.0,86.66666666666667,3,04:49:00,4,10:00:00,45,48,60,61,Unknownx5,5,3|4|11|12|13,1:3|1:4|1:11|1:12|1:13,"[3, 4, 11, 12, 13]","['1:3', '1:4', '1:11', '1:12', '1:13']","['B. Demir', 'I. Ulusoy', 'M. Reed', 'A. Yeboah', 'K. Silins']",TRABZONSPOR
1,TRABZONSPOR,523.1,556.0,"[3, 4, 9, 12, 14]",3|4|9|12|14,3,3,2,2,2,0,66.66666666666667,100.0,4,10:00:00,4,08:23:00,60,61,62,63,Unknownx5,5,3|4|9|12|14,1:3|1:4|1:9|1:12|1:14,"[3, 4, 9, 12, 14]","['1:3', '1:4', '1:9', '1:12', '1:14']","['B. Demir', 'I. Ulusoy', 'A. Delgado Astacio', 'A. Yeboah', 'D. Grant']",TRABZONSPOR
1,TRABZONSPOR,556.1,600.0,"[3, 9, 12, 14, 42]",3|9|12|14|42,6,6,6,2,4,-2,33.333333333333336,66.66666666666667,4,08:23:00,4,06:24:00,62,63,64,67,Unknownx5,5,3|9|12|14|42,1:3|1:9|1:12|1:14|1:42,"[3, 9, 12, 14, 42]","['1:3', '1:9', '1:12', '1:14', '1:42']","['B. Demir', 'A. Delgado Astacio', 'A. Yeboah', 'D. Grant', 'T. Taylor']",TRABZONSPOR
1,TRABZONSPOR,600.1,611.0,"[3, 5, 9, 14, 42]",3|5|9|14|42,1,1,2,0,2,-2,0.0,100.0,4,06:24:00,4,05:07:00,64,67,64,69,Unknownx5,5,3|5|9|14|42,1:3|1:5|1:9|1:14|1:42,"[3, 5, 9, 14, 42]","['1:3', '1:5', '1:9', '1:14', '1:42']","['B. Demir', 'O. Ulubay', 'A. Delgado Astacio', 'D. Grant', 'T. Taylor']",TRABZONSPOR
