team_no,team_name,start_action,end_action,players_on_court,lineup_size,lineup_uid,players_on_court_tokens,players_on_court_names,lineup_uid_pair,lineup_pos_mix,start_period,start_clock,end_period,end_clock,score_start_for,score_start_against,score_end_for,score_end_against
1,FENERBAHÇE BEKO,1.0,72.0,"[76, 79, 95, 98, 99]",5,76|79|95|98|99,"['1:76', '1:79', '1:95', '1:98', '1:99']","['M. Mahmutoglu', 'T. Biberoviç', 'D. Hall', 'M. Jantunen', 'A. Bacot Jr']",1:76|1:79|1:95|1:98|1:99,Unknownx5,1,10:00:00,1,06:11:00,0,0,12,7
1,FENERBAHÇE BEKO,72.1,112.0,"[79, 96, 98, 99, 100]",5,79|96|98|99|100,"['1:79', '1:96', '1:98', '1:99', '1:100']","['T. Biberoviç', 'T. Tucker', 'M. Jantunen', 'A. Bacot Jr', 'S. Vilbekin']",1:79|1:96|1:98|1:99|1:100,Unknownx5,1,06:11:00,1,04:33:00,12,7,15,9
1,FENERBAHÇE BEKO,112.1,133.0,"[89, 91, 96, 98, 100]",5,89|91|96|98|100,"['1:89', '1:91', '1:96', '1:98', '1:100']","['O. Bitim', 'K. Birch', 'T. Tucker', 'M. Jantunen', 'S. Vilbekin']",1:89|1:91|1:96|1:98|1:100,Unknownx5,1,04:33:00,1,03:44:00,15,9,19,11
1,FENERBAHÇE BEKO,133.1,195.0,"[77, 89, 91, 96, 100]",5,77|89|91|96|100,"['1:77', '1:89', '1:91', '1:96', '1:100']","['J. Birsen', 'O. Bitim', 'K. Birch', 'T. Tucker', 'S. Vilbekin']",1:77|1:89|1:91|1:96|1:100,Unknownx5,1,03:44:00,2,10:00:00,19,11,33,25
1,FENERBAHÇE BEKO,195.1,220.0,"[77, 78, 92, 96, 100]",5,77|78|92|96|100,"['1:77', '1:78', '1:92', '1:96', '1:100']","['J. Birsen', 'M. Eksioglu', 'N. Melli', 'T. Tucker', 'S. Vilbekin']",1:77|1:78|1:92|1:96|1:100,Unknownx5,2,10:00:00,2,08:29:00,33,25,38,29
1,FENERBAHÇE BEKO,220.1,283.0,"[77, 78, 79, 92, 95]",5,77|78|79|92|95,"['1:77', '1:78', '1:79', '1:92', '1:95']","['J. Birsen', 'M. Eksioglu', 'T. Biberoviç', 'N. Melli', 'D. Hall']",1:77|1:78|1:79|1:92|1:95,Unknownx5,2,08:29:00,2,04:41:00,38,29,49,35
1,FENERBAHÇE BEKO,283.1,311.0,"[77, 79, 89, 99, 100]",5,77|79|89|99|100,"['1:77', '1:79', '1:89', '1:99', '1:100']","['J. Birsen', 'T. Biberoviç', 'O. Bitim', 'A. Bacot Jr', 'S. Vilbekin']",1:77|1:79|1:89|1:99|1:100,Unknownx5,2,04:41:00,2,03:00:00,49,35,54,37
1,FENERBAHÇE BEKO,311.1,318.0,"[79, 89, 98, 99, 100]",5,79|89|98|99|100,"['1:79', '1:89', '1:98', '1:99', '1:100']","['T. Biberoviç', 'O. Bitim', 'M. Jantunen', 'A. Bacot Jr', 'S. Vilbekin']",1:79|1:89|1:98|1:99|1:100,Unknownx5,2,03:00:00,2,02:35:00,54,37,54,39
1,FENERBAHÇE BEKO,318.1,359.0,"[78, 89, 96, 98, 99]",5,78|89|96|98|99,"['1:78', '1:89', '1:96', '1:98', '1:99']","['M. Eksioglu', 'O. Bitim', 'T. Tucker', 'M. Jantunen', 'A. Bacot Jr']",1:78|1:89|1:96|1:98|1:99,Unknownx5,2,02:35:00,2,00:25:10,54,39,57,43
1,FENERBAHÇE BEKO,359.1,372.0,"[78, 79, 89, 92, 96]",5,78|79|89|92|96,"['1:78', '1:79', '1:89', '1:92', '1:96']","['M. Eksioglu', 'T. Biberoviç', 'O. Bitim', 'N. Melli', 'T. Tucker']",1:78|1:79|1:89|1:92|1:96,Unknownx5,2,00:25:10,3,10:00:00,57,43,60,43
