team_no,team_name,start_action,end_action,players_on_court,lineup_uid,possessions,poss_for,poss_against,pts_for,pts_against,net,ORtg,DRtg,start_period,start_clock,end_period,end_clock,score_start_for,score_start_against,score_end_for,score_end_against,lineup_pos_mix,lineup_size,lineup_uid_st,lineup_uid_pair,players_on_court_st,players_on_court_tokens,players_on_court_names,team_name_st
1,FENERBAHÇE BEKO,1.0,72.0,"[76, 79, 95, 98, 99]",76|79|95|98|99,12,12,12,12,7,5,100.0,58.333333333333336,1,10:00:00,1,06:11:00,0,0,12,7,Unknownx5,5,76|79|95|98|99,1:76|1:79|1:95|1:98|1:99,"[76, 79, 95, 98, 99]","['1:76', '1:79', '1:95', '1:98', '1:99']","['M. Mahmutoglu', 'T. Biberoviç', 'D. Hall', 'M. Jantunen', 'A. Bacot Jr']",FENERBAHÇE BEKO
1,FENERBAHÇE BEKO,72.1,112.0,"[79, 96, 98, 99, 100]",79|96|98|99|100,5,5,5,3,2,1,60.0,40.0,1,06:11:00,1,04:33:00,12,7,15,9,Unknownx5,5,79|96|98|99|100,1:79|1:96|1:98|1:99|1:100,"[79, 96, 98, 99, 100]","['1:79', '1:96', '1:98', '1:99', '1:100']","['T. Biberoviç', 'T. Tucker', 'M. Jantunen', 'A. Bacot Jr', 'S. Vilbekin']",FENERBAHÇE BEKO
1,FENERBAHÇE BEKO,112.1,133.0,"[89, 91, 96, 98, 100]",89|91|96|98|100,3,3,4,4,2,2,133.33333333333334,50.0,1,04:33:00,1,03:44:00,15,9,19,11,Unknownx5,5,89|91|96|98|100,1:89|1:91|1:96|1:98|1:100,"[89, 91, 96, 98, 100]","['1:89', '1:91', '1:96', '1:98', '1:100']","['O. Bitim', 'K. Birch', 'T. Tucker', 'M. Jantunen', 'S. Vilbekin']",FENERBAHÇE BEKO
1,FENERBAHÇE BEKO,133.1,195.0,"[77, 89, 91, 96, 100]",77|89|91|96|100,12,12,11,14,14,0,116.66666666666667,127.27272727272727,1,03:44:00,2,10:00:00,19,11,33,25,Unknownx5,5,77|89|91|96|100,1:77|1:89|1:91|1:96|1:100,"[77, 89, 91, 96, 100]","['1:77', '1:89', '1:91', '1:96', '1:100']","['J. Birsen', 'O. Bitim', 'K. Birch', 'T. Tucker', 'S. Vilbekin']",FENERBAHÇE BEKO
1,FENERBAHÇE BEKO,195.1,220.0,"[77, 78, 92, 96, 100]",77|78|92|96|100,5,5,5,5,4,1,100.0,80.0,2,10:00:00,2,08:29:00,33,25,38,29,Unknownx5,5,77|78|92|96|100,1:77|1:78|1:92|1:96|1:100,"[77, 78, 92, 96, 100]","['1:77', '1:78', '1:92', '1:96', '1:100']","['J. Birsen', 'M. Eksioglu', 'N. Melli', 'T. Tucker', 'S. Vilbekin']",FENERBAHÇE BEKO
1,FENERBAHÇE BEKO,220.1,283.0,"[77, 78, 79, 92, 95]",77|78|79|92|95,12,12,12,11,6,5,91.66666666666667,50.0,2,08:29:00,2,04:41:00,38,29,49,35,Unknownx5,5,77|78|79|92|95,1:77|1:78|1:79|1:92|1:95,"[77, 78, 79, 92, 95]","['1:77', '1:78', '1:79', '1:92', '1:95']","['J. Birsen', 'M. Eksioglu', 'T. Biberoviç', 'N. Melli', 'D. Hall']",FENERBAHÇE BEKO
1,FENERBAHÇE BEKO,283.1,311.0,"[77, 79, 89, 99, 100]",77|79|89|99|100,3,3,4,5,2,3,166.66666666666666,50.0,2,04:41:00,2,03:00:00,49,35,54,37,Unknownx5,5,77|79|89|99|100,1:77|1:79|1:89|1:99|1:100,"[77, 79, 89, 99, 100]","['1:77', '1:79', '1:89', '1:99', '1:100']","['J. Birsen', 'T. Biberoviç', 'O. Bitim', 'A. Bacot Jr', 'S. Vilbekin']",FENERBAHÇE BEKO
1,FENERBAHÇE BEKO,311.1,318.0,"[79, 89, 98, 99, 100]",79|89|98|99|100,2,2,1,0,2,-2,0.0,200.0,2,03:00:00,2,02:35:00,54,37,54,39,Unknownx5,5,79|89|98|99|100,1:79|1:89|1:98|1:99|1:100,"[79, 89, 98, 99, 100]","['1:79', '1:89', '1:98', '1:99', '1:100']","['T. Biberoviç', 'O. Bitim', 'M. Jantunen', 'A. Bacot Jr', 'S. Vilbekin']",FENERBAHÇE BEKO
1,FENERBAHÇE BEKO,318.1,359.0,"[78, 89, 96, 98, 99]",78|89|96|98|99,6,6,6,3,4,-1,50.0,66.66666666666667,2,02:35:00,2,00:25:10,54,39,57,43,Unknownx5,5,78|89|96|98|99,1:78|1:89|1:96|1:98|1:99,"[78, 89, 96, 98, 99]","['1:78', '1:89', '1:96', '1:98', '1:99']","['M. Eksioglu', 'O. Bitim', 'T. Tucker', 'M. Jantunen', 'A. Bacot Jr']",FENERBAHÇE BEKO
1,FENERBAHÇE BEKO,359.1,372.0,"[78, 79, 89, 92, 96]",78|79|89|92|96,2,2,2,3,0,3,150.0,0.0,2,00:25:10,3,10:00:00,57,43,60,43,Unknownx5,5,78|79|89|92|96,1:78|1:79|1:89|1:92|1:96,"[78, 79, 89, 92, 96]","['1:78', '1:79', '1:89', '1:92', '1:96']","['M. Eksioglu', 'T. Biberoviç', 'O. Bitim', 'N. Melli', 'T. Tucker']",FENERBAHÇE BEKO
