team_no,team_name,start_action,end_action,players_on_court,lineup_size,lineup_uid,players_on_court_tokens,players_on_court_names,lineup_uid_pair,lineup_pos_mix,start_period,start_clock,end_period,end_clock,score_start_for,score_start_against,score_end_for,score_end_against
1,BAHÇESEHIR KOLEJI,1.0,42.0,"[61, 74, 75, 76, 79]",5,61|74|75|76|79,"['1:61', '1:74', '1:75', '1:76', '1:79']","['K. Sipahi', 'T. Cavanaugh', 'C. Homesley', 'M. Mitchell Ii', 'T. Williams']",1:61|1:74|1:75|1:76|1:79,Unknownx5,1,10:00:00,1,06:45:00,0,0,0,10
1,BAHÇESEHIR KOLEJI,42.1,104.0,"[61, 73, 74, 78, 79]",5,61|73|74|78|79,"['1:61', '1:73', '1:74', '1:78', '1:79']","['K. Sipahi', 'M. Ponitka', 'T. Cavanaugh', 'H. Hale', 'T. Williams']",1:61|1:73|1:74|1:78|1:79,Unknownx5,1,06:45:00,1,03:02:00,0,10,7,12
1,BAHÇESEHIR KOLEJI,104.1,170.0,"[3, 73, 75, 77, 78]",5,3|73|75|77|78,"['1:3', '1:73', '1:75', '1:77', '1:78']","['G. Bas', 'M. Ponitka', 'C. Homesley', 'B. Koprivica', 'H. Hale']",1:3|1:73|1:75|1:77|1:78,Unknownx5,1,03:02:00,1,00:57:40,7,12,13,19
1,BAHÇESEHIR KOLEJI,170.1,185.0,"[1, 73, 75, 76, 77]",5,1|73|75|76|77,"['1:1', '1:73', '1:75', '1:76', '1:77']","['I. Akpinar', 'M. Ponitka', 'C. Homesley', 'M. Mitchell Ii', 'B. Koprivica']",1:1|1:73|1:75|1:76|1:77,Unknownx5,1,00:57:40,1,00:22:70,13,19,13,19
1,BAHÇESEHIR KOLEJI,185.1,196.0,"[1, 63, 73, 75, 76]",5,1|63|73|75|76,"['1:1', '1:63', '1:73', '1:75', '1:76']","['I. Akpinar', 'F. Haltali', 'M. Ponitka', 'C. Homesley', 'M. Mitchell Ii']",1:1|1:63|1:73|1:75|1:76,Unknownx5,1,00:22:70,2,10:00:00,13,19,13,21
1,BAHÇESEHIR KOLEJI,196.1,245.0,"[1, 63, 74, 75, 76]",5,1|63|74|75|76,"['1:1', '1:63', '1:74', '1:75', '1:76']","['I. Akpinar', 'F. Haltali', 'T. Cavanaugh', 'C. Homesley', 'M. Mitchell Ii']",1:1|1:63|1:74|1:75|1:76,Unknownx5,2,10:00:00,2,07:21:00,13,21,17,26
1,BAHÇESEHIR KOLEJI,245.1,251.0,"[1, 74, 75, 76, 79]",5,1|74|75|76|79,"['1:1', '1:74', '1:75', '1:76', '1:79']","['I. Akpinar', 'T. Cavanaugh', 'C. Homesley', 'M. Mitchell Ii', 'T. Williams']",1:1|1:74|1:75|1:76|1:79,Unknownx5,2,07:21:00,2,07:10:00,17,26,17,29
1,BAHÇESEHIR KOLEJI,251.1,270.0,"[61, 74, 75, 78, 79]",5,61|74|75|78|79,"['1:61', '1:74', '1:75', '1:78', '1:79']","['K. Sipahi', 'T. Cavanaugh', 'C. Homesley', 'H. Hale', 'T. Williams']",1:61|1:74|1:75|1:78|1:79,Unknownx5,2,07:10:00,2,06:10:00,17,29,17,34
1,BAHÇESEHIR KOLEJI,270.1,314.0,"[61, 73, 76, 78, 79]",5,61|73|76|78|79,"['1:61', '1:73', '1:76', '1:78', '1:79']","['K. Sipahi', 'M. Ponitka', 'M. Mitchell Ii', 'H. Hale', 'T. Williams']",1:61|1:73|1:76|1:78|1:79,Unknownx5,2,06:10:00,2,03:25:00,17,34,24,42
1,BAHÇESEHIR KOLEJI,314.1,340.0,"[1, 73, 75, 76, 77]",5,1|73|75|76|77,"['1:1', '1:73', '1:75', '1:76', '1:77']","['I. Akpinar', 'M. Ponitka', 'C. Homesley', 'M. Mitchell Ii', 'B. Koprivica']",1:1|1:73|1:75|1:76|1:77,Unknownx5,2,03:25:00,2,01:00:00,24,42,28,50
1,BAHÇESEHIR KOLEJI,340.1,359.0,"[1, 61, 76, 77, 78]",5,1|61|76|77|78,"['1:1', '1:61', '1:76', '1:77', '1:78']","['I. Akpinar', 'K. Sipahi', 'M. Mitchell Ii', 'B. Koprivica', 'H. Hale']",1:1|1:61|1:76|1:77|1:78,Unknownx5,2,01:00:00,2,00:47:10,28,50,29,50
1,BAHÇESEHIR KOLEJI,359.1,370.0,"[1, 61, 63, 76, 78]",5,1|61|63|76|78,"['1:1', '1:61', '1:63', '1:76', '1:78']","['I. Akpinar', 'K. Sipahi', 'F. Haltali', 'M. Mitchell Ii', 'H. Hale']",1:1|1:61|1:63|1:76|1:78,Unknownx5,2,00:47:10,3,10:00:00,29,50,29,50
1,BAHÇESEHIR KOLEJI,370.1,452.0,"[61, 73, 74, 78, 79]",5,61|73|74|78|79,"['1:61', '1:73', '1:74', '1:78', '1:79']","['K. Sipahi', 'M. Ponitka', 'T. Cavanaugh', 'H. Hale', 'T. Williams']",1:61|1:73|1:74|1:78|1:79,Unknownx5,3,10:00:00,3,04:52:00,29,50,38,53
1,BAHÇESEHIR KOLEJI,452.1,494.0,"[61, 73, 75, 76, 77]",5,61|73|75|76|77,"['1:61', '1:73', '1:75', '1:76', '1:77']","['K. Sipahi', 'M. Ponitka', 'C. Homesley', 'M. Mitchell Ii', 'B. Koprivica']",1:61|1:73|1:75|1:76|1:77,Unknownx5,3,04:52:00,3,02:17:00,38,53,46,58
1,BAHÇESEHIR KOLEJI,494.1,548.0,"[1, 75, 76, 77, 78]",5,1|75|76|77|78,"['1:1', '1:75', '1:76', '1:77', '1:78']","['I. Akpinar', 'C. Homesley', 'M. Mitchell Ii', 'B. Koprivica', 'H. Hale']",1:1|1:75|1:76|1:77|1:78,Unknownx5,3,02:17:00,4,09:33:00,46,58,53,62
1,BAHÇESEHIR KOLEJI,548.1,559.0,"[1, 75, 76, 78, 79]",5,1|75|76|78|79,"['1:1', '1:75', '1:76', '1:78', '1:79']","['I. Akpinar', 'C. Homesley', 'M. Mitchell Ii', 'H. Hale', 'T. Williams']",1:1|1:75|1:76|1:78|1:79,Unknownx5,4,09:33:00,4,08:41:00,53,62,53,63
1,BAHÇESEHIR KOLEJI,559.1,573.0,"[61, 74, 75, 78, 79]",5,61|74|75|78|79,"['1:61', '1:74', '1:75', '1:78', '1:79']","['K. Sipahi', 'T. Cavanaugh', 'C. Homesley', 'H. Hale', 'T. Williams']",1:61|1:74|1:75|1:78|1:79,Unknownx5,4,08:41:00,4,07:58:00,53,63,55,66
1,BAHÇESEHIR KOLEJI,573.1,609.0,"[61, 73, 74, 78, 79]",5,61|73|74|78|79,"['1:61', '1:73', '1:74', '1:78', '1:79']","['K. Sipahi', 'M. Ponitka', 'T. Cavanaugh', 'H. Hale', 'T. Williams']",1:61|1:73|1:74|1:78|1:79,Unknownx5,4,07:58:00,4,06:24:00,55,66,55,66
1,BAHÇESEHIR KOLEJI,609.1,620.0,"[61, 73, 75, 76, 79]",5,61|73|75|76|79,"['1:61', '1:73', '1:75', '1:76', '1:79']","['K. Sipahi', 'M. Ponitka', 'C. Homesley', 'M. Mitchell Ii', 'T. Williams']",1:61|1:73|1:75|1:76|1:79,Unknownx5,4,06:24:00,4,06:00:00,55,66,55,68
1,BAHÇESEHIR KOLEJI,620.1,657.0,"[1, 73, 75, 76, 79]",5,1|73|75|76|79,"['1:1', '1:73', '1:75', '1:76', '1:79']","['I. Akpinar', 'M. Ponitka', 'C. Homesley', 'M. Mitchell Ii', 'T. Williams']",1:1|1:73|1:75|1:76|1:79,Unknownx5,4,06:00:00,4,04:05:00,55,68,56,70
1,BAHÇESEHIR KOLEJI,657.1,667.0,"[1, 73, 74, 75, 76]",5,1|73|74|75|76,"['1:1', '1:73', '1:74', '1:75', '1:76']","['I. Akpinar', 'M. Ponitka', 'T. Cavanaugh', 'C. Homesley', 'M. Mitchell Ii']",1:1|1:73|1:74|1:75|1:76,Unknownx5,4,04:05:00,4,03:52:00,56,70,56,72
1,BAHÇESEHIR KOLEJI,667.1,682.0,"[61, 74, 75, 76, 78]",5,61|74|75|76|78,"['1:61', '1:74', '1:75', '1:76', '1:78']","['K. Sipahi', 'T. Cavanaugh', 'C. Homesley', 'M. Mitchell Ii', 'H. Hale']",1:61|1:74|1:75|1:76|1:78,Unknownx5,4,03:52:00,4,03:15:00,56,72,56,72
