team_no,team_name,team_code,player_no,name,shirtNumber,position_raw,position_group,pair_token
1,TRABZONSPOR,TRB,9,A. Delgado Astacio,31,,,1:9
1,TRABZONSPOR,TRB,6,A. Güney,7,,,1:6
1,TRABZONSPOR,TRB,12,A. Yeboah,15,,,1:12
1,TRABZONSPOR,TRB,3,B. Demir,11,,,1:3
1,TRABZONSPOR,TRB,14,D. Grant,1,,,1:14
1,TRABZONSPOR,TRB,2,E. Arar,19,,,1:2
1,TRABZONSPOR,TRB,4,I. Ulusoy,5,,,1:4
1,TRABZONSPOR,TRB,7,J. Gordon,8,,,1:7
1,TRABZONSPOR,TRB,13,K. Silins,25,,,1:13
1,TRABZONSPOR,TRB,11,M. Reed,0,,,1:11
1,TRABZONSPOR,TRB,5,O. Ulubay,13,,,1:5
1,TRABZONSPOR,TRB,10,T. Tinkle,3,,,1:10
2,BURSASPOR BASKETBOL,BUR,135,A. Konontsuk,34,,,2:135
2,BURSASPOR BASKETBOL,BUR,102,B. Akin,11,,,2:102
2,BURSASPOR BASKETBOL,BUR,133,B. Childress,0,,,2:133
2,BURSASPOR BASKETBOL,BUR,129,B. Crawford,13,,,2:129
2,BURSASPOR BASKETBOL,BUR,126,B. Satir,10,,,2:126
2,BURSASPOR BASKETBOL,BUR,101,H. Köksal,7,,,2:101
2,BURSASPOR BASKETBOL,BUR,136,J. Delaurier,12,,,2:136
2,BURSASPOR BASKETBOL,BUR,127,L. Nnoko,35,,,2:127
2,BURSASPOR BASKETBOL,BUR,144,M. Parsons,5,,,2:144
2,BURSASPOR BASKETBOL,BUR,3,T. Akdamar,3,,,2:3
2,BURSASPOR BASKETBOL,BUR,134,V. King,22,,,2:134
2,BURSASPOR BASKETBOL,BUR,4,Y. Onar,14,,,2:4
