gt,clock,s1,s2,lead,tno,period,periodType,pno,player,success,actionType,actionNumber,previousAction,qualifier,subType,scoring,shirtNumber,firstName,familyName,internationalFirstName,internationalFamilyName,firstNameInitial,familyNameInitial,internationalFirstNameInitial,internationalFamilyNameInitial,scoreboardName,team_name,team_code,player_name_from_roster,player_shirt,player_pos_raw,player_pos_group,x,y,r,ev_code,ev_result,ev_text,assist_pno,assist_tno,assist_player,block_pno,block_tno,block_player,assist_pos_group,block_pos_group,points,possession_id,possession_owner_tno,possession_end_reason,pts_1,cum_1,pts_2,cum_2
10:00,10:00:00,0,0,0,0,1,REGULAR,0,,1,game,1,,[],start,0,,,,,,,,,,,,,,,,,,,,OTHER,,game start,,,,,,,,,0,0,,,0,0,0,0
10:00,10:00:00,0,0,0,0,1,REGULAR,0,,1,period,2,,[],start,0,,,,,,,,,,,,,,,,,,,,OTHER,,period start,,,,,,,,,0,0,,,0,0,0,0
10:00,10:00:00,0,0,0,0,1,REGULAR,0,,1,jumpball,4,,[],startperiod,0,,,,,,,,,,,,,,,,,,,,JUMP,,jump ball,,,,,,,,,0,0,,,0,0,0,0
09:58,09:58:00,0,0,0,2,1,REGULAR,127,L. NNOKO,1,jumpball,5,4,[],won,0,35,Landry,Nnoko,Landry,Nnoko,L,N,L,N,L. Nnoko,BURSASPOR BASKETBOL,BUR,L. Nnoko,35,,,,,,JUMP,,jump ball,,,,,,,,,0,0,,,0,0,0,0
09:58,09:58:00,0,0,0,1,1,REGULAR,9,A. DELGADO ASTACIO,1,jumpball,6,4,[],lost,0,31,Angel Luis,Delgado Astacio,Angel Luis,Delgado Astacio,A,D,A,D,A. Delgado Astacio,TRABZONSPOR,TRB,A. Delgado Astacio,31,,,,,,JUMP,,jump ball,,,,,,,,,0,0,,,0,0,0,0
09:45,09:45:00,0,0,0,2,1,REGULAR,144,M. PARSONS,0,3pt,7,,[],jumpshot,1,5,Malik Disjohn,Parsons,Malik Disjohn,Parsons,M,P,M,P,M. Parsons,BURSASPOR BASKETBOL,BUR,M. Parsons,5,,,7.6799998283386,96.720001220703,0.0,P3,missed,BURSASPOR BASKETBOL M. PARSONS 3Pt missed,,,,,,,,,0,1,2.0,def_reb,0,0,0,0
09:42,09:42:00,0,0,0,1,1,REGULAR,9,A. DELGADO ASTACIO,1,rebound,8,7,[],defensive,0,31,Angel Luis,Delgado Astacio,Angel Luis,Delgado Astacio,A,D,A,D,A. Delgado Astacio,TRABZONSPOR,TRB,A. Delgado Astacio,31,,,,,,REB,,TRABZONSPOR rebound defensive,,,,,,,,,0,2,1.0,def_reb,0,0,0,0
09:27,09:27:00,0,0,0,1,1,REGULAR,5,O. ULUBAY,1,turnover,9,,[],badpass,0,13,Okben,Ulubay,Okben,Ulubay,O,U,O,U,O. Ulubay,TRABZONSPOR,TRB,O. Ulubay,13,,,,,,TO,,TRABZONSPOR O. ULUBAY turnover badpass,,,,,,,,,0,3,2.0,turnover,0,0,0,0
09:27,09:27:00,0,0,0,2,1,REGULAR,144,M. PARSONS,1,steal,10,9,[],,0,5,Malik Disjohn,Parsons,Malik Disjohn,Parsons,M,P,M,P,M. Parsons,BURSASPOR BASKETBOL,BUR,M. Parsons,5,,,,,,ST,,BURSASPOR BASKETBOL M. PARSONS steal,,,,,,,,,0,4,1.0,,0,0,0,0
09:16,09:16:00,0,2,-2,2,1,REGULAR,127,L. NNOKO,1,2pt,11,,"['fromturnover', 'pointsinthepaint']",floatingjumpshot,1,35,Landry,Nnoko,Landry,Nnoko,L,N,L,N,L. Nnoko,BURSASPOR BASKETBOL,BUR,L. Nnoko,35,,,15.789999961853,50.959999084473,1.0,P2,made,BURSASPOR BASKETBOL L. NNOKO 2Pt made,101.0,2.0,H. KÖKSAL,,,,,,2,4,1.0,score,0,0,2,2
09:16,09:16:00,0,2,-2,2,1,REGULAR,101,H. KÖKSAL,1,assist,12,11,[],,0,7,Hüseyin Göksenin,Köksal,Hüseyin Göksenin,Köksal,H,K,H,K,H. Köksal,BURSASPOR BASKETBOL,BUR,H. Köksal,7,,,,,,ASS,,BURSASPOR BASKETBOL H. KÖKSAL assist,,,,,,,,,0,5,2.0,,0,0,0,2
08:49,08:49:00,0,2,-2,1,1,REGULAR,9,A. DELGADO ASTACIO,0,2pt,13,,['pointsinthepaint'],layup,1,31,Angel Luis,Delgado Astacio,Angel Luis,Delgado Astacio,A,D,A,D,A. Delgado Astacio,TRABZONSPOR,TRB,A. Delgado Astacio,31,,,95.040000915527,38.529998779297,0.0,P2,missed,TRABZONSPOR A. DELGADO ASTACIO 2Pt missed,,,,,,,,,0,5,2.0,,0,0,0,2
08:45,08:45:00,0,2,-2,1,1,REGULAR,10,T. TINKLE,1,rebound,14,13,[],offensive,0,3,Tres Anthony,Tinkle,Tres Anthony,Tinkle,T,T,T,T,T. Tinkle,TRABZONSPOR,TRB,T. Tinkle,3,,,,,,REB,,TRABZONSPOR rebound offensive,,,,,,,,,0,5,2.0,,0,0,0,2
08:45,08:45:00,2,2,0,1,1,REGULAR,10,T. TINKLE,1,2pt,15,,"['2ndchance', 'pointsinthepaint']",turnaroundjumpshot,1,3,Tres Anthony,Tinkle,Tres Anthony,Tinkle,T,T,T,T,T. Tinkle,TRABZONSPOR,TRB,T. Tinkle,3,,,94.0,50.0,1.0,P2,made,TRABZONSPOR T. TINKLE 2Pt made,,,,,,,,,2,5,2.0,score,2,2,0,2
08:25,08:25:00,2,4,-2,2,1,REGULAR,135,A. KONONTSUK,1,2pt,16,,['pointsinthepaint'],floatingjumpshot,1,34,Artur,Konontsuk,Artur,Konontsuk,A,K,A,K,A. Konontsuk,BURSASPOR BASKETBOL,BUR,A. Konontsuk,34,,,9.3900003433228,56.610000610352,1.0,P2,made,BURSASPOR BASKETBOL A. KONONTSUK 2Pt made,133.0,2.0,B. CHILDRESS,,,,,,2,6,1.0,score,0,2,2,4
