team_no,team_name,team_code,player_no,name,shirtNumber,position_raw,position_group,pair_token
1,BESIKTAS GAIN,BJK,67,A. Brown,21,,,1:67
1,BESIKTAS GAIN,BJK,62,A. Zizic,41,,,1:62
1,BESIKTAS GAIN,BJK,66,B. Lemar,11,,,1:66
1,BESIKTAS GAIN,BJK,75,B. Ugurlu,6,,,1:75
1,BESIKTAS GAIN,BJK,76,C. Kus,12,,,1:76
1,BESIKTAS GAIN,BJK,69,C. Morgan,9,,,1:69
1,BESIKTAS GAIN,BJK,71,D. Dotson,1,,,1:71
1,BESIKTAS GAIN,BJK,1,E. Adigüzel,19,,,1:1
1,BESIKTAS GAIN,BJK,72,I. Kamagate,4,,,1:72
1,BESIKTAS GAIN,BJK,68,V. Brown,33,,,1:68
1,BESIKTAS GAIN,BJK,74,Y. Arslan,7,,,1:74
1,BESIKTAS GAIN,BJK,3,Y. Çoban,15,,,1:3
2,ONVO BÜYÜKÇEKMECE BASKETBOL,BÇB,12,A. Bandaogo,55,,,2:12
2,ONVO BÜYÜKÇEKMECE BASKETBOL,BÇB,14,A. Varli,8,,,2:14
2,ONVO BÜYÜKÇEKMECE BASKETBOL,BÇB,9,C. Turgut,23,,,2:9
2,ONVO BÜYÜKÇEKMECE BASKETBOL,BÇB,4,E. Bruinsma,33,,,2:4
2,ONVO BÜYÜKÇEKMECE BASKETBOL,BÇB,41,H. Senol,15,,,2:41
2,ONVO BÜYÜKÇEKMECE BASKETBOL,BÇB,6,J. Johnson,92,,,2:6
2,ONVO BÜYÜKÇEKMECE BASKETBOL,BÇB,5,J. Lecque,0,,,2:5
2,ONVO BÜYÜKÇEKMECE BASKETBOL,BÇB,13,K. Van Der Vuurst De Vries,1,,,2:13
2,ONVO BÜYÜKÇEKMECE BASKETBOL,BÇB,11,M. Senli,65,,,2:11
2,ONVO BÜYÜKÇEKMECE BASKETBOL,BÇB,10,M. Türen,7,,,2:10
2,ONVO BÜYÜKÇEKMECE BASKETBOL,BÇB,7,S. Pipes Jr,11,,,2:7
2,ONVO BÜYÜKÇEKMECE BASKETBOL,BÇB,8,Y. Özkan,2,,,2:8
