team_no,team_name,start_action,end_action,players_on_court,lineup_uid,possessions,poss_for,poss_against,pts_for,pts_against,net,ORtg,DRtg,start_period,start_clock,end_period,end_clock,score_start_for,score_start_against,score_end_for,score_end_against,lineup_pos_mix,lineup_size,lineup_uid_st,lineup_uid_pair,players_on_court_st,players_on_court_tokens,players_on_court_names,team_name_st
1,BESIKTAS GAIN,1.0,53.0,"[62, 66, 67, 68, 75]",62|66|67|68|75,10,10,11,5,6,-1,50.0,54.54545454545455,1,10:00:00,1,07:15:00,0,0,5,6,Unknownx5,5,62|66|67|68|75,1:62|1:66|1:67|1:68|1:75,"[62, 66, 67, 68, 75]","['1:62', '1:66', '1:67', '1:68', '1:75']","['A. Zizic', 'B. Lemar', 'A. Brown', 'V. Brown', 'B. Ugurlu']",BESIKTAS GAIN
1,BESIKTAS GAIN,53.1,69.0,"[66, 67, 68, 72, 75]",66|67|68|72|75,4,4,3,2,4,-2,50.0,133.33333333333334,1,07:15:00,1,05:57:00,5,6,7,10,Unknownx5,5,66|67|68|72|75,1:66|1:67|1:68|1:72|1:75,"[66, 67, 68, 72, 75]","['1:66', '1:67', '1:68', '1:72', '1:75']","['B. Lemar', 'A. Brown', 'V. Brown', 'I. Kamagate', 'B. Ugurlu']",BESIKTAS GAIN
1,BESIKTAS GAIN,69.1,108.0,"[67, 68, 71, 72, 74]",67|68|71|72|74,9,9,9,0,5,-5,0.0,55.55555555555556,1,05:57:00,1,03:49:00,7,10,7,15,Unknownx5,5,67|68|71|72|74,1:67|1:68|1:71|1:72|1:74,"[67, 68, 71, 72, 74]","['1:67', '1:68', '1:71', '1:72', '1:74']","['A. Brown', 'V. Brown', 'D. Dotson', 'I. Kamagate', 'Y. Arslan']",BESIKTAS GAIN
1,BESIKTAS GAIN,108.1,132.0,"[67, 71, 72, 74, 76]",67|71|72|74|76,2,2,2,5,3,2,250.0,150.0,1,03:49:00,1,02:17:00,7,15,12,18,Unknownx5,5,67|71|72|74|76,1:67|1:71|1:72|1:74|1:76,"[67, 71, 72, 74, 76]","['1:67', '1:71', '1:72', '1:74', '1:76']","['A. Brown', 'D. Dotson', 'I. Kamagate', 'Y. Arslan', 'C. Kus']",BESIKTAS GAIN
1,BESIKTAS GAIN,132.1,178.0,"[66, 71, 72, 74, 76]",66|71|72|74|76,8,8,8,5,2,3,62.5,25.0,1,02:17:00,2,10:00:00,12,18,17,20,Unknownx5,5,66|71|72|74|76,1:66|1:71|1:72|1:74|1:76,"[66, 71, 72, 74, 76]","['1:66', '1:71', '1:72', '1:74', '1:76']","['B. Lemar', 'D. Dotson', 'I. Kamagate', 'Y. Arslan', 'C. Kus']",BESIKTAS GAIN
1,BESIKTAS GAIN,178.1,199.0,"[62, 71, 74, 75, 76]",62|71|74|75|76,2,2,2,3,2,1,150.0,100.0,2,10:00:00,2,09:15:00,17,20,20,22,Unknownx5,5,62|71|74|75|76,1:62|1:71|1:74|1:75|1:76,"[62, 71, 74, 75, 76]","['1:62', '1:71', '1:74', '1:75', '1:76']","['A. Zizic', 'D. Dotson', 'Y. Arslan', 'B. Ugurlu', 'C. Kus']",BESIKTAS GAIN
1,BESIKTAS GAIN,199.1,244.0,"[62, 67, 71, 74, 76]",62|67|71|74|76,7,7,7,9,12,-3,128.57142857142858,171.42857142857142,2,09:15:00,2,05:44:00,20,22,29,34,Unknownx5,5,62|67|71|74|76,1:62|1:67|1:71|1:74|1:76,"[62, 67, 71, 74, 76]","['1:62', '1:67', '1:71', '1:74', '1:76']","['A. Zizic', 'A. Brown', 'D. Dotson', 'Y. Arslan', 'C. Kus']",BESIKTAS GAIN
1,BESIKTAS GAIN,244.1,309.0,"[62, 66, 67, 68, 75]",62|66|67|68|75,8,8,8,8,6,2,100.0,75.0,2,05:44:00,2,02:32:00,29,34,37,40,Unknownx5,5,62|66|67|68|75,1:62|1:66|1:67|1:68|1:75,"[62, 66, 67, 68, 75]","['1:62', '1:66', '1:67', '1:68', '1:75']","['A. Zizic', 'B. Lemar', 'A. Brown', 'V. Brown', 'B. Ugurlu']",BESIKTAS GAIN
1,BESIKTAS GAIN,309.1,326.0,"[62, 66, 68, 71, 74]",62|66|68|71|74,4,4,4,3,4,-1,75.0,100.0,2,02:32:00,2,01:08:00,37,40,40,44,Unknownx5,5,62|66|68|71|74,1:62|1:66|1:68|1:71|1:74,"[62, 66, 68, 71, 74]","['1:62', '1:66', '1:68', '1:71', '1:74']","['A. Zizic', 'B. Lemar', 'V. Brown', 'D. Dotson', 'Y. Arslan']",BESIKTAS GAIN
1,BESIKTAS GAIN,326.1,336.0,"[66, 68, 71, 72, 74]",66|68|71|72|74,1,1,1,0,2,-2,0.0,200.0,2,01:08:00,2,00:56:50,40,44,40,46,Unknownx5,5,66|68|71|72|74,1:66|1:68|1:71|1:72|1:74,"[66, 68, 71, 72, 74]","['1:66', '1:68', '1:71', '1:72', '1:74']","['B. Lemar', 'V. Brown', 'D. Dotson', 'I. Kamagate', 'Y. Arslan']",BESIKTAS GAIN
1,BESIKTAS GAIN,336.1,356.0,"[66, 71, 72, 74, 76]",66|71|72|74|76,1,1,1,2,2,0,200.0,200.0,2,00:56:50,2,00:20:00,40,46,42,48,Unknownx5,5,66|71|72|74|76,1:66|1:71|1:72|1:74|1:76,"[66, 71, 72, 74, 76]","['1:66', '1:71', '1:72', '1:74', '1:76']","['B. Lemar', 'D. Dotson', 'I. Kamagate', 'Y. Arslan', 'C. Kus']",BESIKTAS GAIN
1,BESIKTAS GAIN,356.1,367.0,"[66, 67, 71, 72, 76]",66|67|71|72|76,1,1,2,2,1,1,200.0,50.0,2,00:20:00,2,00:07:30,42,48,44,49,Unknownx5,5,66|67|71|72|76,1:66|1:67|1:71|1:72|1:76,"[66, 67, 71, 72, 76]","['1:66', '1:67', '1:71', '1:72', '1:76']","['B. Lemar', 'A. Brown', 'D. Dotson', 'I. Kamagate', 'C. Kus']",BESIKTAS GAIN
1,BESIKTAS GAIN,367.1,373.0,"[1, 66, 67, 72, 76]",1|66|67|72|76,1,1,0,0,3,-3,0.0,,2,00:07:30,3,10:00:00,44,49,44,52,Unknownx5,5,1|66|67|72|76,1:1|1:66|1:67|1:72|1:76,"[1, 66, 67, 72, 76]","['1:1', '1:66', '1:67', '1:72', '1:76']","['E. Adigüzel', 'B. Lemar', 'A. Brown', 'I. Kamagate', 'C. Kus']",BESIKTAS GAIN
1,BESIKTAS GAIN,373.1,458.0,"[62, 66, 67, 68, 75]",62|66|67|68|75,14,14,14,19,4,15,135.71428571428572,28.571428571428573,3,10:00:00,3,04:11:00,44,52,63,56,Unknownx5,5,62|66|67|68|75,1:62|1:66|1:67|1:68|1:75,"[62, 66, 67, 68, 75]","['1:62', '1:66', '1:67', '1:68', '1:75']","['A. Zizic', 'B. Lemar', 'A. Brown', 'V. Brown', 'B. Ugurlu']",BESIKTAS GAIN
1,BESIKTAS GAIN,458.1,484.0,"[67, 68, 71, 72, 75]",67|68|71|72|75,4,4,5,5,2,3,125.0,40.0,3,04:11:00,3,02:28:00,63,56,68,58,Unknownx5,5,67|68|71|72|75,1:67|1:68|1:71|1:72|1:75,"[67, 68, 71, 72, 75]","['1:67', '1:68', '1:71', '1:72', '1:75']","['A. Brown', 'V. Brown', 'D. Dotson', 'I. Kamagate', 'B. Ugurlu']",BESIKTAS GAIN
1,BESIKTAS GAIN,484.1,520.0,"[67, 68, 71, 72, 74]",67|68|71|72|74,5,5,4,3,2,1,60.0,50.0,3,02:28:00,3,00:22:30,68,58,71,60,Unknownx5,5,67|68|71|72|74,1:67|1:68|1:71|1:72|1:74,"[67, 68, 71, 72, 74]","['1:67', '1:68', '1:71', '1:72', '1:74']","['A. Brown', 'V. Brown', 'D. Dotson', 'I. Kamagate', 'Y. Arslan']",BESIKTAS GAIN
1,BESIKTAS GAIN,520.1,542.0,"[66, 68, 72, 74, 75]",66|68|72|74|75,1,1,2,3,0,3,300.0,0.0,3,00:22:30,4,10:00:00,71,60,74,60,Unknownx5,5,66|68|72|74|75,1:66|1:68|1:72|1:74|1:75,"[66, 68, 72, 74, 75]","['1:66', '1:68', '1:72', '1:74', '1:75']","['B. Lemar', 'V. Brown', 'I. Kamagate', 'Y. Arslan', 'B. Ugurlu']",BESIKTAS GAIN
1,BESIKTAS GAIN,542.1,604.0,"[66, 72, 74, 75, 76]",66|72|74|75|76,12,12,11,14,4,10,116.66666666666667,36.36363636363637,4,10:00:00,4,06:11:00,74,60,88,64,Unknownx5,5,66|72|74|75|76,1:66|1:72|1:74|1:75|1:76,"[66, 72, 74, 75, 76]","['1:66', '1:72', '1:74', '1:75', '1:76']","['B. Lemar', 'I. Kamagate', 'Y. Arslan', 'B. Ugurlu', 'C. Kus']",BESIKTAS GAIN
1,BESIKTAS GAIN,604.1,630.0,"[62, 67, 74, 75, 76]",62|67|74|75|76,3,3,3,0,0,0,0.0,0.0,4,06:11:00,4,05:26:00,88,64,88,64,Unknownx5,5,62|67|74|75|76,1:62|1:67|1:74|1:75|1:76,"[62, 67, 74, 75, 76]","['1:62', '1:67', '1:74', '1:75', '1:76']","['A. Zizic', 'A. Brown', 'Y. Arslan', 'B. Ugurlu', 'C. Kus']",BESIKTAS GAIN
1,BESIKTAS GAIN,630.1,657.0,"[62, 67, 68, 71, 74]",62|67|68|71|74,5,5,5,6,5,1,120.0,100.0,4,05:26:00,4,03:26:00,88,64,94,69,Unknownx5,5,62|67|68|71|74,1:62|1:67|1:68|1:71|1:74,"[62, 67, 68, 71, 74]","['1:62', '1:67', '1:68', '1:71', '1:74']","['A. Zizic', 'A. Brown', 'V. Brown', 'D. Dotson', 'Y. Arslan']",BESIKTAS GAIN
1,BESIKTAS GAIN,657.1,674.0,"[3, 67, 71, 72, 74]",3|67|71|72|74,2,2,3,0,3,-3,0.0,100.0,4,03:26:00,4,02:32:00,94,69,94,72,Unknownx5,5,3|67|71|72|74,1:3|1:67|1:71|1:72|1:74,"[3, 67, 71, 72, 74]","['1:3', '1:67', '1:71', '1:72', '1:74']","['Y. Çoban', 'A. Brown', 'D. Dotson', 'I. Kamagate', 'Y. Arslan']",BESIKTAS GAIN
1,BESIKTAS GAIN,674.1,683.0,"[3, 66, 67, 71, 72]",3|66|67|71|72,1,1,1,2,2,0,200.0,200.0,4,02:32:00,4,01:40:00,94,72,96,74,Unknownx5,5,3|66|67|71|72,1:3|1:66|1:67|1:71|1:72,"[3, 66, 67, 71, 72]","['1:3', '1:66', '1:67', '1:71', '1:72']","['Y. Çoban', 'B. Lemar', 'A. Brown', 'D. Dotson', 'I. Kamagate']",BESIKTAS GAIN
1,BESIKTAS GAIN,683.1,722.0,"[1, 3, 66, 67, 72]",1|3|66|67|72,7,7,6,4,2,2,57.142857142857146,33.333333333333336,4,01:40:00,4,00:00:00,96,74,100,76,Unknownx5,5,1|3|66|67|72,1:1|1:3|1:66|1:67|1:72,"[1, 3, 66, 67, 72]","['1:1', '1:3', '1:66', '1:67', '1:72']","['E. Adigüzel', 'Y. Çoban', 'B. Lemar', 'A. Brown', 'I. Kamagate']",BESIKTAS GAIN
2,ONVO BÜYÜKÇEKMECE BASKETBOL,1.0,110.0,"[4, 5, 6, 11, 13]",4|5|6|11|13,22,22,24,15,7,8,68.18181818181819,29.166666666666668,1,10:00:00,1,03:49:00,0,0,15,7,Unknownx5,5,4|5|6|11|13,2:4|2:5|2:6|2:11|2:13,"[4, 5, 6, 11, 13]","['2:4', '2:5', '2:6', '2:11', '2:13']","['E. Bruinsma', 'J. Lecque', 'J. Johnson', 'M. Senli', 'K. Van Der Vuurst De Vries']",ONVO BÜYÜKÇEKMECE BASKETBOL
2,ONVO BÜYÜKÇEKMECE BASKETBOL,110.1,182.0,"[5, 6, 7, 10, 12]",5|6|7|10|12,10,10,10,5,10,-5,50.0,100.0,1,03:49:00,2,10:00:00,15,7,20,17,Unknownx5,5,5|6|7|10|12,2:5|2:6|2:7|2:10|2:12,"[5, 6, 7, 10, 12]","['2:5', '2:6', '2:7', '2:10', '2:12']","['J. Lecque', 'J. Johnson', 'S. Pipes Jr', 'M. Türen', 'A. Bandaogo']",ONVO BÜYÜKÇEKMECE BASKETBOL
2,ONVO BÜYÜKÇEKMECE BASKETBOL,182.1,201.0,"[5, 7, 9, 10, 12]",5|7|9|10|12,2,2,2,2,3,-1,100.0,150.0,2,10:00:00,2,09:15:00,20,17,22,20,Unknownx5,5,5|7|9|10|12,2:5|2:7|2:9|2:10|2:12,"[5, 7, 9, 10, 12]","['2:5', '2:7', '2:9', '2:10', '2:12']","['J. Lecque', 'S. Pipes Jr', 'C. Turgut', 'M. Türen', 'A. Bandaogo']",ONVO BÜYÜKÇEKMECE BASKETBOL
2,ONVO BÜYÜKÇEKMECE BASKETBOL,201.1,250.0,"[7, 9, 10, 12, 13]",7|9|10|12|13,7,7,7,12,9,3,171.42857142857142,128.57142857142858,2,09:15:00,2,05:44:00,22,20,34,29,Unknownx5,5,7|9|10|12|13,2:7|2:9|2:10|2:12|2:13,"[7, 9, 10, 12, 13]","['2:7', '2:9', '2:10', '2:12', '2:13']","['S. Pipes Jr', 'C. Turgut', 'M. Türen', 'A. Bandaogo', 'K. Van Der Vuurst De Vries']",ONVO BÜYÜKÇEKMECE BASKETBOL
2,ONVO BÜYÜKÇEKMECE BASKETBOL,250.1,258.0,"[4, 7, 9, 12, 13]",4|7|9|12|13,1,1,1,0,0,0,0.0,0.0,2,05:44:00,2,05:33:00,34,29,34,29,Unknownx5,5,4|7|9|12|13,2:4|2:7|2:9|2:12|2:13,"[4, 7, 9, 12, 13]","['2:4', '2:7', '2:9', '2:12', '2:13']","['E. Bruinsma', 'S. Pipes Jr', 'C. Turgut', 'A. Bandaogo', 'K. Van Der Vuurst De Vries']",ONVO BÜYÜKÇEKMECE BASKETBOL
