team_no,team_name,start_action,end_action,players_on_court,lineup_size,lineup_uid,players_on_court_tokens,players_on_court_names,lineup_uid_pair,lineup_pos_mix,start_period,start_clock,end_period,end_clock,score_start_for,score_start_against,score_end_for,score_end_against
1,ALIAGA PETKIM SPOR,1.0,50.0,"[44, 64, 67, 68, 69]",5,44|64|67|68|69,"['1:44', '1:64', '1:67', '1:68', '1:69']","['T. Sav', 'M. Sajus', 'D. Efianayi Jr', 'Y. Franke', 'S. Whittaker Jr']",1:44|1:64|1:67|1:68|1:69,Unknownx5,1,10:00:00,1,05:28:00,0,0,13,5
1,ALIAGA PETKIM SPOR,50.1,80.0,"[42, 64, 65, 67, 68]",5,42|64|65|67|68,"['1:42', '1:64', '1:65', '1:67', '1:68']","['Y. Sonsirma', 'M. Sajus', 'R. Blumbergs', 'D. Efianayi Jr', 'Y. Franke']",1:42|1:64|1:65|1:67|1:68,Unknownx5,1,05:28:00,1,03:03:00,13,5,19,10
1,ALIAGA PETKIM SPOR,80.1,113.0,"[42, 65, 66, 68, 69]",5,42|65|66|68|69,"['1:42', '1:65', '1:66', '1:68', '1:69']","['Y. Sonsirma', 'R. Blumbergs', 'J. Floyd', 'Y. Franke', 'S. Whittaker Jr']",1:42|1:65|1:66|1:68|1:69,Unknownx5,1,03:03:00,1,01:39:00,19,10,19,13
1,ALIAGA PETKIM SPOR,113.1,135.0,"[42, 65, 66, 69, 70]",5,42|65|66|69|70,"['1:42', '1:65', '1:66', '1:69', '1:70']","['Y. Sonsirma', 'R. Blumbergs', 'J. Floyd', 'S. Whittaker Jr', 'U. Utomi']",1:42|1:65|1:66|1:69|1:70,Unknownx5,1,01:39:00,1,00:06:10,19,13,24,15
1,ALIAGA PETKIM SPOR,135.1,144.0,"[42, 65, 67, 69, 70]",5,42|65|67|69|70,"['1:42', '1:65', '1:67', '1:69', '1:70']","['Y. Sonsirma', 'R. Blumbergs', 'D. Efianayi Jr', 'S. Whittaker Jr', 'U. Utomi']",1:42|1:65|1:67|1:69|1:70,Unknownx5,1,00:06:10,2,10:00:00,24,15,24,15
1,ALIAGA PETKIM SPOR,144.1,166.0,"[42, 65, 66, 69, 70]",5,42|65|66|69|70,"['1:42', '1:65', '1:66', '1:69', '1:70']","['Y. Sonsirma', 'R. Blumbergs', 'J. Floyd', 'S. Whittaker Jr', 'U. Utomi']",1:42|1:65|1:66|1:69|1:70,Unknownx5,2,10:00:00,2,08:22:00,24,15,29,17
1,ALIAGA PETKIM SPOR,166.1,177.0,"[42, 66, 67, 69, 70]",5,42|66|67|69|70,"['1:42', '1:66', '1:67', '1:69', '1:70']","['Y. Sonsirma', 'J. Floyd', 'D. Efianayi Jr', 'S. Whittaker Jr', 'U. Utomi']",1:42|1:66|1:67|1:69|1:70,Unknownx5,2,08:22:00,2,07:40:00,29,17,31,17
1,ALIAGA PETKIM SPOR,177.1,212.0,"[43, 66, 67, 69, 70]",5,43|66|67|69|70,"['1:43', '1:66', '1:67', '1:69', '1:70']","['M. Kurtuldum', 'J. Floyd', 'D. Efianayi Jr', 'S. Whittaker Jr', 'U. Utomi']",1:43|1:66|1:67|1:69|1:70,Unknownx5,2,07:40:00,2,05:44:00,31,17,40,21
1,ALIAGA PETKIM SPOR,212.1,221.0,"[43, 64, 67, 69, 70]",5,43|64|67|69|70,"['1:43', '1:64', '1:67', '1:69', '1:70']","['M. Kurtuldum', 'M. Sajus', 'D. Efianayi Jr', 'S. Whittaker Jr', 'U. Utomi']",1:43|1:64|1:67|1:69|1:70,Unknownx5,2,05:44:00,2,05:14:00,40,21,40,21
1,ALIAGA PETKIM SPOR,221.1,313.0,"[42, 64, 67, 68, 70]",5,42|64|67|68|70,"['1:42', '1:64', '1:67', '1:68', '1:70']","['Y. Sonsirma', 'M. Sajus', 'D. Efianayi Jr', 'Y. Franke', 'U. Utomi']",1:42|1:64|1:67|1:68|1:70,Unknownx5,2,05:14:00,2,00:04:30,40,21,57,31
1,ALIAGA PETKIM SPOR,313.1,329.0,"[42, 43, 67, 68, 70]",5,42|43|67|68|70,"['1:42', '1:43', '1:67', '1:68', '1:70']","['Y. Sonsirma', 'M. Kurtuldum', 'D. Efianayi Jr', 'Y. Franke', 'U. Utomi']",1:42|1:43|1:67|1:68|1:70,Unknownx5,2,00:04:30,3,10:00:00,57,31,57,31
1,ALIAGA PETKIM SPOR,329.1,423.0,"[44, 64, 67, 68, 69]",5,44|64|67|68|69,"['1:44', '1:64', '1:67', '1:68', '1:69']","['T. Sav', 'M. Sajus', 'D. Efianayi Jr', 'Y. Franke', 'S. Whittaker Jr']",1:44|1:64|1:67|1:68|1:69,Unknownx5,3,10:00:00,3,04:23:00,57,31,67,40
1,ALIAGA PETKIM SPOR,423.1,438.0,"[42, 64, 65, 67, 68]",5,42|64|65|67|68,"['1:42', '1:64', '1:65', '1:67', '1:68']","['Y. Sonsirma', 'M. Sajus', 'R. Blumbergs', 'D. Efianayi Jr', 'Y. Franke']",1:42|1:64|1:65|1:67|1:68,Unknownx5,3,04:23:00,3,03:11:00,67,40,69,40
1,ALIAGA PETKIM SPOR,438.1,459.0,"[42, 65, 66, 67, 68]",5,42|65|66|67|68,"['1:42', '1:65', '1:66', '1:67', '1:68']","['Y. Sonsirma', 'R. Blumbergs', 'J. Floyd', 'D. Efianayi Jr', 'Y. Franke']",1:42|1:65|1:66|1:67|1:68,Unknownx5,3,03:11:00,3,01:56:00,69,40,71,45
