team_no,team_name,start_action,end_action,players_on_court,lineup_uid,possessions,poss_for,poss_against,pts_for,pts_against,net,ORtg,DRtg,start_period,start_clock,end_period,end_clock,score_start_for,score_start_against,score_end_for,score_end_against,lineup_pos_mix,lineup_size,lineup_uid_st,lineup_uid_pair,players_on_court_st,players_on_court_tokens,players_on_court_names,team_name_st
1,TRABZONSPOR,1.0,89.0,"[3, 9, 11, 12, 14]",3|9|11|12|14,19,19,19,16,13,3,84.21052631578948,68.42105263157895,1,10:00:00,1,02:46:00,0,0,16,13,Unknownx5,5,3|9|11|12|14,1:3|1:9|1:11|1:12|1:14,"[3, 9, 11, 12, 14]","['1:3', '1:9', '1:11', '1:12', '1:14']","['B. Demir', 'A. Delgado Astacio', 'M. Reed', 'A. Yeboah', 'D. Grant']",TRABZONSPOR
1,TRABZONSPOR,89.1,121.0,"[3, 4, 5, 7, 9]",3|4|5|7|9,3,3,3,2,0,2,66.66666666666667,0.0,1,02:46:00,1,01:36:00,16,13,18,13,Unknownx5,5,3|4|5|7|9,1:3|1:4|1:5|1:7|1:9,"[3, 4, 5, 7, 9]","['1:3', '1:4', '1:5', '1:7', '1:9']","['B. Demir', 'I. Ulusoy', 'O. Ulubay', 'J. Gordon', 'A. Delgado Astacio']",TRABZONSPOR
1,TRABZONSPOR,121.1,164.0,"[4, 5, 7, 9, 10]",4|5|7|9|10,7,7,7,2,6,-4,28.571428571428573,85.71428571428571,1,01:36:00,2,10:00:00,18,13,20,19,Unknownx5,5,4|5|7|9|10,1:4|1:5|1:7|1:9|1:10,"[4, 5, 7, 9, 10]","['1:4', '1:5', '1:7', '1:9', '1:10']","['I. Ulusoy', 'O. Ulubay', 'J. Gordon', 'A. Delgado Astacio', 'T. Tinkle']",TRABZONSPOR
1,TRABZONSPOR,164.1,231.0,"[4, 5, 7, 10, 13]",4|5|7|10|13,10,10,10,13,9,4,130.0,90.0,1,08:08:00,2,06:18:00,20,19,33,28,Unknownx5,5,4|5|7|10|13,1:4|1:5|1:7|1:10|1:13,"[4, 5, 7, 10, 13]","['1:4', '1:5', '1:7', '1:10', '1:13']","['I. Ulusoy', 'O. Ulubay', 'J. Gordon', 'T. Tinkle', 'K. Silins']",TRABZONSPOR
1,TRABZONSPOR,231.1,252.0,"[4, 10, 11, 12, 13]",4|10|11|12|13,2,2,2,2,2,0,100.0,100.0,2,06:18:00,2,05:44:00,33,28,35,30,Unknownx5,5,4|10|11|12|13,1:4|1:10|1:11|1:12|1:13,"[4, 10, 11, 12, 13]","['1:4', '1:10', '1:11', '1:12', '1:13']","['I. Ulusoy', 'T. Tinkle', 'M. Reed', 'A. Yeboah', 'K. Silins']",TRABZONSPOR
1,TRABZONSPOR,252.1,276.0,"[3, 4, 11, 12, 13]",3|4|11|12|13,2,2,2,2,3,-1,100.0,150.0,2,05:44:00,2,04:26:00,35,30,37,33,Unknownx5,5,3|4|11|12|13,1:3|1:4|1:11|1:12|1:13,"[3, 4, 11, 12, 13]","['1:3', '1:4', '1:11', '1:12', '1:13']","['B. Demir', 'I. Ulusoy', 'M. Reed', 'A. Yeboah', 'K. Silins']",TRABZONSPOR
1,TRABZONSPOR,276.1,294.0,"[3, 11, 12, 13, 14]",3|11|12|13|14,2,2,2,0,3,-3,0.0,150.0,2,04:26:00,2,03:56:00,37,33,37,36,Unknownx5,5,3|11|12|13|14,1:3|1:11|1:12|1:13|1:14,"[3, 11, 12, 13, 14]","['1:3', '1:11', '1:12', '1:13', '1:14']","['B. Demir', 'M. Reed', 'A. Yeboah', 'K. Silins', 'D. Grant']",TRABZONSPOR
1,TRABZONSPOR,294.1,330.0,"[3, 7, 12, 13, 14]",3|7|12|13|14,5,5,5,5,2,3,100.0,40.0,2,03:56:00,2,02:08:00,37,36,42,38,Unknownx5,5,3|7|12|13|14,1:3|1:7|1:12|1:13|1:14,"[3, 7, 12, 13, 14]","['1:3', '1:7', '1:12', '1:13', '1:14']","['B. Demir', 'J. Gordon', 'A. Yeboah', 'K. Silins', 'D. Grant']",TRABZONSPOR
1,TRABZONSPOR,330.1,353.0,"[3, 7, 9, 12, 14]",3|7|9|12|14,4,4,5,5,0,5,125.0,0.0,2,02:08:00,3,10:00:00,42,38,47,38,Unknownx5,5,3|7|9|12|14,1:3|1:7|1:9|1:12|1:14,"[3, 7, 9, 12, 14]","['1:3', '1:7', '1:9', '1:12', '1:14']","['B. Demir', 'J. Gordon', 'A. Delgado Astacio', 'A. Yeboah', 'D. Grant']",TRABZONSPOR
1,TRABZONSPOR,353.1,419.0,"[5, 7, 9, 10, 14]",5|7|9|10|14,10,10,10,8,5,3,80.0,50.0,3,10:00:00,3,05:29:00,47,38,55,43,Unknownx5,5,5|7|9|10|14,1:5|1:7|1:9|1:10|1:14,"[5, 7, 9, 10, 14]","['1:5', '1:7', '1:9', '1:10', '1:14']","['O. Ulubay', 'J. Gordon', 'A. Delgado Astacio', 'T. Tinkle', 'D. Grant']",TRABZONSPOR
