team_no,team_name,team_code,player_no,name,firstName,familyName,shirtNumber,starter,captain,active,position_raw,position_group,sMinutes,sFieldGoalsMade,sFieldGoalsAttempted,sFieldGoalsPercentage,sThreePointersMade,sThreePointersAttempted,sThreePointersPercentage,sTwoPointersMade,sTwoPointersAttempted,sTwoPointersPercentage,sFreeThrowsMade,sFreeThrowsAttempted,sFreeThrowsPercentage,sReboundsDefensive,sReboundsOffensive,sReboundsTotal,sAssists,sTurnovers,sSteals,sBlocks,sBlocksReceived,sFoulsPersonal,sFoulsOn,sPoints,sPointsSecondChance,sPointsFastBreak,sPlusMinusPoints,sPointsInThePaint,scoreboardName,pair_token
1,TRABZONSPOR,TRB,11,M. Reed,Marcquise Deandre,Reed,0,1,,1,,,19:59,5,10,50,1,1,100,4,9,44,4,6,66,2,0,2,6,0,1,0,2,3,3,15,2,6,12,4,M. Reed,1:11
1,TRABZONSPOR,TRB,14,D. Grant,Denove Octavon,Grant,1,1,,0,,,17:31,4,14,28,1,6,16,3,8,37,2,2,100,2,0,2,4,1,0,0,0,0,1,11,4,2,9,0,D. Grant,1:14
1,TRABZONSPOR,TRB,10,T. Tinkle,Tres Anthony,Tinkle,3,0,,0,,,13:26,2,2,100,0,0,0,2,2,100,2,2,100,3,0,3,0,0,1,0,0,2,1,6,2,2,0,2,T. Tinkle,1:10
1,TRABZONSPOR,TRB,4,I. Ulusoy,Ismail Cem,Ulusoy,5,0,1.0,1,,,22:29,3,9,33,2,4,50,1,5,20,1,1,100,0,1,1,4,0,1,0,2,3,3,9,0,0,9,2,I. Ulusoy,1:4
1,TRABZONSPOR,TRB,7,J. Gordon,Jitaurious Tykyvion,Gordon,8,0,,1,,,27:09,6,13,46,1,5,20,5,8,62,1,2,50,3,2,5,5,0,1,0,0,1,1,14,7,4,21,8,J. Gordon,1:7
1,TRABZONSPOR,TRB,3,B. Demir,Berk,Demir,11,1,,1,,,26:34,2,5,40,1,4,25,1,1,100,0,0,0,4,1,5,0,1,0,1,0,3,0,5,0,5,18,2,B. Demir,1:3
1,TRABZONSPOR,TRB,5,O. Ulubay,Okben,Ulubay,13,0,,0,,,16:06,3,5,60,0,2,0,3,3,100,0,0,0,1,1,2,1,0,1,1,0,2,1,6,0,0,-2,4,O. Ulubay,1:5
1,TRABZONSPOR,TRB,12,A. Yeboah,Akwasi Abeyie,Yeboah,15,1,,0,,,16:47,2,2,100,1,1,100,1,1,100,0,0,0,2,3,5,0,1,0,0,0,2,3,5,2,0,5,2,A. Yeboah,1:12
1,TRABZONSPOR,TRB,2,E. Arar,Ege,Arar,19,0,,0,,,5:29,1,1,100,0,0,0,1,1,100,0,2,0,1,2,3,0,0,0,2,0,0,1,2,2,0,-5,2,E. Arar,1:2
1,TRABZONSPOR,TRB,13,K. Silins,Karlis,Silins,25,0,,0,,,10:27,3,4,75,2,2,100,1,2,50,0,0,0,2,1,3,0,0,0,0,0,1,1,8,5,0,4,2,K. Silins,1:13
1,TRABZONSPOR,TRB,1,D. Engindeniz,Dorukhan,Engindeniz,30,0,,0,,,0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D. Engindeniz,1:1
1,TRABZONSPOR,TRB,9,A. Delgado Astacio,Angel Luis,Delgado Astacio,31,1,,1,,,24:04,5,7,71,0,0,0,5,7,71,3,5,60,5,3,8,2,0,4,1,0,1,5,13,2,0,19,8,A. Delgado Astacio,1:9
