team_no,team_name,start_action,end_action,players_on_court,lineup_uid,possessions,poss_for,poss_against,pts_for,pts_against,net,ORtg,DRtg,start_period,start_clock,end_period,end_clock,score_start_for,score_start_against,score_end_for,score_end_against,lineup_pos_mix,lineup_size,lineup_uid_st,lineup_uid_pair,players_on_court_st,players_on_court_tokens,players_on_court_names,team_name_st
1,BESIKTAS GAIN,1.0,54.0,"[68, 69, 70, 71, 74]",68|69|70|71|74,10,10,11,7,8,-1,70.0,72.72727272727273,1,10:00:00,1,05:41:00,0,0,7,8,Unknownx5,5,68|69|70|71|74,1:68|1:69|1:70|1:71|1:74,"[68, 69, 70, 71, 74]","['1:68', '1:69', '1:70', '1:71', '1:74']","['V. Brown', 'C. Morgan', 'J. Mathews', 'D. Dotson', 'Y. Arslan']",BESIKTAS GAIN
1,BESIKTAS GAIN,54.1,143.0,"[66, 67, 70, 72, 76]",66|67|70|72|76,13,13,13,9,9,0,69.23076923076923,69.23076923076923,1,05:41:00,1,01:53:00,7,8,16,17,Unknownx5,5,66|67|70|72|76,1:66|1:67|1:70|1:72|1:76,"[66, 67, 70, 72, 76]","['1:66', '1:67', '1:70', '1:72', '1:76']","['B. Lemar', 'A. Brown', 'J. Mathews', 'I. Kamagate', 'C. Kus']",BESIKTAS GAIN
1,BESIKTAS GAIN,143.1,159.0,"[66, 67, 68, 72, 74]",66|67|68|72|74,2,2,3,0,0,0,0.0,0.0,1,01:53:00,1,00:49:90,16,17,16,17,Unknownx5,5,66|67|68|72|74,1:66|1:67|1:68|1:72|1:74,"[66, 67, 68, 72, 74]","['1:66', '1:67', '1:68', '1:72', '1:74']","['B. Lemar', 'A. Brown', 'V. Brown', 'I. Kamagate', 'Y. Arslan']",BESIKTAS GAIN
1,BESIKTAS GAIN,159.1,168.0,"[67, 68, 71, 72, 74]",67|68|71|72|74,3,3,2,3,1,2,100.0,50.0,1,00:49:90,1,00:04:30,16,17,19,18,Unknownx5,5,67|68|71|72|74,1:67|1:68|1:71|1:72|1:74,"[67, 68, 71, 72, 74]","['1:67', '1:68', '1:71', '1:72', '1:74']","['A. Brown', 'V. Brown', 'D. Dotson', 'I. Kamagate', 'Y. Arslan']",BESIKTAS GAIN
1,BESIKTAS GAIN,168.1,177.0,"[67, 68, 70, 71, 74]",67|68|70|71|74,0,0,1,3,0,3,,0.0,1,00:04:30,2,10:00:00,19,18,22,18,Unknownx5,5,67|68|70|71|74,1:67|1:68|1:70|1:71|1:74,"[67, 68, 70, 71, 74]","['1:67', '1:68', '1:70', '1:71', '1:74']","['A. Brown', 'V. Brown', 'J. Mathews', 'D. Dotson', 'Y. Arslan']",BESIKTAS GAIN
1,BESIKTAS GAIN,177.1,212.0,"[67, 68, 69, 71, 74]",67|68|69|71|74,4,4,4,4,3,1,100.0,75.0,2,10:00:00,2,08:17:00,22,18,26,21,Unknownx5,5,67|68|69|71|74,1:67|1:68|1:69|1:71|1:74,"[67, 68, 69, 71, 74]","['1:67', '1:68', '1:69', '1:71', '1:74']","['A. Brown', 'V. Brown', 'C. Morgan', 'D. Dotson', 'Y. Arslan']",BESIKTAS GAIN
1,BESIKTAS GAIN,212.1,246.0,"[66, 68, 69, 70, 74]",66|68|69|70|74,6,6,5,6,4,2,100.0,80.0,2,08:17:00,2,05:52:00,26,21,32,25,Unknownx5,5,66|68|69|70|74,1:66|1:68|1:69|1:70|1:74,"[66, 68, 69, 70, 74]","['1:66', '1:68', '1:69', '1:70', '1:74']","['B. Lemar', 'V. Brown', 'C. Morgan', 'J. Mathews', 'Y. Arslan']",BESIKTAS GAIN
1,BESIKTAS GAIN,246.1,272.0,"[1, 67, 68, 69, 70]",1|67|68|69|70,5,5,6,4,2,2,80.0,33.333333333333336,2,05:52:00,2,04:26:00,32,25,36,27,Unknownx5,5,1|67|68|69|70,1:1|1:67|1:68|1:69|1:70,"[1, 67, 68, 69, 70]","['1:1', '1:67', '1:68', '1:69', '1:70']","['E. Adigüzel', 'A. Brown', 'V. Brown', 'C. Morgan', 'J. Mathews']",BESIKTAS GAIN
1,BESIKTAS GAIN,272.1,295.0,"[1, 67, 68, 70, 72]",1|67|68|70|72,4,4,4,5,3,2,125.0,75.0,2,04:26:00,2,02:44:00,36,27,41,30,Unknownx5,5,1|67|68|70|72,1:1|1:67|1:68|1:70|1:72,"[1, 67, 68, 70, 72]","['1:1', '1:67', '1:68', '1:70', '1:72']","['E. Adigüzel', 'A. Brown', 'V. Brown', 'J. Mathews', 'I. Kamagate']",BESIKTAS GAIN
1,BESIKTAS GAIN,295.1,309.0,"[1, 67, 70, 72, 76]",1|67|70|72|76,1,1,1,0,2,-2,0.0,200.0,2,02:44:00,2,02:19:00,41,30,41,32,Unknownx5,5,1|67|70|72|76,1:1|1:67|1:70|1:72|1:76,"[1, 67, 70, 72, 76]","['1:1', '1:67', '1:70', '1:72', '1:76']","['E. Adigüzel', 'A. Brown', 'J. Mathews', 'I. Kamagate', 'C. Kus']",BESIKTAS GAIN
1,BESIKTAS GAIN,309.1,343.0,"[66, 67, 72, 74, 76]",66|67|72|74|76,6,6,6,3,2,1,50.0,33.333333333333336,2,02:19:00,2,00:45:30,41,32,44,34,Unknownx5,5,66|67|72|74|76,1:66|1:67|1:72|1:74|1:76,"[66, 67, 72, 74, 76]","['1:66', '1:67', '1:72', '1:74', '1:76']","['B. Lemar', 'A. Brown', 'I. Kamagate', 'Y. Arslan', 'C. Kus']",BESIKTAS GAIN
