team_no,team_name,start_action,end_action,players_on_court,lineup_uid,possessions,poss_for,poss_against,pts_for,pts_against,net,ORtg,DRtg,start_period,start_clock,end_period,end_clock,score_start_for,score_start_against,score_end_for,score_end_against,lineup_pos_mix,lineup_size,lineup_uid_st,lineup_uid_pair,players_on_court_st,players_on_court_tokens,players_on_court_names,team_name_st
1,TÜRK TELEKOM,1.0,60.0,"[5, 8, 76, 77, 78]",5|8|76|77|78,11,11,12,6,5,1,54.54545454545455,41.666666666666664,1,10:00:00,1,05:49:00,0,0,6,5,Unknownx5,5,5|8|76|77|78,1:5|1:8|1:76|1:77|1:78,"[5, 8, 76, 77, 78]","['1:5', '1:8', '1:76', '1:77', '1:78']","['D. Özdemiroglu', 'Y. Gültekin', 'M. Simonovic', 'J. Smith', 'K. Bankston']",TÜRK TELEKOM
1,TÜRK TELEKOM,60.1,87.0,"[5, 74, 76, 77, 78]",5|74|76|77|78,7,7,8,2,8,-6,28.571428571428573,100.0,1,05:49:00,1,03:13:00,6,5,8,13,Unknownx5,5,5|74|76|77|78,1:5|1:74|1:76|1:77|1:78,"[5, 74, 76, 77, 78]","['1:5', '1:74', '1:76', '1:77', '1:78']","['D. Özdemiroglu', 'J. Usher', 'M. Simonovic', 'J. Smith', 'K. Bankston']",TÜRK TELEKOM
1,TÜRK TELEKOM,87.1,122.0,"[7, 74, 75, 77, 87]",7|74|75|77|87,5,5,4,4,0,4,80.0,0.0,1,03:13:00,1,01:14:00,8,13,12,13,Unknownx5,5,7|74|75|77|87,1:7|1:74|1:75|1:77|1:87,"[7, 74, 75, 77, 87]","['1:7', '1:74', '1:75', '1:77', '1:87']","['B. Durmaz', 'J. Usher', 'K. Allman', 'J. Smith', 'K. Alexander']",TÜRK TELEKOM
1,TÜRK TELEKOM,122.1,197.0,"[3, 7, 74, 75, 87]",3|7|74|75|87,14,14,15,6,10,-4,42.857142857142854,66.66666666666667,1,01:14:00,2,06:10:00,12,13,18,23,Unknownx5,5,3|7|74|75|87,1:3|1:7|1:74|1:75|1:87,"[3, 7, 74, 75, 87]","['1:3', '1:7', '1:74', '1:75', '1:87']","['A. Kahraman', 'B. Durmaz', 'J. Usher', 'K. Allman', 'K. Alexander']",TÜRK TELEKOM
1,TÜRK TELEKOM,197.1,269.0,"[5, 8, 76, 77, 78]",5|8|76|77|78,11,11,11,14,7,7,127.27272727272727,63.63636363636363,2,06:10:00,2,02:11:00,18,23,32,30,Unknownx5,5,5|8|76|77|78,1:5|1:8|1:76|1:77|1:78,"[5, 8, 76, 77, 78]","['1:5', '1:8', '1:76', '1:77', '1:78']","['D. Özdemiroglu', 'Y. Gültekin', 'M. Simonovic', 'J. Smith', 'K. Bankston']",TÜRK TELEKOM
1,TÜRK TELEKOM,269.1,285.0,"[5, 74, 76, 77, 78]",5|74|76|77|78,2,2,2,2,0,2,100.0,0.0,2,02:11:00,2,01:49:00,32,30,34,30,Unknownx5,5,5|74|76|77|78,1:5|1:74|1:76|1:77|1:78,"[5, 74, 76, 77, 78]","['1:5', '1:74', '1:76', '1:77', '1:78']","['D. Özdemiroglu', 'J. Usher', 'M. Simonovic', 'J. Smith', 'K. Bankston']",TÜRK TELEKOM
1,TÜRK TELEKOM,285.1,306.0,"[5, 7, 74, 77, 87]",5|7|74|77|87,2,2,2,3,0,3,150.0,0.0,2,01:49:00,2,00:27:90,34,30,37,30,Unknownx5,5,5|7|74|77|87,1:5|1:7|1:74|1:77|1:87,"[5, 7, 74, 77, 87]","['1:5', '1:7', '1:74', '1:77', '1:87']","['D. Özdemiroglu', 'B. Durmaz', 'J. Usher', 'J. Smith', 'K. Alexander']",TÜRK TELEKOM
1,TÜRK TELEKOM,306.1,314.0,"[5, 74, 75, 76, 77]",5|74|75|76|77,1,1,0,0,0,0,0.0,,2,00:27:90,2,00:11:80,37,30,37,30,Unknownx5,5,5|74|75|76|77,1:5|1:74|1:75|1:76|1:77,"[5, 74, 75, 76, 77]","['1:5', '1:74', '1:75', '1:76', '1:77']","['D. Özdemiroglu', 'J. Usher', 'K. Allman', 'M. Simonovic', 'J. Smith']",TÜRK TELEKOM
1,TÜRK TELEKOM,314.1,327.0,"[5, 7, 8, 74, 87]",5|7|8|74|87,0,0,1,0,2,-2,,200.0,2,00:11:80,3,10:00:00,37,30,37,32,Unknownx5,5,5|7|8|74|87,1:5|1:7|1:8|1:74|1:87,"[5, 7, 8, 74, 87]","['1:5', '1:7', '1:8', '1:74', '1:87']","['D. Özdemiroglu', 'B. Durmaz', 'Y. Gültekin', 'J. Usher', 'K. Alexander']",TÜRK TELEKOM
1,TÜRK TELEKOM,327.1,334.0,"[5, 7, 74, 77, 87]",5|7|74|77|87,0,0,0,0,0,0,,,3,10:00:00,3,09:37:00,37,32,37,32,Unknownx5,5,5|7|74|77|87,1:5|1:7|1:74|1:77|1:87,"[5, 7, 74, 77, 87]","['1:5', '1:7', '1:74', '1:77', '1:87']","['D. Özdemiroglu', 'B. Durmaz', 'J. Usher', 'J. Smith', 'K. Alexander']",TÜRK TELEKOM
