possession_id,period,start_action,end_action,owner_tno,end_reason,pts_owner,pts_against,owner_team_name,net_pts
0,1,1,6,,,0,0,,0
1,1,11,11,1.0,score,2,0,BAHÇESEHIR KOLEJI,2
2,1,12,13,2.0,score,3,0,GALATASARAY MCT TECHNIC,3
3,1,14,15,1.0,score,2,0,BAHÇESEHIR KOLEJI,2
4,1,16,21,2.0,score,3,0,GALATASARAY MCT TECHNIC,3
5,1,22,22,1.0,score,2,0,BAHÇESEHIR KOLEJI,2
6,1,23,26,2.0,score,2,0,GALATASARAY MCT TECHNIC,2
7,1,27,29,1.0,made_ft_last,1,1,BAHÇESEHIR KOLEJI,0
8,1,33,37,2.0,score,2,2,GALATASARAY MCT TECHNIC,0
9,1,39,39,1.0,score,2,2,BAHÇESEHIR KOLEJI,0
10,1,40,50,2.0,def_reb,0,0,GALATASARAY MCT TECHNIC,0
11,1,52,52,1.0,def_reb,0,0,BAHÇESEHIR KOLEJI,0
12,1,53,56,2.0,score,2,0,GALATASARAY MCT TECHNIC,2
13,1,58,62,1.0,turnover,0,0,BAHÇESEHIR KOLEJI,0
14,1,67,73,2.0,made_ft,1,0,GALATASARAY MCT TECHNIC,1
15,1,74,74,1.0,made_ft_last,1,1,BAHÇESEHIR KOLEJI,0
16,1,76,78,2.0,score,2,2,GALATASARAY MCT TECHNIC,0
17,1,79,80,1.0,def_reb,0,0,BAHÇESEHIR KOLEJI,0
18,1,81,81,2.0,def_reb,0,0,GALATASARAY MCT TECHNIC,0
19,1,83,86,1.0,def_reb,0,0,BAHÇESEHIR KOLEJI,0
20,1,87,87,2.0,def_reb,0,0,GALATASARAY MCT TECHNIC,0
21,1,90,92,1.0,made_ft,1,0,BAHÇESEHIR KOLEJI,1
22,1,93,93,2.0,def_reb,0,0,GALATASARAY MCT TECHNIC,0
23,1,95,95,1.0,def_reb,0,0,BAHÇESEHIR KOLEJI,0
24,1,96,96,2.0,score,2,0,GALATASARAY MCT TECHNIC,2
25,1,98,98,1.0,offensive_foul,0,0,BAHÇESEHIR KOLEJI,0
26,1,99,99,2.0,turnover,0,0,GALATASARAY MCT TECHNIC,0
27,1,100,113,1.0,def_reb,0,0,BAHÇESEHIR KOLEJI,0
28,1,114,114,2.0,def_reb,0,0,GALATASARAY MCT TECHNIC,0
29,1,116,116,1.0,score,3,0,BAHÇESEHIR KOLEJI,3
30,1,117,117,2.0,def_reb,0,0,GALATASARAY MCT TECHNIC,0
31,1,118,118,1.0,def_reb,0,0,BAHÇESEHIR KOLEJI,0
32,1,119,119,2.0,def_reb,0,0,GALATASARAY MCT TECHNIC,0
33,1,120,120,1.0,def_reb,0,0,BAHÇESEHIR KOLEJI,0
34,1,121,121,2.0,score,3,0,GALATASARAY MCT TECHNIC,3
35,1,122,123,1.0,score,3,0,BAHÇESEHIR KOLEJI,3
36,1,124,130,2.0,made_ft,1,0,GALATASARAY MCT TECHNIC,1
37,1,131,131,1.0,made_ft_last,1,1,BAHÇESEHIR KOLEJI,0
38,1,133,135,2.0,turnover,0,0,GALATASARAY MCT TECHNIC,0
39,1,136,138,1.0,score,2,2,BAHÇESEHIR KOLEJI,0
40,1,139,146,2.0,score,2,2,GALATASARAY MCT TECHNIC,0
41,1,147,147,1.0,def_reb,0,0,BAHÇESEHIR KOLEJI,0
42,1,148,148,2.0,def_reb,0,0,GALATASARAY MCT TECHNIC,0
43,1,151,151,1.0,def_reb,0,0,BAHÇESEHIR KOLEJI,0
44,1,152,152,2.0,def_reb,0,0,GALATASARAY MCT TECHNIC,0
45,1,153,153,1.0,def_reb,0,0,BAHÇESEHIR KOLEJI,0
46,1,154,154,2.0,def_reb,0,0,GALATASARAY MCT TECHNIC,0
47,1,156,158,1.0,made_ft,1,0,BAHÇESEHIR KOLEJI,1
48,1,159,159,2.0,made_ft_last,1,1,GALATASARAY MCT TECHNIC,0
49,1,160,163,1.0,score,2,2,BAHÇESEHIR KOLEJI,0
50,1,164,167,2.0,score,2,2,GALATASARAY MCT TECHNIC,0
51,1,170,179,1.0,score,2,2,BAHÇESEHIR KOLEJI,0
52,2,180,185,2.0,score,3,3,GALATASARAY MCT TECHNIC,0
53,2,186,187,1.0,def_reb,0,0,BAHÇESEHIR KOLEJI,0
54,2,188,188,2.0,def_reb,0,0,GALATASARAY MCT TECHNIC,0
55,2,190,190,1.0,turnover,0,0,BAHÇESEHIR KOLEJI,0
56,2,192,196,2.0,def_reb,0,0,GALATASARAY MCT TECHNIC,0
57,2,197,197,1.0,def_reb,0,0,BAHÇESEHIR KOLEJI,0
58,2,199,205,2.0,def_reb,0,0,GALATASARAY MCT TECHNIC,0
59,2,206,206,1.0,def_reb,0,0,BAHÇESEHIR KOLEJI,0
60,2,208,208,2.0,def_reb,0,0,GALATASARAY MCT TECHNIC,0
61,2,209,209,1.0,def_reb,0,0,BAHÇESEHIR KOLEJI,0
62,2,210,223,2.0,def_reb,0,0,GALATASARAY MCT TECHNIC,0
63,2,224,224,1.0,def_reb,0,0,BAHÇESEHIR KOLEJI,0
