team_no,team_name,start_action,end_action,players_on_court,lineup_size,lineup_uid,players_on_court_tokens,players_on_court_names,lineup_uid_pair,lineup_pos_mix,start_period,start_clock,end_period,end_clock,score_start_for,score_start_against,score_end_for,score_end_against
1,BAHÇESEHIR KOLEJI,1.0,53.0,"[3, 74, 76, 80, 81]",5,3|74|76|80|81,"['1:3', '1:74', '1:76', '1:80', '1:81']","['G. Bas', 'M. Ponitka', 'C. Homesley', 'T. Williams', 'M. Flynn']",1:3|1:74|1:76|1:80|1:81,Unknownx5,1,10:00:00,1,06:36:00,0,0,8,11
1,BAHÇESEHIR KOLEJI,53.1,69.0,"[3, 74, 79, 80, 81]",5,3|74|79|80|81,"['1:3', '1:74', '1:79', '1:80', '1:81']","['G. Bas', 'M. Ponitka', 'H. Hale', 'T. Williams', 'M. Flynn']",1:3|1:74|1:79|1:80|1:81,Unknownx5,1,06:36:00,1,05:34:00,8,11,8,13
1,BAHÇESEHIR KOLEJI,69.1,101.0,"[62, 74, 77, 79, 80]",5,62|74|77|79|80,"['1:62', '1:74', '1:77', '1:79', '1:80']","['K. Sipahi', 'M. Ponitka', 'M. Mitchell Ii', 'H. Hale', 'T. Williams']",1:62|1:74|1:77|1:79|1:80,Unknownx5,1,05:34:00,1,04:00:00,8,13,11,17
1,BAHÇESEHIR KOLEJI,101.1,141.0,"[62, 76, 77, 78, 79]",5,62|76|77|78|79,"['1:62', '1:76', '1:77', '1:78', '1:79']","['K. Sipahi', 'C. Homesley', 'M. Mitchell Ii', 'B. Koprivica', 'H. Hale']",1:62|1:76|1:77|1:78|1:79,Unknownx5,1,04:00:00,1,01:55:00,11,17,17,24
1,BAHÇESEHIR KOLEJI,141.1,182.0,"[62, 76, 77, 78, 81]",5,62|76|77|78|81,"['1:62', '1:76', '1:77', '1:78', '1:81']","['K. Sipahi', 'C. Homesley', 'M. Mitchell Ii', 'B. Koprivica', 'M. Flynn']",1:62|1:76|1:77|1:78|1:81,Unknownx5,1,01:55:00,2,09:40:00,17,24,23,28
1,BAHÇESEHIR KOLEJI,182.1,201.0,"[62, 76, 77, 80, 81]",5,62|76|77|80|81,"['1:62', '1:76', '1:77', '1:80', '1:81']","['K. Sipahi', 'C. Homesley', 'M. Mitchell Ii', 'T. Williams', 'M. Flynn']",1:62|1:76|1:77|1:80|1:81,Unknownx5,2,09:40:00,2,08:26:00,23,28,26,28
1,BAHÇESEHIR KOLEJI,201.1,213.0,"[1, 76, 77, 80, 81]",5,1|76|77|80|81,"['1:1', '1:76', '1:77', '1:80', '1:81']","['I. Akpinar', 'C. Homesley', 'M. Mitchell Ii', 'T. Williams', 'M. Flynn']",1:1|1:76|1:77|1:80|1:81,Unknownx5,2,08:26:00,2,07:36:00,26,28,26,28
1,BAHÇESEHIR KOLEJI,213.1,242.0,"[1, 74, 77, 80, 81]",5,1|74|77|80|81,"['1:1', '1:74', '1:77', '1:80', '1:81']","['I. Akpinar', 'M. Ponitka', 'M. Mitchell Ii', 'T. Williams', 'M. Flynn']",1:1|1:74|1:77|1:80|1:81,Unknownx5,2,07:36:00,2,06:17:00,26,28,27,33
1,BAHÇESEHIR KOLEJI,242.1,299.0,"[3, 74, 79, 80, 81]",5,3|74|79|80|81,"['1:3', '1:74', '1:79', '1:80', '1:81']","['G. Bas', 'M. Ponitka', 'H. Hale', 'T. Williams', 'M. Flynn']",1:3|1:74|1:79|1:80|1:81,Unknownx5,2,06:17:00,2,03:29:00,27,33,36,38
1,BAHÇESEHIR KOLEJI,299.1,343.0,"[62, 74, 77, 78, 79]",5,62|74|77|78|79,"['1:62', '1:74', '1:77', '1:78', '1:79']","['K. Sipahi', 'M. Ponitka', 'M. Mitchell Ii', 'B. Koprivica', 'H. Hale']",1:62|1:74|1:77|1:78|1:79,Unknownx5,2,03:29:00,2,00:36:00,36,38,42,43
1,BAHÇESEHIR KOLEJI,343.1,349.0,"[62, 74, 77, 78, 81]",5,62|74|77|78|81,"['1:62', '1:74', '1:77', '1:78', '1:81']","['K. Sipahi', 'M. Ponitka', 'M. Mitchell Ii', 'B. Koprivica', 'M. Flynn']",1:62|1:74|1:77|1:78|1:81,Unknownx5,2,00:36:00,2,00:24:90,42,43,42,43
1,BAHÇESEHIR KOLEJI,349.1,361.0,"[62, 74, 77, 80, 81]",5,62|74|77|80|81,"['1:62', '1:74', '1:77', '1:80', '1:81']","['K. Sipahi', 'M. Ponitka', 'M. Mitchell Ii', 'T. Williams', 'M. Flynn']",1:62|1:74|1:77|1:80|1:81,Unknownx5,2,00:24:90,2,00:24:10,42,43,42,47
1,BAHÇESEHIR KOLEJI,361.1,372.0,"[62, 74, 76, 80, 81]",5,62|74|76|80|81,"['1:62', '1:74', '1:76', '1:80', '1:81']","['K. Sipahi', 'M. Ponitka', 'C. Homesley', 'T. Williams', 'M. Flynn']",1:62|1:74|1:76|1:80|1:81,Unknownx5,2,00:24:10,3,10:00:00,42,47,42,47
1,BAHÇESEHIR KOLEJI,372.1,451.0,"[3, 74, 76, 80, 81]",5,3|74|76|80|81,"['1:3', '1:74', '1:76', '1:80', '1:81']","['G. Bas', 'M. Ponitka', 'C. Homesley', 'T. Williams', 'M. Flynn']",1:3|1:74|1:76|1:80|1:81,Unknownx5,3,10:00:00,3,05:51:00,42,47,51,53
1,BAHÇESEHIR KOLEJI,451.1,487.0,"[1, 76, 77, 80, 81]",5,1|76|77|80|81,"['1:1', '1:76', '1:77', '1:80', '1:81']","['I. Akpinar', 'C. Homesley', 'M. Mitchell Ii', 'T. Williams', 'M. Flynn']",1:1|1:76|1:77|1:80|1:81,Unknownx5,3,05:51:00,3,03:33:00,51,53,55,57
1,BAHÇESEHIR KOLEJI,487.1,503.0,"[1, 62, 76, 77, 78]",5,1|62|76|77|78,"['1:1', '1:62', '1:76', '1:77', '1:78']","['I. Akpinar', 'K. Sipahi', 'C. Homesley', 'M. Mitchell Ii', 'B. Koprivica']",1:1|1:62|1:76|1:77|1:78,Unknownx5,3,03:33:00,3,02:53:00,55,57,55,59
1,BAHÇESEHIR KOLEJI,503.1,527.0,"[62, 76, 77, 78, 79]",5,62|76|77|78|79,"['1:62', '1:76', '1:77', '1:78', '1:79']","['K. Sipahi', 'C. Homesley', 'M. Mitchell Ii', 'B. Koprivica', 'H. Hale']",1:62|1:76|1:77|1:78|1:79,Unknownx5,3,02:53:00,3,01:53:00,55,59,59,59
1,BAHÇESEHIR KOLEJI,527.1,541.0,"[62, 76, 77, 79, 80]",5,62|76|77|79|80,"['1:62', '1:76', '1:77', '1:79', '1:80']","['K. Sipahi', 'C. Homesley', 'M. Mitchell Ii', 'H. Hale', 'T. Williams']",1:62|1:76|1:77|1:79|1:80,Unknownx5,3,01:53:00,3,00:55:00,59,59,61,61
1,BAHÇESEHIR KOLEJI,541.1,574.0,"[62, 74, 77, 79, 80]",5,62|74|77|79|80,"['1:62', '1:74', '1:77', '1:79', '1:80']","['K. Sipahi', 'M. Ponitka', 'M. Mitchell Ii', 'H. Hale', 'T. Williams']",1:62|1:74|1:77|1:79|1:80,Unknownx5,3,00:55:00,4,08:49:00,61,61,67,68
1,BAHÇESEHIR KOLEJI,574.1,645.0,"[3, 74, 79, 80, 81]",5,3|74|79|80|81,"['1:3', '1:74', '1:79', '1:80', '1:81']","['G. Bas', 'M. Ponitka', 'H. Hale', 'T. Williams', 'M. Flynn']",1:3|1:74|1:79|1:80|1:81,Unknownx5,4,08:49:00,4,05:36:00,67,68,75,74
