team_no,team_name,start_action,end_action,players_on_court,lineup_size,lineup_uid,players_on_court_tokens,players_on_court_names,lineup_uid_pair,lineup_pos_mix,start_period,start_clock,end_period,end_clock,score_start_for,score_start_against,score_end_for,score_end_against
1,ONVO BÜYÜKÇEKMECE BASKETBOL,1.0,49.0,"[5, 7, 10, 12, 13]",5,5|7|10|12|13,"['1:5', '1:7', '1:10', '1:12', '1:13']","['J. Lecque', 'S. Pipes Jr', 'M. Türen', 'A. Bandaogo', 'K. Van Der Vuurst De Vries']",1:5|1:7|1:10|1:12|1:13,Unknownx5,1,10:00:00,1,06:16:00,0,0,4,9
1,ONVO BÜYÜKÇEKMECE BASKETBOL,49.1,77.0,"[6, 7, 10, 12, 13]",5,6|7|10|12|13,"['1:6', '1:7', '1:10', '1:12', '1:13']","['J. Johnson', 'S. Pipes Jr', 'M. Türen', 'A. Bandaogo', 'K. Van Der Vuurst De Vries']",1:6|1:7|1:10|1:12|1:13,Unknownx5,1,06:16:00,1,04:46:00,4,9,4,18
1,ONVO BÜYÜKÇEKMECE BASKETBOL,77.1,126.0,"[4, 6, 7, 11, 13]",5,4|6|7|11|13,"['1:4', '1:6', '1:7', '1:11', '1:13']","['E. Bruinsma', 'J. Johnson', 'S. Pipes Jr', 'M. Senli', 'K. Van Der Vuurst De Vries']",1:4|1:6|1:7|1:11|1:13,Unknownx5,1,04:46:00,1,02:26:00,4,18,6,21
1,ONVO BÜYÜKÇEKMECE BASKETBOL,126.1,173.0,"[4, 5, 6, 11, 13]",5,4|5|6|11|13,"['1:4', '1:5', '1:6', '1:11', '1:13']","['E. Bruinsma', 'J. Lecque', 'J. Johnson', 'M. Senli', 'K. Van Der Vuurst De Vries']",1:4|1:5|1:6|1:11|1:13,Unknownx5,1,02:26:00,1,00:12:70,6,21,15,25
1,ONVO BÜYÜKÇEKMECE BASKETBOL,173.1,197.0,"[4, 6, 7, 8, 11]",5,4|6|7|8|11,"['1:4', '1:6', '1:7', '1:8', '1:11']","['E. Bruinsma', 'J. Johnson', 'S. Pipes Jr', 'Y. Özkan', 'M. Senli']",1:4|1:6|1:7|1:8|1:11,Unknownx5,1,00:12:70,2,08:44:00,15,25,19,25
1,ONVO BÜYÜKÇEKMECE BASKETBOL,197.1,215.0,"[4, 5, 7, 8, 11]",5,4|5|7|8|11,"['1:4', '1:5', '1:7', '1:8', '1:11']","['E. Bruinsma', 'J. Lecque', 'S. Pipes Jr', 'Y. Özkan', 'M. Senli']",1:4|1:5|1:7|1:8|1:11,Unknownx5,2,08:44:00,2,07:26:00,19,25,21,30
1,ONVO BÜYÜKÇEKMECE BASKETBOL,215.1,230.0,"[4, 5, 8, 11, 13]",5,4|5|8|11|13,"['1:4', '1:5', '1:8', '1:11', '1:13']","['E. Bruinsma', 'J. Lecque', 'Y. Özkan', 'M. Senli', 'K. Van Der Vuurst De Vries']",1:4|1:5|1:8|1:11|1:13,Unknownx5,2,07:26:00,2,07:07:00,21,30,22,30
1,ONVO BÜYÜKÇEKMECE BASKETBOL,230.1,253.0,"[4, 5, 8, 12, 13]",5,4|5|8|12|13,"['1:4', '1:5', '1:8', '1:12', '1:13']","['E. Bruinsma', 'J. Lecque', 'Y. Özkan', 'A. Bandaogo', 'K. Van Der Vuurst De Vries']",1:4|1:5|1:8|1:12|1:13,Unknownx5,2,07:07:00,2,06:09:00,22,30,22,35
1,ONVO BÜYÜKÇEKMECE BASKETBOL,253.1,291.0,"[5, 7, 10, 12, 13]",5,5|7|10|12|13,"['1:5', '1:7', '1:10', '1:12', '1:13']","['J. Lecque', 'S. Pipes Jr', 'M. Türen', 'A. Bandaogo', 'K. Van Der Vuurst De Vries']",1:5|1:7|1:10|1:12|1:13,Unknownx5,2,06:09:00,2,03:05:00,22,35,24,41
1,ONVO BÜYÜKÇEKMECE BASKETBOL,291.1,314.0,"[5, 6, 10, 12, 13]",5,5|6|10|12|13,"['1:5', '1:6', '1:10', '1:12', '1:13']","['J. Lecque', 'J. Johnson', 'M. Türen', 'A. Bandaogo', 'K. Van Der Vuurst De Vries']",1:5|1:6|1:10|1:12|1:13,Unknownx5,2,03:05:00,2,02:01:00,24,41,24,42
