start_action,end_action,start_period,start_clock,end_period,end_clock,teamA_no,teamA_name,lineupA_players,lineupA_uid,lineupA_pos_mix,lineupA_tokens,lineupA_names,teamB_no,teamB_name,lineupB_players,lineupB_uid,lineupB_pos_mix,lineupB_tokens,lineupB_names,poss_A,pts_A_for,pts_A_against,net_A,ORtg_A,DRtg_A,poss_B,pts_B_for,pts_B_against,net_B,ORtg_B,DRtg_B,score_start_A,score_start_B,score_end_A,score_end_B
1.0,49.0,1,10:00:00,1,06:16:00,1,ONVO BÜYÜKÇEKMECE BASKETBOL,"[5, 7, 10, 12, 13]",5|7|10|12|13,Unknownx5,"['1:5', '1:7', '1:10', '1:12', '1:13']","['J. Lecque', 'S. Pipes Jr', 'M. Türen', 'A. Bandaogo', 'K. Van Der Vuurst De Vries']",2,GLINT MANISA BASKET,"[24, 28, 30, 31, 34]",24|28|30|31|34,Unknownx5,"['2:24', '2:28', '2:30', '2:31', '2:34']","['Y. Onan', 'J. Johnson', 'J. Cardoso Pereira', 'D. Smith', 'K. Zemaitis']",8,9,4,5,112.5,44.44444444444444,9,4,9,-5,44.44444444444444,112.5,0,0,4,9
49.1,77.0,1,06:16:00,1,04:46:00,1,ONVO BÜYÜKÇEKMECE BASKETBOL,"[6, 7, 10, 12, 13]",6|7|10|12|13,Unknownx5,"['1:6', '1:7', '1:10', '1:12', '1:13']","['J. Johnson', 'S. Pipes Jr', 'M. Türen', 'A. Bandaogo', 'K. Van Der Vuurst De Vries']",2,GLINT MANISA BASKET,"[24, 28, 30, 31, 34]",24|28|30|31|34,Unknownx5,"['2:24', '2:28', '2:30', '2:31', '2:34']","['Y. Onan', 'J. Johnson', 'J. Cardoso Pereira', 'D. Smith', 'K. Zemaitis']",4,1,6,-5,25.0,120.0,5,6,1,5,120.0,25.0,4,9,4,18
77.1,87.0,1,04:46:00,1,04:27:00,1,ONVO BÜYÜKÇEKMECE BASKETBOL,"[4, 6, 7, 11, 13]",4|6|7|11|13,Unknownx5,"['1:4', '1:6', '1:7', '1:11', '1:13']","['E. Bruinsma', 'J. Johnson', 'S. Pipes Jr', 'M. Senli', 'K. Van Der Vuurst De Vries']",2,GLINT MANISA BASKET,"[24, 28, 30, 31, 34]",24|28|30|31|34,Unknownx5,"['2:24', '2:28', '2:30', '2:31', '2:34']","['Y. Onan', 'J. Johnson', 'J. Cardoso Pereira', 'D. Smith', 'K. Zemaitis']",0,0,0,0,,,0,0,0,0,,,4,18,4,18
87.1,112.0,1,04:27:00,1,03:20:00,1,ONVO BÜYÜKÇEKMECE BASKETBOL,"[4, 6, 7, 11, 13]",4|6|7|11|13,Unknownx5,"['1:4', '1:6', '1:7', '1:11', '1:13']","['E. Bruinsma', 'J. Johnson', 'S. Pipes Jr', 'M. Senli', 'K. Van Der Vuurst De Vries']",2,GLINT MANISA BASKET,"[24, 28, 30, 31, 33]",24|28|30|31|33,Unknownx5,"['2:24', '2:28', '2:30', '2:31', '2:33']","['Y. Onan', 'J. Johnson', 'J. Cardoso Pereira', 'D. Smith', 'J. Mintz']",3,1,2,-1,33.333333333333336,66.66666666666667,3,2,1,1,66.66666666666667,33.333333333333336,4,18,6,19
112.1,126.0,1,03:20:00,1,02:26:00,1,ONVO BÜYÜKÇEKMECE BASKETBOL,"[4, 6, 7, 11, 13]",4|6|7|11|13,Unknownx5,"['1:4', '1:6', '1:7', '1:11', '1:13']","['E. Bruinsma', 'J. Johnson', 'S. Pipes Jr', 'M. Senli', 'K. Van Der Vuurst De Vries']",2,GLINT MANISA BASKET,"[24, 29, 30, 31, 33]",24|29|30|31|33,Unknownx5,"['2:24', '2:29', '2:30', '2:31', '2:33']","['Y. Onan', 'E. Mobley', 'J. Cardoso Pereira', 'D. Smith', 'J. Mintz']",2,0,2,-2,0.0,100.0,2,2,0,2,100.0,0.0,6,19,6,21
126.1,128.0,1,02:26:00,1,02:26:00,1,ONVO BÜYÜKÇEKMECE BASKETBOL,"[4, 5, 6, 11, 13]",4|5|6|11|13,Unknownx5,"['1:4', '1:5', '1:6', '1:11', '1:13']","['E. Bruinsma', 'J. Lecque', 'J. Johnson', 'M. Senli', 'K. Van Der Vuurst De Vries']",2,GLINT MANISA BASKET,"[24, 29, 30, 31, 33]",24|29|30|31|33,Unknownx5,"['2:24', '2:29', '2:30', '2:31', '2:33']","['Y. Onan', 'E. Mobley', 'J. Cardoso Pereira', 'D. Smith', 'J. Mintz']",0,0,0,0,,,0,0,0,0,,,6,21,6,21
128.1,160.0,1,02:26:00,1,00:17:90,1,ONVO BÜYÜKÇEKMECE BASKETBOL,"[4, 5, 6, 11, 13]",4|5|6|11|13,Unknownx5,"['1:4', '1:5', '1:6', '1:11', '1:13']","['E. Bruinsma', 'J. Lecque', 'J. Johnson', 'M. Senli', 'K. Van Der Vuurst De Vries']",2,GLINT MANISA BASKET,"[22, 29, 31, 32, 33]",22|29|31|32|33,Unknownx5,"['2:22', '2:29', '2:31', '2:32', '2:33']","['B. Çal', 'E. Mobley', 'D. Smith', 'J. Scrubb', 'J. Mintz']",5,2,8,-6,40.0,133.33333333333334,6,8,2,6,133.33333333333334,40.0,6,21,15,23
160.1,173.0,1,00:17:90,1,00:12:70,1,ONVO BÜYÜKÇEKMECE BASKETBOL,"[4, 5, 6, 11, 13]",4|5|6|11|13,Unknownx5,"['1:4', '1:5', '1:6', '1:11', '1:13']","['E. Bruinsma', 'J. Lecque', 'J. Johnson', 'M. Senli', 'K. Van Der Vuurst De Vries']",2,GLINT MANISA BASKET,"[22, 29, 32, 33, 34]",22|29|32|33|34,Unknownx5,"['2:22', '2:29', '2:32', '2:33', '2:34']","['B. Çal', 'E. Mobley', 'J. Scrubb', 'J. Mintz', 'K. Zemaitis']",0,0,1,-1,,100.0,1,1,0,1,100.0,,15,23,15,25
173.1,197.0,1,00:12:70,2,08:44:00,1,ONVO BÜYÜKÇEKMECE BASKETBOL,"[4, 6, 7, 8, 11]",4|6|7|8|11,Unknownx5,"['1:4', '1:6', '1:7', '1:8', '1:11']","['E. Bruinsma', 'J. Johnson', 'S. Pipes Jr', 'Y. Özkan', 'M. Senli']",2,GLINT MANISA BASKET,"[22, 29, 32, 33, 34]",22|29|32|33|34,Unknownx5,"['2:22', '2:29', '2:32', '2:33', '2:34']","['B. Çal', 'E. Mobley', 'J. Scrubb', 'J. Mintz', 'K. Zemaitis']",4,0,3,-3,0.0,75.0,4,3,0,3,75.0,0.0,15,25,19,25
197.1,215.0,2,08:44:00,2,07:26:00,1,ONVO BÜYÜKÇEKMECE BASKETBOL,"[4, 5, 7, 8, 11]",4|5|7|8|11,Unknownx5,"['1:4', '1:5', '1:7', '1:8', '1:11']","['E. Bruinsma', 'J. Lecque', 'S. Pipes Jr', 'Y. Özkan', 'M. Senli']",2,GLINT MANISA BASKET,"[22, 29, 32, 33, 34]",22|29|32|33|34,Unknownx5,"['2:22', '2:29', '2:32', '2:33', '2:34']","['B. Çal', 'E. Mobley', 'J. Scrubb', 'J. Mintz', 'K. Zemaitis']",2,2,5,-3,100.0,250.0,2,5,2,3,250.0,100.0,19,25,21,30
