start_action,end_action,start_period,start_clock,end_period,end_clock,teamA_no,teamA_name,lineupA_players,lineupA_uid,lineupA_pos_mix,lineupA_tokens,lineupA_names,teamB_no,teamB_name,lineupB_players,lineupB_uid,lineupB_pos_mix,lineupB_tokens,lineupB_names,poss_A,pts_A_for,pts_A_against,net_A,ORtg_A,DRtg_A,poss_B,pts_B_for,pts_B_against,net_B,ORtg_B,DRtg_B,score_start_A,score_start_B,score_end_A,score_end_B
196.1,204.0,2,08:26:00,2,07:55:00,1,MERSİN SPOR,"[5, 7, 10, 53, 57]",5|7|10|53|57,Unknownx5,"['1:5', '1:7', '1:10', '1:53', '1:57']","['J. Cobbs', 'B. Bentil', 'R. March Jr', 'K. Çekici', 'A. Cowan']",2,FENERBAHÇE BEKO,"[76, 79, 91, 93, 95]",76|79|91|93|95,Unknownx5,"['2:76', '2:79', '2:91', '2:93', '2:95']","['M. Mahmutoglu', 'T. Biberoviç', 'K. Birch', 'B. Colson Ii', 'D. Hall']",0,0,0,0,,0.0,1,0,0,0,0.0,,27,19,27,19
204.1,241.0,2,07:55:00,2,05:20:00,1,MERSİN SPOR,"[4, 9, 10, 56, 57]",4|9|10|56|57,Unknownx5,"['1:4', '1:9', '1:10', '1:56', '1:57']","['E. Tirpanci', 'J. White', 'R. March Jr', 'A. Olaseni', 'A. Cowan']",2,FENERBAHÇE BEKO,"[76, 79, 91, 93, 95]",76|79|91|93|95,Unknownx5,"['2:76', '2:79', '2:91', '2:93', '2:95']","['M. Mahmutoglu', 'T. Biberoviç', 'K. Birch', 'B. Colson Ii', 'D. Hall']",6,5,9,-4,83.33333333333333,150.0,6,9,5,4,150.0,83.33333333333333,27,19,32,28
241.1,245.0,2,05:20:00,2,05:20:00,1,MERSİN SPOR,"[4, 5, 6, 9, 56]",4|5|6|9|56,Unknownx5,"['1:4', '1:5', '1:6', '1:9', '1:56']","['E. Tirpanci', 'J. Cobbs', 'F. Cruz Saldivar', 'J. White', 'A. Olaseni']",2,FENERBAHÇE BEKO,"[76, 79, 91, 93, 95]",76|79|91|93|95,Unknownx5,"['2:76', '2:79', '2:91', '2:93', '2:95']","['M. Mahmutoglu', 'T. Biberoviç', 'K. Birch', 'B. Colson Ii', 'D. Hall']",0,0,0,0,,,0,0,0,0,,,32,28,32,28
245.1,266.0,2,05:20:00,2,04:02:00,1,MERSİN SPOR,"[4, 5, 6, 9, 56]",4|5|6|9|56,Unknownx5,"['1:4', '1:5', '1:6', '1:9', '1:56']","['E. Tirpanci', 'J. Cobbs', 'F. Cruz Saldivar', 'J. White', 'A. Olaseni']",2,FENERBAHÇE BEKO,"[76, 79, 92, 95, 99]",76|79|92|95|99,Unknownx5,"['2:76', '2:79', '2:92', '2:95', '2:99']","['M. Mahmutoglu', 'T. Biberoviç', 'N. Melli', 'D. Hall', 'A. Bacot Jr']",3,2,3,-1,66.66666666666667,100.0,3,3,2,1,100.0,66.66666666666667,32,28,34,31
266.1,279.0,2,04:02:00,2,03:07:00,1,MERSİN SPOR,"[4, 5, 6, 9, 56]",4|5|6|9|56,Unknownx5,"['1:4', '1:5', '1:6', '1:9', '1:56']","['E. Tirpanci', 'J. Cobbs', 'F. Cruz Saldivar', 'J. White', 'A. Olaseni']",2,FENERBAHÇE BEKO,"[76, 89, 92, 95, 99]",76|89|92|95|99,Unknownx5,"['2:76', '2:89', '2:92', '2:95', '2:99']","['M. Mahmutoglu', 'O. Bitim', 'N. Melli', 'D. Hall', 'A. Bacot Jr']",3,3,0,3,100.0,0.0,3,0,3,-3,0.0,100.0,34,31,37,31
279.1,284.0,2,03:07:00,2,03:07:00,1,MERSİN SPOR,"[4, 5, 6, 9, 56]",4|5|6|9|56,Unknownx5,"['1:4', '1:5', '1:6', '1:9', '1:56']","['E. Tirpanci', 'J. Cobbs', 'F. Cruz Saldivar', 'J. White', 'A. Olaseni']",2,FENERBAHÇE BEKO,"[76, 78, 92, 94, 99]",76|78|92|94|99,Unknownx5,"['2:76', '2:78', '2:92', '2:94', '2:99']","['M. Mahmutoglu', 'M. Eksioglu', 'N. Melli', 'W. Baldwin Iv', 'A. Bacot Jr']",0,0,0,0,,,0,0,0,0,,,37,31,38,31
284.1,312.0,2,03:07:00,2,01:53:00,1,MERSİN SPOR,"[6, 10, 53, 56, 57]",6|10|53|56|57,Unknownx5,"['1:6', '1:10', '1:53', '1:56', '1:57']","['F. Cruz Saldivar', 'R. March Jr', 'K. Çekici', 'A. Olaseni', 'A. Cowan']",2,FENERBAHÇE BEKO,"[76, 78, 92, 94, 99]",76|78|92|94|99,Unknownx5,"['2:76', '2:78', '2:92', '2:94', '2:99']","['M. Mahmutoglu', 'M. Eksioglu', 'N. Melli', 'W. Baldwin Iv', 'A. Bacot Jr']",2,3,0,3,150.0,0.0,2,0,3,-3,0.0,150.0,38,31,38,37
312.1,330.0,2,01:53:00,2,00:30:20,1,MERSİN SPOR,"[6, 10, 53, 56, 57]",6|10|53|56|57,Unknownx5,"['1:6', '1:10', '1:53', '1:56', '1:57']","['F. Cruz Saldivar', 'R. March Jr', 'K. Çekici', 'A. Olaseni', 'A. Cowan']",2,FENERBAHÇE BEKO,"[76, 78, 94, 98, 99]",76|78|94|98|99,Unknownx5,"['2:76', '2:78', '2:94', '2:98', '2:99']","['M. Mahmutoglu', 'M. Eksioglu', 'W. Baldwin Iv', 'M. Jantunen', 'A. Bacot Jr']",3,2,6,-4,66.66666666666667,300.0,2,6,2,4,300.0,66.66666666666667,38,37,41,42
330.1,334.0,2,00:30:20,2,00:30:20,1,MERSİN SPOR,"[4, 5, 8, 9, 53]",4|5|8|9|53,Unknownx5,"['1:4', '1:5', '1:8', '1:9', '1:53']","['E. Tirpanci', 'J. Cobbs', 'L. Apaydin', 'J. White', 'K. Çekici']",2,FENERBAHÇE BEKO,"[76, 78, 94, 98, 99]",76|78|94|98|99,Unknownx5,"['2:76', '2:78', '2:94', '2:98', '2:99']","['M. Mahmutoglu', 'M. Eksioglu', 'W. Baldwin Iv', 'M. Jantunen', 'A. Bacot Jr']",0,0,0,0,,,0,0,0,0,,,41,42,41,42
334.1,354.0,2,00:30:20,3,10:00:00,1,MERSİN SPOR,"[4, 5, 8, 9, 53]",4|5|8|9|53,Unknownx5,"['1:4', '1:5', '1:8', '1:9', '1:53']","['E. Tirpanci', 'J. Cobbs', 'L. Apaydin', 'J. White', 'K. Çekici']",2,FENERBAHÇE BEKO,"[76, 79, 94, 98, 99]",76|79|94|98|99,Unknownx5,"['2:76', '2:79', '2:94', '2:98', '2:99']","['M. Mahmutoglu', 'T. Biberoviç', 'W. Baldwin Iv', 'M. Jantunen', 'A. Bacot Jr']",2,3,1,2,150.0,100.0,1,1,3,-2,100.0,150.0,41,42,42,45
