team_no,team_name,start_action,end_action,players_on_court,lineup_size,lineup_uid,players_on_court_tokens,players_on_court_names,lineup_uid_pair,lineup_pos_mix,start_period,start_clock,end_period,end_clock,score_start_for,score_start_against,score_end_for,score_end_against
1,MERSİN SPOR,1.0,84.0,"[4, 5, 6, 9, 56]",5,4|5|6|9|56,"['1:4', '1:5', '1:6', '1:9', '1:56']","['E. Tirpanci', 'J. Cobbs', 'F. Cruz Saldivar', 'J. White', 'A. Olaseni']",1:4|1:5|1:6|1:9|1:56,Unknownx5,1,10:00:00,1,04:35:00,0,0,11,12
1,MERSİN SPOR,84.1,116.0,"[4, 6, 9, 56, 57]",5,4|6|9|56|57,"['1:4', '1:6', '1:9', '1:56', '1:57']","['E. Tirpanci', 'F. Cruz Saldivar', 'J. White', 'A. Olaseni', 'A. Cowan']",1:4|1:6|1:9|1:56|1:57,Unknownx5,1,04:35:00,1,03:16:00,11,12,15,14
1,MERSİN SPOR,116.1,135.0,"[4, 9, 10, 56, 57]",5,4|9|10|56|57,"['1:4', '1:9', '1:10', '1:56', '1:57']","['E. Tirpanci', 'J. White', 'R. March Jr', 'A. Olaseni', 'A. Cowan']",1:4|1:9|1:10|1:56|1:57,Unknownx5,1,03:16:00,1,01:45:00,15,14,18,17
1,MERSİN SPOR,135.1,204.0,"[5, 7, 10, 53, 57]",5,5|7|10|53|57,"['1:5', '1:7', '1:10', '1:53', '1:57']","['J. Cobbs', 'B. Bentil', 'R. March Jr', 'K. Çekici', 'A. Cowan']",1:5|1:7|1:10|1:53|1:57,Unknownx5,1,01:45:00,2,07:55:00,18,17,27,19
1,MERSİN SPOR,204.1,241.0,"[4, 9, 10, 56, 57]",5,4|9|10|56|57,"['1:4', '1:9', '1:10', '1:56', '1:57']","['E. Tirpanci', 'J. White', 'R. March Jr', 'A. Olaseni', 'A. Cowan']",1:4|1:9|1:10|1:56|1:57,Unknownx5,2,07:55:00,2,05:20:00,27,19,32,28
1,MERSİN SPOR,241.1,284.0,"[4, 5, 6, 9, 56]",5,4|5|6|9|56,"['1:4', '1:5', '1:6', '1:9', '1:56']","['E. Tirpanci', 'J. Cobbs', 'F. Cruz Saldivar', 'J. White', 'A. Olaseni']",1:4|1:5|1:6|1:9|1:56,Unknownx5,2,05:20:00,2,03:07:00,32,28,38,31
1,MERSİN SPOR,284.1,330.0,"[6, 10, 53, 56, 57]",5,6|10|53|56|57,"['1:6', '1:10', '1:53', '1:56', '1:57']","['F. Cruz Saldivar', 'R. March Jr', 'K. Çekici', 'A. Olaseni', 'A. Cowan']",1:6|1:10|1:53|1:56|1:57,Unknownx5,2,03:07:00,2,00:30:20,38,31,41,42
1,MERSİN SPOR,330.1,354.0,"[4, 5, 8, 9, 53]",5,4|5|8|9|53,"['1:4', '1:5', '1:8', '1:9', '1:53']","['E. Tirpanci', 'J. Cobbs', 'L. Apaydin', 'J. White', 'K. Çekici']",1:4|1:5|1:8|1:9|1:53,Unknownx5,2,00:30:20,3,10:00:00,41,42,42,45
1,MERSİN SPOR,354.1,452.0,"[4, 5, 6, 9, 56]",5,4|5|6|9|56,"['1:4', '1:5', '1:6', '1:9', '1:56']","['E. Tirpanci', 'J. Cobbs', 'F. Cruz Saldivar', 'J. White', 'A. Olaseni']",1:4|1:5|1:6|1:9|1:56,Unknownx5,3,10:00:00,3,04:54:00,42,45,49,54
1,MERSİN SPOR,452.1,471.0,"[4, 5, 7, 9, 57]",5,4|5|7|9|57,"['1:4', '1:5', '1:7', '1:9', '1:57']","['E. Tirpanci', 'J. Cobbs', 'B. Bentil', 'J. White', 'A. Cowan']",1:4|1:5|1:7|1:9|1:57,Unknownx5,3,04:54:00,3,03:58:00,49,54,52,56
1,MERSİN SPOR,471.1,497.0,"[4, 6, 7, 9, 57]",5,4|6|7|9|57,"['1:4', '1:6', '1:7', '1:9', '1:57']","['E. Tirpanci', 'F. Cruz Saldivar', 'B. Bentil', 'J. White', 'A. Cowan']",1:4|1:6|1:7|1:9|1:57,Unknownx5,3,03:58:00,3,02:52:00,52,56,55,60
1,MERSİN SPOR,497.1,552.0,"[6, 9, 10, 53, 57]",5,6|9|10|53|57,"['1:6', '1:9', '1:10', '1:53', '1:57']","['F. Cruz Saldivar', 'J. White', 'R. March Jr', 'K. Çekici', 'A. Cowan']",1:6|1:9|1:10|1:53|1:57,Unknownx5,3,02:52:00,4,10:00:00,55,60,57,65
1,MERSİN SPOR,552.1,600.0,"[5, 6, 10, 53, 56]",5,5|6|10|53|56,"['1:5', '1:6', '1:10', '1:53', '1:56']","['J. Cobbs', 'F. Cruz Saldivar', 'R. March Jr', 'K. Çekici', 'A. Olaseni']",1:5|1:6|1:10|1:53|1:56,Unknownx5,4,10:00:00,4,06:45:00,57,65,61,72
1,MERSİN SPOR,600.1,667.0,"[4, 5, 9, 56, 57]",5,4|5|9|56|57,"['1:4', '1:5', '1:9', '1:56', '1:57']","['E. Tirpanci', 'J. Cobbs', 'J. White', 'A. Olaseni', 'A. Cowan']",1:4|1:5|1:9|1:56|1:57,Unknownx5,4,06:45:00,4,02:48:00,61,72,71,79
1,MERSİN SPOR,667.1,720.0,"[5, 6, 53, 56, 57]",5,5|6|53|56|57,"['1:5', '1:6', '1:53', '1:56', '1:57']","['J. Cobbs', 'F. Cruz Saldivar', 'K. Çekici', 'A. Olaseni', 'A. Cowan']",1:5|1:6|1:53|1:56|1:57,Unknownx5,4,02:48:00,4,00:23:70,71,79,78,84
1,MERSİN SPOR,720.1,735.0,"[4, 6, 9, 53, 57]",5,4|6|9|53|57,"['1:4', '1:6', '1:9', '1:53', '1:57']","['E. Tirpanci', 'F. Cruz Saldivar', 'J. White', 'K. Çekici', 'A. Cowan']",1:4|1:6|1:9|1:53|1:57,Unknownx5,4,00:23:70,4,00:14:90,78,84,78,85
1,MERSİN SPOR,735.1,748.0,"[4, 5, 6, 9, 57]",5,4|5|6|9|57,"['1:4', '1:5', '1:6', '1:9', '1:57']","['E. Tirpanci', 'J. Cobbs', 'F. Cruz Saldivar', 'J. White', 'A. Cowan']",1:4|1:5|1:6|1:9|1:57,Unknownx5,4,00:14:90,4,00:00:00,78,85,78,87
2,FENERBAHÇE BEKO,1.0,24.0,"[76, 79, 92, 95, 99]",5,76|79|92|95|99,"['2:76', '2:79', '2:92', '2:95', '2:99']","['M. Mahmutoglu', 'T. Biberoviç', 'N. Melli', 'D. Hall', 'A. Bacot Jr']",2:76|2:79|2:92|2:95|2:99,Unknownx5,1,10:00:00,1,08:36:00,0,0,4,2
2,FENERBAHÇE BEKO,24.1,61.0,"[76, 89, 92, 95, 99]",5,76|89|92|95|99,"['2:76', '2:89', '2:92', '2:95', '2:99']","['M. Mahmutoglu', 'O. Bitim', 'N. Melli', 'D. Hall', 'A. Bacot Jr']",2:76|2:89|2:92|2:95|2:99,Unknownx5,1,08:36:00,1,06:04:00,4,2,6,9
2,FENERBAHÇE BEKO,61.1,75.0,"[76, 89, 94, 98, 99]",5,76|89|94|98|99,"['2:76', '2:89', '2:94', '2:98', '2:99']","['M. Mahmutoglu', 'O. Bitim', 'W. Baldwin Iv', 'M. Jantunen', 'A. Bacot Jr']",2:76|2:89|2:94|2:98|2:99,Unknownx5,1,06:04:00,1,05:06:00,6,9,9,11
2,FENERBAHÇE BEKO,75.1,94.0,"[89, 93, 94, 98, 99]",5,89|93|94|98|99,"['2:89', '2:93', '2:94', '2:98', '2:99']","['O. Bitim', 'B. Colson Ii', 'W. Baldwin Iv', 'M. Jantunen', 'A. Bacot Jr']",2:89|2:93|2:94|2:98|2:99,Unknownx5,1,05:06:00,1,04:30:00,9,11,12,13
2,FENERBAHÇE BEKO,94.1,118.0,"[79, 93, 94, 98, 99]",5,79|93|94|98|99,"['2:79', '2:93', '2:94', '2:98', '2:99']","['T. Biberoviç', 'B. Colson Ii', 'W. Baldwin Iv', 'M. Jantunen', 'A. Bacot Jr']",2:79|2:93|2:94|2:98|2:99,Unknownx5,1,04:30:00,1,03:16:00,12,13,14,15
2,FENERBAHÇE BEKO,118.1,185.0,"[79, 91, 93, 94, 98]",5,79|91|93|94|98,"['2:79', '2:91', '2:93', '2:94', '2:98']","['T. Biberoviç', 'K. Birch', 'B. Colson Ii', 'W. Baldwin Iv', 'M. Jantunen']",2:79|2:91|2:93|2:94|2:98,Unknownx5,1,03:16:00,2,08:55:00,14,15,19,24
2,FENERBAHÇE BEKO,185.1,196.0,"[79, 91, 93, 95, 98]",5,79|91|93|95|98,"['2:79', '2:91', '2:93', '2:95', '2:98']","['T. Biberoviç', 'K. Birch', 'B. Colson Ii', 'D. Hall', 'M. Jantunen']",2:79|2:91|2:93|2:95|2:98,Unknownx5,2,08:55:00,2,08:26:00,19,24,19,27
