team_no,team_name,start_action,end_action,players_on_court,lineup_size,lineup_uid,players_on_court_tokens,players_on_court_names,lineup_uid_pair,lineup_pos_mix,start_period,start_clock,end_period,end_clock,score_start_for,score_start_against,score_end_for,score_end_against
1,ONVO BÜYÜKÇEKMECE BASKETBOL,1.0,90.0,"[4, 5, 8, 12, 13]",5,4|5|8|12|13,"['1:4', '1:5', '1:8', '1:12', '1:13']","['E. Bruinsma', 'J. Lecque', 'Y. Özkan', 'A. Bandaogo', 'K. Van Der Vuurst De Vries']",1:4|1:5|1:8|1:12|1:13,Unknownx5,1,10:00:00,1,05:19:00,0,0,6,11
1,ONVO BÜYÜKÇEKMECE BASKETBOL,90.1,132.0,"[4, 5, 8, 11, 13]",5,4|5|8|11|13,"['1:4', '1:5', '1:8', '1:11', '1:13']","['E. Bruinsma', 'J. Lecque', 'Y. Özkan', 'M. Senli', 'K. Van Der Vuurst De Vries']",1:4|1:5|1:8|1:11|1:13,Unknownx5,1,05:19:00,1,01:43:00,6,11,16,14
1,ONVO BÜYÜKÇEKMECE BASKETBOL,132.1,162.0,"[4, 5, 6, 11, 13]",5,4|5|6|11|13,"['1:4', '1:5', '1:6', '1:11', '1:13']","['E. Bruinsma', 'J. Lecque', 'J. Johnson', 'M. Senli', 'K. Van Der Vuurst De Vries']",1:4|1:5|1:6|1:11|1:13,Unknownx5,1,01:43:00,1,00:04:60,16,14,16,19
1,ONVO BÜYÜKÇEKMECE BASKETBOL,162.1,193.0,"[5, 6, 10, 11, 13]",5,5|6|10|11|13,"['1:5', '1:6', '1:10', '1:11', '1:13']","['J. Lecque', 'J. Johnson', 'M. Türen', 'M. Senli', 'K. Van Der Vuurst De Vries']",1:5|1:6|1:10|1:11|1:13,Unknownx5,1,00:04:60,2,08:37:00,16,19,18,22
1,ONVO BÜYÜKÇEKMECE BASKETBOL,193.1,215.0,"[5, 6, 7, 10, 11]",5,5|6|7|10|11,"['1:5', '1:6', '1:7', '1:10', '1:11']","['J. Lecque', 'J. Johnson', 'S. Pipes Jr', 'M. Türen', 'M. Senli']",1:5|1:6|1:7|1:10|1:11,Unknownx5,2,08:37:00,2,07:41:00,18,22,21,25
1,ONVO BÜYÜKÇEKMECE BASKETBOL,215.1,242.0,"[6, 7, 8, 10, 12]",5,6|7|8|10|12,"['1:6', '1:7', '1:8', '1:10', '1:12']","['J. Johnson', 'S. Pipes Jr', 'Y. Özkan', 'M. Türen', 'A. Bandaogo']",1:6|1:7|1:8|1:10|1:12,Unknownx5,2,07:41:00,2,07:02:00,21,25,25,25
1,ONVO BÜYÜKÇEKMECE BASKETBOL,242.1,271.0,"[4, 6, 7, 8, 10]",5,4|6|7|8|10,"['1:4', '1:6', '1:7', '1:8', '1:10']","['E. Bruinsma', 'J. Johnson', 'S. Pipes Jr', 'Y. Özkan', 'M. Türen']",1:4|1:6|1:7|1:8|1:10,Unknownx5,2,07:02:00,2,05:25:00,25,25,27,29
1,ONVO BÜYÜKÇEKMECE BASKETBOL,271.1,394.0,"[4, 5, 7, 11, 13]",5,4|5|7|11|13,"['1:4', '1:5', '1:7', '1:11', '1:13']","['E. Bruinsma', 'J. Lecque', 'S. Pipes Jr', 'M. Senli', 'K. Van Der Vuurst De Vries']",1:4|1:5|1:7|1:11|1:13,Unknownx5,2,05:25:00,3,07:49:00,27,29,51,46
1,ONVO BÜYÜKÇEKMECE BASKETBOL,394.1,423.0,"[4, 7, 8, 12, 13]",5,4|7|8|12|13,"['1:4', '1:7', '1:8', '1:12', '1:13']","['E. Bruinsma', 'S. Pipes Jr', 'Y. Özkan', 'A. Bandaogo', 'K. Van Der Vuurst De Vries']",1:4|1:7|1:8|1:12|1:13,Unknownx5,3,07:49:00,3,06:11:00,51,46,53,48
1,ONVO BÜYÜKÇEKMECE BASKETBOL,423.1,438.0,"[4, 7, 8, 11, 13]",5,4|7|8|11|13,"['1:4', '1:7', '1:8', '1:11', '1:13']","['E. Bruinsma', 'S. Pipes Jr', 'Y. Özkan', 'M. Senli', 'K. Van Der Vuurst De Vries']",1:4|1:7|1:8|1:11|1:13,Unknownx5,3,06:11:00,3,05:23:00,53,48,53,53
